,2021-10-29,区块链的国资行动：过半央企涉足，地方国资参投区块链企业,财经网
6996,2018-06-08,恒指收跌1.76%失守31000点 中国联通领跌蓝筹,证券时报网
6997,2018-06-08,中日韩加强5G协作 继续坚定看好5G 4股步入牛途,证券之星
6998,2018-06-08,主营业务频频降价 运营商面临激烈竞争,中国电子报
6999,2018-06-08,始于连接 终于应用 运营商物联网应用发展蓄势待发,通信产业网
7000,2018-06-08,"通信行业:5G SA标准本月出炉,中日韩加强5G协作,继续坚定看好5G",正点财经
7001,2018-06-07,腾讯王卡免流家族再添员：放心刷微博,IT之家
7002,2018-06-07,董秘解码：宜通世纪将向中国联通提供物联网平台服务,巨丰财经
7003,2018-06-07,运营商移动支付业务面临囧境？这或许是互联网下半场的坚持,腾讯网
7004,2018-06-07,运营商加速布局物联网：今年智能连接数将超5亿个,通信产业网
7005,2018-06-07,中国联通与16家虚商签约 首批商用牌照即将发出,北京晨报
7006,2018-06-06,中国联通与16家虚拟运营商签约，虚商转正不远了,搜狐
7007,2018-06-06,智能家居最大订单曝出，四川电信预示什么,飞象网
7008,2018-06-06,明日涨停黑马股推荐：6月7日周四机构一致看好的十大金股,证券之星
7009,2018-06-06,16家虚拟运营商与中国联通签约，首批牌照呼之欲出,腾讯网
7010,2018-06-06,英睿得（百修宝）亮相2018年中国联通合作伙伴大会,财经网
7011,2018-06-06,高通英特尔都在做，全时互联PC会重蹈上网本覆辙吗？,华强电子网
7012,2018-06-06,5G标准即将发布关注行业相关标的——通信行业周报,渤海证券
7013,2018-06-06,"中国联通:详拆联通ROE,未来或有较大改善空间",国信证券
7014,2018-06-05,eSIM迎来风口，果通科技在这个“小产品”上布局了“大想法”,腾讯网
7015,2018-06-05,中国联通与英特尔发力全互联PC,中国电子报
7016,2018-06-05,eSIM卡能否开启物联网新蓝海？,中国电子报
7017,2018-06-05,还在被移动10GB不限量耗着？联通不仅流量更多网速也更快,C114通信网
7018,2018-06-05,郑州联通“云网一体，智领未来” 推动郑州工业企业经济转型升级,工业电器网
7019,2018-06-05,世界杯战火重燃在即 3大运营商抢滩手机电视市场,财经网
7020,2018-06-04,商用后的5G真有“钱景”吗？,腾讯网
7021,2018-06-04,[增持评级]通信行业周报：5G SA标准本月出炉 中日韩加强5G协作 继续坚定看好5G,中财网
7022,2018-06-04,巨丰热点：国资委调研央企 央企改革提速刺激概念股活跃,巨丰财经
7023,2018-06-04,[推荐评级]通信行业周报：国产替代和自主可控持续发酵 建议关注网络安全和北斗产业链,中财网
7024,2018-06-04,运营商用4G吃个饱，那5G怎么搞？,腾讯网
7025,2018-06-03,为什么说运营商做云会失败？,通信海峰
7026,2018-06-03,第一阶段标准呼之欲出 5G时代渐行渐近,大众证券报
7027,2018-06-02,联通混改制定解锁期，持股员工将被捆绑5年,Wind
7028,2018-06-02,联通混改制定解锁期 员工持股内外两重天,中国经营报
7029,2018-06-01,4年将投2000亿元，电信移动联通铁塔将在长三角三省一市推进5G先试先用,搜狐
7030,2018-06-01,总编视点丨“菊势”大变，通信行业也不能做“菊外人”,腾讯网
7031,2018-06-01,运营商用户量负增长 互联网产品能成为救命稻草吗？,赛迪网
7032,2018-06-01,中移动 “一号双终端”业务启动 以后出门可不带手机,砍柴网
7033,2018-06-01,三大运营商齐改革 移动支付或成新赛点,千龙网
7034,2018-06-01,部分不限流量套餐降价 运营商为何开启降价模式？,中新网
7035,2018-05-31,eSIM最大的挑战竟然是：运营商间的互联互通,腾讯网
7036,2018-05-31,钉钉活跃用户数超2-10名总和，各行业领头羊点赞钉钉,DoNews
7037,2018-05-31,锁定捷安特/移动/联通 壹凌电子聚合物电池“另谋出路”,高工锂电
7038,2018-05-31,4G用户首现负增长 运营商再放大招抢客,南方日报
7039,2018-05-30,【安信通信日报】中国移动公布34亿元数据线缆集采结果，中国联通将为30万用户提供流量补贴,通信投研汪
7040,2018-05-30,中国联通与英特尔宣布战略合作 共同发力全互联PC,凤凰网
7041,2018-05-30,英特尔与中国联通战略合作，共推全互联PC,Wind
7042,2018-05-30,英特尔与中国联通战略合作 共推全互联PC,TechWeb
7043,2018-05-30,联通与英特尔开展全互联 PC 合作，要在未来实现开机即联网,搜狐
7044,2018-05-30,预计400G时代在2019年至2020年期间到来,飞象网
7045,2018-05-29,终于支持改号！腾讯王卡史诗级服务上线,IT之家
7046,2018-05-29,[推荐评级]通信行业周报：行业标志性拐点：中移动4G用户首次负增长 运营商进入存量竞争时代,中财网
7047,2018-05-29,不限流量套餐缩水 运营商恶性竞争的苦果,搜狐
7048,2018-05-29,2018数博会“万物互联·智汇遵义”分论坛在遵义举行,工业电器网
7049,2018-05-29,不限流量限速度 4G套餐变“套路”,新京报
7050,2018-05-28,小米手环与中国联通达成合作：小米手环3也能用eSIM?,元器件交易网
7051,2018-05-28,十大异动股点评：独角兽在A股无天花板？ 4牛涨停释资金剑走偏锋,巨丰财经
7052,2018-05-28,[推荐评级]通信行业周报：前四月移动DOU暴增192% 流量免费化红利正释放,中财网
7053,2018-05-28,[优于大势评级]通信行业周报：云计算和大数据规模显现 关注相关公司投资机会,中财网
7054,2018-05-28,[强于大市评级]通信行业研究周报：移动4G用户首降 不限流量和5G迫切 长期布局光通5G,中财网
7055,2018-05-28,“不限流量”套餐不应只是“广告词”,新京报
7056,2018-05-27,中国联通大冰神卡团购优惠：流量不限量、可不换号、月费低至7折,IT之家
7057,2018-05-26,贵州联通与贵阳市政府成立5G应用创新联合试验室,Wind
7058,2018-05-26,贵州联通与贵阳市政府成立5G应用创新联合试验室,中新网
7059,2018-05-26,4月中国移动4G用户流失242.7万户，震惊了业内外,腾讯网
7060,2018-05-26,中国移动再继续坑它的老用户，会不会导致大量用户流失而破产？,腾讯网
7061,2018-05-26,国行4G版Surface Pro体验：插上手机卡就能上网,新浪
7062,2018-05-26,融资客斥资近300亿元买入448只标的股,证券日报
7063,2018-05-25,工信部收回部分电信网码号，涉及中国联通等公司,搜狐
7064,2018-05-25,中国移动4G用户首现负增长 转网红利正在削弱,北京晨报
7065,2018-05-25,三大运营商热启5G试点 联通首次向公众演示5G技术,北京晨报
7066,2018-05-24,5月24日市场重要消息一览,华安证券订阅号
7067,2018-05-24,2018年四川联通数字城市产业链大会在泸州召开,搜狐
7068,2018-05-24,中富通中标中国联通采购项目 预计项目金额7246万元,中证网
7069,2018-05-24,5G中频段清理核查工作启动 三大运营商已着手频率重耕,证券时报
7070,2018-05-24,腾讯与联通发布TUSI SIM卡 面向物联网行业推新的身份鉴权标准,飞象网
7071,2018-05-24,三重优势打造营商环境新高地：上海联通在行动,C114通信网
7072,2018-05-24,中国移动宽带用户总数紧追中国电信,腾讯网
7073,2018-05-24,从愿景到现实 5G将如何改变我们的生活,TechWeb
7074,2018-05-24,中国联通成功加入美国工业互联网产业联盟IIC,工业电器网
7075,2018-05-24,三星联合中国联通推出星粉卡：每天1元1GB，3元不限量,IT之家
7076,2018-05-23,谁“偷”走了242万移动4G用户？,搜狐
7077,2018-05-23,直击|腾讯与联通推物联网安全SIM卡 可鉴别设备身份,新浪
7078,2018-05-23,腾讯与中国联通携手发布物联网SIM卡 共建物联网安全生态体系,腾讯网
7079,2018-05-23,互联网套餐太强势！中国移动业绩罕见下滑，联通笑了,搜狐
7080,2018-05-23,券商评级:沪指收盘下跌1.41% 九股掘金良机,证券之星
7081,2018-05-23,统一流量，联通开了个好头！移动“失民心”，用户骤降！,搜狐
7082,2018-05-23,中国移动黄金时代已过？5G将成三大运营商下一竞争节点,TechWeb
7083,2018-05-23,三大运营商最新运营数据出乎意料 难道格局有变？,C114通信网
7084,2018-05-23,三运营商4月数据对比：中移动用户锐减 “攻守”效应显现,通信产业网
7085,2018-05-23,智慧雄安蓝图宏大 中国联通如何勾画数字城市底色,中国电子报
7086,2018-05-23,消失的用户去了哪里？中移动要靠5G来续命,搜狐
7087,2018-05-23,【通信丨马军】中国联通(600050)：4G用户持续增长，中长期增长动力十足,方正证券研究
7088,2018-05-23,中国移动4G用户负增长，到底是怪电信联通还是BAT？,和讯
7089,2018-05-23,应用多元化促使区块链发展 六股获机构青睐,证券日报
7090,2018-05-23,移动4G用户数量首次出现负增长，日赚3亿的时代或将成为过去式,腾讯网
7091,2018-05-23,"中国联通公司动态点评:移动用户净增占比趋势向好,产业互联网业务有序推进",长城证券
7092,2018-05-22,4月运营比拼：移动4G用户数首次负增长，电信稳联通追,搜狐
7093,2018-05-22,【安信通信每周观点】中国铁塔赴港上市，5G+3D有望成为全球首个5G杀手级应用,通信投研汪
7094,2018-05-22,中国移动4G四年来首次负增长“躺着赚钱”的时代过去了,云掌财经
7095,2018-05-22,史上首次！移动流失242万4G用户，日赚3亿日子过去了,21财闻汇
7096,2018-05-22,腾讯王卡用户再获利好招联金融业务登陆王卡助手微信号,苏南网
7097,2018-05-22,涨停揭秘：沪市回补缺口后V型反弹 次新股股出现涨停潮,巨丰财经
7098,2018-05-22,物联网产业生态联盟成立大会在京举办看好物联网产业发展,顶尖财经网
7099,2018-05-22,中国移动4G用户首现负增长 再想躺着赚钱难了,中国商网
7100,2018-05-22,中国联通首个5G基站已开通 这网速简直不敢想,太平洋电脑网
7101,2018-05-22,午评：权重领跌沪指回补缺口 六大行业基金持仓均超500亿,中金在线
7102,2018-05-22,从月增1561万到月减242万，高歌猛进的移动到底怎么了？,腾讯网
7103,2018-05-22,中国移动4G用户首次出现减少，要继续大幅降价的前奏！,搜狐
7104,2018-05-22,[增持评级]三大运营商4月运营数据点评(通信行业)：存量博弈 低成本客户获取显优势,中财网
7105,2018-05-22,[领先大市-A评级]通信行业周报：中国铁塔赴港上市 5G+3D有望成为全球首个5G杀手级应用,中财网
7106,2018-05-22,三大运营商公布四月数据：移动4G用户首度负增长,TechWeb
7107,2018-05-22,运营商4月份成绩单：4G风景不再独好,C114通信网
7108,2018-05-22,唐雄燕：中国联通IPv6发展现阶段以双栈为主,飞象网
7109,2018-05-22,三大运营商NB-IoT发展初具规模和形态：连接数已超3亿,飞象网
7110,2018-05-22,4G用户负增长 中国移动每天赚3亿的好时代过去了,搜狐
7111,2018-05-22,5G商业化标准即将确定 四股或迎腾飞契机,证券时报
7112,2018-05-22,中移动4G用户首现负增长：4月微跌0.36%至6.7亿户,澎湃新闻
7113,2018-05-21,中国移动4G用户数首显负增长，网友们的评论亮了,腾讯网
7114,2018-05-21,中国联通：4月份4G用户净增406万户 累计1.98亿户,e公司
7115,2018-05-21,中国联通4月数据：4G用户增长400万户,驱动之家
7116,2018-05-21,中国联通：4月份4G用户净增406.2万户，累计达到1.98264亿户,金融界
7117,2018-05-21,中国联通(00762-HK)4月移动出账用户净增307.1万户,财华社
7118,2018-05-21,联通大数据亮相第二届世界智能大会,飞象网
7119,2018-05-21,信息科技：5G+3D有望成为全球首个5G杀手级应用 荐4股,安信证券
7120,2018-05-21,远望谷盈利靠卖股权 持续并购目的不单纯,红周刊
7121,2018-05-21,工业互联网：谁来建？怎么建？,通信产业网
7122,2018-05-21,【PW早报】锤子将免费更换划伤的R1摄像头/韩国LG集团会长具本茂去世/ofo小黄车将支持刷北京一卡通骑行/贵州联通首个5G基站开通/嫦娥四号任务中继星成功发射,搜狐
7123,2018-05-20,信息科技：关注北斗领域投资机会 荐5股,东北证券
7124,2018-05-20,[推荐评级]通信行业深度研究报告：流量免费化 为通信行业发展注入新动力,中财网
7125,2018-05-19,215只个股被10家以上机构看好，四逻辑筛出6只绩优股,Wind
7126,2018-05-18,联通与首汽两央企产业融合打造山西市民出行新生态,中新网
7127,2018-05-18,大咖论道新生态新未来：2018中国物联网产业生态大会电信日举行,通信产业网
7128,2018-05-18,[强于大市评级]通信行业周报：工业互联网APP培育工程实施方案发布 继续关注产业相关龙头,中财网
7129,2018-05-18,中国联通已实现物联网全国覆盖 三季度将开通eMTC网络,C114通信网
7130,2018-05-17,起底三大运营商流量资费套餐 30%降费红利去哪儿了？,南都报
7131,2018-05-17,广东成5G产业发展“高地”,南方日报
7132,2018-05-17,流量漫游费取消大起底：部分用户只能换更贵套餐,南都报
7133,2018-05-16,【安信通信日报】我国有望突破国际海缆巨头垄断，我国5G产业规模2026年将破万亿元,通信投研汪
7134,2018-05-16,爱立信全面助力中国5G技术试验：携手联通多地开通5G试点基站,C114
7135,2018-05-16,中国联通成立雄安产业互联网公司,搜狐
7136,2018-05-16,中国联通雄安产业互联网有限公司正式成立,C114通信网
7137,2018-05-16,雄安新区一周年：中国联通为这座“未来之城”都做了啥,飞象网
7138,2018-05-16,中国铁塔赴港IPO：行业霸主的内部突围战,中国经营网
7139,2018-05-16,中国联通：2018年底建设完成覆盖雄安全域的NB-IoT网络,C114通信网
7140,2018-05-16,恒指低开0.44%，腾讯今日将公布一季报,Wind
7141,2018-05-16,MEC：5G应用的催熟剂,飞象网
7142,2018-05-16,[增持评级]通信行业跟踪周报：全球5G频率拍卖拉开序幕 5G建网进入抢跑时段 持续看好5G产业发展,中财网
7143,2018-05-16,[增持评级]通信行业周报：通信行业业绩改善 基本面持续向好,中财网
7144,2018-05-15,中国铁塔递交赴港上市申请：99.8%收入来自三大运营商,澎湃新闻
7145,2018-05-15,重庆联通517网购节放大招：充值8.8折 麻辣渝卡不限量套餐1折购,赛迪网
7146,2018-05-15,“智”在长远 中国联通与人工智能相伴而行,中国电子报
7147,2018-05-15,工业互联网论坛纪要(科技行业)：数据机器融合带来新的投资机会,中财网
7148,2018-05-15,[推荐评级]通信行业2017年年报和2018年一季报点评：业绩分化明显 把握流量与连接主线 关注高成长细分板块,中财网
7149,2018-05-15,中国铁塔提上市申请背后：多项因素困扰下能否迎春？,新浪
7150,2018-05-14,三大运营商皆为大股东与大客户 中国铁塔去年赚20亿启动IPO,每日经济新闻
7151,2018-05-14,中国铁塔拟赴港IPO 去年收入达到687亿元,每日经济新闻
7152,2018-05-14,中国铁塔提交IPO申请：2017年营收686.65亿，税前利润26.85亿,C114通信网
7153,2018-05-14,【安信通信每周观点】中国移动加快推进5G承载网建设，云计算市场将长期高景气发展,通信投研汪
7154,2018-05-14,[推荐评级]通信行业周报：美国废除网络中立+运营商合并 抢跑5G,中财网
7155,2018-05-14,[推荐评级]通信行业周报：5G建设承载先行 承载网技术发展研讨会在京召开,中财网
7156,2018-05-14,[领先大市-A评级]通信行业周报：中国移动加快推进5G承载网建设 云计算市场将长期高景气发展,中财网
7157,2018-05-14,[推荐评级]通信行业信息周报：持续关注高景气细分子行业;富士康工业互联网获IPO核准 工业互联网浪潮或再起,中财网
7158,2018-05-14,5月14日涨停揭秘：预中标中国联通7246万元项目 中富通涨停,中证网
7159,2018-05-14,eSIM脚步渐近：一文读懂常见问题,IT之家
7160,2018-05-14,[增持评级]通信设备行业周报：美国取消网络中立 持续关注物联网、信息安全的结构性机会,中财网
7161,2018-05-14,三大券商看中兴事件：5G望迎反弹 关注受中美影响标的,金融界
7162,2018-05-14,最新公告透露利好 15只个股有潜力（5.14）,中证网
7163,2018-05-11,中国联通(00762-HK)：ROE提升至业內平均水平指日可待,财华社
7164,2018-05-11,中国联通王光全：无论哪种5G承载方案 万变不离光模块,飞象网
7165,2018-05-11,中国联通CEO：与中兴方面的业务照常,新浪
7166,2018-05-11,中国89家上市通信企业2017业绩汇总：收入增长，利润下降,通信产业网
7167,2018-05-11,[推荐评级]电信运营商深度报告：流量及网络红利释放 “云大物智”大竞合时代开启,中财网
7168,2018-05-10,[强于大市评级]通信行业周报：我国5G商用进程稳步推进 继续关注5G产业链龙头,中财网
7169,2018-05-10,[推荐评级]通信行业2017年年报及2018年一季报总结：业绩稳步向上 光通信、云计算、物联网增长显著,中财网
7170,2018-05-10,[超配评级]通信行业周报：小米申报IPO 物联网投资机会愈演愈烈,中财网
7171,2018-05-10,浙江联通在杭州开通首个5G基站,IT之家
7172,2018-05-10,300个基站机房监控！卓振助力内蒙古联通智慧基站建设,飞象网
7173,2018-05-10,5g龙头上市公司中国联通：600050中国联通符合预期 可关注!,国信证券
7174,2018-05-10,流量“漫游费”取消在即　运营商深耕家庭市场谋出路,通信信息报
7175,2018-05-09,中国联通王卡业务助推4G发展 将深化互联网运营,e公司
7176,2018-05-09,担心裁员降薪？分析三大运营商人均年薪,搜狐
7177,2018-05-09,2G退网受物联网“掣肘”明显 亟待NB-IoT成本下降至合理水准,华强电子网
7178,2018-05-09,浙江移动联手天猫“花一得三” 4G客户将暴增？,搜狐
7179,2018-05-09,[推荐评级]通信行业双周报：发改委、财政部降低5G频率占用费 阿里云业务同比翻倍增长,中财网
7180,2018-05-09,三大运营商第一季度财报实现开门红,Ofweek
7181,2018-05-09,券商评级:A股三大股指集体收跌 九股掘金良机,证券之星
7182,2018-05-09,[增持评级]通信设备行业周报：小米IPO加速布局物联网生态 中国联通新建物联网平台 关注物联网投资机会,中财网
7183,2018-05-09,[领先大市-A评级]通信行业周报：工信部发布IPV6规模部署计划 联通新采物联网平台,中财网
7184,2018-05-09,[推荐评级]通信行业信息周报：工信部加速推进IPV6规模部署;国防电子展下周开幕 关注军工信息化自主可控核心标的,中财网
7185,2018-05-09,物联新时代 智慧新未来 2018窄带物联网发展论坛将在津举办,通信产业网
7186,2018-05-08,[推荐评级]通信行业周报：长飞过会 纤缆需求持续旺盛,中财网
7187,2018-05-08,[中性评级]深度*行业*新通信行业周报：工信部发表IPV6部署行动计划 ODTN为光网络引入解耦与开源,中财网
7188,2018-05-08,美国第三和第四大运营商宣布合并,赛迪网
7189,2018-05-08,阿里租了华东最大的数据中心 谁会做它的邻居,Ofweek
7190,2018-05-08,2020年携号转网或全国推行，用户终将扬眉吐气，对移动的打击最大,搜狐
7191,2018-05-08,混改价值外溢，中国联通五大行动能否构建新生态？,电子信息产业网
7192,2018-05-07,[增持评级]通信设备制造Ⅱ/通信运营Ⅱ行业2017年年报&2018年一季报综述：一季度盈利改善 关注军工通信,中财网
7193,2018-05-07,[买入评级]通信行业2017年年报及2018年一季报综述：整体业绩表现平淡 持续关注结构性机会,中财网
7194,2018-05-07,[推荐评级]通信行业周报：国家信息光电子创新中心挂牌 打造光通信的中国“芯”,中财网
7195,2018-05-07,中国云计算市场“三足鼎立”,工业电器网
7196,2018-05-07,中国联通分公司客户经理挪用网费9万余元 被判拘役五个月,和讯
7197,2018-05-07,中国联通股票分析：国企改革先驱，向上拐点确立,华泰证券
7198,2018-05-07,从海外光器件厂商聚焦高端光芯片看国产替代进程,顶尖财经网
7199,2018-05-07,阿里营收逼近中国联通，三年超中国移动，新零售要让马云一统江湖,搜狐
7200,2018-05-07,中国联通：5月4日融资余额为46.48亿元，较前一日骤增5.34%,Wind资讯
7201,2018-05-07,“二手号码”能登录原来应用，不是小问题,新京报
7202,2018-05-06,二手手机号遭遇解绑难题 有人用二手号成天被催债,北青网
7203,2018-05-06,陈春花：若让世界能倾听中国企业声音 有三件事不得不做,和讯
7204,2018-05-05,联手电信、联通进驻智慧家庭 迅雷业务规模再扩大,砍柴网
7205,2018-05-05,网速大比拼：联通逆天第一，移动拖后腿，仍是世界第一,腾讯网
7206,2018-05-04,中国联通推爱奇艺冰激凌卡：48元/月全国不限量,IT之家
7207,2018-05-04,巨丰资金流向：两市缩量窄幅调整 防御性品种受青睐,巨丰财经
7208,2018-05-04,5月4日午间公告：通宇通讯中标2亿元中国联通采购项目,腾讯网
7209,2018-05-04,你最想办的互联网套餐手机卡是哪个？,IT之家
7210,2018-05-04,"通信周报:发改委降低5G频占费,为运营商节省上百亿元开支;国家信息光电子创新中心正式挂牌",申万宏源
7211,2018-05-03,数据王：医药行业业绩喜人15只个股创出历史新高,巨丰财经
7212,2018-05-03,全国固定宽带下载速率超20M 4G网络规模居全球第一,新浪
7213,2018-05-03,发展产业互联网，中国联通要做一篇“数智”好文章,腾讯网
7214,2018-05-03,中国联通启动2018年物联网设备管理平台招标：分新建平台和合作服务两种模式,飞象网
7215,2018-05-03,今年联通终端众筹指挥棒是什么？,通信产业网
7216,2018-05-03,流金岁月终止IPO，湘财证券拟申请终止挂牌,证券时报网
7217,2018-05-03,联通净利猛增 移动宽带用户大涨,南方日报
7218,2018-05-02,联通混改顺风车好搭吗？,腾讯网
7219,2018-05-02,华森科技获3亿元大额手机订单,证券时报网
7220,2018-05-02,信息科技：国家光电子中心成立 荐5股,中银国际
7221,2018-05-02,"中国联通季报点评:中合作伙伴大会在渝召开,共同开启智慧联盟",正点财经
7222,2018-05-02,“微信去年产生1万亿交易额，近3000亿流向淘宝”,搜狐
7223,2018-05-02,5G试点城市最新名单公布 今年5G将在这些城市落地,工业电器网
7224,2018-05-02,[增持评级]通信设备行业跟踪周报：通信行业业绩改善 基本面持续向好,中财网
7225,2018-05-02,与移动差距那么大，联通真的不行了吗？副总公布了一张图,搜狐
7226,2018-05-02,工信部发布IPv6规模部署行动计划：2018年用户规模不少于5000万户,C114通信网
7227,2018-05-02,中国联通五大行动 修练运营商生态“头号玩家”,中国电子报
7228,2018-05-02,中国联通表彰百名劳动模范,新华网
7229,2018-05-02,中国联通宣布，腾讯王卡用户规模已超 1 亿,搜狐
7230,2018-05-02,解读三大运营商2018Q1业绩：营收利润均上升 联通实现大反转,C114通信网
7231,2018-05-02,三大运营商首季日赚3.64亿元 走出净利润下降低谷,北京晨报
7232,2018-05-01,沪市公司2017年业绩稳中向好 经营质量再上新台阶,上交所
7233,2018-05-01,中国联通物联网布局：从网络到“平台+”的产业生态雄心,C114通信网
7234,2018-05-01,三巨头争抢“头把交椅”,财界网
7235,2018-04-30,美国第三、四大运营商宣布合并，中国电信、联通能否效仿？,搜狐
7236,2018-04-30,三大运营商一季报：中国移动服务收入承压,证券时报网
7237,2018-04-30,5G将至 万物互联照进现实,Ofweek
7238,2018-04-28,官方：中国联通腾讯大/地/天王卡的隐藏技能,IT之家
7239,2018-04-28,很全面！三大运营商一季度财务及运营数据大比拼,搜狐
7240,2018-04-28,中国联通发布年度终端销售策略 280亿元补贴4G换机 扩大智能终端投入,e公司
7241,2018-04-28,中国联通召开eSIM产业合作研讨会 HUAWEI WATCH 2 Pro展示eSIM应用成果,砍柴网
7242,2018-04-28,联通众筹6.0，合作成交创新高,C114通信网
7243,2018-04-28,百度DuerOS+中国联通：与你分享AI走进家庭的终极密码,砍柴网
7244,2018-04-28,移动办公“触电”智慧门店 钉钉出席联通合作伙伴大会,砍柴网
7245,2018-04-28,中国联通携手乐语Brookstone 赋能实体零售,联商网
7246,2018-04-28,中国联通邀产业链搭混改顺风车 共建新生态,电子信息产业网
7247,2018-04-28,百度DuerOS将于联通合作开发智能产品,品玩
7248,2018-04-28,百度DuerOS与中国联通合作，联合打造智能产品,Wind
7249,2018-04-28,百度DuerOS与中国联通合作 联合打造智能产品,新浪
7250,2018-04-28,创新应用闪耀“数字中国”为何联通能弯道超车？,赛迪网
7251,2018-04-28,沃联天下掀起物联新浪潮 未来已来打造物联新模式,飞象网
7252,2018-04-28,专访联通大数据靳淑娴：聚焦六大核心能力 加速释放大数据潜能,C114通信网
7253,2018-04-28,紫光展锐助力中国联通2G转4G及物联网战略,元器件交易网
7254,2018-04-28,紫光展锐加入中国联通eSIM产业合作联盟，携手打造万物互联,元器件交易网
7255,2018-04-28,上海联通总经理：混改后营业厅增收超30%，干部淘汰会继续,Wind
7256,2018-04-28,上海联通总经理：混改后营业厅增收超30%，干部淘汰会继续,澎湃新闻
7257,2018-04-28,沪深股通踊跃抄底 白马股遭机构砸盘,投资快报
7258,2018-04-28,北上资金对白马和中小创喜好均分化,大众证券报
7259,2018-04-28,腾讯王卡“免流全家桶”又更新了！,IT之家
7260,2018-04-27,京东“京选”亮相中国联通合作伙伴大会，携手共创万物互联新时代,飞象网
7261,2018-04-27,研报精选 6股值得关注（4.27）,中金在线
7262,2018-04-27,苏宁亮相中国联通合作伙伴大会展，引领智能家居新生态,砍柴网
7263,2018-04-27,苏宁智慧零售模式联通打卡 极致体验频获用户点赞,中新网
7264,2018-04-27,钉钉亮相中国联通合作伙伴大会 携手服务中国企业,砍柴网
7265,2018-04-27,联通2018合作伙伴大会，你关心的干货都在这里,搜狐
7266,2018-04-27,惊艳亮相联通合作伙伴大会 VVETIME投影手机“渝”你同行,砍柴网
7267,2018-04-27,中国联通宣布开启5G试点 中国5G网络将如何发展？,中金在线
7268,2018-04-27,TCL通讯携全面屏新品和多形态智能终端亮相中国联通合作伙伴大会,砍柴网
7269,2018-04-27,百度共享WiFi翻译机惊艳中国联通合作伙伴大会，获多方好评,砍柴网
7270,2018-04-27,中国联通党组书记、董事长王晓初：产业链各方共建新生态,新华网
7271,2018-04-27,联通众筹6.0：投入“双百亿” 赋能众筹新模式,通信产业网
7272,2018-04-27,王晓初：欢迎产业链搭乘混改顺风车，与联通发生“化学合作”,通信产业网
7273,2018-04-27,不限流量套餐背后仍存诸多套路 有用户费用不降反升,工人日报
7274,2018-04-26,创意信息：与中国联通子公司开展“创意流量”项目合作,e公司
7275,2018-04-26,创意信息一季度盈利2254万元 牵手联通在线打造“流量+”生态链,中证网
7276,2018-04-26,中国联通手握1亿王卡用户，从此翻身了？,搜狐
7277,2018-04-26,流量漫游费取消，三大运营商迎增收挑战,搜狐
7278,2018-04-26,联通启动“智慧联盟” 政企界共论产业生态打造,中新网
7279,2018-04-26,[买入评级]中国联通(600050/00762.HK)一季报点评：移动业务超预期 降本增效逐步显现,中财网
7280,2018-04-26,中国联通王晓初：手机市场销量下降，但人口红利仍有巨大商机,钛媒体
7281,2018-04-26,中国联通合作伙伴大会正式开幕 京东黑科技再成行业新标杆,飞象网
7282,2018-04-26,聚焦中国联通合作伙伴大会,浙江在线
7283,2018-04-26,中国联通宣布今年5G规模试点：让2G/3G用户升级,驱动之家
7284,2018-04-26,信息科技：待风雨过后见彩虹 荐5股,申万宏源
7285,2018-04-26,苏宁小Biu亮相联通合作伙伴大会，全屋操控惊艳全场,赛迪网
7286,2018-04-26,手机厂商的红利 联通今年目标要让4000万2G用户换机,砍柴网
7287,2018-04-26,"""中国芯""时代!联想推出首款国产芯片NB-IoT模组",砍柴网
7288,2018-04-26,双百亿补贴终端，中国联通推出eSIM联盟计划,搜狐
7289,2018-04-26,博信股份首次参展中国联通众筹6.0大会,苏南网
7290,2018-04-26,联通董事长：中国联通翻身了负增长成为历史,顶尖财经网
7291,2018-04-26,中国联通今年将在16城试点5G 用补贴迁移2G和3G用户,新浪
7292,2018-04-26,为何阿里牵手中国联通部署首个城市LoRa网络？,工业电器网
7293,2018-04-26,联通众筹大会海信手机表示深耕智能终端积极迎接5G时代,砍柴网
7294,2018-04-26,马上消费金融携手中国联通展开全方位战略合作,财经网
7295,2018-04-26,5G试点城市最新名单公布！今年，5G将在这些城市应用落地,财经网
7296,2018-04-26,5G概念火热 通信设备龙头迎超配机会,中证报
7297,2018-04-26,联通公布5G商用计划，16城今年规模试点,Wind
7298,2018-04-26,腾讯王卡“免流全家桶”更新：美团、大众点评等即将加入,IT之家
7299,2018-04-26,现网载波聚合应用存在的问题和提升方案实践,C114通信网
7300,2018-04-26,中国联通今年将在16城市开展5G规模试点,证券时报网
7301,2018-04-26,中国联通：腾讯王卡用户超1亿,IT之家
7302,2018-04-26,中国联通拉升翻红,e公司
7303,2018-04-26,中国联通预计今年联通用户换机规模将达1.5亿台,证券时报网
7304,2018-04-26,王晓初：中国联通一季度已经翻身 王卡用户近1亿,新浪
7305,2018-04-26,中国联通董事长王晓初：今年手机换机市场仍有巨大空间,每日经济新闻
7306,2018-04-26,一线 | 联通百亿资源补贴终端 王晓初称人口红利还有巨大商机,腾讯网
7307,2018-04-26,王晓初：欢迎搭上联通混改顺风车，共享改革红利,飞象网
7308,2018-04-26,中国联通董事长王晓初：将采取新营销措施促进终端市场发展,Wind
7309,2018-04-26,中国联通董事长王晓初：将采取新营销措施促进终端市场发展,证券时报网
