,2021-12-31,保险行业关于《保险公司偿付能力监管规则(Ⅱ)》的点评：偿二代二期工程落地 预计对头部险企的影响相对有限,新浪
13072,2019-05-24,中国太保集团首席投资官邓斌： 数万亿险资如何穿越 十年以上经济周期？,21世纪经济报道
13073,2019-05-24,26家险企遭银保监会点名“问题人身险”,北京商报
13074,2019-05-23,银保监曝光人身险产品“带病上岗” 26家险企被点名,新浪
13075,2019-05-23,兴业证券2019年2月保险数据点评,正点财经
13076,2019-05-23,保险业首季利润增两成 年化投资收益率近6%,证券时报
13077,2019-05-22,五大券商周四看好6板块45股,证券之星
13078,2019-05-22,保险业治乱象升级：从“治标”走向“治本”,金融时报
13079,2019-05-22,4家上市险企保费收入平稳增长,金融时报
13080,2019-05-22,上市险企保持两位数增长 价值率仍有提升空间,财富动力网
13081,2019-05-21,北上资金连续4日净流出，调仓换股迹象明显，机构建议关注这些板块,第一财经
13082,2019-05-21,"2018年保险行业年报回顾与展望:寿险产品结构持续改善,价值率创新高",正点财经
13083,2019-05-21,2018年财险市场 强者恒强 弱者不弱,金融界
13084,2019-05-21,从狂飙到折戟 天安财险流动性危机隐现,时代周报
13085,2019-05-20,从2400亿到500多亿 天安财险理财险拆雷进入最后时刻,新浪
13086,2019-05-20,中小财险公司的突围“生存术”：不靠车险怎么活？,和讯
13087,2019-05-20,【中信建投非银】上市险企4月数据点评：保费增长总体平稳，二季度关注代理人及长端利率情况,中信建投非银金融研究
13088,2019-05-20,【港股异动 | 内险股走弱 新华保险跌近3%】,格隆汇
13089,2019-05-20,A股全线下跌 北上资金加仓“新面孔”,第一财经
13090,2019-05-20,A股7上市险企4月揽保费1514亿元同比涨2.39%，券商：板块仍具防御性,全景网
13091,2019-05-20,一季度上市险企新业务价值提升 逐步淡化行业“开门红”概念,经济日报
13092,2019-05-20,国内财经媒体头版2019年5月20日星期一,Wind
13093,2019-05-20,【财经早汇】喜茶80亿元估值被疑水分大,中新经纬
13094,2019-05-20,五大上市险企前4月保费破万亿，综合成本率压力有望缓解,证券日报
13095,2019-05-20,北上资金深强沪弱 勾勒新投资主线,中证报
13096,2019-05-20,五大上市险企前4月保费破万亿元 业内预计综合成本率压力有望缓解,证券日报
13097,2019-05-20,"保险行业:基数致使短期增速分化,长期仍有望延续稳步改善趋势",平安证券
13098,2019-05-19,【华泰金融沈娟团队】大资金入市+改革持续，把握保险银行机会—2019金融动态第20期【证券研究报告】,华泰金融研究全新平台
13099,2019-05-19,北京暴雨 太保产险接报案超千个,中保网
13100,2019-05-17,港股异动 | 内险股表现低迷 中国人寿跌超2%,格隆汇
13101,2019-05-17,【万联非银】量价环比均有回落，关注板块龙头--非银金融行业周观点,万联证券研究所
13102,2019-05-17,第一上海丨【行业评论】保险行业——4月主要上市险企保费数据情况,第一上海金融
13103,2019-05-17,2018年车险利润榜：惨！惨！惨！要多惨有多惨！,新浪
13104,2019-05-17,【非银】4月上市险企保费数据点评：二季度保险行业进入经营策略调整期*强于大市,中银国际证券研究
13105,2019-05-17,【保险】5月保险行业投资策略： 4月保费平稳，长期配置价值卓越，推荐中国太保、中国人寿！,天风研究
13106,2019-05-17,前4月五大上市险企共实现保费收入1.1万亿 同比增长8.9%,每日经济新闻
13107,2019-05-17,五大上市险企前4月保费突破万亿 增速有所回落,证券时报
13108,2019-05-17,"金融行业周报:银行Q1业绩改善息差环比略降,券商4月业绩环比下降 盈利能力下降",平安证券
13109,2019-05-16,五大A股上市险企前4个月保费破万亿 人保再次领跑,国际金融报
13110,2019-05-16,一季度47家财险公司盈利135亿元 4家险企亏损均超亿元 亏损,证券日报
13111,2019-05-16,保险资产端显著改善：投资端大幅受益于权益市场回暖,证券市场周刊
13112,2019-05-16,首季“老七家”净利602亿元占盈利险企净利的86.6%,证券日报
13113,2019-05-16,中国保险英雄榜：谁是效率王者丨每亿元保费背后的成,圈中人
13114,2019-05-16,【方正非银】新单趋稳，利差仍厚重视配置机遇——上市险企4月月报,欣赏金融
13115,2019-05-16,【招商非银】保险：短期承压不改中长期向上态势--上市保险公司2019年1-4月保费数据点评,莲花山士丹利金融研究
13116,2019-05-16,首季“老七家”占寿险公司净利超60% 34家寿险公司合计亏损近40亿元 亏损,证券日报
13117,2019-05-16,"金融地产行业研究部三循环周报:银行地产板块跑赢大盘,厦门楼市及建发国际楼盘调研",申万宏源
13118,2019-05-15,【申万宏源金融】上市险企2019年4月保费数据点评：高基数扰动人身险单月增速，价值率仍有提升空间,大金融研究
13119,2019-05-15,月内首次！南北双向同步净买入，这些股票最受青睐！,e公司
13120,2019-05-15,"【非银金融行业】2019下半年投资策略：优中选优,紧抱蓝筹",格隆汇
13121,2019-05-15,巨丰收评：蓝筹题材全面反弹,巨丰财经
13122,2019-05-15,【港股异动 | 內险股普涨 新华保险涨逾3%领涨】,格隆汇
13123,2019-05-15,新华保险弹逾2% 首4月保费按年收入升近一成,新浪
13124,2019-05-15,15日公司新闻聚焦：通化金马布局工业大麻 全通教育年报被问询 问询,证券时报网
13125,2019-05-15,股市早知道：5月15日盘前必看与交易提示,中财网
13126,2019-05-15,一季度健康险公司净亏损1.48亿元 未摆脱盈利难“魔咒” 亏损,金融界
13127,2019-05-15,偿二代二期资产风险 穿透式监管料年底实施,中证报
13128,2019-05-14,格隆汇港股聚焦(5.14)︱	澳优一季度经调整净利升87.2%至1.945亿元,格隆汇
13129,2019-05-14,A股头条之上市公司公告精选（5.15）,金融界
13130,2019-05-14,公告精选：格力集团拟就转让格力电器股份召开意向投资者见面会；汤臣倍健因审计机构被查申请中止购买资产事项审核 资产异常,每日经济新闻
13131,2019-05-14,周二上市公司晚间重要公告（更新中）,金融界
13132,2019-05-14,一季度非车险经营综评：政策红利下大非车崛起，占比破40%,和讯
13133,2019-05-14,国寿股份总裁苏恒轩：将打造三高团队,和讯
13134,2019-05-14,14日晚公告精选丨格力集团下周三召开投资者见面会，四连板迪生力提示风险,21经济网
13135,2019-05-14,公告点题｜今晚这些公告有看头（更新中）,第一财经日报
13136,2019-05-14,5月14日公告集锦：格力电器拟召开意向投资者见面会,腾讯网
13137,2019-05-14,格隆汇个股放量排行榜 | 5月14日,格隆汇
13138,2019-05-14,5月14日上市公司晚间公告速递,新浪
13139,2019-05-14,中国太保：旗下两子公司1-4月保费收入接近1500亿元,Wind
13140,2019-05-14,中国太保(02601.HK)前4月原保险业务收入升6.8%至1484.41亿元,格隆汇
13141,2019-05-14,中国太保：前4月保费收入1484亿元,e公司
13142,2019-05-14,北向资金净流出105.88亿元，创史上单日净流出额第三高,澎湃新闻
13143,2019-05-14,数据王：上周北上资金动向盘点 主要布局一类股（附名单）,巨丰财经
13144,2019-05-14,【港股异动 | 寿险股普跌 中国人寿跌4.4%】,格隆汇
13145,2019-05-14,【华泰保险中期策略】保险: 产品转型提价值，需求挖掘拓空间,华泰证券研究所
13146,2019-05-14,【方正非银】短期交易情绪下的业绩波动，长期流动性增强下的配置机遇,欣赏金融
13147,2019-05-14,新会计准则如何影响险企？I9、I17再惹争议！不利于支持实体经济？独宠高股息率股？,券商中国
13148,2019-05-14,A股银行保险五日“失血”66亿 哪类资金在“跑路”？,21世纪经济报道
13149,2019-05-13,大病保险报销比例升至60%；中国人寿跌幅近6%；华农保险承保亏损程度却较2017年扩大了191.9% | 513 亏损,和讯
13150,2019-05-13,“四大派系”保险机构“华山论剑”偿付能力哪家强？,国际金融报
13151,2019-05-13,80家寿险公司第一季度风险评级出炉 A类公司46家超过半数,证券日报
13152,2019-05-13,中国人寿跌幅近6%，3月保费增速上市险企中垫底,第一财经
13153,2019-05-13,【华创非银】非银金融周观察：坚守长期价值，优选个股,华创非银
13154,2019-05-13,华泰证券：坚定看好保险股投资机会,证券时报网
13155,2019-05-13,【异动股】保险板块领跌两市 中国人寿(601628CN)跌近4%,财华社
13156,2019-05-13,沪指午盘跌0.99% 农业股逆势领涨,第一财经
13157,2019-05-13,保险股领跌A股市场 中国人寿跌逾3%,格隆汇
13158,2019-05-13,保险业一季度比拼榜：整体盈利763亿 个体差异明显,国际金融报
13159,2019-05-13,错失周五大阳线 “聪明钱”5月有望净流入,中证报
13160,2019-05-13,南下资金净流出 成长股获青睐,中证报
13161,2019-05-12,【西证金融郎达群】不畏浮云遮望眼，咬定青山不放松——金融月度数据点评及策略分析,小郎闲评
13162,2019-05-11,向核心资产集结：可关注金融消费医药领域确定性龙头,新浪
13163,2019-05-11,北上资金本周净流出逾174亿元 8只优质白马股净流入逾10亿元,证券日报
13164,2019-05-10,中国太保(02601.HK)：陈巍辞任总审计师及审计责任人职务,格隆汇
13165,2019-05-10,中国太保：总审计师辞职,Wind
13166,2019-05-10,格隆汇个股放量排行榜 | 5月10日,格隆汇
13167,2019-05-10,港股异动︱內险股集体回暖 新华保险(01336)涨超5%,智通财经
13168,2019-05-10,A股保险板块快速走强 中国人保(601319.SH)涨超5%,格隆汇
13169,2019-05-10,【数据揭秘】05月09日 融资客最看好的前20只个股,每日经济新闻
13170,2019-05-10,【国金研究】“证金公司”持仓专题：Q1投资路线图浮现，规模8562.5亿，“金融建筑”集中,国金证券研究所
13171,2019-05-10,【非银行业*胡翔】保险行业2019年一季报综述：投资端高弹性增长，负债端改善趋势显著,东吴研究所
13172,2019-05-10,太保安联一健康险产品被叫停 三个月内禁止备案新产品,每日经济新闻
13173,2019-05-10,银保监会责令太保安联3个月内禁止备案新产品,新浪
13174,2019-05-10,首季五成寿险公司偿付能力下滑 中法人寿偿付能力充足率降至-8469%,证券日报
13175,2019-05-09,中国太保：太保安联已停止销售监管处罚产品，客户可申请退保 其他违规处罚,Wind
13176,2019-05-09,"""大象""业绩大变脸：国寿集团缘何2018年巨亏130亿？ 盈利能力下降",券商中国
13177,2019-05-09,"""大象""业绩大变脸！2017盈利124亿，2018巨亏130亿！中国人寿集团业绩大幅波动究竟是何原因 重大损失",券商中国
13178,2019-05-09,白马权重压盘拖累A股反弹走势 沪指逼近半年线市场大概率继续弱势,财华社
13179,2019-05-09,东吴证券：保险行业一季度整体表现超预期 维持行业买入评级,证券时报网
13180,2019-05-09,保险一季报综述 | 投资端高弹性增长，负债端改善趋势显著,丁丁带你玩转金融
13181,2019-05-09,金融业人均年薪谁家强？,深圳商报
13182,2019-05-09,国金证券：证金公司一季度持有A股市值逾8562亿元 大金融占比超四成,中证网
13183,2019-05-09,沪指跌1.3%刷新阶段新低 陆股通半日净流出33亿元,每日经济新闻
13184,2019-05-09,沪指跌超1%刷新阶段新低 沪股通早盘净流出超20亿元,每日经济新闻
13185,2019-05-09,【行业点评】非银丨保费增速改善 长债收益率筑底回升利好估值提升,中国银河证券研究
13186,2019-05-09,【非银】2019年一季报综述:资产负债双向改善，推险企净利润创单季新高*强于大市,中银国际证券研究
13187,2019-05-09,投资驱动业绩增长 五大上市险企首季开门红,金融投资报
13188,2019-05-08,沪深港通月报:港股通继续流入、北上资金流出,正点财经
13189,2019-05-08,【港股异动丨内险股普跌 银保监会指保险公司应计量交易对手违约风险的最低资本】,格隆汇
13190,2019-05-08,【中信证券非银 | 策略】2019年下半年投资策略：优中选优，紧抱蓝筹,非银观点
13191,2019-05-08,【中信证券非银 | 策略】保险行业2019年下半年投资策略：拥抱长期专注核心能力建设的公司,非银观点
13192,2019-05-08,2018年寿险公司合计净利近1400亿元 前10家头部企业拿走行业近九成净利,证券日报
13193,2019-05-08,车险冰与火之歌:红海黑洞轮番出现 至暗时刻光在何方,新浪
13194,2019-05-08,中信证券非银金融行业策略：优中选优 紧抱蓝筹,证券时报网
13195,2019-05-08,一季度经营数据披露 寿险公司实现“开门红”,金融界
13196,2019-05-08,非银｜优中选优，紧抱蓝筹：2019年下半年投资策略,中信证券研究
13197,2019-05-08,五大上市险企首季日赚9.6亿 平安净利大于其他四家总和,长江商报
13198,2019-05-08,五大险企市场份额下降有何启示？,证券时报
13199,2019-05-08,“热钱”卷土重来 一个新概念迅速升温,每日经济新闻
13200,2019-05-08,长江养老：省级职业年金对接地方经济首单,第一财经
13201,2019-05-07,中国太保(02601.HK)：中国银保监会核准季正荣担任公司监事任职资格,格隆汇
13202,2019-05-07,【异动股】保险板块下挫，西水股份(600291-CN)跌2.62%,财华社
13203,2019-05-07,金融：负债端向好投资弹性凸显 荐1股,平安证券
13204,2019-05-07,【方正非银】承保与投资稳健，估值仍处相对低位,欣赏金融
13205,2019-05-07,【申万宏源金融】保险：2019年3月保险行业经营数据点评：健康险增速达39%，股基配置比例提升至12.4%,大金融研究
13206,2019-05-07,中短存续期产品大幅下降 珠江人寿连续四年实现盈利,每日经济新闻
13207,2019-05-07,中国人寿一季度净利接近翻倍,信息时报
13208,2019-05-07,一季度净利润增长 上市险企资产投资双改善,中证报
13209,2019-05-07,五大上市险企首季日赚9.6亿元 投资收益推动净利增70%,证券日报
13210,2019-05-07,投资端带动利润高增长，寿险价值率大幅提升——保险行业2019年一季报总结,兴证金融
13211,2019-05-06,中法人寿偿付充足率-8468.51% 还有3家险企不达标,新浪
13212,2019-05-06,产险业迎最强监管:32个地市级保险机构被叫停商车险,国际金融报
13213,2019-05-06,太保财险威海中支被罚7万:给投保人合同约定外的利益,新浪
13214,2019-05-06,【中信建投非银周报】继续强调保险板块的配置价值,中信建投非银金融研究
13215,2019-05-06,行政处罚决定书(湘银保监罚决字〔2019〕9号) 其他违规处罚,保监会
13216,2019-05-06,港股开盘恒指下跌2.5% 恒指跌幅扩大至3%,每经网
13217,2019-05-06,中国人寿午后封跌停 成交额7.05亿元封单1.03万手,腾讯网
13218,2019-05-06,五大上市险企首季净利大增 主因是投资收益大幅增长,羊城晚报
13219,2019-05-06,阳光保险代理被罚26万：为其他机构牟取不正当利益 其他违规处罚,新浪
13220,2019-05-06,【港股异动 | 港A两地保险大跌 新华保险AH均跌逾9%】,格隆汇
13221,2019-05-06,【异动股】保险板块下挫，西水股份(600291-CN)跌9.69%,财华社
13222,2019-05-06,恒指跌幅扩大至3% 再失守3万点 内险股集体重挫,每日经济新闻
13223,2019-05-06,A股上市险企投资收益普涨,金融界
13224,2019-05-06,一季度已有179家险企披露偿付能力报告,金融界
13225,2019-05-06,西水股份投资收益腰斩骤减79.5亿净利降八成 核心子公司天安财险连续4年亏损,长江商报
13226,2019-05-06,上市保险公司一季报成绩亮眼,和讯
13227,2019-05-05,2018财险净利润排行：老三家贡献104%,新浪
13228,2019-05-05,申万宏源一周晨会纪要合集（2019/4/29-2019/4/30）,申万宏源研究
13229,2019-05-05,专家认为：应进一步发挥权益类投资在险资配置中的作用,中证网
13230,2019-05-05,4月保险处罚盘点：3机构停新、3高管撤职、1家吊销许可证 董监高成员变化,和讯
13231,2019-05-05,【申万宏源金融】保险业2019年一季报综述,大金融研究
13232,2019-05-05,渝银保监罚决字〔2019〕14号（太保产险九龙坡支公司、张辉鹏、罗强、陈杰） 其他违规处罚,保监会
13233,2019-05-05,渝银保监罚决字〔2019〕15号（阳光保代重庆分公司、唐志、方鑫） 其他违规处罚,保监会
13234,2019-05-05,渝银保监罚决字〔2019〕17号（太保产险重庆分公司、肖欣、王鉴、陈鹏、刘树平） 其他违规处罚,保监会
13235,2019-05-05,渝银保监罚决字〔2019〕14号（太保财险九龙坡支公司、张辉鹏、罗强、陈杰） 其他违规处罚,保监会
13236,2019-05-05,渝银保监罚决字〔2019〕15号（阳光代理重庆分公司、唐志、方鑫） 其他违规处罚,保监会
13237,2019-05-05,渝银保监罚决字〔2019〕17号（太保财险重庆分公司、肖欣、王鉴、陈鹏、刘树平） 其他违规处罚,保监会
13238,2019-05-05,金融：拥抱春天 券商保险一季度业绩靓丽,中银国际
13239,2019-05-05,报告| 2019年3月上海A股上市公司市值TOP50,挖贝网
13240,2019-05-05,保险股低利率压制短期无忧 利率与权益市场双回暖,红周刊
13241,2019-05-05,【方正非银】东方证券：资管能力放大β优势，财富管理提升α能力——2019一季报点评,欣赏金融
13242,2019-05-05,【方正非银】华泰证券：投资超预期，机构业务蓄势——2019一季报点评,欣赏金融
13243,2019-05-05,中国太保一季度净利54.79亿元 同比增长46% 现金流量净额为463.14亿元,挖贝网
13244,2019-05-05,"中国人保2019年一季报点评:财险市占率升至36%,寿险收获转型成效",申万宏源
13245,2019-05-03,险资重仓股曝光：5成配置银行股 增持高科技和医药股,新浪
13246,2019-05-03,【银河国际】香港股市策略 - 港股通: 4月资金净流入仍然强劲,银河国际
13247,2019-05-01,“保险五雄”一季报成绩亮眼 秘籍在此！,国际金融报
13248,2019-05-01,险企一季“爆”：投资推动净利总合增7成，日赚9.6亿谁最能赚？,第一财经
13249,2019-04-30,格隆汇港股聚焦(4.30)︱重庆银行一季度净利润升9.9%至12.32亿元,格隆汇
13250,2019-04-30,"中金公司：将中国太保评级调低为""中性"" 投资评级恶化",Wind
13251,2019-04-30,【安信非银】中国太保一季报点评：负债端改善可期，投资提振利润高增,新角度新金融
13252,2019-04-30,华创证券：保险股估值仍处于低区间 尚有较大提升空间,证券时报网
13253,2019-04-30,"【增减持】中国太保(02601.HK)获BlackRock, Inc.增持124.038万股H股",格隆汇
13254,2019-04-30,投资端回暖 A股五大上市险企一季报迎“开门红”,新京报
13255,2019-04-30,4月30日股市预警|26家公司遭媒体关注 爆雷后20亿封跌停,腾讯网
13256,2019-04-30,一季度A股上市险企投资收益普遍大涨,金融界
13257,2019-04-30,成都首家“太好赔车主服务中心”授牌,中保网
13258,2019-04-30,投资大涨保费回暖，利润大增估值提升——保险公司2019年一季报综述,湘怀看非银
13259,2019-04-30,西水股份(600291.SH)逼近跌停领跌保险股 年报及一季报业绩大降 盈利能力下降,格隆汇
13260,2019-04-30,睿智投资｜中国太保 (2601 HK，买入) - 业绩大体符合预期，首年期交增速料将改善,招银国际
13261,2019-04-30,【异动股】保险板块下挫，西水股份(600291-CN)跌9.33%,财华社
13262,2019-04-30,中国太保一季度实现净利润54.8亿元 同比增长46.1%,中国网
13263,2019-04-30,中国太保(2601.HK)：业绩增长稳健，投资收益率提升，维持“审慎增持”评级，目标价10.65港元,格隆汇
13264,2019-04-30,大地期货—云南孟连天然橡胶“保险+期货”正式启动,CTA基金网
13265,2019-04-29,【中信证券非银】保险行业2019年一季报点评：更加重视阿尔法机会,非银观点
13266,2019-04-29,【申万宏源金融】中国人保一季报点评：财险市占率升至36.3%，寿险收获转型成效,大金融研究
13267,2019-04-29,一季度寿险数据：投资款飙涨 万能投连等卷土重来？,新浪
13268,2019-04-29,一季度产险数据：车险份额降低 28家公司保费负增长,新浪
13269,2019-04-29,投资收益拉动 五大上市险企一季度净利增超5成,北京商报网
13270,2019-04-29,野村：维持中国太保（02601）“买入”评级 目标价40.84港元,智通财经
13271,2019-04-29,权益投资拉动险企利润上升 三险企一季度实现净利润348.8亿元,每日经济新闻
13272,2019-04-29,金融：股指期货进一步松绑 荐5股,和讯
13273,2019-04-29,金融：券商受益创新推进与交易活跃 荐4股,和讯
13274,2019-04-29,大和：调低中国太保（02601）评级至“持有” 升目标价至34.5港元 投资评级恶化,智通财经
13275,2019-04-29,三大保险公司一季度净利润暴增，A股添柴加火,21世纪经济报道
13276,2019-04-29,主动调整产品结构，寿险新单负增长—中国太保2019年一季报点评【华创非银】,华创非银
13277,2019-04-29,财险“马太效应”凸显 寿险投资款占比快速提升,新浪
13278,2019-04-29,29日公司新闻聚焦： 格力电器拟派发90亿元现金红包,证券时报网
13279,2019-04-29,中泰证券：继续看好保险，券商一季报改善显著,证券时报网
13280,2019-04-29,"【安信非银第18期周报】金融改革循序渐进,关注板块配置窗口",新角度新金融
13281,2019-04-28,【华金证券晚间资讯（20190428）】,华金研究
13282,2019-04-28,【华泰金融沈娟团队】业绩符合预期，渠道结构保持优异—中国太保(601601)19Q1点评【证券研究报告】,华泰金融研究全新平台
13283,2019-04-28,【申万宏源金融】中国太保一季报点评：寿险新单期待后续发力，投资端改善推动净利高增,大金融研究
13284,2019-04-28,大股东继续增持，1季度财险表现抢眼--中国太保2019Q1季报点评【中泰金融 陆韵婷/戴志锋】,传统借贷vs新型金融
13285,2019-04-28,【国君非银刘欣琦团队】中国太保2019年1季报点评：权益回暖推动盈利高增，负债端有一定压力,欣琦看金融
13286,2019-04-28,美国公布排名前25保险公司 分类与我国大不相同,新浪
13287,2019-04-28,三大险企1季度盈利接近去年全年 投资收益大增是功臣,新浪
13288,2019-04-28,金融：券商一季报改善显著 荐5股,中泰证券
13289,2019-04-28,【方正非银】中国太保：无惧短期新单承压，投资端边际改善——2019一季报点评,欣赏金融
13290,2019-04-28,【方正非银】国泰君安：稳中求进，藏器待时——2019一季报点评,欣赏金融
13291,2019-04-28,【兴证金融 傅慧芳】保险一季度利润高速增长，券商需关注市场及成交额变化—非银周报（190422—190428）,兴证金融
13292,2019-04-28,EA门店模式将破“独一份”格局 阳光财险加入线下门店大战,北京商报网
13293,2019-04-28,"三大险企单季盈利已接近去年全年，投资收益大增是""功臣""",Wind
13294,2019-04-27,中国太保：一季度投资收益同比回升净利54.79亿 同比增长46%,财富动力网
13295,2019-04-27,外高桥一季度业绩超预期 逾10亿收购股东旗下资产,财富动力网
13296,2019-04-26,格隆汇港股聚焦(4.26)︱ 农行一季度净利润升4.28%至612.51亿元 佳源国际逾40亿进军安徽房地产市场,格隆汇
13297,2019-04-26,公告汇总：太平洋一季度净利同比增近67倍,网易
13298,2019-04-26,26日晚公告精选丨大智慧：实控人因涉嫌违规披露罪被拘留,21世纪经济报道
13299,2019-04-26,透视一升一降：太保一季度净利润同比增长46% 个险新单下降13%,第一财经
13300,2019-04-26,公告精选：宁德时代等一季度业绩大增；外高桥推进国际贸易示范区建设,e公司
13301,2019-04-26,中国太保一季度净利增46.1% 总资产破1.4万亿元,证券时报网
13302,2019-04-26,中国太保(601601.SH)一季度净利润升46.1%至54.79亿元,格隆汇
13303,2019-04-26,盈利难、控费难、管理难…… 健康险公司新秀发力互联网重疾险,每日经济新闻
13304,2019-04-26,中国太保：一季度实现净利54.79亿 同比增长46.1%,新浪
13305,2019-04-26,中国太保：第一季度净利润54.8亿元，同比增长46%,腾讯网
13306,2019-04-26,中国太保(02601.HK)一季度净利润54.79亿元 同比增长46.1%,格隆汇
13307,2019-04-26,中国太保第一季度净利润54.79亿元，同比增46.1%,Wind
13308,2019-04-26,【4月26日港股沽空统计丨中国再保险(1508.HK)今日沽空比例最高】,格隆汇
13309,2019-04-26,【方正非银】招商证券：投资引领经纪回暖，机构业务待修复——2019一季报点评,欣赏金融
13310,2019-04-26,【方正非银】海通证券：投资弹性增色，补充资本增强机构业务优势——2019一季报点评,欣赏金融
13311,2019-04-26,【方正非银】中国人寿：价值高增、投资加码，Q1业绩回暖——2019一季报点评,欣赏金融
13312,2019-04-26,格隆汇港股通5日资金流入流出排行榜 | 4月25日,格隆汇
13313,2019-04-26,保险服务类APP活跃度偏低 百万活跃用户应用仅6个,金融投资报
13314,2019-04-25,大摩：挑选于首季业绩期可“持有”中资股名单,格隆汇
13315,2019-04-25,金融：负债端平稳过渡 荐4股,和讯
13316,2019-04-25,金融：从社融底到经济底的积极传导正在发生 荐4股,和讯
13317,2019-04-25,金融：开启行业结构优化主旋律 荐2股,和讯
13318,2019-04-25,金融：加保险减券商 非银金融仍然低配,和讯
13319,2019-04-25,上市险企一季度保费增速企稳 利润有望增长,中证报
13320,2019-04-25,格隆汇港股通5日资金流入流出排行榜 | 4月24日,格隆汇
13321,2019-04-25,上市险企保费平稳增长 投资收益料提升,中证报
13322,2019-04-25,居民健康管理需求提升 险企竞相入局健康管理市场,新浪
13323,2019-04-24,"保险行业2018年年报综述:NBV增速纷纷转正,投资扰动利润增长",正点财经
13324,2019-04-24,A股早报2019年4月24日星期三,Wind
13325,2019-04-24,险企加速布局健康管理链条 突围同质化服务,e公司
13326,2019-04-24,险企发力“大健康”领域 中国太保推出首款健康互动保险计划,国际金融报
13327,2019-04-24,格隆汇港股通5日资金流入流出排行榜 | 4月23日,格隆汇
13328,2019-04-23,04月23日 36只股票封板 券商信托板块涨幅最大,每日经济新闻
13329,2019-04-23,“太保妙健康”全新亮相 中国太保构建“保险+健康管理”生态圈,陆家嘴金融网
13330,2019-04-23,股票型基金一季度仓位升至历史次高，增持最多的是这20股,澎湃新闻
13331,2019-04-23,国寿“廉颇未老”一季度保费增11.9% 甩开老对手平安人寿近800亿,21世纪经济报道
13332,2019-04-22,【华泰金融沈娟团队】金融仓位微降，把握改革驱动—偏股基金2019Q1金融股持仓分析【证券研究报告】,华泰金融研究全新平台
13333,2019-04-22,国联安基金：养老投资更应从容稳健,中证网
13334,2019-04-22,金融：保险投资端压力缓和 荐4股,和讯
13335,2019-04-22,五大险企各显神通一季度保费同比增长10%,圈中人
13336,2019-04-22,【中信建投非银】周报：券商改革催化剂持续兑现，保险板块迎配置窗口,中信建投非银金融研究
13337,2019-04-22,【华创非银】非银金融周观察：负债端持续修复，利率企稳，保险一季报有望超预期,华创非银
13338,2019-04-22,人身险有哪些乱象？为你划重点：4大类15种问题,21世纪经济报道
13339,2019-04-22,五大A股险企净利润普现大幅增长,经济导报
13340,2019-04-22,【研报精读】中国人寿（601628.SH）,联讯金融
13341,2019-04-22,3200点拉锯战酝酿变盘 从三大数据探寻多头主力新动向,证券日报
13342,2019-04-21,北上资金动向：上周净流出8.2亿元，净买入12股，大举抛售五粮液,腾讯网
13343,2019-04-21,【兴证金融 傅慧芳】上市险企保费有所回暖，注意把握券商投资节奏—非银周报（190415—190421）,兴证金融
13344,2019-04-21,商誉减值业绩再度“暴雷”！时隔两月，这家公司业绩亏损翻倍，股价跌停！ 资产异常,和讯
13345,2019-04-20,大盘创年内收盘新高 “潜伏”低估值品种抓板块轮动机会,大众证券报
13346,2019-04-20,格隆汇港股通5日资金流入流出排行榜 | 4月19日,格隆汇
13347,2019-04-20,格隆汇沽空预警榜 | 4月18日,格隆汇
13348,2019-04-19,【方正非银】新单、价值与投资共振，人身险逻辑验真—中国人寿业绩预增点评,欣赏金融
13349,2019-04-19,A股上市险企一季度原保费出炉:寿险增速改善 财险高开低走,中国网
13350,2019-04-19,04月19日 69只股票封板 煤炭采选板块涨幅最大,每日经济新闻
13351,2019-04-19,2018年寿险销售乱象整治收官 人保寿、国寿、阳光等十余家险企被通报,经济观察网
13352,2019-04-19,人身险治乱象打非通报：有险企通过自媒体炒作，曲解监管政策,澎湃新闻
13353,2019-04-19,上市公司高管薪酬大起底：方大特钢董事长3169万居榜首,经济观察网
13354,2019-04-19,震荡之中主力正酝酿阴谋,中财网
13355,2019-04-19,【申万宏源金融】保险：中国人寿2019年一季报预告点评,大金融研究
13356,2019-04-19,A股大金融车轮战：保险发力，中国人寿涨幅超4%！,21世纪经济报道
13357,2019-04-19,一季报远超预期 保险股有望延续估值提升态势,第一财经
13358,2019-04-19,【异动股】保险板块拉升，中国人寿(601628-CN)涨3.62%,财华社
13359,2019-04-19,巨丰热点：中国人寿业绩大增刺激股价走强 险资股跟风活跃,巨丰财经
13360,2019-04-19,大金融板块表现强势 保险指数涨1.49%,中证网
13361,2019-04-19,快讯：保险股早盘拉升走强 中国人寿领涨,新浪
13362,2019-04-19,人身险治乱打非收官：阳光人寿、人保寿险等被点名,新浪
13363,2019-04-19,多家产险公司车险占比下降 险企积极布局非车险市场,证券时报
13364,2019-04-19,人身险治乱 多家险企遭“点名”,北京商报网
13365,2019-04-18,保费边际改善，价值率有望显著提升——上市险企2019年3月保费数据点评,兴证金融
13366,2019-04-18,【中信建投非银】上市险企3月数据点评 ：NBV持续回暖，负债、投资共同支撑保险估值上行,中信建投非银金融研究
13367,2019-04-18,那些2500点成立的基金交出一季报 最高赚了41.16%,新浪
13368,2019-04-18,新三板险企2018不同命:众诚保险首盈利 永诚保险亏损创新高,中国网
13369,2019-04-18,原保费收入增长稳健，中国平安(02318.HK)如何撑起1.7万亿市值？,格隆汇
