,2021-12-31,行业动态|光伏玻璃价格Q4触底回升 明年下游组件放量或提振需求,财联社
1355,2020-08-05,光伏行业“望见终局”系列深度二：补贴拖欠有望解决 电站运营或价值重估,广发证券
1356,2020-08-04,光伏玻璃涨价硝烟：下游龙头锁定货源 还有厂商“未雨绸缪”建产线,每日经济新闻
1357,2020-08-04,玻璃期货价格三个月大涨45%，行业毛利率已近历史最好水平，这些概念股受益了,每日经济新闻
1358,2020-08-04,福莱特：2020年上半年净利润约4.61亿元，同比增加76.27%,每日经济新闻
1359,2020-08-04,福莱特：上半年净利润同比增长76%拟10派0.65元,格隆汇
1360,2020-08-04,福莱特(601865.SH)：上半年净利升76.27%至4.61亿元,格隆汇
1361,2020-08-04,福莱特：上半年净利润同比增长76.27%,Wind
1362,2020-08-04,A股收盘综述：上证指数微涨，创业板指跌逾1%,Wind
1363,2020-08-04,制造行业日报：《嘉兴市氢能产业示范城市实施方案》即将出台,新浪
1364,2020-07-31,金属日报：金属高位运行 需紧密关注市场情绪,新浪
1365,2020-07-30,福莱特(601865.SH)：控股股东姜瑾华解质1.26亿股,格隆汇
1366,2020-07-29,建材周报：二季度建材基金持仓占比下降到1.1％ 略低于标配水平,新浪
1367,2020-07-29,【每日晨报】0729丨石化丨20Q2公募基金持仓创新低，油价企稳+需求回升助力H2业绩改善,中国银河证券研究
1368,2020-07-28,电力设备及新能源行业7月行业洞察报告：基金Q2加仓新能源 电动车、光伏为主要方向,新浪
1369,2020-07-28,光伏行业重大事项点评：光伏玻璃供需趋紧 价格迎来上涨契机,新浪
1370,2020-07-28,电力电气设备 公用事业：6月水电利用小时复苏 基于高频数据预测7月发电量初值同比+3.4%,新浪
1371,2020-07-26,电气设备新能源行业周报：光伏全产业链涨价 电动车众多新车上市,新浪
1372,2020-07-26,电气设备行业周报：光伏行业进入高景气周期 特斯拉Q2业绩超预期,新浪
1373,2020-07-26,电力设备第31周周报：光伏产业链价格全面上涨 特斯拉连续4个季度盈利,新浪
1374,2020-07-26,电气设备行业周报：光伏迎高景气周期 造车新势力进入收获期,广发证券
1375,2020-07-26,电力设备与新能源行业周观察：MODEL3长续航版、ID.4等入选推荐目录 光伏产业链涨价氛围浓厚,新浪
1376,2020-07-24,【东吴电新】福莱特20Q3业绩点评：毛利率持续提升，产能加码龙头强者恒强,新兴产业汇
1377,2020-07-24,【东吴电新】2020福莱特年报预告点评：业绩预告超预期，双玻+大尺寸明年锦上添花,新兴产业汇
1378,2020-07-23,建材龙头股2020年二季度持仓分析：内外资机构部分方向分化,新浪
1379,2020-07-23,电气设备行业点评：站在景气拐点 再论估值提升,新浪
1380,2020-07-22,新能源设备：上半年风电业绩高增 下半年光伏需求明显改善,新浪
1381,2020-07-21,福莱特(601865.SH)：控股股东阮洪良解质1.39亿股,格隆汇
1382,2020-07-21,光伏深度报告：拐点明确 光伏板块有望迎来戴维斯双击,华安证券
1383,2020-07-21,解盘：大消费强势，数字货币、白酒、生物疫苗、特高压领涨,Wind
1384,2020-07-20,电力设备及新能源行业周报：央企光伏密集招开标 电网投资稳步修复,新浪
1385,2020-07-20,电力设备第30周周报：宁德时代定增落地 组件跌价趋势渐缓,新浪
1386,2020-07-20,电气设备行业周报：新能源车下乡打开市场 光伏需求改善带动产业回暖,国海证券
1387,2020-07-19,电气设备行业周报：电动车热管理赛道清晰 光伏组件报价止跌回升,新浪
1388,2020-07-18,玻璃、纯碱周报：玻璃需求预期主导 纯碱供给压力下降,新浪
1389,2020-07-17,福莱特(601865.SH)：控股股东阮洪良及阮泽云合计减持145万张福莱转债 减持股份,格隆汇
1390,2020-07-17,福莱特：控股股东及一致行动人合计减持福莱转债145万张 减持股份,Wind
1391,2020-07-16,2020年中国光伏玻璃行业市场分析：产能产量不断增长 市场呈现双寡头竞争格局,前瞻研究院
1392,2020-07-16,光伏系列报告之(三十四)：高功率组件迎来爆发 Q4大尺寸电池片供应偏紧,新浪
1393,2020-07-16,中小盘次新股科创板周报一百六十期：次新股指数上涨 国内绿色电池行业领先企业天能股份,新浪
1394,2020-07-16,新股首日 | 嘉兴燃气高开49%，一手赚2450港元,华盛证券
1395,2020-07-16,福莱特(601865)：A股定增募资金额上修 提升双玻加工能力 强化老产能竞争力,新浪
1396,2020-07-15,新能源行业2020年中期投资策略：平价新周期龙头强者恒强,新浪
1397,2020-07-14,快讯：福莱特跌停 报于20.53元,金融界
1398,2020-07-13,减持！福莱特：控股股东姜瑾华和阮泽云累计减持福莱转债145万张 减持股份,每日经济新闻
1399,2020-07-13,福莱特：控股股东及一致行动人减持公司10%A股可转债 可转债减持,Wind
1400,2020-07-13,福莱特(601865.SH)：控股股东及一致行动人累计减持10%福莱转债 减持股份,格隆汇
1401,2020-07-13,电力设备行业周报：6月新能源车销量环比增20% 光伏电池片价格微涨,新浪
1402,2020-07-12,电气设备行业周报：6月国内新能源车销量环比加速 关注风电中报行情,新浪
1403,2020-07-11,广州期货黑色系日评,新浪
1404,2020-07-10,光伏产业研究系列报告(8)：系统-双玻正当时 跟踪随风起 高效大时代,新浪
1405,2020-07-10,电力设备及新能源行业光伏产业链动态追踪：需求高确定性回暖 盈利趋势性改善,新浪
1406,2020-07-09,双玻组件专题：下一个产业Α 利好薄玻璃和POE,新浪
1407,2020-07-07,福莱特：控股股东阮洪良减持福莱转债145万张，占发行总量的10% 减持股份,每日经济新闻
1408,2020-07-07,福莱特(601865.SH)：控股股东减持福莱转债145万张 减持股份,格隆汇
1409,2020-07-07,福莱特：控股股东及一致行动人减持福莱转债145万张 减持股份,Wind
1410,2020-07-07,625家公司预告上半年业绩 28.80%报喜,证券时报
1411,2020-07-06,电力设备及新能源行业周报：电网统采密集公示 光伏料迎盈利修复,新浪
1412,2020-07-06,电力设备第28周周报：特斯拉6月销量创新高 供需偏紧硅料涨价,新浪
1413,2020-07-05,电气设备行业周报：多晶硅料价格开始反弹 欧洲6月新能源车销量恢复高增,新浪
1414,2020-07-05,电气设备行业周报：特斯拉销量超预期 未来多周期共振向上-行业周报,新浪
1415,2020-07-03,电新行业中期策略报告：电车与光伏方兴日盛 坚守龙头兼具成长价值,国海证券
1416,2020-07-03,【东吴电新】福莱特2020中报点评：光伏玻璃毛利率40%超预期，产能加码未来可期,新兴产业汇
1417,2020-07-03,35股获券商买入评级 城地股份目标涨幅达70.45%,Wind
1418,2020-07-03,年内新股开板速度分化加剧 注意连涨回调风险,新浪
1419,2020-07-02,电气设备行业深度报告：硅料供需展望及海外产能退出影响,新浪
1420,2020-07-02,电力设备及新能源行业6月行业洞察报告：光伏竞价项目超预期 新版双积分构筑长效机制,新浪
1421,2020-07-02,50股获券商买入评级 正邦科技目标涨幅达65.99%,Wind
1422,2020-07-02,【早安新时代】2020/07/02：今日关注联化科技、福莱特、中国中免,新时代证券研究
1423,2020-07-02,福莱特(601865)：1H20业绩预报符合预期 股权激励有助保持核心团队,新浪
1424,2020-07-01,【东吴电新】周策略：6月电动车销量超预期，多晶硅价格开涨,新兴产业汇
1425,2020-07-01,福莱特(601865)事件点评：业绩超预期 看好玻璃龙头优质格局,国海证券
1426,2020-07-01,36股获机构买入型评级 用友网络、福莱特关注度最高,证券时报网
1427,2020-07-01,36股今日获机构买入评级7股上涨空间超20%,证券时报网
1428,2020-07-01,聚焦中报行情！业绩预喜，这些股已异动,Wind
1429,2020-07-01,福莱特(601865.SH)控股股东及一致行动人减持10%福莱转债 减持股份,格隆汇
1430,2020-07-01,福莱特：控股股东及一致行动人减持公司10%A股可转债 可转债减持,Wind
1431,2020-07-01,国都证券研究所晨报,新浪
1432,2020-07-01,福莱特：目前并未涉足疫苗玻璃瓶领域,发布易
1433,2020-07-01,福莱特(601865)：中报预增符合预期 持续看好光伏玻璃竞争格局,新浪
1434,2020-07-01,西部证券：光伏性价比逐步凸显 长期增长确定性强,新浪
1435,2020-07-01,福莱特：业绩持续高增，扩产保障高成长性 【安信电新】,电新邓永康团队
1436,2020-07-01,【东吴晨报0702】【策略】【固收】【行业】汽车、电新【个股】中联重科、福莱特、天孚通信,东吴研究所
1437,2020-06-30,7月1日上市公司重要公告集锦：用友网络拟定增募资不超64.3亿元,证券日报
1438,2020-06-30,福莱特：上半年净利润预增61%到80%,e公司
1439,2020-06-30,福莱特：上半年净利润预计同比增60.92%-80.08%,新浪
1440,2020-06-30,福莱特：上半年净利润同比预增60.92%-80.08%,金融界
1441,2020-06-30,福莱特：上半年预计盈利4.2亿-4.7亿元，同比增长60.92%-80.08%,Wind
1442,2020-06-30,福莱特：新产线可以满足210大硅片对光伏玻璃的需求,北极星电力
1443,2020-06-30,[互动]福莱特：在光伏玻璃行业处于领先地位,全景网
1444,2020-06-30,福莱特：全球规模和技术领先的组件厂商基本均是公司客户,上证报
1445,2020-06-30,市场需求回暖 众光伏企业加速布局扩产,集邦新能源网
1446,2020-06-30,新股公告 | 天然气分销商嘉兴燃气(09908)6月30日-7月8日招股 引入福莱特玻璃等3名基石投资者,智通财经
1447,2020-06-30,A股早报2020年6月30日星期二,Wind
1448,2020-06-30,盘前有料丨支付巨头财务造假丑闻曝光，股价却飙升超150%；道指狂拉近600点，波音大涨14%…重要消息还有这些 欺诈造假,证券时报网
1449,2020-06-29,福莱特(601865.SH)2020年A股激励计划拟授予600万股限制性股票,格隆汇
1450,2020-06-29,机构现身35股，净买入中科创达9020万元、净卖出福莱特1.37亿元,第一财经
1451,2020-06-29,光伏产业迎来“涨声”响起！龙头股价频创新高！光伏竞价项目名单释出利好,格隆汇
1452,2020-06-29,机构今日买入这13股，抛售福莱特1.37亿元丨牛熊眼,第一财经
1453,2020-06-29,隆基股份和福莱特股价双创新高能源局光伏补贴竞价规模超预期,格隆汇
1454,2020-06-29,电源设备行业点评：光伏补贴竞价名单公布 向平价上网平稳过渡,新浪
1455,2020-06-29,光伏玻璃海外需求强劲 福莱特一季报净利润翻倍继续扩产,证券时报网
1456,2020-06-29,电气设备新能源行业周报：光伏竞价项目超预期 特斯拉Q2销量超预期,新浪
1457,2020-06-29,电气设备行业投资策略：把握光伏供需关系和技术变革 风电抢装看好上游零部件龙头,新浪
1458,2020-06-29,A股收盘综述：上证指数跌0.61%，券商股领跌,Wind
1459,2020-06-29,光伏竞价结果出炉，小伙伴闻风起舞,Wind
1460,2020-06-29,A股午盘综述：上证指数跌0.71%，券商股领跌,Wind
1461,2020-06-29,电力设备行业快报：光伏竞价项目落地 总规模26GW超预期,新浪
1462,2020-06-29,光伏板块持续冲高，京运通、福莱特涨停,Wind
1463,2020-06-29,福莱特涨5.43%，股价创历史新高,证券时报网
1464,2020-06-29,建材行业周报：淡季水泥价格承压 看好区域水泥龙头,新浪
1465,2020-06-29,电力电气设备、公用事业周报：现货煤价持稳 硅片、电池龙头7月报价不变 组件跌幅收窄,新浪
1466,2020-06-29,电力电气设备：2020光伏竞价名单出炉 26吉瓦与平均度电补贴3分符合预期,新浪
1467,2020-06-29,电力设备及新能源行业：超25GW竞价名单出炉 光伏全面切入旺季,新浪
1468,2020-06-28,电力设备第27周周报：风光5月装机环比改善 双积分新规考核要求提高,新浪
1469,2020-06-28,电气设备行业周报：光伏产业链价格映射需求景气 新能源车双积分修正案公布,新浪
1470,2020-06-28,光伏玻璃市场需求回暖 龙头企业纷纷扩产,产业经济新闻网
1471,2020-06-28,电力设备及新能源行业周报：两地同日颁布氢能规划 氢能发展大有可期,新浪
1472,2020-06-28,电新行业周报：光伏产品价格有望企稳 新能源车产业迈向高质量发展,新浪
1473,2020-06-24,中小盘次新股科创板周报一百五十七期：次新股指数下跌 关注国内智能物流系统领军企业瑞晟智能,新浪
1474,2020-06-24,光伏板块异动，福莱特冲击涨停,Wind
1475,2020-06-23,福莱特：控股股东及一致行动人合计减持福莱转债290万张 减持股份,每日经济新闻
1476,2020-06-23,福莱特：控股股东及一致行动人减持10%可转债,Wind
1477,2020-06-23,福莱特(601865.SH)：控股股东阮洪良累计减持10%福莱转债 减持股份,格隆汇
1478,2020-06-23,电力电气设备、公用事业：火电单月利用小时增速转正 新能源装机环比回升,新浪
1479,2020-06-23,公用事业 电力电气设备：再次发布能源工作指导意见 强调能源安全与能源清洁化发展,新浪
1480,2020-06-23,电力电气设备、公用事业观点聚焦：基于高频数据量化预测 6月全国发电量初值同比+7.0%,新浪
1481,2020-06-22,电力设备及新能源行业周报：电网投资修复超预期 加氢站标准征求意见,新浪
1482,2020-06-19,电气设备行业：光伏项目出台 申报量超预期,新浪
1483,2020-06-18,电气设备行业简评报告：靴子落地 光伏竞价项目申报规模符合预期,新浪
1484,2020-06-18,光伏玻璃市场复苏 福莱特投资14亿加码主业,工业新闻网
1485,2020-06-17,福莱特驶入扩产快车道 加速光伏玻璃行业洗牌,证券日报
1486,2020-06-17,减持！福莱特：控股股东姜瑾华减持福莱转债145万张 减持股份,每日经济新闻
1487,2020-06-17,福莱特：控股股东及一致行动人减持10%可转债,Wind
1488,2020-06-17,福莱特(601865.SH)：控股股东累计减持145万张福莱转债 减持股份,格隆汇
1489,2020-06-17,电力设备行业中期策略：消纳充足 平价成长,新浪
1490,2020-06-17,东北证券【新股】6月17日国盛智科、秦川物联、博汇股份等申购，福莱转债上市,东北证券金融世界
1491,2020-06-16,光伏玻璃龙头逆势扩产，加速行业分化,第一财经
1492,2020-06-16,福莱特再次扩产，上市一年扩产三次巩固龙头地位,集邦新能源网
1493,2020-06-15,福莱特(601865)：融资加速扩产 龙头成长加码,新浪
1494,2020-06-15,A股早报2020年6月15日星期一,Wind
1495,2020-06-15,福莱特(601865)：启动2020年A股定增 大窑炉再扩产支撑未来可持续发展,新浪
1496,2020-06-15,上市公司正负面新闻2020年6月15日星期一,Wind
1497,2020-06-14,[公司]福莱特：拟定增募资不超20亿元,全景网
1498,2020-06-14,晚间重要公告2020年6月14日星期日,Wind
1499,2020-06-14,福莱特拟定增募资20亿元 30%募资额用于补充流动资金,北京商报
1500,2020-06-14,福莱特(601865.SH)拟定增募资不超20亿元6亿元用于补充流动资金,格隆汇
1501,2020-06-14,福莱特：本次非公开发行股票募集资金总额不超过20亿元,Wind
1502,2020-06-14,福莱特：拟定增募资不超20亿元用于年产75万吨光伏组件盖板玻璃二期项目等,格隆汇
1503,2020-06-12,真香！700亿光伏龙头定增25亿，易方达、睿远等知名基金一起出手了！,中国基金报
1504,2020-06-12,电力电气设备观点聚焦：2H20光伏策略 平价元年已提前展开,新浪
1505,2020-06-09,中小盘次新股/科创板周报一百五十五期：次新股指数上涨 关注国内先进环保技术供应商路德环境,新浪
1506,2020-06-08,电气设备新能源行业周报：欧州电动车政策持续超预期 国内锂电中游排产逐步恢复,新浪
1507,2020-06-05,中小盘次新股科创板周报一百五十四期：次新股指数下跌 关注稀土永磁材料行业国内知名企业大地熊,新浪
1508,2020-06-04,板块轮动及基本面选股月报：盈利成长因子选股策略表现较好,渤海证券
1509,2020-06-02,平均6.89个 年内新股开板速度现分化,北京商报
1510,2020-06-02,福莱特：多名董监高及特定股东累计减持0.94%股份，完成减持计划 减持股份,Wind
1511,2020-06-02,福莱特(601865.SH)：董监高及特定股东已完成减持计划 共累计减持1833.6万股 拟减持股份,格隆汇
1512,2020-06-01,电气设备新能源行业周报：欧州电动车政策超预期 光伏扩产标准趋严,新浪
1513,2020-06-01,旗滨集团(601636)公司深度报告：百尺竿头 更进一步,新浪
1514,2020-05-29,光伏玻璃寡头垄断格局日趋明朗,中国能源网china5e
1515,2020-05-28,电力设备及新能源行业光伏产业链专题报告：“逆全球化”难撼中国光伏产业链优势地位,新浪
1516,2020-05-28,兑奖了！福莱特可转债中签号出炉,Wind
1517,2020-05-28,2020年光伏玻璃市场现状及竞争格局分析 双寡头局面已形成,前瞻研究院
1518,2020-05-27,东北证券【新股】5月27日浙江力诺、松井股份、燕麦科技等申购,东北证券金融世界
1519,2020-05-26,光伏玻璃领军企业，产能加码成长可期——福莱转债申购分析报告【华创固收|周冠南团队】,华创债券论坛
1520,2020-05-26,电气设备行业简评报告：消纳空间超预期 看好2020年光伏风电发展,新浪
1521,2020-05-26,福莱转债——成长性颇高的光伏玻璃龙头,债券池
1522,2020-05-26,福莱特：控股股东约1.39亿股股权质押,每日经济新闻
1523,2020-05-26,福莱特(601865)：老牌光伏玻璃龙头的二次腾飞,新浪
1524,2020-05-26,国盛固收杨业伟团队 | 光伏玻璃龙头，建议积极申购-福莱转债投资价值分析,微信
1525,2020-05-25,【华泰固收|转债】福莱转债：光伏也有颗“玻璃心”——可转债新券投资价值分析,华泰固收强债论坛
1526,2020-05-25,高管减持排行榜：8股减持额超亿元,证券时报网
1527,2020-05-25,电力设备及新能源行业周报：欧洲计划电动车政策 消纳扩容利好长期装机,新浪
1528,2020-05-25,福莱特(601865.SH)：控股股东阮洪良质押1.39亿股公司股份,格隆汇
1529,2020-05-25,上市公司正负面新闻2020年5月25日星期一,Wind
1530,2020-05-24,晚间重要公告2020年5月24日星期日,Wind
1531,2020-05-24,减持！福莱特：董监高减持公司股份约1040万股 减持股份,每日经济新闻
1532,2020-05-24,福莱特(601865.SH)拟公开发行14.50亿元可转债,格隆汇
1533,2020-05-24,福莱特(601865.SH)董监高近日集中竞价减持1040.16万股 减持股份,格隆汇
1534,2020-05-24,福莱特：魏叶忠等多人合计减持0.5334%公司股份 减持股份,Wind
1535,2020-05-24,今年光伏新增消纳有望达47GW，二季度新增装机料迎高峰,Wind
1536,2020-05-22,【兴证固收.转债】光伏玻璃制造优质公司 ——福莱转债投资价值分析,兴证固收研究
1537,2020-05-21,电力电气设备：光伏、风电新增消纳空间出炉 符合中金预期 略高于市场预期,新浪
1538,2020-05-20,高管减持排行榜：9股减持额超亿元,证券时报网
1539,2020-05-20,A股IPO年报业绩掘金榜：瓜分饕餮盛宴的六大真相,投资者网
1540,2020-05-19,140股遭高管减持 套现58.52亿元,证券时报网
1541,2020-05-19,4月电力数据：发用电增速转正 新能源装机同比提升,新浪
1542,2020-05-18,电力电气设备、公用事业周报：沿海日耗强势增长 光伏产品价格走势分化,新浪
1543,2020-05-18,可转债周报：年报过后 哪些转债蓄势待“发”？,新浪
1544,2020-05-14,高管减持排行榜：12股减持额超亿元,证券时报网
1545,2020-05-11,福莱特：郑永减持26万股 减持股份,Wind
1546,2020-05-11,福莱特：孙利忠减持12万股 减持股份,Wind
1547,2020-05-09,光伏系列报告（34）：高功率组件爆发，Q4大尺寸电池片供应偏紧,电新产业研究
1548,2020-05-07,福莱特：特定股东孙利忠累计减持10万股，减持数量过半 减持股份,Wind
1549,2020-04-28,港股异动丨信义光能和福莱特光伏玻璃双寡头联袂上涨,格隆汇
1550,2020-04-27,深度丨起底30家光伏企业一季度业绩：哪些企业二季度或现阻力,21世纪经济报道
1551,2020-04-27,福莱特：长坡厚雪 无惧波动,分析师
1552,2020-04-23,QFII最新操作路径曝光 新进10股清仓18股,投资快报
1553,2020-04-22,光伏玻璃量价齐升，福莱特玻璃（06865）成长加速,智通财经
1554,2020-04-22,一季度8股成QFII“新宠”,Wind
1555,2020-04-21,【新时代电新 开文明团队】福莱特：一季度业绩高增长，短期疫情影响不改光伏玻璃长期格局向好,新时代证券研究
1556,2020-04-21,福莱特Q1业绩略超预期 Q2疫情影响逐步显现,CITICS电新
1557,2020-04-21,受益光伏玻璃供不应求 福莱特首季净利2.15亿增97%,长江商报
1558,2020-04-20,福莱特玻璃（6865.HK）一季度净利超九成促股价大涨，光伏玻璃迎来高光时刻,Wind
1559,2020-04-20,4月20日早间上市公司重磅公告一览 多股一季度净利增速亮眼,巨丰财经
1560,2020-04-20,上市公司正负面新闻2020年4月20日星期一,Wind
1561,2020-04-19,福莱特一季度盈利增97%，去年盈利增76%不分红,资本邦
1562,2020-04-19,晚间重要公告2020年4月19日星期日,Wind
1563,2020-04-19,福莱特(601865.SH)一季度净利升97.01%至2.15亿元,格隆汇
1564,2020-04-19,福莱特(601865.SH)2019年净利升76.09%至7.17亿元,格隆汇
1565,2020-04-19,福莱特：一季度净利同比增长97%,第一财经
1566,2020-04-19,福莱特：2019年净利润同比增长76.09%,Wind
1567,2020-04-19,福莱特：一季度净利润同比增长97.01%,Wind
1568,2020-04-13,福莱特玻璃控股股东质押1.26亿股份,北极星电力
1569,2020-04-08,福莱特(601865.SH)：控股股东质押1.26亿股,格隆汇
1570,2020-04-08,“发债”、“定增”两不误，福莱特融资提速忙扩产,财华社
1571,2020-03-30,福莱特盈利大幅改善 受益光伏玻璃供不应求,北极星电力
1572,2020-03-29,海外疫情影响光伏企业扩产进程，装机量或下调15GW,腾讯网
1573,2020-03-27,福莱特（601865，06865.HK）：盈利大幅改善，受疫情影响有限,CITICS电新
1574,2020-03-27,福莱特：收入利润双创新高，资本助力发展提速,证券时报网
1575,2020-03-26,福莱特(601865.SH)业绩快报：2019年度净利润升76.09%至7.17亿元,格隆汇
1576,2020-03-23,福莱特玻璃(06865.HK)为子公司香港福莱特1.8亿美元银行贷款提供担保 大额借贷担保,格隆汇
1577,2020-03-20,光伏玻璃两大巨头业绩向好 新建产能受疫情影响延后,华夏时报
1578,2020-03-12,福莱特(601865.SH)：股东潘荣观减持完毕 累计减持64.2万股 减持股份,格隆汇
1579,2020-03-12,福莱特：特定股东潘荣观减持0.0329%公司股份 减持股份,Wind
1580,2020-03-11,六大券商周四看好的六大板块,证券之星
1581,2020-03-04,富时罗素宣布对富时中国A50指数等多个指数季度审核变更,Wind
1582,2020-02-27,北上资金本周240亿出逃，弃白马捡漏低估科技股,Wind
1583,2020-02-24,福莱特公开发行14.5亿元可转债获核准批复,金融界
1584,2020-02-24,福莱特(601865.SH)公开发行可转债申请获中国证监会核准,格隆汇
1585,2020-02-18,福莱特(601865.SH)：股东潘荣观减持完毕累计减持64.2万股 减持股份,格隆汇
1586,2020-02-17,节后多家公司重要股东发布减持计划,e公司
1587,2020-02-17,福莱特(601865.SH)：9名股东及董监高拟减持合计不超1909.8万股 拟减持股份,格隆汇
1588,2020-02-17,福莱特：多名股东及董监高拟合计减持不超0.98% 减持股份,Wind
1589,2020-02-17,大和：维持福莱特(6865.HK)买入评级产能延迟支撑玻璃价格,格隆汇
1590,2020-02-13,光伏板块井喷，终极抢装潮到了！更有第五次技术革 命，抢筹股名单,证券时报
1591,2020-02-10,福莱特：1.91亿股限售股17日解禁 解禁,格隆汇
1592,2020-02-10,福莱特：占总股本9.79%限售股将于2月17日上市流通 解禁,Wind
1593,2020-02-07,福莱特：业绩符合预期 光伏玻璃供给持续偏紧,财富动力网
1594,2020-01-31,同比增67%-79%！福莱特预计2019年实现归母净利润6.80-7.30亿元,集邦新能源网
1595,2020-01-23,福莱特预计2019年实现归母净利润同比增67%-79%,北极星电力
1596,2020-01-22,福莱特：预计2019年净利润同比增长67.08%-79.36%,Wind
1597,2020-01-22,福莱特：2019年预计实现归母净利润6.80亿—7.30亿元,发布易
1598,2020-01-14,光伏玻璃双寡头福莱特与信义的“三大优势”,集邦新能源网
1599,2020-01-12,【华泰建筑建材鲍荣富】建材周观点0112：坚守优质消费建材，水泥淡季不淡，短期关注业绩高增长标的,华泰建筑建材研究
1600,2020-01-09,证监会：福莱特等6家公司可转债事项获通过,Wind
1601,2020-01-09,福莱特(601865.SH)：发行可转债申请获证监会审核通过,格隆汇
1602,2020-01-07,股神罕见出击 两大主线迎来布局良机！,证券时报
1603,2020-01-07,股神罕见出击！巴菲特胃口很大，大举押注太阳能，概念股全线爆发，北上资金重仓3股,e公司
1604,2020-01-04,光伏系列报告之（三十一）：行业集中度继续提升，头部企业竞争力更强,电新产业研究
1605,2020-01-03,证监会：福莱特、立讯精密等6公司发行可转债事项1月9日上会,Wind
1606,2019-12-31,福莱特：行业高景气持续 扩产降本盈利向上,南方财经网
1607,2019-12-29,【华泰建筑建材鲍荣富】建材周观点1229：看好优质消费建材龙头和玻纤拐点机会，春季抢跑看水泥玻璃,华泰建筑建材研究
1608,2019-12-27,今年新股数量较2018年翻倍！柏楚电子每签获利8.8万成“最肉签”,格隆汇
1609,2019-12-24,『早安，新时代！』晨会早读2019/12/24:产成品周转天数高增之谜,新时代证券研究
1610,2019-12-23,福莱特：供需持续向好，光伏玻璃龙头迎来高光时刻,证券时报网
1611,2019-12-23,电新行业：光伏组件出口增长，分散式风电发展可期,格隆汇
1612,2019-12-22,【华泰建筑建材鲍荣富】建材周观点1222：坚守优质消费建材龙头，重视玻纤拐点机会,华泰建筑建材研究
1613,2019-12-16,福莱特(601865.SH)中期息拟10派0.27元 股权登记日12月20日,格隆汇
1614,2019-12-12,四大券商周五看好的六大板块,证券之星
1615,2019-12-08,【华泰建筑建材鲍荣富】建材周观点1208：水泥价格高位继续上行，中长期仍看好消费建材龙头,华泰建筑建材研究
1616,2019-12-05,光伏玻璃涨价，福莱特A股涨停H股大涨8%,富途证券
1617,2019-12-05,快讯：福莱特涨停 报于11.51元,金融界
1618,2019-12-05,福莱特：光伏玻璃赛道优质 公司持续盈利能力出色,东兴研究圈
1619,2019-12-03,28股获券商买入评级 阳光电源目标涨幅达65.25%,Wind
1620,2019-12-01,【华泰建筑建材鲍荣富】建材周观点1201：水泥涨幅收窄，中长期仍看好消费建材龙头,华泰建筑建材研究
1621,2019-12-01,【华泰建筑建材鲍荣富】福莱特动态点评：产能扩张周期，尽享景气向上趋势,华泰建筑建材研究
1622,2019-11-25,消费股高处不胜寒 超跌滞涨股有机会,投资快报
1623,2019-11-22,快讯：福莱特涨停 报于9.77元,金融界
1624,2019-11-06,福莱特：光伏玻璃龙头，积极扩产，业绩提速，势不可挡,证券时报网
1625,2019-11-05,【东吴电新】新能源19年报及20一季报总结：光伏总体高增龙头靓丽，风电零部件高增,新兴产业汇
1626,2019-11-05,【东吴电新】新能源行业三季报总结：景气提升，迎接旺季,新兴产业汇
1627,2019-10-31,三季度利润暴增75%，福莱特玻璃现金流却承压 运营能力下降,财华社
1628,2019-10-29,福莱特三季报点评:量价齐升高景气持续,证券之星
1629,2019-10-25,【东吴电新】福莱特年报&一季报点评：Q1毛利率创新高，产能加码未来可期,新兴产业汇
1630,2019-10-25,【东吴电新曾朵红团队】福莱特三季报点评：光伏玻璃量利齐升,新兴产业汇
1631,2019-10-25,福莱特：3Q盈利超预期 提振市场信心,红周刊
1632,2019-10-25,"福莱特2019Q3业绩点评:量价齐升,三季度业绩超预期",浙商证券
1633,2019-10-24,福莱特(601865.SH)前三季净利升75.08%至5.08亿元,格隆汇
1634,2019-10-22,"电力设备与新能源行业周报:9月工控略有复苏,光伏旺季有所延后",东吴证券
1635,2019-10-14,"电力设备与新能源行业周报:电动车销售依然平淡,泛在加快推进",东吴证券
1636,2019-10-14,"电力设备行业动态分析:装机量环比改善,泛在建设全面提速",安信证券
1637,2019-09-16,福莱特：公司光伏镀膜玻璃最新报价较上季度有上涨,Wind
1638,2019-09-16,福莱特：公司光伏镀膜玻璃最新报价较上季度有上涨,第一财经
1639,2019-09-10,光伏行业需求复苏信号显现 六只个股投资正当时,证券时报
1640,2019-09-10,中华人民共和国滁州海关行政处罚决定书【滁关违字〔2019〕1号】 其他违规处罚,合肥海关
1641,2019-09-10,福莱特（601865/06865.HK）：光伏玻璃龙头，迎来量价齐升,中信证券研究
1642,2019-09-05,光伏玻璃涨价深度点评：下半年需求向上拐点第一枪（新能源点评20）,中泰电新研究
1643,2019-08-29,福莱特：加速产能扩张 推进超薄光伏玻璃、双玻组件等技术革新,证券时报网
1644,2019-08-28,券商首次关注12股并给予买入评级（8月28日）,Wind
1645,2019-08-27,福莱特：光伏玻璃龙头地位稳固,证券时报网
1646,2019-08-27,【华泰建筑建材鲍荣富】福莱特19年中报点评：积极扩张确立龙头地位，静待行业景气度提升,华泰建筑建材研究
1647,2019-08-27,福莱特：产能扩张巩固龙头地位，光伏玻璃迎来量价齐升【安信电新】,电新邓永康团队
