,2021-12-31,化工行业2021年11月数据：国内化工行业运行指标跟踪,新浪
1910,2018-11-20,"石油化工行业IEA2018年10月月报点评:供给压力短期缓解,IEA维持今明两年需求增速预期",光大证券
1911,2018-11-19,华鲁恒升：公司部分生产装置停车检修,e公司
1912,2018-11-19,"化工行业周报:原油价格下跌,化工品多数回调",开源证券
1913,2018-11-18,化工：化工景气指数继续下降 荐4股,方正证券
1914,2018-11-14,14股获券商买入评级 思创医惠目标涨幅达89.75%,Wind
1915,2018-11-13,天风证券：华鲁恒升买入评级,天风证券
1916,2018-11-13,华鲁恒升：鼓励骨干人员与公司协同共赢 买入评级,中信建投
1917,2018-11-13,【化工】华鲁恒升：三季报略超市场预期，四季度有望量价齐升,天风研究
1918,2018-11-13,"华鲁恒升事件点评:公布第二期股权激励草案,考核难度适中、激励效果良好",东兴证券
1919,2018-11-12,"华鲁恒升:拟实施股权激励,利于长远发展",正点财经
1920,2018-11-12,"华鲁恒升:公布第二期股权激励草案,彰显长期发展信心",正点财经
1921,2018-11-12,申万宏源：华鲁恒升增持评级,申万宏源
1922,2018-11-12,华鲁恒升：拟实施第二期股票激励计划 完善公司长效激励机制,中金公司
1923,2018-11-12,"化工行业周报:原油价格下跌,化工品弱稳",开源证券
1924,2018-11-08,化工：盈利水平保持稳健 荐5股,安信证券
1925,2018-11-07,"尿素行业报告:行业盈利结构性调整,发展格局持续优化",国金证券
1926,2018-11-06,市场回暖机构看“多”，千股调涨青睐科技板块,Wind
1927,2018-11-06,"华鲁恒升:业绩符合预期,稳健一如既往,50万吨乙二醇如期投产",正点财经
1928,2018-11-05,化工：看好农化及纺织化学品及石化油服 荐4股,东兴证券
1929,2018-11-01,67亿资金净流入 场外资金密集关注十大股,证券之星
1930,2018-11-01,社保等三类机构持仓新动向：共同持有19只绩优白马股,证券日报
1931,2018-10-30,344股获券商买入评级：万科A目标涨幅达136.8%,Wind
1932,2018-10-30,15家以上机构齐荐106只个股 42家公司年报业绩预喜,证券日报
1933,2018-10-30,"华鲁恒升:Q3以量补价,持续看好公司长期发展",东北证券
1934,2018-10-30,"华鲁恒升三季报点评:整体盈利能力仍然强劲,油价走强公司煤化工成本优势有望凸显",联讯证券
1935,2018-10-30,"华鲁恒升:三季报业绩超预期,煤制乙二醇产能逐步释放,全年业绩有望超预期",申万宏源
1936,2018-10-29,化工：化工品淡稳 荐3股,开源证券
1937,2018-10-29,"华鲁恒升2018Q3点评:Q3业绩符合预期,50万吨乙二醇顺利投产",正点财经
1938,2018-10-29,342股获券商买入评级 巨星科技目标涨幅达102.86%,Wind
1939,2018-10-29,【化工】华鲁恒升：核心产品景气持续，业绩符合预期,中银国际证券研究
1940,2018-10-29,"华鲁恒升三季报点评:继续保持高盈利水平,煤制乙二醇项目投产",浙商证券
1941,2018-10-29,"华鲁恒升三季报业绩点评:净利润增近两倍,优质煤化工龙头未来可期",开源证券
1942,2018-10-26,山东华鲁恒升化工股份有限公司2018第三季度报告,证券时报
1943,2018-10-26,"华鲁恒升:业绩大涨,乙二醇投产利润增量可期",安信证券
1944,2018-10-25,华鲁恒升：前三季度净利25.35亿元 同比增近2倍,e公司
1945,2018-10-25,华鲁恒升：前三季度净利润同比增198.95%,Wind
1946,2018-10-24,化工：油价区间波动 荐6股,上海证券
1947,2018-10-22,业绩超预期公司成二级市场资金布局重点,证券日报
1948,2018-10-18,"华鲁恒升跟踪点评:尿素价创近六年新高和醋酸价环比大幅上涨,公司受益",东莞证券
1949,2018-10-17,华鲁恒升：第七届董事会2018年第1次临时会议决议公告,上交所
1950,2018-10-16,[优于大市评级]化工行业周报：锦纶、树脂、复合肥价格下跌,中财网
1951,2018-10-16,58只个股被机构集中看好 逾30亿元大单抢筹6只龙头股,证券日报
1952,2018-10-15,[增持评级]基础化工行业周报：醋酸、尿素强势上涨 化工品涨多跌少,中财网
1953,2018-10-15,[中性评级]化工行业周报：二级市场大跌 关注优质龙头,中财网
1954,2018-10-15,化工：TDI持续下跌 荐4股,东兴证券
1955,2018-10-15,[推荐评级]化工行业周报：三季报行情正当时 关注业绩高增长标的,中财网
1956,2018-10-15,[推荐评级]招商基础化工行业周报：液氯、磷矿石、尿素涨幅居前 TDI、丁二烯跌幅较大,中财网
1957,2018-10-15,化工行业周报：看好煤化工、农药行业景气,中财网
1958,2018-10-14,化工：关注油气及煤化工和农化板块优质标的 荐9股,国海证券
1959,2018-10-12,"华鲁恒升重大事项点评:乙二醇项目如期投产,油价中枢上行煤化工盈利能力持续增强",正点财经
1960,2018-10-11,A股早报2018年10月11日星期四,Wind
1961,2018-10-10,32股获券商买入评级 百洋股份目标涨幅达77.51%,Wind
1962,2018-10-09,尿素价格再次上涨，外部需求旺盛叠加产量下滑,Wind
1963,2018-10-09,华鲁恒升：乙二醇装置投产，煤化工产业链持续延伸,华泰证券
1964,2018-10-09,华鲁恒升：50万吨乙二醇项目投产 长期看好煤化工龙头成长空间,申万宏源
1965,2018-10-08,[快讯]华鲁恒升:50万吨/年乙二醇项目投产公告,中财网
1966,2018-10-08,华鲁恒升50万吨乙二醇试生产 加速进口替代,中证网
1967,2018-10-08,华鲁恒升：50万吨/年乙二醇项目生产装置打通全部流程,Wind
1968,2018-10-06,华鲁恒升股票分析:醋酸价格上涨，50万吨乙二醇有望近期投产,天风证券
1969,2018-09-28,华鲁恒升：醋酸价格上涨，50万吨乙二醇有望近期投产,财通证券
1970,2018-09-27,化工：布局业绩确定真成长 荐3股,上海证券
1971,2018-09-27,化工：油价继续上行 荐24股,申万宏源
1972,2018-09-27,华鲁恒升（600426）深度报告：从化肥到化工，打造煤化工平台,国信研究
1973,2018-09-26,化工：关注高增量、高技术的标的,方正证券
1974,2018-09-26,巨丰热点前瞻：关注市场三大机会,巨丰财经
1975,2018-09-25,华鲁恒升：9月21日融资余额为4.84亿元，较前一日骤降7.19%,Wind资讯
1976,2018-09-24,【方正化工】化工周报：化工景气指数连续第六周上涨，草铵膦、磷肥、复合肥价格上涨,靠谱化工股
1977,2018-09-24,化工：化工景气指数连续第六周上涨 荐7股,方正证券
1978,2018-09-20,21股获券商买入评级 深天马A目标涨幅达95.06%,Wind
1979,2018-09-20,"华鲁恒升:煤化工龙头企业,乙二醇助力成长",证券之星
1980,2018-09-18,"化工行业周报:尿素、PVA上涨,继续关注复苏初期及新材料子行业",上海证券
1981,2018-09-16,【方正化工】化工周报：化工景气指数连续第五周上涨，纯碱库存持续下降,靠谱化工股
1982,2018-09-16,化工：成本为王 强者恒强,广发证券
1983,2018-09-16,化工：化工景气指数连续第五周上涨 荐7股,方正证券
1984,2018-09-16,化工：尿素再破两千大关 荐3股,安信证券
1985,2018-09-15,【西南化工周观点】醋酸价格触底反弹，看好尿素价格上涨,微信
1986,2018-09-12,基础化工行业研究周报:关注季节性以及三季度业绩持续改善的机会,国金证券
1987,2018-09-11,9月11日A股龙虎榜揭秘，机构最青睐4股,Wind
1988,2018-09-11,华鲁恒升龙虎榜数据（9月11日）,Wind资讯
1989,2018-09-11,机构今日买入这5股 抛售华鲁恒升2.08亿元,第一财经
1990,2018-09-11,跌停板解密：三类个股连续重挫！（9月11日）,Wind
1991,2018-09-11,快讯：化工板块午后表现低迷 华鲁恒升逼近跌停,网易
1992,2018-09-11,化工板块午后表现低迷，利尔化学跌停,Wind
1993,2018-09-11,社保基金长期重仓股名单曝光，连续五年坚守24只个股,证券日报
1994,2018-09-11,社保基金长期重仓股名单曝光 连续五年坚守24只个股,证券日报
1995,2018-09-10,化工：涤纶维持强势 荐5股,开源证券
1996,2018-09-10,"化工行业周报:化工中报继续向好,三季度行业维持景气",证券之星
1997,2018-09-09,化工：联苯菊酯价格大幅上涨 荐4股,方正证券
1998,2018-09-09,化工：烧碱及粘胶短纤持续向上 荐3股,安信证券
1999,2018-09-08,【化工周观点】旺季效应显现，化工产品价格反弹,微信
2000,2018-09-06,一图读财报：华鲁恒升上半年净利润同比增长207.98%,中金在线
2001,2018-09-05,"化工行业周报:油价、PX上涨,继续关注高污染及新材料子行业",上海证券
2002,2018-09-02,【方正化工】化工周报：化工景气指数连续四周上涨，纯碱库存连续六周下降,靠谱化工股
2003,2018-08-28,[领先大市-A评级]基础化工行业周报：聚酯产业链持续走强 甲烷氯化物价格创五年新高,中财网
2004,2018-08-28,[推荐评级]基础化工行业周报：电石、三聚氰胺涨幅居前 碳酸锂、VD3跌幅较大,中财网
2005,2018-08-28,[推荐评级]民生化工行业周报：原油价格上涨 PTA产业链持续走高,中财网
2006,2018-08-28,[强于大市评级]化工行业周报：PTA、涤纶长丝继续涨价 聚合MDI、橡胶助剂价格下行,中财网
2007,2018-08-27,[增持评级]基础化工行业周报：需求逐渐进入旺季 制冷剂、煤化工价格上行,中财网
2008,2018-08-27,化工：磷肥景气上行 荐4股,东兴证券
2009,2018-08-27,化工行业周报：环保继续趋严 看好PTA-涤纶产业链高景气,中财网
2010,2018-08-27,[中性评级]化工行业周报：油价大涨 PTA、涤纶市场强势运行,中财网
2011,2018-08-27,业绩成长吸引投资者 社保基金与QFII同持56股,证券日报
2012,2018-08-27,业绩成长吸引机构投资者目光 社保基金与QFII同持56股,证券日报
2013,2018-08-23,[中性评级]化工行业周报：PTA产业链领涨 关注高污染及成长股,中财网
2014,2018-08-21,[中性评级]化工行业周报：BOPET价格创五年新高 聚酯产业链大涨,中财网
2015,2018-08-21,[推荐评级]招商基础化工行业周报：聚四氟乙烯、工业萘涨幅居前 R410A、VB12跌幅较大,中财网
2016,2018-08-21,[中性评级]化工行业周报：油价承压 涤纶市场价格继续强势,中财网
2017,2018-08-21,化工行业:弱势行情选择确定性 旺季将至掘金强势品种,中证网
2018,2018-08-21,[推荐评级]化工行业周报：出口情况良好、人民币汇率贬值支撑醋酸价格 环氧丙烷-聚醚多元醇产业链提价,中财网
2019,2018-08-20,[看好评级]东方证券化工行业周报,中财网
2020,2018-08-20,[推荐评级]化工行业周报：PTA价格再创新高 DMC、DMF价格上涨,中财网
2021,2018-08-20,[增持评级]基础化工行业周报：PA66供应紧张 价格持续走高,中财网
2022,2018-08-20,[强于大市评级]化工行业研究周报：聚酯产业链继续涨价 磷化行业有望复苏,中财网
2023,2018-08-20,海富通三只基金年内跌超20% 上半年权益产品规模缩水,中国经济网
2024,2018-08-19,【方正化工】化工周报：化工景气指数继续上涨，纯碱和涤纶长丝库存再下降,靠谱化工股
2025,2018-08-19,化工：纯碱和涤纶长丝库存再下降 荐4股,方正证券
2026,2018-08-18,781份中报逾七成报喜 三大财务指标掘金白马股,证券日报
2027,2018-08-17,[优于大市评级]化工行业周报：丙酮、C4液化气、二甲醚价格上涨 电池级碳酸锂、VB5、聚合MDI价格下跌,中财网
2028,2018-08-16,"华鲁恒升:优质煤化工龙头,业绩处于上升期",中证网
2029,2018-08-15,【投资策略|国信化工】基础化工行业8月份投资策略：公募持仓更集中，关注化纤产业链（20180813）,化工之诚
2030,2018-08-15,华鲁恒升:上半年业绩增长208% 乙二醇项目有望三季度试生产,群益证券
2031,2018-08-15,[买入评级]华鲁恒升(600426)中报点评：业绩符合预期 乙二醇投产提供新增长点,中财网
2032,2018-08-14,【东北化工胡双】华鲁恒升（600426）中报点评：主营产品价格大幅上涨，单季度业绩再创新高,东北证券研究所
2033,2018-08-14,"化工行业周报-dmf、甲醇涨幅居前,涤纶长丝产业链持续上行",浙商证券
2034,2018-08-14,"华鲁恒升:二季度业绩亮眼创历史新高,全球重返高油价公司有望长周期受益",联讯证券
2035,2018-08-14,"华鲁恒升:中报业绩靓丽,未来成长性突出",西南证券
2036,2018-08-14,"华鲁恒升:煤化工行业高景气,中报业绩超预期",上海证券
2037,2018-08-13,华鲁恒升等多家己二酸厂家今日上调挂牌价，涨幅200元/吨,Wind
2038,2018-08-13,"华鲁恒升中报点评:产品涨价推动业绩大增,煤化工龙头优势凸显",正点财经
2039,2018-08-13,[增持评级]基础化工行业周报：“2+26”城市大气新政策发布 煤化工、天然气受益,中财网
2040,2018-08-13,【财报点评|国信化工】华鲁恒升（600426）：“一头多线”显优势，上半年盈利大涨,化工之诚
2041,2018-08-13,[看好评级]基础化工行业周报：磷矿石限产价格持续高位 PTA高歌猛进,中财网
2042,2018-08-13,[中性评级]化工行业周报：化工品整体偏强甲醇上涨丙烯创年内新高,中财网
2043,2018-08-13,[推荐评级]民生化工周报：PTA-聚酯产业链价格再创四年新高,中财网
2044,2018-08-13,[增持评级]华鲁恒升(600426)中报点评：H1净利大增208% 醋酸等产品涨价带动业绩提升,中财网
2045,2018-08-13,化工板块中报业绩预增 机构继续增持（8月13日）,巨丰财经
2046,2018-08-13,[优于大市评级]华鲁恒升(600426)半年报点评：产品价格上涨 新建项目助力公司业绩持续增长,中财网
2047,2018-08-13,[推荐评级]招商基础化工行业周报：丙酮、二甲醚、苯酐涨幅居前 VB12、BDO跌幅较大,中财网
2048,2018-08-13,华鲁恒升（600426）2018年半年报点评：“一头多线”显优势，上半年盈利大涨,国信研究
2049,2018-08-13,【化工-袁善宸】华鲁恒升：乙二醇投产在即，园区获批未来增长可期,安信证券研究
2050,2018-08-13,13家化工企业中报业绩翻倍 华鲁恒升盈利能力创新高,证券日报
2051,2018-08-13,"华鲁恒升2018半年报点评:eps1.037元,静待乙二醇投产",光大证券
2052,2018-08-13,"华鲁恒升2018年中报点评:净利润同比增长2.08倍,价格上涨是主因",东莞证券
2053,2018-08-12,【方正化工】化工周报：化工景气指数转正，纯碱库存大幅下降,靠谱化工股
2054,2018-08-12,华鲁恒升：乙二醇投产盈利可期 买入评级,广发证券
2055,2018-08-12,[买入评级]华鲁恒升(600426)中报点评：中报业绩超预期 主要产品维持高景气 期待下半年50万吨乙二醇顺利投产,中财网
2056,2018-08-11,71家公司中报净利润同比翻番 13亿元大单抢筹6只绩优股,证券日报
2057,2018-08-11,两类以上机构共同持有34只个股 6公司被密集调研藏玄机,证券日报
2058,2018-08-10,[增持评级]华鲁恒升(600426)中报业绩点评：中报业绩超预期 高景气度大概率维持,中财网
2059,2018-08-10,[买入评级]华鲁恒升(600426)中报点评：抓住煤化工黄金时期下的龙头溢价,中财网
2060,2018-08-10,【方正化工】业绩高增长，后续增量可期——华鲁恒升半年报点评,靠谱化工股
2061,2018-08-10,[买入评级]华鲁恒升(600426)中报点评：二季度业绩实现大幅增长 充裕现金与优质绿色化工新材料项目保障持续成长,中财网
2062,2018-08-10,华鲁恒升（600426）半年报点评——业绩略超预期，Q3景气有望持续，园区认定开启新一轮成长,申万宏源研究
2063,2018-08-10,华鲁恒升：多种产品价格上涨 公司业绩大幅上涨,民生证券
2064,2018-08-10,[强烈推荐评级]华鲁恒升(600426)半年报点评：业绩高增长 后续增量可期,中财网
2065,2018-08-10,[强烈推荐评级]华鲁恒升(600426)中报点评：中报靓丽奠定全年高增长基调 乙二醇项目开启业绩新增长点,中财网
2066,2018-08-10,【浙商化工】华鲁恒升半年报点评：半年度业绩大幅增长，未来发展空间广阔,浙商证券研究所
2067,2018-08-10,【太平洋化工】华鲁恒升2018H1中报点评：优质煤化工龙头，业绩处于上升期,太平洋化工
2068,2018-08-10,"华鲁恒升中报业绩点评:毛利率大幅提升,优质煤化工龙头未来可期",开源证券
2069,2018-08-09,受益营收与毛利率提升 华鲁恒升中期净利同比增2.08倍,证券日报
2070,2018-08-09,华鲁恒升上半年净利增逾2倍 多家公司公布业绩,中金在线
2071,2018-08-09,华鲁恒升：上半年净利润同比增207.98%,Wind
2072,2018-08-09,华鲁恒升：上半年净利16.8亿 同比增逾2倍,e公司
2073,2018-08-09,[优于大市评级]化工行业周报：PTA、丁酮、聚酯切片价格上涨 VD3、环氧氯丙烷、丙烷价格下跌,中财网
2074,2018-08-09,[强于大市评级]煤炭行业专题报告：以史为鉴：技术成熟+油价高位 布局煤化工正当其时,中财网
2075,2018-08-07,"化工行业周报:PTA产业链领涨,继续关注周期主线中报行情",上海证券
2076,2018-08-06,"化工行业周报:油价承压下行,PTA、涤纶市场偏强运行",开源证券
2077,2018-08-05,化工：分散染料淡季首次提价 有机硅保持平稳,川财证券
2078,2018-08-01,[看好评级]基础化工行业周报：PTA行业有望迎来新一轮景气周期,中财网
2079,2018-08-01,[推荐评级]招商基础化工行业周报：TDI、PX、EDC涨幅居前 双氧水、聚四氟乙烯、VD3跌幅较大,中财网
2080,2018-07-31,[领先大市-A评级]基础化工行业周报：涤丝、PA66持续上行 聚合MDI、醋酸止跌回涨,中财网
2081,2018-07-31,[买入评级]华鲁恒升(600426)深度报告：一头多线、成本最低;白马标杆、成长不止,中财网
2082,2018-07-31,[强于大市评级]化工行业研究周报：PX和TDI涨价 万华上调8月聚合MDI价格,中财网
2083,2018-07-31,中石油单季净利创三年新高 油价上涨带来预增潮(附股),金融界
2084,2018-07-31,"化工行业周报:PX、聚MDI领涨,关注周期主线中报行情",上海证券
2085,2018-07-30,[推荐评级]化工行业周报：景气指数继续下行 推荐八大行业,中财网
2086,2018-07-30,[增持评级]基础化工行业周报：装置检修 聚合MDI、醋酸价格上涨,中财网
2087,2018-07-30,[增持评级]华泰研究石油化工/基础化工行业周报(第三十周),中财网
2088,2018-07-30,"化工行业周报:油价承压上行,涤纶市场偏强运行",开源证券
2089,2018-07-29,化工：景气指数继续下行 荐5股,方正证券
2090,2018-07-27,[强烈推荐-A评级]华鲁恒升(600426)公司简评报告：山东省第二批拟认定化工园区名单公司在列 未来持续发展的疑云散去,中财网
2091,2018-07-27,化工中期策略：把握业绩不放松,中财网
2092,2018-07-26,五大券商周五看好6板块46股,证券之星
2093,2018-07-26,[看好评级]选股系列思考之一：从资本开支角度掘金成长性周期股,中财网
2094,2018-07-26,[推荐评级]华鲁恒升(600426)公司动态：化工园区获得认定 醋酸价格止跌反弹,中财网
2095,2018-07-26,【化工】化工龙头众望不负，终入化工园区名录,中信证券研究
2096,2018-07-25,[优于大市评级]化工行业周报：TDI、丁二烯、棉短绒价格上涨 丙烷、丙烯酸丁酯、醋酸价格下跌,中财网
2097,2018-07-25,山东国企国资改革推进 四概念股将有望持续受益,证券时报
2098,2018-07-25,[中性评级]化工行业周报：TDI、聚MDI领涨 关注中报行情,中财网
2099,2018-07-25,华鲁恒升：7月24日融资余额为5.67亿元，较前一日骤降6.25%,Wind资讯
2100,2018-07-24,[看好评级]基础化工行业周报：萤石制冷剂产业链领涨 醋酸跌幅居前,中财网
2101,2018-07-24,[推荐评级]醋酸行业报告之八：环保督察回头看结束 需求回暖,中财网
2102,2018-07-24,基础化工行业周报：染料关注苏北复产情况 有机硅保持平稳,中财网
2103,2018-07-23,【方正化工】行业周报：吡虫啉价格上涨，推荐七大行业,靠谱化工股
2104,2018-07-23,[看好评级]东方证券石油化工行业周报20180722,中财网
2105,2018-07-23,[推荐评级]招商基础化工行业周报：TDI、聚苯乙烯涨幅居前 双氧水、DMF、醋酸跌幅较大,中财网
2106,2018-07-23,[增持评级]华泰证券石油化工/基础化工行业周报(第二十九周),中财网
2107,2018-07-23,[推荐评级]化工行业周报：如何寻找下半年的投资机会,中财网
2108,2018-07-23,[强于大市评级]化工行业研究周报：TDI和MDI涨价 关注陶氏装置不可抗力影响,中财网
2109,2018-07-22,【方正化工】行业周报：如何寻找下半年的投资机会,靠谱化工股
2110,2018-07-19,[中性评级]化工行业周报：油价回落、制冷剂涨价 关注中报行情,中财网
2111,2018-07-17,[推荐评级]化工行业周报：高效氯氟氰菊酯领涨农药产品 维生素价格普涨 国产LNG、DMF价格走高,中财网
2112,2018-07-17,57股获券商买入评级 当代明诚目标涨幅达133.12%,Wind
2113,2018-07-17,[优于大市评级]化工行业周报：DMF、VB5、VK3价格上涨 冰晶石、电解液(磷酸铁锂)、棉短绒价格下跌,中财网
2114,2018-07-17,"基础化工行业周报:制冷剂需求旺季到来行情向好,PA66、涤丝景气高企",安信证券
2115,2018-07-16,[推荐评级]招商基础化工行业周报：VB12、环氧氯丙烷、TDI涨幅居前 双氧水、浓硝酸、醋酸跌幅较大,中财网
2116,2018-07-16,[买入评级]华鲁恒升(600426)深度报告：煤化工集大成者 乙二醇助力公司新成长,中财网
2117,2018-07-16,[强于大市评级]煤炭行业2018年中报前瞻：动力煤好于炼焦煤 下游优于上游,中财网
2118,2018-07-16,[强于大市评级]化工行业研究周报：MDI和TDI涨价 巴斯夫百亿乙烯项目落户广东,中财网
2119,2018-07-16,基础化工行业周报：星火停产检修在即 有机硅或迎淡季提价,中财网
2120,2018-07-15,【方正化工】行业周报：吡虫啉价格上涨，推荐七大行业,靠谱化工股
2121,2018-07-15,[优于大市评级]石化行业数据周报20180714,中财网
2122,2018-07-13,[买入评级]华鲁恒升(600426)公司跟踪：中报业绩高增 煤化工龙头受益油价中枢抬升,中财网
2123,2018-07-11,[超配评级]基础化工行业2018中报业绩前瞻：供需趋于平衡 行业盈利持续改善,中财网
2124,2018-07-11,中报预喜股扎堆三行业，21股机构看涨60%,Wind
2125,2018-07-11,"基础化工行业2018年中期投资策略:产能周期底部,关注龙头成长",国信证券
2126,2018-07-10,7月战术反弹只会迟到不会落空！21股机构看涨60%,Wind
2127,2018-07-10,[买入评级]化工行业周报：化工景气指数转正 关注Q2业绩超预期以及人民币贬值出口受益标的,中财网
2128,2018-07-10,58股获券商买入评级，凯乐科技目标涨幅达108.53%,Wind
2129,2018-07-10,化工行业日报：埃萨石油完成炼油厂扩能改造项目,中财网
2130,2018-07-10,"化工行业周报:低品位磷矿石涨价,行业水温烧至85度",浙商证券
2131,2018-07-09,金盛金融：富时中国A50指数市场反弹正在酝酿,金投网
2132,2018-07-09,年内逾2百家沪市公司披露增持计划 6股真金,证券日报
2133,2018-07-09,【太平洋化工周报】密切关注贸易战进展，坚定看好产业龙头,太平洋化工
2134,2018-07-09,[买入评级]华鲁恒升(600426)半年度业绩预告点评：主导产品价格上涨扩大盈利 乙二醇新产能投产支撑业绩,中财网
2135,2018-07-09,45股获券商买入评级 万科A目标涨幅达141.71%,Wind
2136,2018-07-09,化工行业周报:行业淡季化工品整体偏弱,开源证券
2137,2018-07-08,[买入评级]华鲁恒升(600426)半年度业绩预告点评：半年度业绩超预期 全年业绩有望高增长,中财网
2138,2018-07-08,沪市公司上半年投资价值凸显 增持回购彰显信心,上交所
2139,2018-07-08,[强烈推荐评级]华鲁恒升(600426)点评：业绩持续超预期 后续增量带来成长空间,中财网
2140,2018-07-07,逾七成公司中报业绩预喜 三行业绩优股扎堆显“升”机,证券日报
2141,2018-07-06,业绩才是王道！7成公司预喜，5要素透露玄机……,Wind
2142,2018-07-06,[买入评级]华鲁恒升(600426)点评：上半年业绩预增两倍有余 二季度业绩创单季新高,中财网
2143,2018-07-06,[买入评级]华鲁恒升(600426)点评：中报超预期 油价上涨业绩弹性大,中财网
2144,2018-07-06,[增持评级]华鲁恒升(600426)公告点评：H1预增逾200% 煤化工前景向好,中财网
2145,2018-07-06,[买入评级]华鲁恒升(600426)动态点评：现代煤化工龙头 受益产品价差扩大 2018年上半年业绩预告超预期,中财网
2146,2018-07-06,[增持评级]华鲁恒升(600426)中报业绩预增点评：中报业绩超预期 煤化工龙头再上新台阶,中财网
2147,2018-07-06,[买入评级]华鲁恒升(600426)点评：二季度业绩实现大幅增长 绿色化工新材料等项目保障长期成长,中财网
2148,2018-07-06,[买入评级]华鲁恒升(600426)点评：业绩预告简评2018连续两季度业绩超预期 煤化工绝对龙头后续仍有高增长,中财网
2149,2018-07-06,[买入评级]华鲁恒升(600426)：主营产品涨多跌少 盈利大增 新产能投放助力未来成长,中财网
2150,2018-07-06,[推荐评级]醋酸行业报告之七：环保影响短期需求 长期向好逻辑不变,中财网
2151,2018-07-06,华鲁恒升：受益于醋酸价格上涨 二季度业绩大幅增长,民生证券
2152,2018-07-06,[强烈推荐评级]华鲁恒升(600426)中报预告点评：Q2单季度业绩创历史新高 乙二醇即将投产支撑成长,中财网
2153,2018-07-06,[推荐评级]华鲁恒升(600426)业绩预览：2Q业绩略超预期 重申推荐,中财网
2154,2018-07-06,华鲁恒升业绩加速增长 煤化工行业盈利性凸显(受益股),金融界
2155,2018-07-05,【太平洋化工】华鲁恒升2018H1业绩预增点评：主营产品涨多跌少，盈利大增，新产能投放助力未来成长,太平洋化工
2156,2018-07-05,7月6日利好消息：华鲁恒升半年报预增202%-211%,中证网
2157,2018-07-05,晚间重要公告2018年7月5日星期四,Wind
2158,2018-07-05,华鲁恒升预计上半年实现净利超16亿元 同比增逾2倍,中证网
2159,2018-07-05,华鲁恒升：2018年半年度业绩报告预告,上交所
2160,2018-07-05,华鲁恒升半年度业绩预增 净利润增长202%-211%,腾讯网
2161,2018-07-05,华鲁恒升：半年报净利预增逾2倍,Wind
2162,2018-07-05,大参考：百度Apollo自动驾驶巴士量产下线 将在多地开始使用,巨丰财经
2163,2018-07-05,"化工行业周报:油价上涨,氟化工、丙烯酸产品小幅上涨",上海证券
2164,2018-07-04,[看好评级]基础化工行业周报：18年下半年围绕油价、环保和需求三个维度优选周期子行业,中财网
2165,2018-07-03,[推荐评级]招商基础化工行业周报：VD3、R32、VB12涨幅居前 R125、苯胺、VA跌幅较大,中财网
2166,2018-07-02,[增持评级]基础化工行业周报：环保因素限制开工 萤石、制冷剂价格上涨,中财网
2167,2018-07-02,[推荐评级]化工行业周报：原油价格上行提振化工板块 继续关注中报行情和提价品种,中财网
2168,2018-07-02,[中性评级]化工行业周报：原油价格继续大涨 关注煤化工板块,中财网
2169,2018-07-02,[增持评级]石油化工行业点评：油价持续上行 长周期看好煤化工燃料乙醇,中财网
2170,2018-07-02,[推荐评级]化纤报告之一：纺服复苏 化纤迎来景气周期,中财网
2171,2018-07-02,[增持评级]美国要求盟友11月起对伊朗石油进口量降至零点评：原油市场的形势正在变严重,中财网
2172,2018-07-02,[强于大市评级]化工行业研究周报：功夫菊酯、丙烯酸及酯涨价 关注中化集团、中国化工合并,中财网
2173,2018-07-02,[增持评级]原油行业周报：高度重视未来原油价格上涨的风险 建议大力加仓石化化工,中财网
2174,2018-07-02,化工行业周报：国际油价大涨 环保持续趋严利好农药&染料,中财网
2175,2018-06-29,[推荐评级]基础化工行业2018年中期投资策略报告：环保升级供需改善 寻找确定性的投资机会,中财网
2176,2018-06-29,[标配评级]基础化工行业2018年下半年投资策略：周期龙头复苏延续 聚焦优质成长个股,中财网
2177,2018-06-29,[看好评级]化工行业2018半年度策略报告：围绕油价、环保和需求三个维度优选周期子行业,中财网
2178,2018-06-27,[增持评级]华泰证券基础化工/石油化工行业周报(第二十五周),中财网
2179,2018-06-27,[推荐评级]招商基础化工行业周报：VD3、焦炭涨幅居前 盐酸、VA、碳酸锂跌幅较大,中财网
2180,2018-06-27,[推荐评级]化工行业周报：草甘膦价格再次上涨 重点推荐六大行业,中财网
2181,2018-06-27,[推荐评级]化工行业周报：江苏印发沿海化工园区复产环保要求-菊酯产业链、磷矿石价格上扬 TDI价格回落,中财网
2182,2018-06-27,基础化工行业周报：行业步入淡季 关注低估值、强业绩个股,中财网
2183,2018-06-27,"化工行业周报:OPEC会议增产落地,环丙、制冷剂产品小幅上涨",上海证券
2184,2018-06-26,化工行业研究周报：制冷剂和PO上涨 关注江苏沿海化工园区整治方案,中财网
2185,2018-06-26,"基础化工行业:行业步入淡季化工品跌多涨少,检修推动环氧丙烷价格上涨",正点财经
2186,2018-06-26,[中性评级]化工行业周报：原油价格大涨 关注钛白粉提价,中财网
2187,2018-06-26,[买入评级]尿素行业跟踪：内外需求共同发力 尿素景气有望持续,中财网
2188,2018-06-26,【化工丨李永磊】华鲁恒升(600426)：未来三年行业景气向上煤化工龙头持续扩能,方正证券研究
2189,2018-06-26,"基础化工行业18年中报业绩前瞻:油价中枢上移,环保趋严,煤化工、大炼化、农药、染料等景气持续上行",申万宏源
2190,2018-06-26,"联讯石油化工行业:opec部长会议结束,全球有望重回高油价周期",联讯证券
