,2021-12-31,全年收益率超过50%，这4家券商金股组合赢了！2022年1月部分热门标的个股已现身,每日经济新闻
3191,2019-11-29,招商证券：回购61.3万股A股，总耗资1007.89万元,Wind
3192,2019-11-29,头号研报：非银金融——大盘走势的风向标,巨丰财经
3193,2019-11-29,【国信非银·深度】改革驱动转型：证券行业2020年投资策略,国信金融研究
3194,2019-11-27,招商证券：回购158.3万股股票，合计耗资约2607.5万元,Wind
3195,2019-11-26,招商证券(600999.SH)完成发行2019年度第十七期短期融资券(债券通),格隆汇
3196,2019-11-26,洞察|招商证券因反洗钱再遭央行处罚；年内子公司多项违规被港监会处罚两次，罚金达3200万港元 金融监管处罚,和讯
3197,2019-11-25,建设证券行业廉洁文化 打造资本市场良好发展生态,中证协
3198,2019-11-22,别人家的券商！又有股权激励 能赚多少？,中国基金报
3199,2019-11-22,招商证券：回购199.8万股A股，总耗资3261.5万元,Wind
3200,2019-11-20,招商证券今日再度回购225万股 耗资3676万元,e公司
3201,2019-11-20,科创类资管产品收益分化,上证报
3202,2019-11-19,【安信非银第45期周报】资本市场改革推进，关注低估值非银龙头,新角度新金融
3203,2019-11-18,招商证券(06099-HK)斥资2825.38万元人民币回购173.4万股A股,财华社
3204,2019-11-18,财经早报:H股全流通改革推开 央行坚决不搞大水漫灌,新浪
3205,2019-11-16,债券基金：利率债依旧占优 长久期债攀升,中投网
3206,2019-11-15,招商证券：回购约173.4万股股票，合计耗资约2825.4万元,Wind
3207,2019-11-15,招商证券(06099-HK)斥资2847.83万元人民币回购175万股A股,财华社
3208,2019-11-14,招商证券：回购约175万股股票，合计耗资约2847.8万元,Wind
3209,2019-11-14,招商证券(600999.SH)完成发行30亿元短期融资券(债券通),格隆汇
3210,2019-11-14,招商证券(06099-HK)斥资4010.95万元人民币回购245.99万股A股,财华社
3211,2019-11-14,备战重资产业务券商融资需求飙升，招商证券登顶“融资王”,Wind
3212,2019-11-14,备战重资产业务券商融资需求飙升 招商证券登顶“融资王”,21世纪经济报道
3213,2019-11-13,“魔咒”再现？招商证券明天要开策略会！创业板盘中大跌，真相是什么？,21财闻汇
3214,2019-11-13,招商证券：今日耗资4011万元回购246万股,第一财经
3215,2019-11-13,招商证券明天要开策略会！“魔咒”再现？三大股指先跌了，真相是什么？,中证报
3216,2019-11-13,招商证券：回购246万股股票，合计耗资约4011万元,Wind
3217,2019-11-13,招商证券(600999.SH)完成兑付2019年度第十期短期融资券(债券通),格隆汇
3218,2019-11-13,招商证券职工代表大会审议通过员工持股计划,中证网
3219,2019-11-13,招商证券(06099-HK)斥资2270.79万元人民币回购139.92万股A股,财华社
3220,2019-11-12,招商证券(600999.SH)截至11月12日累计耗资8712.02万元回购534.63万股A股,格隆汇
3221,2019-11-12,招商证券(06099-HK)斥资3258.14万元人民币回购200万股A股,财华社
3222,2019-11-11,招商证券(06099-HK)斥资3183.09万元人民币回购194.72万股A股,财华社
3223,2019-11-11,券商科创类资管产品密集设立 布局策略现分化,--
3224,2019-11-08,招商证券：以集中竞价交易方式回购A股股份近200万股 占公司总股本的0.0291%,中证网
3225,2019-11-08,招商证券：今日首次回购194.7万股 耗资3183万元,e公司
3226,2019-11-08,招商证券(600999.SH)首次回购194.72万股 涉资3183.09万元,格隆汇
3227,2019-11-08,招商证券：首次回购194万股，支付金额3183万元,Wind
3228,2019-11-07,券商10月业绩滑坡 中信证券仍月赚27亿！ 盈利能力下降,中证报
3229,2019-11-07,股海导航 11月7日沪深股市公告提示,新浪
3230,2019-11-06,招商证券：母公司10月份净利润3.52亿元,e公司
3231,2019-11-06,招商证券(06099.HK)10月母公司净利润增长218.7%至3.52亿元,格隆汇
3232,2019-11-04,招商证券拟通过配股募资不超过150亿元 主要用于子公司增资及多元化布局,中证网
3233,2019-11-04,招商证券修订150亿元配股预案,证券时报
3234,2019-11-03,从三季报看券业：光大入前十 自营业务利润主要来源,第一财经
3235,2019-10-31,36家上市券商三季报扫描：行业全线回暖马太效应显著,经济观察报
3236,2019-10-31,招商证券：H股配股申请获证监会核准,Wind
3237,2019-10-31,招商证券(600999.SH)：不超2.94亿股H股配股申请获中国证监会批复,格隆汇
3238,2019-10-29,上市券商三季度大丰收：12家净利翻倍，最多增长近13倍,Wind
3239,2019-10-29,招商证券(06099.HK)前三季度净利润升57.03%至48.24亿元,格隆汇
3240,2019-10-29,招商证券：前三季度净利润同比增57.03%,Wind
3241,2019-10-29,招商证券：前三季净利同比增长57%,第一财经
3242,2019-10-29,招商证券(600999.SH)前三季度净利润升57.03%至48.24亿元,格隆汇
3243,2019-10-23,9家领罚45家踩雷 券商债券业务合规警钟敲响,北京商报网
3244,2019-10-21,招商证券(600999.SH)2019年第八期短期融资券(债券通)完成兑付,格隆汇
3245,2019-10-18,上市券商前三季累计盈利逾733亿元,Wind
3246,2019-10-17,招商证券(06099.HK)10月29日举行董事会会议 考虑及批准前三季度业绩,格隆汇
3247,2019-10-16,【国君非银】招商证券(600999)事件点评：员工持股计划彰显信心，估值提升可期,欣琦看金融
3248,2019-10-16,招商证券推员工持股计划，覆盖1157名核心成员！享受这一福利的还有这些券商,券商中国
3249,2019-10-16,招商证券拟推员工持股计划 规模不超过8.08亿,中国经济网
3250,2019-10-16,违约风险浮现 长城动漫控股股东拉响股份质押预警 违约失信,北京商报
3251,2019-10-15,招商证券(06099.HK)拟提名高宏为董事候选人,格隆汇
3252,2019-10-15,招商证券(600999.SH)发布员工持股计划(草案) 上限8.08亿元,格隆汇
3253,2019-10-15,招商证券：拟筹划员工持股计划，参与对象认购金额合计不超8.08亿元,Wind
3254,2019-10-15,券商9月业绩分化：国元净利同比增16倍领跑，9家环比下滑 盈利能力下降,澎湃新闻
3255,2019-10-15,招商证券：9月业绩同比大涨，看好龙头受益资本市场改革,证券时报网
3256,2019-10-14,券商9月经营数据:6成净利过亿 机构称板块有上涨空间,中证报
3257,2019-10-14,招商证券(06099-HK)9月净利润跌12% 盈利能力下降,财华社
3258,2019-10-14,高澜股份两创始人20年兄弟情断：大股东欲逼走二股东 后者在新收购中使绊,挖贝网
3259,2019-10-14,招商证券(06099)9月净利同比减少约11.7%至2.9亿元 盈利能力下降,智通财经
3260,2019-10-14,招商证券(06099.HK)9月净利润2.9亿元 同比减少11.6% 盈利能力下降,格隆汇
3261,2019-10-14,招商证券(600999.SH)9月母公司净利降11.82%至2.896亿元 盈利能力下降,格隆汇
3262,2019-10-14,招商证券：母公司9月净利润2.9亿元,Wind
3263,2019-10-14,机构Fintech转型路线图逐渐清晰,--
3264,2019-10-11,【安信非银第2期周报】券商业绩高增持续看好，规范发展健康险利好龙头,新角度新金融
3265,2019-10-11,今年以来证券公司短融券计划发行超3000亿元，远超去年规模,Wind
3266,2019-09-26,券商股权质押旧疾难愈 谁最受伤？,新浪
3267,2019-09-25,招商证券(600999.SH)完成发行30亿元短期融资券,格隆汇
3268,2019-09-25,ST银亿(000981.SZ)：目前受托管理人正在确认“H6银亿05”和“H6银亿07”债券持有人的持仓比例和账户信息,格隆汇
3269,2019-09-23,上海证券交易所第九次会员大会决议,上交所
3270,2019-09-19,口子窖隐忧：核心大单品增长放缓 营收增速不及古井,新浪
3271,2019-09-11,"非银金融行业周报:降准释放流动性,市场活跃情绪继续发酵",爱建证券
3272,2019-09-10,中信证券和招商证券获批结售汇业务资格,中国发展网
3273,2019-09-09,招商证券：2019年第二次临时股东大会决议公告,上交所
3274,2019-09-09,招商证券(600999.SH)完成发行40亿元短期融资券(债券通),格隆汇
3275,2019-09-06,时隔近5年：券商结售汇资格扩容 透露怎样的信号？,国际金融报
3276,2019-09-06,招商证券：当年累计新增借款超过上年末净资产百分之二十 大额借贷担保,Wind
3277,2019-09-06,招商证券：当年累计新增借款累计新增借款占上年末净资产的26.34% 大额借贷担保,Wind
3278,2019-09-06,招商证券(06099.HK)累计新增借款超上年末净资产20% 大额借贷担保,格隆汇
3279,2019-09-06,外汇市场参与主体扩大三家券商获结售汇业务资格,证券时报
3280,2019-09-06,时隔四年半 券商结售汇业务再扩容,券商中国
3281,2019-09-05,招商证券(600999.SH)8月母公司净利3.73亿元 同比增长52.34%,格隆汇
3282,2019-09-05,招商证券(06099.HK)8月母公司净利润3.73亿元 同比增长52.34%,格隆汇
3283,2019-09-05,多家券商公布8月业绩，国泰君安受益大额分红款单月净利超17亿傲视群雄,Wind
3284,2019-09-05,中信证券、华泰证券、招商证券获结售汇业务试点资格,中证网
3285,2019-09-05,外管局：积极开展证券公司结售汇业务试点，促进非银行金融机构外汇业务健康发展,Wind
3286,2019-09-05,【华泰金融沈娟团队】降准释放流动性+政策持续支持，提振优质金融股—2019金融动态第36期【证券研究报告】,华泰金融研究全新平台
3287,2019-09-05,【中原非银张洋】招商证券(600999)2019年中报点评*自营显著改善，中报增速领先,中原证券研究所
3288,2019-09-04,[公司]招商证券：业绩翻倍 风控优异,全景网
3289,2019-09-03,[路演]招商证券：公司私募子公司已有多个项目有科创板上市计划,全景网
3290,2019-09-02,"月薪6万！中信证券又涨工资了，其他9大券商中却有7家""降薪""了，啥原因？",中国基金报
3291,2019-09-02,36家上市券商六项指标大排名！中信、海通、中信建投霸占投行三强,券商中国
3292,2019-09-02,"招商证券上半年付职工现金26亿 去年""最衰投行""反转",中国经济网
3293,2019-09-01,【山证非银】招商证券（600999.SH）：投资交易贡献业绩增长，托管外包稳居行业第一,山西证券研究所
3294,2019-09-01,新型烟草行业报告(四)：IQOS的MRTP申请通过FDA审核，新型烟草产业的重大突破,电新产业研究
3295,2019-08-31,招商证券(600999.SH)配股申请获中国证监会受理,格隆汇
3296,2019-08-30,招商证券(06099.HK)A股及H股供股方案获中国证监会受理,格隆汇
3297,2019-08-29,【中信建投非银】投资收益超去年全年，财富管理转型提速——招商证券2019年中报点评,中信建投非银金融研究
3298,2019-08-29,业绩高质量增长 招商证券上调三一国际目标价至5.41港元,证券日报
3299,2019-08-29,【华泰金融沈娟团队】投资增厚业绩，变革开局稳健—招商证券(600999)【证券研究报告】,华泰金融研究全新平台
3300,2019-08-29,【申万宏源金融】招商证券1H19中报点评：自营收入超去年全年，零售经纪市占率提升,大金融研究
3301,2019-08-29,"招商证券:自营改善,投行业绩有望释放",国信证券
3302,2019-08-28,招商证券(06099.HK)上半年净利润升93.89%至35.03亿元,格隆汇
3303,2019-08-28,招商证券：上半年净利35亿元 同比增长94%,e公司
3304,2019-08-28,招商证券：上半年净利润同比增93.89%,Wind
3305,2019-08-28,招商证券：上半年净利35亿元，同比增长93.89%,Wind
3306,2019-08-26,债券重大事件2019年8月26日星期一,Wind
3307,2019-08-26,招商证券：关注腾邦集团最新重大诉讼、仲裁情况 诉讼纠纷,Wind
3308,2019-08-26,招商证券：油运股有望在三季度提前启动,证券时报网
3309,2019-08-24,“科技投行”在行动 | 招商证券参与共建先进半导体和光电技术产业孵化平台,招证投行
3310,2019-08-21,招商证券(06099.HK)附属同意为其全资子公司提供不超60亿港元担保 大额借贷担保,格隆汇
3311,2019-08-19,招商证券(600999.SH)拟每10股A股派2.64元 股权登记日为8月26日,格隆汇
3312,2019-08-19,招商证券(06099.HK)A股拟派现金红利 每股0.264元(含税),格隆汇
3313,2019-08-19,[快讯]招商证券公布2018年年度分红实施方案,中财网
3314,2019-08-17,恒生系列指数“大换血”，渣打集团、招商证券等个股遭剔除,格隆汇
3315,2019-08-16,131家券商上半年业绩放榜，中信最能赚！这项业务已成为比拼实力关键,中证报
3316,2019-08-16,券商上半年表现131家排座次 8家自营赚超20亿竟有一家亏1000万 亏损,每日经济新闻
3317,2019-08-16,招商证券：康得新集团未履行已生效判决书，法院已立案执行 诉讼纠纷,Wind
3318,2019-08-16,招商证券短期融资券发行 总额为40亿元,挖贝网
3319,2019-08-15,高评级券商占比下降明显 长江和广发大降级大跌眼镜 投资评级恶化,证券市场周刊
3320,2019-08-15,二季度156家上市公司股东被券商起诉 有券商涉诉金额超4亿 诉讼纠纷,券商中国
3321,2019-08-14,招商证券(06099)获法院裁定优先受偿拍卖长城集团持有的长城影视及长城动漫股权收益 司法拍卖,智通财经
3322,2019-08-14,招商证券(06099.HK)8月28日举行董事会会议考虑及批准中期业绩及其刊发,格隆汇
3323,2019-08-14,招商证券：长城集团质押股票获准拍卖，公司优先受偿,Wind
3324,2019-08-13,香港证监会季报出炉，招商证券香港子公司等5家机构被罚 金融监管处罚,第一财经
3325,2019-08-08,招商证券今日大宗交易成交12.79万股，成交价15.68元折价1.07%,Wind
3326,2019-08-07,光大证券：关注招商证券两起诉讼收到民事判决书,Wind
3327,2019-08-07,25家上市券商7月业绩分化科创板投行收入成催化剂 盈利能力下降,证券时报
3328,2019-08-07,"大剧透！这些券商7月业绩大增""玄机""找到，竟是因为它？投行收入环比激增299%，为何这几家增幅更大",券商中国
3329,2019-08-06,招商证券短期融资券发行 总额为40亿元,挖贝网
3330,2019-08-06,招商证券(06099-HK)7月净利润4.21亿人民币,财华社
3331,2019-08-06,招商证券(06099.HK)7月份母公司净利润减少8.1%至4.21亿元 盈利能力下降,格隆汇
3332,2019-08-06,招商证券：7月实现净利润4.21亿元，6月净利3.78亿元,Wind
3333,2019-08-06,招商证券(600999.SH)7月母公司净利润4.21亿元 环比增长11.38%,格隆汇
3334,2019-08-06,招商证券(600999.SH)完成发行40亿元短期融资券,格隆汇
3335,2019-08-02,招商证券助力苏州银行成功在A股上市,招证投行
3336,2019-08-02,"非银金融行业动态跟踪报告:上市券商评级保持稳定,龙头优势仍然明显",万联证券
3337,2019-07-31,招商证券：法院判令康得集团支付融资款本金1亿元等,Wind
3338,2019-07-31,招商证券(06099.HK)：法院判令康得集团及一名客户分别向公司支付1亿元及4301万元本金及利息 诉讼纠纷,格隆汇
3339,2019-07-28,暴风集团遇“风暴” 近7万散户被卷入 券商曾高呼股价能到430元,凤凰网
3340,2019-07-27,最惨连降5级！券商最新分类评价结果来了：谁是最大赢家？,中国基金报
3341,2019-07-26,证监会公布2019年证券公司分类结果,Wind
3342,2019-07-24,招商证券短期融资券发行 总额为40亿元,挖贝网
3343,2019-07-23,龙大肉食股价高位闪崩后连日下跌，深圳游资今日逆势买入 连续下跌,第一财经
3344,2019-07-23,招商证券(600999.SH)完成发行40亿元短期融资券(债券通),格隆汇
3345,2019-07-22,【兴证金融】证券业2021年策略：手把涛头，顺势而上,兴证金融
3346,2019-07-21,【兴证金融 傅慧芳】券商配置占比略有下滑，持仓机构增多但规模缩小 ——基金2019Q2券商持仓分析,兴证金融
3347,2019-07-18,上半年投行IPO成绩单出炉：32家券商赚30.86亿承销费 中信证券赚钱能力第一,21世纪经济报道
3348,2019-07-17,金融：半年报+科创板+美联储降息三预期叠加分析,东莞证券
3349,2019-07-17,招商证券短期融资券发行 总额为40亿元,挖贝网
3350,2019-07-16,招商证券(600999)2019年第七期短期融资券(债券通)实际发行40亿元，票息2.69%。,中国金融信息网
3351,2019-07-16,招商证券(600999.SH)完成发行40亿元短期融资券(债券通),格隆汇
3352,2019-07-11,数周工作量1天完成人工智能正渗透券商各业务线,证券时报
3353,2019-07-10,上半年头部券商日赚约1.8亿 9家上市券商净利同比增长超100%,证券日报
3354,2019-07-09,券商6月份营业收入：国泰君安22.79亿，南京证券1.64亿,中金在线
3355,2019-07-09,上市券商6月集体翻身仗！3家净利环比翻10倍，半年业绩座次提前看,券商中国
3356,2019-07-08,招商证券(06099.HK)6月份母公司实现净利润3.78亿元 同比增长834.5%,格隆汇
3357,2019-07-08,招商证券：母公司6月净利润为3.78亿元,金融界
3358,2019-07-07,券商FOF热：业绩弱于大市好于公募 面临内外多重撕扯,新浪
3359,2019-07-03,券商已发债融资4000多亿，新融资工具加入，募资还要加速？,Wind
3360,2019-07-02,央行组合拳改善流动性:逾3000亿短融后 券商发金融债,国际金融报
3361,2019-07-02,券商发债“补血”突破4200亿元 半年总额接近去年全年七成,证券日报
3362,2019-07-01,招商证券(600999.SH)发行不超50亿元金融债券获中国人民银行行政许可,格隆汇
3363,2019-07-01,招商证券：获央行许可发行不超过50亿元金融债券,Wind
3364,2019-06-30,券业放大榜！131 家券商上半年业绩排名揭晓，最赚钱的是这 10 家,券商中国
3365,2019-06-28,招商证券(06099.HK)将于8月27日派末期息每10股2.64元,格隆汇
3366,2019-06-28,东海证券因管控不到位吃监管函 资管计划也出问题,新浪
3367,2019-06-25,中国证监会机构部对招商证券(600999.SH)申请发行金融债券无异议,格隆汇
3368,2019-06-25,国泰君安、招商证券：证监会对公司申请发行金融债券无异议,e公司
3369,2019-06-24,招商证券(600999.SH)完成发行30亿元短期融资券,格隆汇
3370,2019-06-24,中信建投、招商证券获央行调整待偿还短期融资券余额上限,Wind
3371,2019-06-19,券商行业2018年度经营座次出炉：中信证券拿下14项第一,澎湃新闻
3372,2019-06-19,2018年度证券公司经营业绩排名出炉 中信证券盈利居首,中证网
3373,2019-06-18,股票质押惹得祸：招商证券告长城集团 追讨近8000万,新浪
3374,2019-06-18,长城影视股权质押违约 被招商证券起诉 股票质押异常,中金在线
3375,2019-06-18,招商证券：涉及诉讼 诉讼纠纷,Wind
3376,2019-06-18,【安信非银第24期周报】金融改革预期兑现，流动性回暖关注龙头券商,新角度新金融
3377,2019-06-14,小场景应用成效显现 券商发力精准营销,证券时报
3378,2019-06-13,招商证券短期融资券发行 总额为20亿元,挖贝网
3379,2019-06-06,招商证券(06099.HK)5月份母公司净利润跌20.34%至2.76亿元 盈利能力下降,格隆汇
3380,2019-06-06,招商证券：母公司5月份净利2.76亿元,e公司
3381,2019-06-04,两张罚单合计3200万港元 招商证券香港1个季度白忙了 其他违规处罚,华夏时报
3382,2019-06-03,招商证券(06099.HK)提名王文为董事候选人,格隆汇
3383,2019-06-03,招商证券：董事辞职 董监高成员变化,Wind
3384,2019-06-03,招商证券一周内两度受罚 回购配股同时进行惹质疑 其他违规处罚,中国网
3385,2019-06-03,招商证券3天“吃”3200万罚单 约800次挪用客户资金 其他违规处罚,每日经济新闻
3386,2019-06-01,近800次违规将资金由客户账户转出 最高涉3.08亿港元 招商证券全资子公司遭罚 其他违规处罚,经济观察网
3387,2019-06-01,招商证券香港连续被罚3200万内幕 其他违规处罚,中国经营报
3388,2019-05-31,海量数据(603138.SH)：陈志敏质押的504万股延期回购,格隆汇
3389,2019-05-31,招商证券香港子公司连罚3200万 境外合规能力如何提升？,中金在线
3390,2019-05-31,招商证券香港放飞自我：挪用客户资金800次用于放贷、开支,时代周报
3391,2019-05-31,招商证券(06099)：招证香港被港证监罚款500万港元 其他违规处罚,智通财经
3392,2019-05-31,招商证券四天两遭香港证监会处罚 连闯红灯遭罚3200万 其他违规处罚,中国经济网
3393,2019-05-30,招商证券(香港)一周内两次被罚 这回是因错误处理客户款项 其他违规处罚,中新经纬
3394,2019-05-30,香港证监局对内资券商发力！ 招商证券本月领两张罚单 其他违规处罚,全景网
3395,2019-05-30,招商证券香港因错误处理客户款项被香港证监会谴责及罚款500万元 其他违规处罚,Wind
3396,2019-05-30,国信证券“召回”老员工：券商经纪业务触角价值再发现 产品问题,21世纪经济报道
3397,2019-05-29,招商证券香港子公司审查失职被罚2700万港元 香港中资券商今年来被罚近4600万元 其他违规处罚,长江商报
3398,2019-05-28,招商证券(06099.HK)子公司被香港证监会采取纪律行动,格隆汇
3399,2019-05-28,招商证券：子公司被香港证监会罚款2700万港币 其他违规处罚,Wind
3400,2019-05-28,招商证券香港子公司被罚2700万，事起11年前中金再生IPO造假,第一财经
3401,2019-05-28,独家|招商香港因失职被罚2700万港币瑞银被罚2.7亿港币招商证券认罚 其他违规处罚,中国经营网
3402,2019-05-28,受累中金再生 招商证券香港子公司被处罚2700万元 其他违规处罚,资本邦
3403,2019-05-28,未履保荐人尽调职责 招商证券香港被罚2700万港元 其他违规处罚,北京商报网
3404,2019-05-27,招商证券香港被谴责：未履行保荐人责任，被罚2700万港元 其他违规处罚,澎湃新闻
3405,2019-05-27,本周273亿市值限售股解禁，环比减少42.94% 解禁,Wind
3406,2019-05-26,下周500亿市值解禁股来袭！包钢股份解禁市值最大 解禁,全景网
3407,2019-05-26,下周股市四大看点水皮:6.28是节点,中财网
3408,2019-05-24,下周解禁规模减至256亿元 解禁,大众证券报
3409,2019-05-23,白酒企业淡季集体玩起“俄罗斯方块”,金陵晚报
3410,2019-05-19,招商证券(06099-CN)发行2019年第一期公司债券 年利率3.59%,财华社
3411,2019-05-17,招商证券(600999.SH)配股事宜获得国务院国资委批复,格隆汇
3412,2019-05-17,招商证券：配股获国务院国资委原则同意,Wind
3413,2019-05-17,招商证券：2019年累计新增借款超上年末净资产的20% 大额借贷担保,Wind
3414,2019-05-16,[快讯]招商证券81530万限售股5月27日解禁 解禁,中财网
3415,2019-05-16,招商证券：8.15亿股限售股5月27日上市流通 解禁,Wind
3416,2019-05-16,获证监会无异议函 多家券商拟今启国债期货做市交易,中证报
3417,2019-05-16,首期参与“投资者教育进百校”活动证券公司的名单,中证协
3418,2019-05-15,券商股“底气”揭秘：8月业绩大丰收，15家公司净利翻倍，还有刚出炉的利好加持,中证报
3419,2019-05-13,招商证券(600999.SH):证监会对公司开展国债期货做市业务无异议,格隆汇
3420,2019-05-11,【华泰金融沈娟团队】迎接新周期，转型破局时—证券行业2019年中期投资策略【证券研究报告】,华泰金融研究全新平台
3421,2019-05-10,首批国债期货做市商定了！招商华泰中信东方等八券商拿下资格，下周四启动做市交易,中国基金报
3422,2019-05-10,招商证券(06099.HK)累计新增借款超上年末净资产20% 大额借贷担保,格隆汇
3423,2019-05-10,招商证券(06099.HK)4月末累计新增借款超过上年末净资产20% 大额借贷担保,格隆汇
3424,2019-05-09,招商证券4月实现营收10.38亿元 净利润4.35亿元,证券时报网
3425,2019-05-09,招商证券：4月净利润4.35亿元，3月净利为6.96亿元,Wind
3426,2019-05-09,招商证券(06099.HK)4月份母公司净利润升96.43%至4.35亿元,格隆汇
3427,2019-05-07,【招商证券·房地产】万科A——业绩稳健增长，预收锁定性提高,降噪房地产
3428,2019-05-06,招商证券低开低走重挫5.13%报16.63元 成交1.03亿元,腾讯网
3429,2019-04-30,大出意料！业绩出众全靠自营了！35家A股券商净利大增近九成，自营收入猛增146%是大头，看一季度全排名,券商中国
3430,2019-04-29,一季度A股保证金猛增约五成，创15年末以来新高,腾讯网
3431,2019-04-28,招商证券(600999)：公司业绩增长的核心来自金融资产浮盈,东方证券
3432,2019-04-28,招商证券一季度净利21.3亿同比增长95% 现金流量净额229亿,挖贝网
3433,2019-04-27,果然牛市买券商！ 这8家一个季度业绩顶去年一年多（名单）,中国基金报
3434,2019-04-26,17家券商业绩出炉，谁人欢喜谁人忧？丨亿欧观点,极客网
3435,2019-04-26,【中信建投非银】招商证券2019年一季报点评：一季度净利润同比+95%，风险防范与机制优化并举,中信建投非银金融研究
3436,2019-04-26,【方正非银】招商证券：投资引领经纪回暖，机构业务待修复——2019一季报点评,欣赏金融
3437,2019-04-26,开个好头！6券商一季度净利超去年全年！海通赚38亿暂拔头筹，招商自营收入大涨19倍，各条线看点十足,券商中国
3438,2019-04-26,公告点题｜4月25日这些公告有看头,第一财经
3439,2019-04-25,【申万宏源金融】招商证券一季报点评：子公司投资收益超预期，未来投行业务空间可期,大金融研究
3440,2019-04-25,招商证券(06099)一季度归母净利增94.82%至21.27亿元,智通财经
3441,2019-04-25,招商证券：业绩表现超预期 净利润率与ROE大幅回升,证券时报网
3442,2019-04-25,招商证券将为格力电器国有股份转让提供券商服务,Wind
3443,2019-04-25,招商证券(600999.SH)一季度净利润升94.82%至21.27亿元,格隆汇
3444,2019-04-25,招商证券：一季度净利润同比增94.82%,Wind
3445,2019-04-25,招商证券：一季度净利21.27亿元 同比增94.82%,e公司
3446,2019-04-23,3000点券商“补弹药”：备战科创板与海外业务,21世纪经济报道
3447,2019-04-22,逆势扩张逆势招聘 去年券商日子到底过得怎么样？,新京报
3448,2019-04-22,金融：27家券商2019年2月净利润同比涨幅超100％ 荐5股,和讯
3449,2019-04-20,招商证券短期融资券发行 总额为20亿元,挖贝网
3450,2019-04-17,牛市来了，券商急筹千亿资金补血,Wind
3451,2019-04-17,上市公司配股融资之风渐起 火热背后原因何在,第一财经
3452,2019-04-15,视觉中国市值两天蒸发37亿 曾被32家券商评级130次 连续下跌,国际金融报
3453,2019-04-15,[快讯]天创时尚:首次公开发行募投项目结项并将节余募集资金永久补充流动资金,中财网
3454,2019-04-12,券商高管薪酬哪家强？ 中信证券“刷屏”,第一财经
3455,2019-04-11,招商证券(06099.HK)将于4月25日举行董事会会议以审议批准一季度业绩,格隆汇
3456,2019-04-11,券业正进行这样一场人才大战！去年行业流失逾11000人，这些条线却大力扩张,券商中国
3457,2019-04-10,券商年内发债融资 超1600亿元,证券日报
3458,2019-04-09,A股头条之上市公司公告精选（4.10）,金融界
3459,2019-04-09,股市反弹19家券商3月业绩亮眼，华泰赚15.76亿居首,Wind
3460,2019-04-09,周二上市公司晚间重要公告（更新中）,金融界
3461,2019-04-09,股价未大涨，基本面正改善，这一行业即将爆发？,和讯
3462,2019-04-09,招商证券(06099.HK)3月份母公司净利润升145.3%至6.96亿元,格隆汇
3463,2019-04-09,招商证券：3月营业收入14.9亿元 净盈利6.96亿元,金融界
3464,2019-04-09,招商证券：母公司3月份净利6.96亿元 环比增48%,e公司
3465,2019-04-09,招商证券：母公司3月净利润6.96亿元,Wind
3466,2019-04-09,谁能连续十年归母净利超10亿？ 独家解密A股白金俱乐部成员,投资时报
3467,2019-04-08,券商投资路线图曝光本周股市三大猜想及应对策略,中财网
3468,2019-04-08,券商股笑纳“牛市” 年报揭示买入底气,第一财经
3469,2019-04-07,【华泰金融沈娟团队】改革持续升温，看好金融股正反馈效应—2019金融动态第14期【证券研究报告】,华泰金融研究全新平台
3470,2019-04-03,27家券商去年业绩太“丧” 工行全赚回来只需70天,中新经纬
3471,2019-04-03,业绩下滑不碍分红回报 5家券商分红额度占净利润五成以上 盈利能力下降,证券日报
3472,2019-04-02,券商“A+H”阵营添新兵 两地因何股价悬殊,第一财经日报
3473,2019-04-02,净资产受损 券商再融资窗口料开启,中证报
3474,2019-04-01,18家上市券商去年实现净利463亿元 TOP5座次率先定局,证券日报
3475,2019-03-31,头部券商排位大变动 光大证券净利下滑近100% 盈利能力下降,新华网
3476,2019-03-30,重磅出炉！2018公募基金股票分仓排名来了：中信证券4亿收入却丢冠，新科冠军竟然是TA！（完全名单）,中国基金报
3477,2019-03-29,【华泰金融沈娟团队】经纪及投行承压，持续稳健经营—招商证券(600999)【证券研究报告】,华泰金融研究全新平台
3478,2019-03-29,招商证券去年净利同比下滑超两成 经纪、投行与自营业务缩水 盈利能力下降,经济观察网
3479,2019-03-29,上交所发布《关于2月21日-3月20日上证50ETF期权主做市商评价公告》,Wind
3480,2019-03-29,招商证券去年多种工具募资779亿 6位高管年薪超300万,中国经济网
3481,2019-03-29,美银美林：升招商证券(06099.HK)目标价至11.8港元 评级“买入”,格隆汇
3482,2019-03-29,【申万宏源金融】招商证券年报点评：业绩优于行业，业务结构优化,大金融研究
3483,2019-03-29,25家基金去年净赚110亿！“10亿俱乐部”公司增至5家，最赚钱的竟是Ta！,中国基金报
3484,2019-03-28,招商证券(600999.SH)2018年净利润降23.52%至44.25亿元 拟10派2.64元 盈利能力下降,格隆汇
3485,2019-03-28,招商证券全年净利润44.2亿元 市场预估42.7亿元,新浪
3486,2019-03-28,招商证券：2018年度净利润同比下降23.52%，拟10派2.64元,Wind
3487,2019-03-28,招商证券：2018年净利44.25亿元 同比降24%,e公司
3488,2019-03-27,氢燃料电池应用直接催化，这个有色小品种19-20年需求翻4倍，眼下产能却收缩严重，A股稀缺标的龙头并龙头或拿下全球最大矿区【3.28必看研报】,和讯
3489,2019-03-26,热点切换 军工板块逆市大涨,金融投资报
3490,2019-03-22,官宣！6家券商保荐科创板项目获首批受理,Wind
