,2021-12-31,罚没720万元，半年负债增29%！粤开证券定增前路如何？ 偿债能力下降,投资时报
1320,2020-05-01,杭州银行去年净利润66.02亿元,金融时报
1321,2020-04-30,杭州银行2019年营收净利保持两位数增长，资产规模突破万亿大关,零壹财经
1322,2020-04-30,杭州银行去年末资产总额1.02万亿 营收同比增长25.53%,证券时报网
1323,2020-04-30,央行确定2020年度公开市场业务一级交易商，共有49家,Wind
1324,2020-04-30,又一家银行跨入万亿俱乐部！杭州银行一季度营收增25%,21世纪经济报道
1325,2020-04-30,杭州银行资产规模破万亿　持续发力高质量发展,中国金融新闻网
1326,2020-04-30,杭州银行2019年净利润增长21.99％ 拨备覆盖率为316.71％,金融界
1327,2020-04-30,杭州银行资产规模跻身“万亿俱乐部” 一季度延续良好发展势头,和讯
1328,2020-04-30,杭州银行一季度净利润增长超19% 不良率降至1.29%,澎湃新闻
1329,2020-04-30,杭州银行一季度净利润21.65亿元 同期增长19.26%,新浪
1330,2020-04-30,杭州银行跻身万亿资产俱乐部 一季度营收大增25.36%,上证报
1331,2020-04-30,杭州银行披露2019年报和2020年一季度报 业绩稳健增长 转型深入推进,每经网
1332,2020-04-30,国内财经媒体头版2020年4月30日星期四,Wind
1333,2020-04-30,杭州银行(600926.SH)一季度净利润升19.26%至21.65亿元 拨备覆盖率354.73%,格隆汇
1334,2020-04-30,杭州银行：2019年净利润66.02亿 同比增长21.99％,金融界
1335,2020-04-28,又一家城商行理财子公司开业，队伍扩容已达12家,Wind
1336,2020-04-27,行业板块涨幅第一！银行股力挺大盘，传递什么信号？,中证报
1337,2020-04-17,百大集团(600865.SH)：授权管理层对所持杭州银行股票进行滚动操作,格隆汇
1338,2020-04-16,石嘴山银行吴忠分行2宗违法遭罚100万 杭州银行为股东 金融监管处罚,中国经济网
1339,2020-04-16,银行重启“定增潮”，部分城商行面临定增与股价倒挂,Wind
1340,2020-04-16,重启“定增潮”补充核心一级资本 部分城商行 面临定增与股价倒挂,21世纪经济报道
1341,2020-04-14,杭州银行72亿元定增获批 苏州高新认购1.18亿股,GPLP犀牛财经
1342,2020-04-13,杭州银行(600926.SH)非公开发行A股获中国证监会核准,格隆汇
1343,2020-04-13,杭州银行：非公开发行A股股票获得中国证监会核准,Wind
1344,2020-04-10,定增、发债……中小银行“补血”忙,国际金融报
1345,2020-04-10,乘政策春风 南京银行曲折定增终获批,经济观察网
1346,2020-04-10,中信证券银行2020年一季报前瞻：以稳应变,Wind
1347,2020-04-09,23家金融机构“涉房”业务违规年内罚没3970.5万 其他违规处罚,金融投资报
1348,2020-04-04,杭州银行定增申请获证监会审核通过 拟募资不超过72亿元,和讯
1349,2020-04-03,杭州银行和兆易创新：定增申请通过“证监会发审委”审核,Wind
1350,2020-04-03,杭州银行(600926.SH)非公开发行A股申请获中国证监会审核通过,格隆汇
1351,2020-04-01,央行及银保监会行政处罚汇总（4月1日） 其他违规处罚,Wind
1352,2020-03-26,两家上市城商行南京分行遭罚近百万，其中一家违规查询和使用客户个人信息 金融监管处罚,江苏金融圈
1353,2020-03-24,杭州银行金融措施精准“输血” 打通中小微企业复工堵点,中新网
1354,2020-03-20,衢州银保监局：对杭州银行衢州分行作出行政处罚，罚款人民币90万元 其他违规处罚,Wind
1355,2020-03-20,【中信建投银行杨荣】杭州银行（600926）深度：《存量风险出清，零售优势巩固》,eResearch杨荣团队
1356,2020-03-20,【中信建投银行杨荣】银行业周报212期：《银行如何参与REITS？》,eResearch杨荣团队
1357,2020-03-20,【中信建投银行杨荣】《为零售插上“互联网”翅膀 ——规范与助力互联网贷款》,eResearch杨荣团队
1358,2020-03-18,10家城商行直销银行测评 功能差距悬殊,北京商报
1359,2020-03-17,国开行3月23日拟开展国开债做市支持操作,Wind
1360,2020-03-15,金融视角看股市：长期的起点,麦高bank
1361,2020-03-11,在杭州银行高速发展的背后，罚单也是层出不穷。,深水财经社
1362,2020-03-09,涉房信贷违规被罚银行超10家：仅2月罚款逾3千万 工行、交行、中信银行均在列 金融监管处罚,和讯
1363,2020-03-06,"银行花式""补血""继续！邮储银行将发不超800亿元永续债",Wind
1364,2020-02-28,杭州银行：“17精功MTN001”违约后续,Wind
1365,2020-02-21,银行板块走强,Wind
1366,2020-02-12,杭州银行对2.8万位医务工作者个人贷款实行减息免息,新浪
1367,2020-02-10,浙江银行业保险业建立疫情防控期间惠企政策清单,Wind
1368,2020-02-03,互金情报局|监管要求各财险公司不得借疫情渲染炒作保险产品,搜狐
1369,2020-01-23,浙江银保监局：对杭州银行作出行政处罚，罚款225万元,Wind
1370,2020-01-22,2张表一览央行票据互换操作和银行永续债分布！,Wind
1371,2020-01-17,杭州银行(600926.SH)完成发行70亿元无固定期限资本债券,格隆汇
1372,2020-01-14,浙江银保监局：对杭州银行作出行政处罚，罚款50万元,Wind
1373,2020-01-10,杭州银行拟发行70亿元永续债,中证网
1374,2020-01-09,杭州银行突围路：助民营小微 探金融科技 推战略转型,每经网
1375,2020-01-08,监管盯上认购资金来源，中小银行定增的价格之痛,第一财经
1376,2020-01-08,台州银保监局：对杭州银行台州分行作出行政处罚，罚款50万元,Wind
1377,2020-01-07,三大股东已增持19亿元，当下的上海银行值得入局吗？,格隆汇
1378,2020-01-07,因销售人员在自助终端上代客操作购买理财产品，杭州银行丽水分被罚25万元 其他违规处罚,Wind
1379,2020-01-07,“如果全国人民都买国开债，就不会出现P2P这么大风险”,21世纪经济报道
1380,2020-01-07,城商行理财子公司加速布局 开业两家为何都花落浙江？,21世纪经济报道
1381,2020-01-06,第二家城商行理财子公司开业，杭州银行非保本理财规模超2300亿元,腾讯网
1382,2020-01-02,近2000亿！今年将迎16家银行解禁潮邮储银行解禁市值最大,Wind
1383,2020-01-01,7000亿银行大变局：原董事长刚被查 安邦就清仓大甩卖,中国基金报
1384,2020-01-01,永续债推行元年26家银行加入发行阵营 近万亿资金助力银行多渠道补充资本,长江商报
1385,2019-12-27,注意！未来1个月银行解禁规模将达171.8亿元 解禁,21世纪经济报道
1386,2019-12-25,杭州银行(600926.SH)2.94亿股限售股将于12月31日上市流通 解禁,格隆汇
1387,2019-12-25,杭州银行：2.94亿股限售股12月31日解禁 解禁,Wind
1388,2019-12-24,外资控股理财子公司破局 银行资管步入快车道,时代周报
1389,2019-12-23,红狮集团以现金出资16.3亿元，认购1.5亿股!目前市值达到27.5亿元!,数字水泥
1390,2019-12-23,首批农商行永续债呼之欲出,Wind
1391,2019-12-21,看不见硝烟的战场！两家银行理财子公司同日开业，首家外资控股也来了，更多批文还在路上,券商中国
1392,2019-12-20,杭州银行(600926.SH)：杭银理财有限责任公司获准开业,格隆汇
1393,2019-12-18,杭州银行(600926.SH)获准发行不超70亿元无固定期限资本债券,格隆汇
1394,2019-12-18,时隔8天，再现股价维稳！郑州市财政局要增持这家城商行,券商中国
1395,2019-12-12,杭州银行45%股份解禁，拟定增募资72亿元 解禁,和讯
1396,2019-12-12,银行稳股价大盘点:杭州银行最壕 渝农商行最“抠门”,第一财经
1397,2019-12-11,杭州银行构建金融服务生态圈 根植民营经济沃土,中新网
1398,2019-12-11,股价低迷困局难破 10家银行触稳定“警报”,北京商报
1399,2019-12-09,杭州银行资本充足率和中间业务下滑成拦路虎，不良贷款余额上升 盈利能力下降,中金在线
1400,2019-12-07,杭州银行诉上海璟合实业借款不还 涉案本息11.86亿元 其他违规处罚,证券时报
1401,2019-12-06,杭州银行：收到上海金融法院的《受理通知书》,Wind
1402,2019-12-06,杭州银行(600926.SH)：“杭银优1”将于16日发放股息,格隆汇
1403,2019-12-06,圆桌：大咖论道数字化服务和线上营销的思维转变,中国电子银行网
1404,2019-12-04,杭州银行跌1.48% 股价创近1个月新低 连续下跌,中新经纬
1405,2019-12-03,破净之下 多家上市银行宣布稳定股价,财富动力网
1406,2019-12-02,引入Discover、Capital One归国精英，这家传统消金要翻身了？,DoNews
1407,2019-12-02,管理层大调整背后：杭银消费金融自揭痛点,中国经营报
1408,2019-11-28,年度金融观察｜金融委重点支持，中小银行多渠道加速“补血”,澎湃新闻
1409,2019-11-24,下周338.4亿市值限售股解禁,Wind
1410,2019-11-21,徐翔也被坑？宁波中百前高管违规操作致公司巨亏近5亿 其他违规处罚,证券时报
1411,2019-11-21,杭州银行：1.6699亿股限售股11月27日解禁,Wind
1412,2019-11-21,杭州银行(600926.SH)：1.67亿股限售股27日解禁 解禁,格隆汇
1413,2019-11-18,中诚信国际：将“19杭州银行二级”等债券信用等级由AA+上调为AAA,Wind
1414,2019-11-12,[互动]杭州银行：将区块链应用于网上交易电子存证,全景网
1415,2019-11-08,杭州银行：杭州市下城区财政局将所持公司全部0.67%股份无偿划转至下城国投 资产异常,Wind
1416,2019-11-01,杭州银行三季报营收净利双位数增长 不良率持续下降,和讯
1417,2019-11-01,三季度20家上市银行净利增速超10% 哪些因素拉动业绩高增长？,21世纪经济报道
1418,2019-10-31,渝农商行成“最悲情”银行股，银行新股走势不佳已成常态,第一财经
1419,2019-10-31,【中原晨会1031】市场分析、杭州银行、中国电影,中原证券研究所
1420,2019-10-31,【中原银行王鸿行】杭州银行(600926)季报点评*资产质量稳中有进，资本充足率边际改善,中原证券研究所
1421,2019-10-30,朝阳银行获批筹建资金运营中心,证券时报网
1422,2019-10-30,杭州银行三季报：营收净利润增长逾两成，拨备覆盖率超300%,面包财经
1423,2019-10-30,15家上市银行前三季净利增6.6%,Wind
1424,2019-10-28,本周上市公司限售股解禁超60亿股 杭州银行等三金融股领衔 解禁,中证网
1425,2019-10-26,三季报进行时 | 中天金融第三季营收大降近4成，汤臣倍健境外收购资产效益未达预期 盈利能力下降,和讯
1426,2019-10-26,解禁猛于虎？10股待解禁市值超百亿,Wind
1427,2019-10-25,下周667.17亿市值限售股解禁，环比增长122%,Wind
1428,2019-10-25,杭州银行 前三季度盈利增长超两成,金融时报
1429,2019-10-24,杭州银行(600926.SH)第三季度净利升20.32%至16.77亿元,格隆汇
1430,2019-10-24,[季报]杭州银行前三季度净利润16.77亿元 同比增20.25%,全景网
1431,2019-10-24,杭州银行(600926.SH)前三季净利升20.25%至16.77亿元,格隆汇
1432,2019-10-24,杭州银行：前三季度净利16.77亿元 同比增20%,e公司
1433,2019-10-24,杭州银行：前三季度净利润53.06亿元 同比增长20.25%,新浪
1434,2019-10-24,浙商银行十年上市路：市盈率高于行业均值 迅猛扩张背后有隐忧,21世纪经济报道
1435,2019-10-22,杭州银行：21.435亿股限售股10月28日解禁 解禁,Wind
1436,2019-10-17,助贷机构成杭州银行个贷业务主力军 贷款资金流向何方？,投资者报
1437,2019-10-15,杭州银行：定增申请获证监会受理,第一财经
1438,2019-10-08,10月解禁潮来袭， 10家公司解禁市值逾100亿元 解禁,格隆汇
1439,2019-09-30,杭州银行服务实体经济：“活水”浇灌民企创新之花,中新网
1440,2019-09-30,银行板块迅速拉升,Wind
1441,2019-09-25,银行永续债发行提速：年内八家银行已发行4100亿，还有3600亿发行计划在路上,Wind
1442,2019-09-21,国海创新资本携手杭州银行签署全面战略合作协议,21经济网
1443,2019-09-16,50家上市银行盈利增速榜：近六成实现两位数增长 三家银行净利缩水 | 上市银行盈利榜 盈利能力下降,和讯
1444,2019-09-11,金融：取消QFII+RQFII额度限制 荐4股,东莞证券
1445,2019-09-11,杭州银行(600926)定增方案获批,证券时报
1446,2019-09-10,杭州银行72亿元定增方案获批,证券时报网
1447,2019-09-10,杭州银行：非公开发行A股股票方案获银保监会浙江监管局核准 其他违规处罚,Wind
1448,2019-09-10,杭州银行：定增方案获浙江银保监局核准,Wind
1449,2019-09-10,杭州银行(600926.SH)非公开发行A股方案获中国银保监会浙江监管局核准,格隆汇
1450,2019-09-06,杭州银行(600926.SH)：行长助理毛夏红任职资格获批,格隆汇
1451,2019-08-31,城商行业绩放榜：杭州银行净利增速最快，宁波银行不良率最低,澎湃新闻
1452,2019-08-28,杭州银行：2019上半年营业收入104.60亿元，同比增加25.73%,财经网
1453,2019-08-28,11家持牌消费金融公司上半年净利润曝光,和讯
1454,2019-08-28,杭州银行：上半年净利润同比增20.22%,Wind
1455,2019-08-27,杭州银行上半年净利润36.29亿元 同比增长20.22%,中证网
1456,2019-08-27,杭州银行：上半年净利润41.24亿 不良贷款率1.38%,新浪
1457,2019-08-27,杭州银行(600926.SH)半年度净利润升20.22%至36.29亿元 不良贷款率1.38%,格隆汇
1458,2019-08-27,银行、消金公司抢二抵贷业务 用户贷后风险难化解,新浪
1459,2019-08-23,合肥12家银行二手房停贷 多城首套房利率上浮20、30%成主流,券商中国
1460,2019-08-22,房贷还没还清 房子又可以再次抵押 杭州开放“二抵贷”业务,华夏时报
1461,2019-08-22,杭州银行上市三年募资138亿分红32亿 又欲募72亿补血,中国经济网
1462,2019-08-13,近七成银行股破净，这么“便宜”的银行股要不要买？怎么挑？,澎湃新闻
1463,2019-08-07,产业资本、金融资本齐发力，举牌风景这边独好！,Wind
1464,2019-08-06,红狮集团详解增持杭州银行：斥资不超34.9亿已签合同,新京报
1465,2019-07-31,杭州银行定增72亿：定增价或为9元/股 现股价为8.5元,挖贝网
1466,2019-07-30,杭州银行拟定增72亿 苏高科、苏州高新跨省认购,21世纪经济报道
1467,2019-07-30,杭州银行拟募资不超过72亿元 补充核心一级资本,每日经济新闻
1468,2019-07-30,“急救”核心一级资本杭州银行两次定增总额超IPO3.5倍,电鳗快报
1469,2019-07-30,苏州高新10亿参与杭州银行定增 目前已参股两家银行,新浪
1470,2019-07-30,多家银行上半年净利现两位数增长 杭州银行增速居首,中证报
1471,2019-07-30,格隆汇A股公告精选(7.30) | 兖州煤业石拉乌素煤矿按照800万吨/年能力进行联合试运转获同意；中油工程签订10.7亿美元GPP项目EPC总承包合同,格隆汇
1472,2019-07-29,杭州银行拟定增72亿元：2家老股东认购过半，溢价超6%,澎湃新闻
1473,2019-07-29,杭州银行拟非开发行不超过8亿股A股,证券日报
1474,2019-07-29,苏州高新、苏高新科技认购杭州银行定增股份 金额不超过26.63亿,观点地产网
1475,2019-07-29,苏州高新(600736.SH)拟认购不超1.18亿股杭州银行非公开发行A股股票,格隆汇
1476,2019-07-29,快讯：苏州高新10.62亿元入股杭州银行,乐居财经
1477,2019-07-29,苏州高新：拟出资10.62亿元认购杭州银行1.18亿股股份,中国网
1478,2019-07-29,杭州银行(600926.SH)拟定向发行不超8亿股A股股票 红狮集团拟认购3.88亿股,格隆汇
1479,2019-07-29,杭州银行：拟非公开发行A股股票的数量不超过8亿股,Wind
1480,2019-07-29,杭州银行：拟定增募资不超72亿元 红狮集团等参与认购,e公司
1481,2019-07-29,杭州银行：拟定增募资不超72亿元，发行对象为红狮集团等,Wind
1482,2019-07-25,九家上市银行中期业绩快报出炉，营收净利均迎来双增长,全景网
1483,2019-07-24,中报发榜在即 多家上市银行迎暖风,理财周刊
1484,2019-07-24,创新高！800亿永续债来了，两大方面一览今年银行补充资本融资,Wind
1485,2019-07-23,七家中小上市银行披露业绩快报：5家营收增速超20%，4家不良率较上年末下降,每日经济新闻
1486,2019-07-23,7家银行报喜：6家上半年净利增速超10%，杭州银行超20%,21世纪经济报道
1487,2019-07-23,"银行业周报:营收增速放缓,配置小幅回升 盈利能力下降",万联证券
1488,2019-07-22,上市银行半年报亮相！5家城商行营收净利增速可观，不良率持平或略降,券商中国
1489,2019-07-22,银行行业周报:金稳会公布11条对外开放措施;关注板块和个股中报,平安证券
1490,2019-07-19,杭州银行：ROE继续回升，资产质量大幅改善,志明看金融
1491,2019-07-19,【华泰金融沈娟团队】金融开放提速，竞争加速分化—2019金融动态第29期【证券研究报告】,华泰金融研究全新平台
1492,2019-07-17,三家银行上半年净利润增速提升,中证报
1493,2019-07-16,神州高铁(000008.SZ)：华高世纪99.56%股权解除质押,格隆汇
1494,2019-07-16,报喜！三家银行业绩快报：上半年净利润长，不良下降,21世纪经济报道
1495,2019-07-16,杭州银行：上半年营收、净利同比增速均超20% 不良贷款率1.38%,金融投资报
1496,2019-07-15,2018浙江企业哪家强：宁波银行、杭州银行稳居净利前三甲,21世纪经济报道
1497,2019-07-15,杭州银行发布2019年半年度业绩快报：净利同比增20.21% 不良贷款率1.38%,中证网
1498,2019-07-15,杭州银行今年上半年营收过百亿净利同比增两成，不良续降,证券时报
1499,2019-07-15,杭州银行上半年利润36亿：同比增长20% 不良贷款率1.38%,挖贝网
1500,2019-07-15,杭州银行：上半年净利润同比增20.21%（快报）,Wind
1501,2019-07-15,杭州银行(600926.SH)披露业绩快报 上半年净利润升20.21%至36.28亿元,格隆汇
1502,2019-07-15,杭州银行业绩快报：上半年净利同比增20.21%,e公司
1503,2019-07-15,杭州银行业绩快报：净利润36.28亿元，同比增长20.21%,第一财经
1504,2019-07-15,杭州银行2019年上半年盈利36.28亿较上年同期增长20%,挖贝网
1505,2019-07-10,杭州银行今日大宗交易成交35.56万股，成交价7.25元折价9.26%,Wind资讯
1506,2019-07-10,融资客青睐11股，华孚时尚买入占比高达56.33%,Wind
1507,2019-07-09,杭州银行成立理财子公司，资本补血要求迫在眉睫,中金在线
1508,2019-07-05,杭州银行(600926.SH)成功发行100亿元的2019年金融债券 用于充实资金来源,格隆汇
1509,2019-07-04,已获两张“入场券” 城商行系理财子公司将加入战局,新浪
1510,2019-07-02,杭州银行：获准在全国银行间债券市场公开发行金额不超100亿元金融债券,Wind
1511,2019-07-02,杭州银行(600926.SH)获准在全国银行间债券市场公开发行不超100亿元金融债券,格隆汇
1512,2019-07-02,杭州银行：发行不超100亿元金融债，获银保监会批准,Wind
1513,2019-07-02,城商行首家！杭州银行理财子公司获批筹建 注册资本“压线”,和讯
1514,2019-07-02,城商行首家理财子公司获准筹建 杭州银行理财产品存续规模1932亿,经济观察网
1515,2019-07-02,首家城商行理财子公司 杭银理财获准筹建,北京商报
1516,2019-07-01,杭州银行理财子公司获批筹建 22家银行还在申请路上,金融界
1517,2019-07-01,拔得城商行理财子公司头筹！杭州银行理财规模突破两千亿,证券时报网
1518,2019-07-01,杭州银行理财子公司获批筹建 去年末存续理财产品规模1931.9亿元,每日经济新闻
1519,2019-07-01,杭州银行理财子公司获批筹建 为城商行首家,澎湃新闻
1520,2019-07-01,首家城商行理财子公司获批筹建，为什么是它？,21世纪经济报道
1521,2019-07-01,杭州银行(600926.SH)获准筹建杭银理财,格隆汇
1522,2019-07-01,杭州银行：筹建理财子公司获银保监会批准,Wind
1523,2019-06-30,杭州银行副行长敖一帆辞职 2018年薪酬为209万元 董监高成员变化,挖贝网
1524,2019-06-28,杭州银行：副行长辞职 董监高成员变化,Wind
1525,2019-06-28,1200亿+3390亿，央行助攻，银行补充一、二级资本加速！,Wind
1526,2019-06-25,杭州银行(600926.SH)拟每10股派2.5元 股权登记日为7月3日,格隆汇
1527,2019-06-20,杭州银行2019年度拟发同业存单2100亿元,和讯
1528,2019-06-18,“黑科技”加持 杭州银行精彩亮相全国“双创周”,全景网
1529,2019-06-16,杭州银行资金营运中心获准开业,中保网
1530,2019-06-14,城商行资产投向大盘点,郁言债市日常跟踪
1531,2019-06-13,杭州银行上海资金运营中心开业获批,中投网
1532,2019-05-31,杭州银行(600926.SH)完成发行100亿元二级资本债券,格隆汇
1533,2019-05-30,杭州银行：100亿元二级资本债券发行完毕,e公司
1534,2019-05-26,2000位金融高管财富榜：最高身价超3亿，哪些职位最吸金？,21世纪经济报道
1535,2019-05-23,杭州银行将于28日发行100亿元二级资本债券,中证网
1536,2019-05-22,杭州银行百亿补血获批，今年二级资本债发行或超4000亿,第一财经
1537,2019-05-22,5月22日利好利空公告(更新中)：比亚迪收到新能源汽车补贴,腾讯网
1538,2019-05-22,5月22日上市公司晚间公告速递,新浪
1539,2019-05-22,杭州银行：获准发行二级资本债券,e公司
1540,2019-05-20,5月20日在售高收益银行理财产品一览,新浪
1541,2019-05-16,关于公布2019年第一次浙江辖区证券经营机构现场检查随机抽查结果的通知,浙江证监局
1542,2019-05-15,5月15日在售高收益银行理财产品一览,新浪
1543,2019-05-13,干货丨RMBS产品次级档如何处理？,CNABS
1544,2019-05-07,【中原银行刘冉】杭州银行(600926)年报点评*资产质量改善显著，资产负债结构优化,中原证券研究所
1545,2019-05-07,"降准反添中小银行苦恼:如何才能完成""两增""目标？",证券时报
1546,2019-05-06,【海通银行团队】上市银行2019年一季报综述：宽信用下营收高增长,HaitongBKResearch
1547,2019-05-01,12家城商行业绩榜：北京银行赚钱最多，宁波银行不良率最低,澎湃新闻
1548,2019-04-30,杭州银行2018年实现净利润超54亿元,中国金融新闻网
1549,2019-04-29,55只个股被逆市调高至“买入”，三维度挖掘反弹急先锋,证券日报
1550,2019-04-28,杭州银行2018年&2019一季报解读：业绩保持高增、低估值高安全边际【中泰银行·戴志锋】,传统借贷vs新型金融
1551,2019-04-28,杭州银行今年一季度业绩高增态势延续 不良率降至1.4%,中国网
1552,2019-04-28,杭州银行总结：直销银行注册用户数同比增113.69%,中投网
1553,2019-04-27,银行冠华|杭州银行：中收触底回升，资产质量向好,大话金融
1554,2019-04-27,杭州银行不良率连续两年持续下降 转型驱动高质量发展,证券日报
1555,2019-04-27,杭州银行去年净利润同比增长18.94% 不良率降至1.45%,新浪
1556,2019-04-27,杭州银行19Q1业绩：业绩高增态势延续，资产质量显著改善,志明看金融
1557,2019-04-26,杭州银行一季度净利18.15亿元 同比增长19%,挖贝网
1558,2019-04-26,【中信建投银行杨荣】杭州银行18年年报及19年一季报简评:《零售优势持续增强，亟需补充核心一级》,eResearch杨荣团队
1559,2019-04-26,杭州银行年报季报齐出炉，紧抓风控不良率连续两年下降,第一财经
1560,2019-04-26,"中金公司：将杭州银行评级调高为""推荐""",Wind
1561,2019-04-26,杭州银行去年贷款减值损失57亿 11名高管年薪超百万,中国经济网
1562,2019-04-26,杭州银行去年净利54.1亿元 同比增长19% 董事长徐国民薪酬175万元,挖贝网
1563,2019-04-26,"杭州银行:营收表现亮眼,不良延续改善趋势",证券之星
1564,2019-04-25,杭州银行(600926.SH)2018年净利润升18.94%至54.12亿元 拟10派2.5元,格隆汇
1565,2019-04-25,杭州银行(600926.SH)一季度净利润升19.25%至18.15亿元,格隆汇
1566,2019-04-25,杭州银行：2018年净利润同比增18.94%,Wind
1567,2019-04-25,杭州银行：2018年净利增18.94%，拟10派2.5元,Wind
1568,2019-04-25,杭州银行：一季度净利润同比增19.25%,Wind
1569,2019-04-25,杭州银行100亿二级资本债获批 今年银行二级资本债发行总额已达去年全年的80%,每日经济新闻
1570,2019-04-23,4月23日在售高收益银行理财产品一览,新浪
1571,2019-04-22,服务户数超四万 杭州银行纾困小微“跑街”“跑数”两不误,中国网
1572,2019-04-16,4月16日在售高收益银行理财产品一览,新浪
1573,2019-04-12,4月12日在售高收益银行理财产品一览,新浪
1574,2019-04-11,4月11日在售高收益银行理财产品一览,新浪
1575,2019-04-10,4月10日在售高收益银行理财产品一览,新浪
1576,2019-04-09,融资客青睐52股，三友化工买入占比高达41.88%,Wind
1577,2019-04-03,4月3日在售高收益银行理财产品一览,新浪
1578,2019-03-30,国有六大银行2018年实现净利逾万亿元，2019年信贷将聚焦实体经济重点领域,中证报
1579,2019-03-30,制度变革与资金认可促银行板块行情升温 9股上行空间或超30%,证券日报
1580,2019-03-24,【中信建投银行杨荣】银行业周报159期：《中小银行表现亮眼， 年报助力估值修复》,eResearch杨荣团队
1581,2019-03-07,30家A股上市银行2018年业绩报告披露时间一览,金融界
1582,2019-03-06,【银行】杭州银行：不良之困已远，业绩回升显著,天风研究
1583,2019-03-01,太平洋证券：上调杭州银行评级至买入,Wind
1584,2019-03-01,【银行|孙立金团队太平洋证券】杭州银行(600926)：业绩高增长可持续性强，PEG仅0.4价值被低估,太平洋证券研究
1585,2019-03-01,【太平洋证券今日早读】杭州银行深度报告|爱尔眼科、国瓷材料、索菲亚、长城汽车公司点评20190301,太平洋证券研究
1586,2019-02-25,337家公司预计去年盈利,中证报
1587,2019-02-19,20份上市银行业绩快报陆续抵达，五大行仍“雪藏”盈利数据,证券日报
1588,2019-02-18,节后产业资本增持逾19亿 6只个股获机构集中看好,证券日报
1589,2019-02-14,银行成绩单出炉 净利增不良降,中投网
1590,2019-02-14,纠结的银行次新股： 破净触发股东增持 银行陆续启动股价稳定方案,21世纪经济报道
1591,2019-02-12,今年首现上市银行触发“维稳承诺” 多数银行选择大股东增持而非回购,证券日报
1592,2019-02-02,三年约束期将过 杭州银行要启动最后一次股价维稳,新浪
1593,2019-02-01,2月1日晚间上市公司十大重磅公告,巨丰财经
1594,2019-02-01,杭州银行：实控人及一致行动人拟增持逾1.03亿股,e公司
1595,2019-01-31,杭州银行拟启动稳定股价措施,经济导报
1596,2019-01-31,杭州银行交2018年“业绩单” 新零售转型增效喜人,中新网
1597,2019-01-31,A股上市银行2018成绩单：营收净利大增 次新股表现佳,证券时报
1598,2019-01-30,股价连续低于每股净资产 杭州银行将启动稳定股价措施,每日经济新闻
1599,2019-01-30,79股获券商买入评级 闻泰科技目标涨幅达61.21%,Wind
1600,2019-01-30,天雷滚滚股民难眠 中字头国家队炒股巨亏百亿,金融界
1601,2019-01-30,杭州银行（600926）：剪刀差已消除，零售优势增强,中信建投证券研究
1602,2019-01-30,时隔6个月 杭州银行再度触发稳定股价措施,国际金融报
1603,2019-01-29,1月29日晚间上市公司十大重磅公告,巨丰财经
1604,2019-01-29,【太证银行孙立金团队】杭州银行：存贷款规模快速扩张，不良率连续下降,金龙藤组合
1605,2019-01-29,杭州银行：触发稳定股价措施启动条件，将制定稳定方案,Wind
1606,2019-01-29,杭州银行：触发稳定股价措施启动条件 将制定稳定股价方案,e公司
1607,2019-01-29,杭州银行2018年净利润54亿元 较上年同期增长19%,挖贝网
1608,2019-01-29,杭州银行2018业绩快报：资产总额达9212.19亿元 财务指标全面实现双位数增长,中国网
1609,2019-01-29,杭州银行去年盈利54亿增长近19%,证券时报
1610,2019-01-29,业绩回暖 杭州银行2018年净利增长18.96%,北京商报
1611,2019-01-28,杭州银行(600926.SH)2018年度净利润升18.96%至54.13亿元,格隆汇
1612,2019-01-28,杭州银行公布业绩快报 2018年净利润增速达19%,每日经济新闻
1613,2019-01-28,杭州银行：2018年归属上市公司股东的净利润54.1亿元 不良贷款率1.5%,中证网
1614,2019-01-28,这可能是去年个人存款增得最猛的上市银行了,证券时报网
1615,2019-01-28,杭州银行：2018年净利润同比增18.97%（快报）,Wind
1616,2019-01-28,杭州银行业绩快报:2018年净利增长18.96%至54.31亿元,新浪
1617,2019-01-28,杭州银行业绩快报：2018年净利54亿元 同比增18.96%,e公司
1618,2019-01-25,【盘中动态】银行股早盘快速拉升，这个原因要重视！,每日经济新闻
1619,2019-01-18,下周两市620亿市值限售股解禁，环比增加102.07% 解禁,Wind
1620,2019-01-09,哪些行业不良贷款率高？,岳读债市
1621,2019-01-02,巨丰原创：18年最后一周北上资金抄底银行板块,巨丰财经
1622,2019-01-02,机构2018年调研逾1400家公司，海康威视连续三年最受青睐,证券时报
1623,2018-12-27,北京银行、杭州银行已制定理财业务过渡期整改计划,每日经济新闻
1624,2018-12-05,13家银行“智能化”竞赛：这家银行竟然40%员工是科技人员,零壹财经
1625,2018-11-29,杭州银行：获批在上海筹建资金营运中心,Wind
1626,2018-11-26,【亿欧快讯】杭州银行成立城商行金融科技创新实验室,亿欧网
1627,2018-11-16,杭州银行创新贷款：金融插翅助力浙江民营经济,中新网
1628,2018-11-13,杭州银行：1-9月不良贷款新风险集中在制造业和批发零售业,中证网
1629,2018-11-09,数据王：银行股遭遇高位断崖长线资金已抢先布局,巨丰财经
1630,2018-11-09,专营产品、特殊机制、独立审批，银行加大对科创企业贷款投放并提升不良容忍度,中财网
1631,2018-11-09,商业银行扶持科技创新企业各出高招,证券时报
1632,2018-11-05,杭州银行前三季度利息净收入破百亿贷款规模增幅超两成,中国网
