,2021-12-31,区域性银行数字化转型“样本”：上市城商行发力手机银行，成绩几何？,零壹财经
1746,2020-04-14,半数长三角上市银行年报“交卷” 哪家“最吸金”？,新浪
1747,2020-04-14,江苏银行服务跨境电商，助力全球抗疫,金融界
1748,2020-04-14,江苏银行：监事袁维静辞职 董监高成员变化,Wind
1749,2020-04-14,江苏银行：年末总资产首超2万亿，净利润连续四年双位数增长,面包财经
1750,2020-04-14,116股获券商买入评级，星期六目标涨幅达96.19%,Wind
1751,2020-04-14,江苏银行高质量发展之路行疾步稳价值创造与成长性兼备,证券时报
1752,2020-04-13,年报数据告诉你去年上市银行工资到底有多高,北青网
1753,2020-04-13,江苏银行跻身“两万亿俱乐部” 零售对公大展拳脚,经济观察网
1754,2020-04-13,江苏银行净利润连续四年保持两位数增长，每股价格却比净资产低3.5元,经济网
1755,2020-04-13,风险持续出清中，业绩保持高增长—江苏银行年报点评,麦高bank
1756,2020-04-12,推进理财产品净值化转型、发力大资管业务，江苏银行资管能力持续提升,和讯
1757,2020-04-12,详细解读江苏银行2019年年报： 结构优化带动息差提升、业绩保持高增【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
1758,2020-04-12,一年浮盈近百亿元！这家银行竟是投资高手,中证报
1759,2020-04-12,江苏银行年报：零售转型硕果累累，金融科技驱动“智慧零售”,金融界
1760,2020-04-12,犀牛财经早报：江苏银行不良贷款增加水星家纺业绩增速放缓,GPLP犀牛财经
1761,2020-04-12,五年发展规划开局良好，江苏银行2019年净利润稳步增长,腾讯网
1762,2020-04-11,江苏银行去年营收450亿元、增幅27.68% 贷款余额破1万亿元,证券时报
1763,2020-04-11,“智慧化”战略“置顶”，江苏银行金融科技动力十足,和讯
1764,2020-04-11,江苏银行资产规模迈上2万亿，净利润保持两位数增长,金融界
1765,2020-04-11,江苏银行：营收业绩创新高 金融科技助力资产质量提升,金融界
1766,2020-04-10,江苏银行2019年营收同比增27.68% 净利润连续四年两位数增长,上证报
1767,2020-04-10,江苏银行2019年净利润146.19亿元 投资收益大涨逾2倍,北京商报
1768,2020-04-10,江苏银行业绩增速创新高 跑步进入两万亿俱乐部,和讯
1769,2020-04-10,江苏银行(600919.SH)2019年度净利润升11.89%至146.19亿元拟10派2.78元,格隆汇
1770,2020-04-10,江苏银行：2019年净利同比增11.89% 拟10派2.78元,e公司
1771,2020-04-08,10家消金公司业绩披露：净利润最高增长18倍，仅一家亏损，还有银行即将入局,每日经济新闻
1772,2020-04-08,江苏银行(600919.SH)：任桐董事任职资格获监管机构核准,格隆汇
1773,2020-04-03,南通醋酸化工股份有限公司关于自有资金购买结构性存款的进展公告,中证报
1774,2020-04-02,江苏银行关于外部监事辞职的公告 董监高成员变化,新浪
1775,2020-04-02,江苏银行于3月30日在银行间市场成功发行200亿元无固定期限资本债券,Wind
1776,2020-04-02,江苏银行：独立董事刘煜辉、颜延辞职 董监高成员变化,Wind
1777,2020-04-02,江苏银行(600919.SH)：200亿元无固定期限资本债券发行完毕,格隆汇
1778,2020-04-02,江苏银行：外部监事辞职 董监高成员变化,Wind
1779,2020-04-01,华讯方舟科技：南京华讯4850万元贷款逾期 违约失信,Wind
1780,2020-04-01,华讯方舟科技：下属子公司涉及一项诉讼 诉讼纠纷,Wind
1781,2020-03-31,A股早报2020年3月31日星期二,Wind
1782,2020-03-30,A股共发生45宗大宗交易成交5.35亿元（3月30日）,Wind
1783,2020-03-27,华讯方舟：全资子公司南京华讯涉及重大诉讼 诉讼纠纷,Wind
1784,2020-03-27,省内两家农商行净值披露得满分,和讯
1785,2020-03-26,企业登记线上化，预约开户不出门 江苏银行助力企业开办“全链通”,金融界
1786,2020-03-26,年报低估值高增长龙头股名单来了，最高股息率近7%,证券时报网
1787,2020-03-25,牵手江苏银行落地重大产业项目 绿地控股布局江苏投资升级,证券日报
1788,2020-03-25,绿地布局江苏新一轮投资升级 签约江苏银行、落地产业园新项目,乐居财经
1789,2020-03-23,江苏银行：获准发行不超200亿元无固定期限资本债券,Wind
1790,2020-03-23,江苏银行(600919.SH)获准发行无固定期限资本债券,格隆汇
1791,2020-03-18,10家城商行直销银行测评 功能差距悬殊,北京商报
1792,2020-03-18,江苏银行董事长：坚决筑牢疫情防控金融防线,新浪
1793,2020-03-17,国开行3月23日拟开展国开债做市支持操作,Wind
1794,2020-03-13,江苏银行资金营运中心副总经理秦烨任职资格获批,和讯
1795,2020-03-13,7家银行获批发行至多1180亿元永续债，料全年规模将超去年,Wind
1796,2020-03-12,发行大军扩容、规模已达6000亿元 银行借永续债加速“补血”,北京商报
1797,2020-03-12,江苏银行：营收净利增速差距大,证券市场周刊
1798,2020-03-10,邮储等7家银行发行永续债近1200亿 险资认购动力强,中证报
1799,2020-03-10,银行频发永续债，险资认购动力强,Wind
1800,2020-03-06,"银行花式""补血""继续！邮储银行将发不超800亿元永续债",Wind
1801,2020-02-25,江苏银行2020年博士后研究人员招收简章,和讯
1802,2020-02-25,防疫存单密集发行 45家银行募资近300亿,时代周报
1803,2020-02-21,江苏：规模以上工业企业复工面达75%,Wind
1804,2020-02-20,21家银行业绩快报：股份行分化持续 浦发掉队？ 盈利能力下降,新浪
1805,2020-02-17,"天夏智慧41亿收购案""卸妆"" 近15倍高溢价海通证券力托",中国经济网
1806,2020-02-15,江苏银行业争做疫情防控企业的金融后盾,经济网
1807,2020-02-13,江苏银行提供150亿元专项授信额度支持疫情防控和农产品生产,中新经纬
1808,2020-02-13,信托热点汇：多家信托动态信息！,金融界
1809,2020-02-10,江苏银行晋级全球银行品牌价值百强,金融界
1810,2020-02-10,21家上市银行日均赚10亿 近九成不良率出现下降,中投网
1811,2020-02-09,江苏银行发起设立江苏首只抗击疫情助医慈善信托,Wind
1812,2020-02-09,江苏银行发起设立江苏首只抗击疫情助医慈善信托,上证报
1813,2020-02-07,助力缓解口罩荒，江苏银行积极扶持口罩生产企业提升产能,金融界
1814,2020-02-06,“方便+安全”，江苏银行“智盛”票据池与企业共同抗疫,金融界
1815,2020-02-06,江苏银行为火神山、雷神山医院建设企业提供融资超1.7亿元,证券时报网
1816,2020-02-05,战“疫”进行时，江苏银行以高质量金融服务助力打赢疫情防控阻击战,中金在线
1817,2020-02-05,江苏银行：首批捐款1000万元 支持新冠肺炎疫情防控工作,证券时报网
1818,2020-02-05,江苏银行(600919.SH)拟向江苏援湖北医疗队首批捐款1000万元支持疫情防控,格隆汇
1819,2020-02-02,江苏银行业抗击疫情实录:提供专项紧急授信额度100亿,江苏金融圈
1820,2020-01-27,中国最赚钱行业：上市银行净利润依然高速增长 最多超过20%,和讯
1821,2020-01-23,18家银行公布2019年业绩快报：浦发银行净利增速最低、不良率居首,搜狐
1822,2020-01-22,券商首次关注6股并给予买入评级（1月22日）,Wind
1823,2020-01-20,江苏银行 试水“苏银链” 成效待考,《商学院》杂志
1824,2020-01-19,城商行业绩显著提升估值望修复,时代周报
1825,2020-01-19,江苏银行2019业绩快报：收入高增长持续，资产质量稳健【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
1826,2020-01-18,江苏银行2019年业绩快报：总资产破2万亿元业绩稳健向好创新高,搜狐
1827,2020-01-18,江苏银行2019年资产总额首破2万亿 营收净利实现双位数增长,中国网
1828,2020-01-17,江苏银行业绩快报：规模突破两万亿 营收净利保持两位数增长,和讯
1829,2020-01-17,江苏银行：2019年净利润同比增11.89% 多项指标创上市以来新高,中证网
1830,2020-01-17,江苏银行：2019年营收、业绩增速再创新高,金融界
1831,2020-01-17,盘后8公司发业绩快报-更新中,中财网
1832,2020-01-17,江苏银行：预计2019年净利润146.19亿元 同比增加11.89%,金融界
1833,2020-01-17,江苏银行：2019年净利润同比增11.89%（业绩快报）,Wind
1834,2020-01-17,江苏银行2019年末资产规模突破2万亿元,证券时报
1835,2020-01-17,江苏银行业绩快报：2019年净利同比增长11.89%,第一财经
1836,2020-01-17,江苏银行(600919.SH)发布业绩快报 2019年度净利润升11.89%至146.19亿元,格隆汇
1837,2020-01-17,江苏银行业绩快报：2019年净利146亿元 同比增12%,e公司
1838,2020-01-16,江苏银行2020年拟发同业存单3950亿元,和讯
1839,2020-01-16,华仪浙江与与江苏银行1亿元商票涉违规担保 大额借贷担保,新能源网
1840,2020-01-15,天夏智慧(000662.SZ)：天夏公司破产清算申请获受理 基金清算,格隆汇
1841,2020-01-15,企业信用有效“变现”，江苏银行物联网金融规模突破100亿,金融界
1842,2020-01-09,A股共发生121宗大宗交易成交19.8亿元（1月9日）,Wind
1843,2020-01-09,江苏银行今日大宗交易成交750万股，成交价6.77元折价5.45%,Wind
1844,2020-01-09,江苏银行直销银行荣获业内多个权威奖项,金融界
1845,2020-01-08,与江苏银行1亿元商业承兑汇票涉违规担保，ST华仪起诉 金融监管处罚,资本邦
1846,2020-01-07,宿迁银保监局：对江苏银行宿迁分行作出行政处罚，罚款85万元,Wind
1847,2020-01-07,大东方(600327.SH)2019年度出售江苏银行等股票 累计出售成交额约1.61亿元,格隆汇
1848,2020-01-07,三大股东已增持19亿元，当下的上海银行值得入局吗？,格隆汇
1849,2020-01-02,江苏银行(600919.SH)：苏银转债累计转股4.9981万股,格隆汇
1850,2019-12-28,创纪录!股东日均净减持13.7亿 下月解禁市值7000亿 减持股份,中财网
1851,2019-12-27,江苏银行无锡分行助推贸易便利化创新,和讯
1852,2019-12-25,融资客青睐18股，九州通买入占比高达52.24%,Wind
1853,2019-12-24,江苏银行：董事会决议公告,上交所
1854,2019-12-24,外资控股理财子公司破局 银行资管步入快车道,时代周报
1855,2019-12-20,江苏银行：苏银理财获准筹建,21世纪经济报道
1856,2019-12-20,江苏银行(600919.SH)获准筹建苏银理财有限责任公司,格隆汇
1857,2019-12-20,“自家人”积极抢筹 上市公司扎堆回购增持,重庆商报
1858,2019-12-16,浙苏粤区域银行三季度净值型理财产品发行全国领先,新华网
1859,2019-12-13,江苏银行股份有限公司19红豆SCP005信用风险缓释凭证预配售情况公告,银行间市场协会
1860,2019-12-13,多家上市机构股东资本增持 360金融股价或被低估,证券时报网
1861,2019-12-11,2019年十大“增持王” 曝光 低估值蓝筹成为股东增持重点,投资快报
1862,2019-12-05,宁沪高速二级市场买进江苏银行1.35亿股 耗资9.47亿逆势布局,长江商报
1863,2019-12-04,26只！银行破净数量创新高 刘永好也来抄底了,21世纪经济报道
1864,2019-12-03,江苏银行今日大宗交易成交642.86万股，成交价7.0元溢价0.0%,Wind
1865,2019-12-03,A股的春天近了？回购计划、举牌环比连升 承诺不减持数创半年新高,证券时报网
1866,2019-12-03,江苏宁沪(00177-HK)增持江苏银行至2.9%,财华社
1867,2019-12-03,早知道：国内油价“三连涨” 成都燃气今申购,网易
1868,2019-12-03,股海导航 12月3日沪深股市公告提示,新浪
1869,2019-12-03,破净之下 多家上市银行宣布稳定股价,财富动力网
1870,2019-12-03,刘永好连续增持民生银行H股 持股比例接近1%,证券时报
1871,2019-12-03,两则消息透露重磅信号！产业资本增持2只银行股 北上资金也在加速扫货 银行股真的见底了？,券商中国
1872,2019-12-02,江苏宁沪高速公路(00177)与宁沪投资等斥资9.47亿元增持江苏银行1.35亿股,智通财经
1873,2019-12-02,江苏宁沪高速公路(00177.HK)合计增持江苏银行股份1.35亿股,格隆汇
1874,2019-12-02,12月3日上市公司重要公告集锦：珠海明骏拟416.62亿元受让格力电器15%股份,证券日报
1875,2019-12-02,宁沪高速跻身江苏银行前十大股东 耗资9.5亿增持1.35亿股,证券时报网
1876,2019-12-02,宁沪高速：公司及子公司增持江苏银行 耗资逾9亿元,e公司
1877,2019-12-01,中新集团获IPO批文 影子股苏州高新转型逻辑清晰,和讯
1878,2019-11-29,大金融板块早盘逆势拉升 股市风向标异动意味何在？,中投网
1879,2019-11-28,A股共发生86宗大宗交易成交19.37亿元（11月28日）,Wind
1880,2019-11-28,“破净”无碍倾心者 机构憧憬银行股估值修复,中证报
1881,2019-11-27,江苏银行探索构建区块链金融生态圈,金融界
1882,2019-11-27,沙钢再成立一融资租赁公司 揭秘钢铁巨无霸庞大金融布局,新京报
1883,2019-11-25,江苏银行携手华为打造新一代核心系统存储，助力数字化转型“腾飞”,环球老虎财经
1884,2019-11-25,又到关键时点，北上资金本月300多亿加仓A股，26日或更加精彩,Wind
1885,2019-11-25,江苏银行网金部总经理蒋建明：银行如何实现“以我为主，无限链接”,21世纪经济报道
1886,2019-11-22,22家银行齐聚南京，以一体化金融服务助力长三角一体化发展,金融界
1887,2019-11-22,万亿级银行换“心脏” 江苏银行核心系统存储上线,上证报
1888,2019-11-22,引领数字化转型 江苏银行开创新一代核心系统存储国产化先河,金融界
1889,2019-11-21,江苏银行携手华为打造新一代核心系统存储 引领城商行数字化转型,中国网
1890,2019-11-19,江苏银行：优先股股息派发实施公告,上交所
1891,2019-11-19,A股共发生62宗大宗交易成交19.55亿元（11月19日）,Wind
1892,2019-11-19,江苏银行副行长赵辉：如何依托金融科技，助力普惠金融？,21世纪经济报道
1893,2019-11-19,江苏银行(600919.SH)拟发放优先股股息10.4亿元,格隆汇
1894,2019-11-19,江苏银行股份有限公司盐城分行与中国长城资产管理股份有限公司江苏省分公司债权转让暨债务催收联合公告 资产异常,和讯
1895,2019-11-01,A股共发生70宗大宗交易成交15.85亿元（11月1日）,Wind
1896,2019-10-31,银行成可转债发行主力军，各路资本补充工具全面开花,Wind
1897,2019-10-30,江苏银行3季报详解：业绩靓丽，息差继续弹性向上【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
1898,2019-10-29,江苏银行公布三季报 前三季净利增加15.82%,新浪
1899,2019-10-29,江苏银行：前三季度净利润同比增15.82%,Wind
1900,2019-10-29,江苏银行：前三季度净利同比增长15.82%,证券时报网
1901,2019-10-26,江苏银行上海分行行长周宏访问上海石油天然气交易中心,陆家嘴金融网
1902,2019-10-25,单只可转债发行规模再刷新高，为何又是银行创纪录？,第一财经
1903,2019-10-24,浦发拟发行A股史上最大可转债 今年银行系转债已超千亿,新京报
1904,2019-10-23,银保监分局两日公布8张罚单 4张罚单均指向消费贷款 金融监管处罚,中国保险报
1905,2019-10-18,江苏银行：董事沈彬因工作需要辞职 董监高成员变化,Wind
1906,2019-10-18,江苏银行：监事周艳丽因工作需要辞职 董监高成员变化,Wind
1907,2019-10-08,江苏银行(600919.SH)截至9月末“苏银转债”累计转股3.01万股A股,格隆汇
1908,2019-09-30,江苏银行(600919.SH)完成发行200亿元二级资本债券,格隆汇
1909,2019-09-25,江苏银行(600919.SH)全部赎回120亿元二级资本债券,格隆汇
1910,2019-09-11,江苏银行“自贸云”服务平台上线 开启跨境业务智慧新时代,金融界
1911,2019-09-11,独家：京东金融“金条”26家资金方贷款余额(附名单),新浪
1912,2019-09-06,同行不同“命”： 兴业银行遭“清仓式”减持 江苏银行获大股东护盘 ——8月份重要股东二级市场增减持解析 减持股份,红周刊
1913,2019-09-05,半年报解密谁是打工皇帝，“高薪区地图”再现,21世纪经济报道
1914,2019-09-04,江苏银行亮相第七届江苏互联网大会，描绘数字金融新图景！,金融界
1915,2019-09-03,江苏银行半年报：发力“调结构” 智慧建设硕果盈枝,中投网
1916,2019-09-02,上市银行普遍涨薪，平安招行上半年人均薪酬超31万,证券时报
1917,2019-08-31,城商行业绩放榜：杭州银行净利增速最快，宁波银行不良率最低,澎湃新闻
1918,2019-08-30,8月30日有58家公司获重要股东增减持 延安必康已被连续减持106次 减持股份,Wind
1919,2019-08-30,多数银行资产质量进入上升通道,和讯
1920,2019-08-30,"银行行业周报:金融科技发展规划落地,央行调整个人房贷利率政策",平安证券
1921,2019-08-29,非典型化工股华西股份：纺织主业滑坡 加杠杆投资,证券市场周刊
1922,2019-08-28,应对净息差收窄，众银行拓展非息收入,第一财经
1923,2019-08-28,江苏银行为鼎胜新材创设CRMW 计划发行规模1.25亿元,21世纪经济报道
1924,2019-08-27,2900点回来了！超百亿外资尾盘“脉冲式”扫货,Wind
1925,2019-08-27,苏银转债：被低估的优质零售银行转债,债市覃谈
1926,2019-08-26,【上市银行半年报解读】上半年银行业绩总体向好　资产质量持续向好　营收、净利增长快,上海金融报
1927,2019-08-26,江苏自贸区金融领域开放有大动作，9家本地银行均无实际控制人,Wind
1928,2019-08-26,208股获券商买入评级 恒逸石化目标涨幅达74.83%,Wind
1929,2019-08-25,10家上市银行房贷规模增长超800亿 部分银行暂停审批,中国经营报
1930,2019-08-24,【中原银行王鸿行】银行行业月报*资产质量存压力，新LPR影响温和,中原证券研究所
1931,2019-08-24,华西股份：非典型化工股,证券市场周刊
1932,2019-08-23,江苏银行上半年实现净利润78.71亿元 同比增长14.88%,中国金融新闻网
1933,2019-08-22,金融供改“福报”至，江苏银行净利增速创上市来新高,环球老虎财经
1934,2019-08-22,江苏银行：监事赵传标辞职,Wind
1935,2019-08-22,银行冠华 | 江苏银行：业绩继续高增，不良压力上升,大话金融
1936,2019-08-21,江苏银行上半年实现投资收益76亿元 同比增长逾4倍,每日经济新闻
1937,2019-08-21,江苏银行2019年中报：扎实推进创新转型，稳步实现高质量发展,金融界
1938,2019-08-21,江苏银行上半年总资产突破2万亿元 实现归母净利78.71亿元,中国网
1939,2019-08-21,"江苏银行:营收保持高增,拨备基础进一步夯实",证券之星
1940,2019-08-20,江苏银行：董事会决议公告,上交所
1941,2019-08-20,"零售对公两开花:江苏银行上半年私行客户增20%,对公有效户增近10%",证券时报
1942,2019-08-20,江苏银行上半年营收增长27.29%，净利增长14.88%,澎湃新闻
1943,2019-08-20,江苏银行：上半年净利润同比增14.88%,Wind
1944,2019-08-20,江苏银行2019年上半年净利78.71亿坚持小微发展战略,挖贝网
1945,2019-08-20,江苏银行：上半年净利为78.71亿 不良贷款率为1.39%,新浪
1946,2019-08-20,江苏银行(600919.SH)半年度净利润升14.88%至78.71亿元 不良贷款率与年初持平,格隆汇
1947,2019-08-20,江苏银行：上半年净利同比增14.88%,e公司
1948,2019-08-19,化解融资难融资贵和信息不对称江苏银行试水物联网管控风险,中国经营网
1949,2019-08-15,AI赋能、语音交互 江苏银行“语音银行”来了,新华网
1950,2019-08-14,AI赋能、语音交互，江苏银行“语音银行”来了,金融界
1951,2019-08-13,近七成银行股破净，这么“便宜”的银行股要不要买？怎么挑？,澎湃新闻
1952,2019-08-13,更智能、更贴心、更懂你，江苏银行手机银行5.0心动版全新亮相！,中金在线
1953,2019-08-13,天风证券：当前银行板块估值低，性价比凸显,Wind
1954,2019-08-13,江苏银行打造物联网金融生态圈,和讯
1955,2019-08-12,贵阳银行13.35亿首发限售股将解禁 国资占大半解禁压力或不大 解禁,证券时报网
1956,2019-08-02,江苏银行直销银行五岁了 全面展现网络金融开放发展新图景,中金在线
1957,2019-08-01,ATM搭载国产操作系统，江苏银行自主可控水平又上新台阶！,金融界
1958,2019-07-30,江苏银行：首次公开发行限售股上市流通公告 解禁,上交所
1959,2019-07-29,[快讯]江苏银行539750万限售股8月2日解禁 解禁,中财网
1960,2019-07-29,江苏银行：53.98亿股限售股8月2日上市流通 解禁,Wind
1961,2019-07-29,江苏银行(600919.SH)：约53.975亿股首发限售股将解禁 解禁,格隆汇
1962,2019-07-29,可转债融资已创历史新高！部分上市公司账面现金多，并不差钱,Wind
1963,2019-07-29,本周两市51只股票解禁 市值超1500亿元 解禁,北京商报
1964,2019-07-28,超千亿解禁洪峰下周袭来，紫光股份面临巨额解禁 解禁,Wind
1965,2019-07-26,下周1546亿市值限售股解禁，环比增加1659% 解禁,Wind
1966,2019-07-26,8月解禁市值不足3000亿元 解禁,大众证券报
1967,2019-07-26,江苏银行(600919.SH)：吴典军和周凯江副行长任职资格获银保监会核准,格隆汇
1968,2019-07-26,开放银行新成果！江苏银行创新“电子社保卡”移动便民服务,金融界
1969,2019-07-25,九家上市银行中期业绩快报出炉，营收净利均迎来双增长,全景网
1970,2019-07-24,中报发榜在即 多家上市银行迎暖风,理财周刊
1971,2019-07-24,又没扛住！宏图高科本周两期中票违约 未按时兑付本息,Wind
1972,2019-07-24,20家上市城商行大盘点：个人信贷平均余额破1100亿,新浪
1973,2019-07-24,6月以来4家银行触发稳定股价条件 有股东官宣“锁仓”,证券日报
1974,2019-07-23,七家中小上市银行披露业绩快报：5家营收增速超20%，4家不良率较上年末下降,每日经济新闻
1975,2019-07-23,江苏银行两大股东及其一致行动人均承诺锁定股份1年,新浪
1976,2019-07-23,江苏银行：大股东将21.09亿股公司股票锁定一年,中证网
1977,2019-07-23,江苏银行(600919.SH)：第一大股东、第二大股东及其各自一致行动人承诺锁定股份一年,格隆汇
1978,2019-07-22,上市银行半年报亮相！5家城商行营收净利增速可观，不良率持平或略降,券商中国
1979,2019-07-22,银行行业周报:金稳会公布11条对外开放措施;关注板块和个股中报,平安证券
1980,2019-07-21,江苏银行1H19业绩快报：营收保持高增，资产质量平稳【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
1981,2019-07-21,当前重点推荐苏银转债,债市覃谈
1982,2019-07-20,江苏银行 1H19业绩：业绩靓丽，ROE上行,志明看金融
1983,2019-07-20,江苏银行2019年上半年营收219亿 比上年同期增长27%,挖贝网
1984,2019-07-20,江苏银行今日大宗交易成交58.53万股，成交价6.9元溢价0.44%,Wind
1985,2019-07-19,格隆汇A股公告精选(7.20) | 长城汽车上半年归母净利润预降近六成 多家公司股东抛出大额减持计划,格隆汇
1986,2019-07-19,江苏银行上半年净利润同比增14.88%,中证网
1987,2019-07-19,江苏银行(600919.SH)发布半年度业绩快报 净利润升14.88%至78.71亿元,格隆汇
1988,2019-07-19,江苏银行：上半年净利润同比增14.87%（快报）,Wind
1989,2019-07-19,江苏银行业绩快报：上半年净利同比增14.88%,e公司
1990,2019-07-17,上半年净赚18亿元，营收和净利同比增幅均超过120%，江苏信托是如何做到的？,和讯
1991,2019-07-16,货币金融行业上半年成最大赢家,和讯
1992,2019-07-15,模塑科技(000700.SZ)收到江南水务及江苏银行现金分红款合计2037.08万元,格隆汇
1993,2019-07-15,模塑科技：收到参股公司江南水务及江苏银行共2037万元分红款,发布易
1994,2019-07-13,杀跌主谋另有其人 防雷已成当前要务,巨丰财经
1995,2019-07-12,省内8家银行派息金额大增近五成,和讯
1996,2019-07-11,三类机器人在江苏银行“上岗”！银行业务授权模式剧变,金融界
1997,2019-07-11,2019中国商业500强排行榜：23家银行上榜 江苏银行、浙商银行等10家排名有所下滑,财经网
1998,2019-07-08,企业移动办公的福音！江苏银行推出企业移动一站式金融服务平台,华夏时报
1999,2019-07-05,大宗交易透露机构动向！突击卖股、溢价买入两相宜,Wind
2000,2019-07-04,江苏银行2018年度每股分红0.34元 苏银转债转股价格调整为7.56元/股,中证网
2001,2019-07-04,江苏银行(600919.SH)拟每10股派3.4元 股权登记日7月11日,格隆汇
2002,2019-06-30,我们把江苏和浙江上市公司去年的业绩比了下：不同模式下反映的经济缩影,和讯
2003,2019-06-25,苏州银行上市背后：保荐机构独立性存疑 不良率连续三年攀升,凤凰网
2004,2019-06-22,城商行的“资金生意”：消费贷拉动业绩 助贷合作冲规模,中国经营报
2005,2019-06-20,开启网络金融分享新模式，江苏银行推出“直销银行合伙人”功能,金融界
2006,2019-06-18,江苏银行董事长:未来好银行须以区块链实现「基因再造」,算力智库
2007,2019-06-16,上市银行个人消费贷款“众生相”：四大行整体增长不到1% 三家城商行突破千亿大关,每日经济新闻
2008,2019-06-16,天津银行个人消费贷款井喷：一年剧增近8倍 带动业绩上涨,每日经济新闻
2009,2019-06-14,城商行资产投向大盘点,郁言债市日常跟踪
2010,2019-06-09,央行：金融委办公室召开会议，研究维护同业业务稳定工作,Wind
2011,2019-06-06,A股早报2019年6月6日星期四,Wind
2012,2019-06-05,A股共发生63宗大宗交易成交22.27亿元（6月5日）,Wind
2013,2019-06-05,江苏银行今日大宗交易成交6437.76万股，成交价7.17元折价0.55%,Wind资讯
2014,2019-05-28,北上资金抄底55亿，5个交易日这些个股被大幅增持或减持,Wind
2015,2019-05-28,北上资金半天杀入37亿元，5个交易日这些个股被大幅增持或减持,Wind
2016,2019-05-27,“核电一哥”谋A股上市 欲募资150亿,国际金融报
2017,2019-05-26,东方基因收入95%来自海外 冲刺科创板研发占比不到7%,华夏时报
2018,2019-05-24,中间业务止跌回升 不良贷款安全可控,和讯
2019,2019-05-22,江苏银行进入“两万亿俱乐部”,和讯
2020,2019-05-20,20家银行信用卡业务解析：逾期、不良率如何,网贷之家
2021,2019-05-13,聚焦| 银行资管变局与理财业务转型,和讯
2022,2019-05-09,75股获券商买入评级 建发股份目标涨幅达95.92%,Wind
2023,2019-05-08,多家大行被调低评级 券商“偏爱”中小行 投资评级恶化,每日经济新闻
2024,2019-05-08,年内478家公司回购近579亿元 重要股东增持392家公司股份,证券日报
2025,2019-05-04,江苏银行一季度净利37.7亿元同比增长14% 现金流量净额为241亿元,挖贝网
2026,2019-04-30,"天风证券：将江苏银行评级调高为""买入""",Wind
2027,2019-04-30,江苏银行季报点评：零售与小微发力明显，潜力被市场严重低估,志明看金融
2028,2019-04-30,江苏银行2018年净利润同比增逾一成,中国金融新闻网
2029,2019-04-29,银行冠华|江苏银行：营收增长提速，业绩超乎预期,大话金融
2030,2019-04-29,江苏银行一季度净利增14.4%，去年零售贷款同比增四成,澎湃新闻
2031,2019-04-29,江苏银行去年营收352.2亿元 净利130.7亿元 董事长夏平薪酬81万元,挖贝网
2032,2019-04-29,价值与成长兼备 江苏银行年报解密高质量发展之路,中国经营报
2033,2019-04-29,资产规模超两万亿城商行增至三家,证券时报
2034,2019-04-28,资产规模首次站上两万亿！江苏银行一季度营收净利双位数增长，不良率创近五年最低,券商中国
2035,2019-04-28,江苏银行2018年暨2019一季报解读：业绩高增，估值便宜【中泰银行·戴志锋】,传统借贷vs新型金融
2036,2019-04-27,江苏银行(600919.SH)一季度净利润升14.4%至37.71亿元,格隆汇
2037,2019-04-27,江苏银行(600919.SH)2018年净利润升10.02%至130.65亿元 拟10派3.4元,格隆汇
2038,2019-04-27,江苏银行：2018年净利润同比增10.02%,Wind
2039,2019-04-26,金融：银行1季报增速超预期 荐5股,中泰证券
2040,2019-04-24,2万亿骤降和200亿急升！四张图了解两大市场融资的风云变化,Wind
2041,2019-04-23,关于对石旭刚、何珊珊、孙琳、徐造金采取出具警示函措施的决定 其他违规处罚,浙江证监局
2042,2019-04-23,关于对杭州中威电子股份有限公司采取出具警示函措施的决定 其他违规处罚,浙江证监局
2043,2019-04-23,金融：银行股的基金一季报持仓分析占比环比下降0.9% 荐4股,中泰证券
2044,2019-04-22,中民投百日渡劫,中国经营报
2045,2019-04-19,【申万公用环保】江苏国信深度报告：能源+信托双轮驱动 低估值区域火电龙头,申万环保公用
2046,2019-04-17,二季度终端利率下行或放缓 银行板块相对收益可期（附股）,证券时报网
2047,2019-04-14,12家城商行不良率攀升，房贷消费贷增长凶猛,经济观察报
2048,2019-04-12,盘活金融资产 苏常柴A拟参与转融通证券出借交易,证券日报
2049,2019-04-09,谁能连续十年归母净利超10亿？ 独家解密A股白金俱乐部成员,投资时报
2050,2019-04-09,因为这个变化，有公司靠“炒股”业绩暴增30倍！新会计准则的影响到底有多大？,Wind
2051,2019-03-26,江苏银行淮安淮阴支行被罚40万：贷款未按约定使用 其他违规处罚,新浪
2052,2019-03-26,江苏银行淮安开发区支行被罚45万：虚增贷款规模 其他违规处罚,新浪
2053,2019-03-24,【中信建投银行杨荣】银行业周报159期：《中小银行表现亮眼， 年报助力估值修复》,eResearch杨荣团队
2054,2019-03-18,苏银转债申购火爆 江苏银行获大股东增持,中投网
2055,2019-03-16,银行转债受投资者热捧 申购量屡创新高,国际金融报
2056,2019-03-15,江苏银行：获大股东及其一致行动人增持股份,e公司
2057,2019-03-15,多名股东合计增持江苏银行2.24亿股,每日经济新闻
2058,2019-03-15,江苏银行：大股东及一致行动人已累计增持超2亿股,Wind
