,2021-12-31,化工行业2021年11月数据：国内化工行业运行指标跟踪,新浪
2302,2019-03-18,新和成：预计一季度净利润同比下降55%-75% 盈利能力下降,Wind
2303,2019-03-18,新和成：一季度净利预降55%-75% 盈利能力下降,e公司
2304,2019-03-18,医疗保健：行业增速预期有望提升 荐10股,和讯
2305,2019-03-15,陈光明旗下首只公募基金3月21日发售，7个月调研35股,澎湃新闻
2306,2019-03-15,新和成：公司尚未生产销售维生素C,Wind
2307,2019-03-14,A股共发生51宗大宗交易成交18.15亿元（3月14日）,Wind
2308,2019-03-14,新和成今日大宗交易成交60.71万股，成交价17.66元折价4.85%,Wind资讯
2309,2019-03-13,孔明直播：《3月13日热点信息+个股公告》,中金在线
2310,2019-03-12,"化工行业周报:油价维持平稳,继续关注中下游及新材料龙头",上海证券
2311,2019-03-11,无惧猪瘟！这个原料药小品种需求反弹 历史底价启动上涨 两家A股龙头率先受益；接力边缘计算！“电力物联网”成国家电网战略重心 终端数将暴涨4倍达20亿 三只产业链个股自带资产注入预期【3月11日必看研报】,和讯
2312,2019-03-08,全周净流出再超千亿元，利欧股份冲击涨停2日累涨21%！下周留意这只电子概念股,每日经济新闻
2313,2019-03-08,厂商提高VE产品报价 涨幅逾14%,中证网
2314,2019-03-08,医药生物行业2018年报前瞻:行业增速预期有望提升、加大配置中小市值标的,正点财经
2315,2019-03-07,高位收星，调整将至？浪潮信息3日累涨28%！明日留意这只维生素概念股,每日经济新闻
2316,2019-03-07,03月07日 主力资金抢筹最积极的前10股（附名单）,每日经济新闻
2317,2019-03-07,"新和成:环比改善,19年值得期待",正点财经
2318,2019-03-07,维生素板块盘中异动 新和成冲击涨停,证券时报网
2319,2019-03-07,维生素概念大涨，新和成涨近8%,Wind
2320,2019-03-06,莫尼塔：VE涨价可期 浙江医药有望获利,和讯
2321,2019-03-05,"基础化工行业周报:关注新开工补库存机会,关注环保后周期投产增收的个股",东北证券
2322,2019-03-04,新和成：VA供给依然偏紧 VE格局重塑 上调目标价,证券时报网
2323,2019-03-03,【中银医药】行业增速预期有望提升、加大配置中小市值标的---医药生物行业2018年报前瞻,周观宇论
2324,2019-02-26,新和成2018年净利31亿增长81% 产品价格大幅上升,挖贝网
2325,2019-02-26,新和成：2018年净利同比增80.94%,中证网
2326,2019-02-26,A股头条之上市公司公告精选（2.27）,金融界
2327,2019-02-26,26日晚间公告精选：一大波公司发布年报业绩！比亚迪2018年净利润降幅超30%,21世纪经济报道
2328,2019-02-26,2月26日上市公司晚间公告速递,新浪
2329,2019-02-26,新和成2018年净利30.84亿元 多家公司公布业绩,中金在线
2330,2019-02-26,新和成：2018年净盈利30.84亿元,金融界
2331,2019-02-26,新和成：2018年净利润同比增80.94%（快报）,Wind
2332,2019-02-26,新和成(002001.SZ)2018年度净利润升80.94%至30.84亿元,格隆汇
2333,2019-02-20,1月医药大事件之榜单篇：多样排名出炉,制药网
2334,2019-02-19,43股获券商买入评级 傲农生物目标涨幅达37.83%,Wind
2335,2019-02-16,年报预告数据分析重磅出炉！这些板块牛股多,巨丰财经
2336,2019-02-14,天风策略:19年最大的特点是估值修复 推荐超跌组合,新浪
2337,2019-02-14,84.46%的浙江上市公司年报预告“跑盈”市场,全景网
2338,2019-02-14,财融汇·日间资讯,财通证券融资融券部
2339,2019-02-11,猪年二十大潜力股：业绩、机构持股、评级大PK,证券时报
2340,2019-02-11,【天风Morning Call】晨会集萃20190211,天风研究
2341,2019-01-28,银保监会鼓励险资加仓A股 蓝筹保险迎利好,中证报
2342,2019-01-28,【川财研究所*深度报告】化工：维生素A短期供给收缩，需求有望增长,川财研究
2343,2019-01-28,调研数据显露主力布局意图 多公司被10家以上机构调研,证券日报
2344,2019-01-25,01月25日 盘中突破半年线个股一览,每日经济新闻
2345,2019-01-23,新和成：没有维生素A扩产计划 投建项目为维生素E产品,e公司
2346,2019-01-23,[互动]新和成：目前没有维生素A的扩产计划,全景网
2347,2019-01-23,药品集中采购和使用试点方案出台 医药股受机构推荐,证券日报
2348,2019-01-18,116家生物医药公司披露业绩预告 逾八成预喜,证券日报
2349,2019-01-16,券商简报0116：*ST长生退市 券商股权质押烂账,新浪
2350,2019-01-16,【异动股】医药板块涨幅居前 第一医药(600833-CN)涨停,财华社
2351,2019-01-16,上半月机构调研仍偏爱中小创,投资快报
2352,2019-01-16,开年9个交易日 券商密集“拜访”112家上市公司,证券日报
2353,2019-01-15,年报预热！机构、股东、高管争相买入这些业绩暴增股,证券时报
2354,2019-01-15,医药类上市公司披露2018年成绩单，近八成预喜,制药网
2355,2019-01-14,2018，至少8家药企全年净利润超10亿元,制药网
2356,2019-01-14,基金早报：商品期货ETF将出 A股ETF份额减逾21亿份,新浪
2357,2019-01-14,机构调研热情显著回升 医药生物行业上市公司受关注,中证报
2358,2019-01-14,一周机构去哪儿？朱雀投资、南方基金等调研了这些个股（名单）,证券时报网
2359,2019-01-13,机构突然青睐传媒股，为何？,21世纪经济报道
2360,2019-01-13,这家公司一周获140家机构调研，最大亮点是这个！,e公司
2361,2019-01-09,“深圳”基金和“浙江”基金,金融界
2362,2019-01-04,【中原证券】中原证券研究所公众号改版上线了！,中原证券研究所
2363,2019-01-04,中原证券研究所公众号改版上线了！,中原证券研究所
2364,2019-01-02,"化工行业:油价持续下行,pta、tdi大幅下跌",正点财经
2365,2019-01-02,新和成：新能源汽车行业对PPS需求不可估量，环保领域潜力也很大,Wind
2366,2018-12-25,新和成：获第20届中国专利金奖,e公司
2367,2018-12-24,A股共发生91宗大宗交易成交16.15亿元（12月24日）,Wind
2368,2018-12-24,新和成今日大宗交易成交43万股，成交价13.7元折价6.87%,Wind资讯
2369,2018-12-24,11月医药大事件之榜单篇：各大排名陆续出炉,制药网
2370,2018-12-24,机构调研电子行业 关注芯片、新能源概念股,中证报
2371,2018-12-23,为私募大佬重仓的安迪苏泼点冷水：计算过蛋氨酸行业产能后，我对未来十年供需关系感到担心,阿尔法工场
2372,2018-12-22,下周需要重点规避的解禁潮（12月24日至12月28日）——骑牛看熊淘金学堂,云掌财经
2373,2018-12-21,下周936亿市值限售股解禁，环比增加156% 解禁,Wind
2374,2018-12-19,市值风云：疯狂的维生素业 为啥暴涨暴跌？,金融界
2375,2018-12-19,"联讯化工行业2019年度投资策略报告:短期规避油价扰动,把握穿越周期品种",联讯证券
2376,2018-12-18,化工：油价企稳回升 荐3股,和讯
2377,2018-12-18,维生素A后续看涨气氛浓厚，欧洲报价超国内六成,Wind
2378,2018-12-18,【化工】环氧丙烷触底反弹，下游软泡聚醚成本推升价格上涨,天风研究
2379,2018-12-18,联讯化工行业周报及观点:原油天然气双双回落,联讯证券
2380,2018-12-17,[快讯]新和成29750万限售股12月24日解禁,中财网
2381,2018-12-17,操盘必读：12月17日证券市场要闻,财界网
2382,2018-12-17,50家上市公司本周解禁市值692亿 解禁,证券时报
2383,2018-12-14,下周解禁超700亿元,大众证券报
2384,2018-12-14,下周720亿市值限售股解禁，环比增加49.45% 解禁,Wind
2385,2018-12-13,"化工行业:VA报价突破500元,纯碱和正丁醇涨价",正点财经
2386,2018-12-12,持续“地量”，A股估值处于历史大底位置,证券日报
2387,2018-12-12,A股整体市盈率不足14倍 38只年报预喜低估值股吸金2亿,证券日报
2388,2018-12-11,沪深上市公司18年12月11日晚间上市公司重要公告,全景网
2389,2018-12-11,12月11日上市公司晚间公告速递,新浪
2390,2018-12-11,新和成：拟推2.05亿元员工持股计划,e公司
2391,2018-12-11,蛋氨酸产能隐忧 安迪苏增收难增利,证券市场周刊
2392,2018-12-11,化工行业：OPEC达成减产协议 油价企稳回升,联讯证券
2393,2018-12-10,【盘中动态】维生素板块尾盘异动,每日经济新闻
2394,2018-12-10,维生素板块尾盘异动，多股拉升翻红,Wind
2395,2018-12-07,要闻速递：12月7日证券市场消息汇总,财界网
2396,2018-12-07,维生素A价格较上月同期涨近1倍 7只受益股逆市上涨,证券日报
2397,2018-12-06,涨价因素驱动 维生素概念股持续走强,证券时报网
2398,2018-12-06,涨价因素持续驱动，维生素板块全线上扬,Wind
2399,2018-12-06,热点追踪：维生素传统旺季来临，关注受益产业链板块,国元财富管理
2400,2018-12-06,12月6日宏观消息：中国将加大美国商品进口,财界网
2401,2018-12-06,财闻点金：我国投资规模最大国家级商业航天项目启动,巨丰财经
2402,2018-12-05,维生素传统旺季来临 产品价格涨不停,e公司
2403,2018-12-05,29股获券商买入评级，跨境通目标涨幅达131.07%,Wind
2404,2018-12-04,浙商证券：上调新和成评级至买入,Wind
2405,2018-12-04,【西南证券—维生素行业动态报告】VA价格大幅上涨，维生素行业景气度持续,化工林谈
2406,2018-12-04,A股市场各大指数成份股密集调整 6股成多个指数新宠,证券时报
2407,2018-12-04,本周操盘攻略：解禁市值环比大幅减少 解禁,Wind
2408,2018-12-04,五大指数新调入87只股票 机构集中推荐14只龙头股,证券日报
2409,2018-12-03,2018年，国内17家大型原料药企业绩概览,制药网
2410,2018-12-03,维生素板块再度上攻，亿帆医药冲击涨停,Wind
2411,2018-12-03,快讯：维生素板块午后走强 亿帆医药大涨8%,新浪
2412,2018-12-03,【盘中动态】维生素板块再度走强,每日经济新闻
2413,2018-12-03,热点追踪：股指期货交易松绑，关注受益概念股,国元财富管理
2414,2018-12-03,要闻速递：12月3日证券市场消息汇总,财界网
2415,2018-12-03,上游巨头巴斯夫运输或受阻 VA单月涨幅翻倍(受益股),金融界
2416,2018-12-03,百只低估值绩优股成关注焦点 机构联袂推荐4只个股,证券日报
2417,2018-12-02,原料短缺库存偏低 11月份维生素A市场价格大涨87%,中证网
2418,2018-12-01,近一个月内涨了50%，维生素为何如此疯狂？,和讯
2419,2018-11-30,维A价格30天翻倍，涨价曲线陡峭堪比上轮行情,Wind
2420,2018-11-30,维生素概念早盘震荡拉升 华北制药大涨近7%,证券时报网
2421,2018-11-28,成分股将迎年内第二次调整 33股或潜在受益,大众证券报
2422,2018-11-28,融资客青睐17股，东方集团买入占比高达42.27%,Wind
2423,2018-11-28,"医药行业周报:集采补充文件发布,强者恒强加速布局",渤海证券
2424,2018-11-27,75亿资金悄然流出 今日主力撤离十类股,证券之星
2425,2018-11-27,苏州积极支持苏州国芯科创板上市 相关参股公司望受益,东海通财富
2426,2018-11-27,化工行业:积极关注新材料成长优质公司和周期头部标的,中证网
2427,2018-11-26,短期重点关注上证50权重股方向选择,北京晨报
2428,2018-11-26,减持潮涌动！月内重要股东套现145亿 减持家数创半年新高,证券时报网
2429,2018-11-26,财融汇·早间必读 | 20181126,财通证券融资融券部
2430,2018-11-26,融资盘回流速度减缓 反弹一波三折,投资快报
2431,2018-11-26,【医药】周报：医药板块仍具有较好配置价值，集采方案逐步落地边际效应减弱,中银国际证券研究
2432,2018-11-26,本周操盘攻略：解禁市值环比大幅减少 解禁,Wind
2433,2018-11-26,【化工】VA、VE继续大幅上涨，原油加速急跌,天风研究
2434,2018-11-26,估值处于相对底部区域，医药板块迎来修复行情,证券时报
2435,2018-11-25,热点逐步退场一日游行情再现 市场修整阶段关注这些机会,巨丰财经
2436,2018-11-24,维生素轮番提价 龙头股迎来暖冬,投资快报
2437,2018-11-24,反弹后大幅回调 机构热情下降标的分散,大众证券报
2438,2018-11-23,你常吃的这个小东西，最近大涨价！但有人看到了“钱”景，准备下手了,央视
2439,2018-11-23,319亿资金争夺20股：主力资金重点出击4股(名单),新浪
2440,2018-11-23,当前行情下，值得重视的事！,云掌财经
2441,2018-11-23,【超级大单】 11月23日 8只个股特大单净流入超亿元,每日经济新闻
2442,2018-11-23,11月23日 主力资金近三日都在买这些概念股,每日经济新闻
2443,2018-11-23,维生素概念午后异动，兄弟科技大涨7%,Wind
2444,2018-11-23,财融汇·早间必读 | 20181123,财通证券融资融券部
2445,2018-11-23,热点追踪：多举措支持工业互联网，关注受益产业链板块,国元财富管理
2446,2018-11-23,产品价格走高 行业景气度持续 维生素板块受到机构青睐,大众证券报
2447,2018-11-23,【信达看盘】2018.11.23,信达证券上海
2448,2018-11-23,市场量能萎缩 创业板概念股集体退潮,新浪
2449,2018-11-23,大盘震荡整理 机构追买医药股,金融投资报
2450,2018-11-23,指数成分股将调整，机构紧盯套利机会,中证报
2451,2018-11-23,原料药涨价卷土重来 龙头企业马不停蹄涨停,证券日报
2452,2018-11-23,【华泰中小盘孔凌飞团队】中小市值每日资讯11.22,华泰中小市值
2453,2018-11-22,【22日资金路线图】主力资金净流出145亿 龙虎榜机构抢筹3股,证券时报网
2454,2018-11-22,11月22日A股龙虎榜揭秘，机构抢筹3股,Wind
2455,2018-11-22,壳龙头回封第10板！赵老哥佛山两大游资3700万清盘离场 减资破产,中财网
2456,2018-11-22,复盘者联盟：A股高开低走沪指止跌反弹，维生素创投板块逆势微涨,腾讯网
2457,2018-11-22,龙虎榜：国内半导体龙头股底部有望迎来第二波反弹,巨丰财经
2458,2018-11-22,今日大盘：缺乏主线领涨，市场进入滞涨,股涨通
2459,2018-11-22,新和成龙虎榜数据（11月22日）,Wind
2460,2018-11-22,多只维生素概念股今日涨停，机构炒作积极,Wind
2461,2018-11-22,后抽确认更有效 明日三大看点,中财网
2462,2018-11-22,涨停板解密：三板块个股逆市火爆！（11月22日）,Wind
2463,2018-11-22,A股市场资金变动一览（11月22日）,Wind
2464,2018-11-22,十大博客看后市：缩量震荡静静等待重要变盘来临,新浪
2465,2018-11-22,两市股指缩量震荡 汽车板块午后拉升,第一财经
2466,2018-11-22,今天涨停股票名单：2018年11月22日股市涨停股揭秘分析,南方财富网
2467,2018-11-22,天信投资：股指窄幅整理 存量资金博弈,中金在线
2468,2018-11-22,揭秘涨停板：维生素价格大涨 新和成等4股涨停,腾讯网
2469,2018-11-22,284亿资金争夺20股：主力资金重点出击7股(名单),新浪
2470,2018-11-22,涨停板复盘:三大股指高开低走齐收绿 汽车股尾盘异动,新浪
2471,2018-11-22,11月22日 42只股票封板 船舶制造板块涨幅最大,每日经济新闻
2472,2018-11-22,11月22日 主力资金抢筹最积极的前10股（附名单）,每日经济新闻
2473,2018-11-22,11月22日 主力资金近三日都在买这些概念股,每日经济新闻
2474,2018-11-22,A股高开低走沪指收盘跌0.23% 钢铁、券商股领跌,腾讯网
2475,2018-11-22,收评：沪指高开低走跌0.23% 汽车板块尾盘异动,新浪
2476,2018-11-22,维生素概念午后爆发 多股涨停,e公司
2477,2018-11-22,维生素概念全线大涨，新和成等4股涨停,Wind
2478,2018-11-22,巨丰热点：维生素涨价刺激概念股活跃,巨丰财经
2479,2018-11-22,维生素板块走升带动医药股整体活跃，亿帆医药大涨7%,Wind
2480,2018-11-21,新和成：公司维生素产品产销均正常 维生素涨价有利于公司提升业绩,e公司
2481,2018-11-19,新政优化医药产业结构 超10家机构推5只年报预喜股,证券日报
2482,2018-11-14,【国元资讯早班车】历史新高！创业板成交量爆炸，踏空应如何弥补？,国元证券订阅号
2483,2018-11-13,巨丰热点前瞻：外盘调整国内承压 关注市场结构性机会！,巨丰财经
2484,2018-11-12,432亿再加仓 五概念受追捧或成年尾主线,证券之星
2485,2018-11-09,"安迪苏2018年3季报点评:特种产品毛利回升,蛋氨酸价格短期或将维持强势",光大证券
2486,2018-11-09,"化工行业点评:维生素A价格反弹,行业景气持续",国联证券
2487,2018-11-07,维生素板块迅速走强，圣达生物领涨6%,Wind
2488,2018-11-06,维生素小品种报价一周翻倍 行业涨价潮一触即发,e公司
2489,2018-11-06,双十一来了！快递公司忙调价 北上资金超百亿增持大消费,证券时报
2490,2018-11-06,“绩优生”扎堆建筑材料等三行业 8只个股被机构推荐,证券日报
2491,2018-11-05,【中银医药】医药生物行业2018年三季报综述——行业整体收入和扣非利润保持20%的增速中枢,周观宇论
2492,2018-11-05,【平安医药】生物医药行业2018年三季报综述：医药2018Q3收入回暖，利润承压，子行业分化加剧,A叶寅A医药行业研究
2493,2018-11-05,前三季度17家药企净利润超过10亿元,米内网
2494,2018-11-05,7家药企全年净利润有望超过30亿元,制药网
2495,2018-10-30,190家药企披露三季报,医药观察家网
2496,2018-10-29,新版基本药物目录实施在即 六股有掘金机会,证券日报
2497,2018-10-25,热点追踪：铁矿石供需改善景气提升，关注受益产业链板块,国元财富管理
2498,2018-10-25,多维度挖掘上市公司业绩行情 谨防业绩“地雷”风险,深圳商报
2499,2018-10-24,89亿净资金杀跌流出 机构恐慌逃离十大股,证券之星
2500,2018-10-24,76家公司三季度净利润实现同比翻番 机构推荐10股,证券日报
2501,2018-10-23,303股率先发布年报预告 近八成公司年报业绩预喜,大众证券报
2502,2018-10-23,社保、QFII等持仓动向浮现 海康威视等白马股仍受外资青睐,证券时报网
2503,2018-10-23,从全产业链模式布局看中医药龙头康美药业的“韧劲”,新华网
2504,2018-10-23,逾百家公司披露三季报 18股获社保基金青睐,证券时报
2505,2018-10-22,【兴业定量任瞳团队】事件雷达20181022：新和成等公司年报业绩预增！,XYQUANT
2506,2018-10-22,【个股公告】今日公布重磅利好,金元证券指定乾坤
2507,2018-10-22,上市公司正负面新闻2018年10月22日星期一,Wind
2508,2018-10-21,公告精选：中国联通前三季净利预增164% 今年首份上市银行三季报披露 郑州银行前三季净利同比增2.51%,e公司
2509,2018-10-21,晚间重要公告2018年10月21日星期日,Wind
2510,2018-10-21,新和成前三季净利同比增182% 多家公司公布业绩-更新中,中财网
2511,2018-10-21,新和成前三季度实现净利润25.37亿元 同比增长191.6%,金融界
2512,2018-10-21,新和成：前三季净利同比增182%，预计全年盈利增长70%至100%,Wind
2513,2018-10-21,新和成：前三季净利同比增182% 预计全年盈利增长70%至100%,e公司
2514,2018-10-21,新和成：前三季度净利润25.37亿元同比增长181.60%,Wind
2515,2018-10-16,179家上市药企披露业绩预告,医药观察家网
2516,2018-10-16,三季报行业展望之（二）医药生物：逾七成五公司三季报预喜,投资快报
2517,2018-10-12,金禾实业，低估还是市盈率陷阱,证券市场周刊
2518,2018-10-12,107家公司披露三季报预告 10家业绩增幅同比超100%,证券日报
2519,2018-09-29,2018上半年医药制造行业概览：行业总体进入调整期 一致性评价进程提速,每日经济新闻
2520,2018-09-29,强势再上2800点，长假后或再迎上升！留意这只化工股,火山财富
2521,2018-09-28,09月28日 主力资金抢筹最积极的前10股（附名单）,每日经济新闻
2522,2018-09-28,【超级大单】 09月28日 3只个股特大单净流入超亿元,每日经济新闻
2523,2018-09-28,医疗生物中期业绩趋势向好高端医疗器械存机会,顶尖财经网
2524,2018-09-27,医药行业向来是一片创新研发“沃土” 医药板块未来可期,证券日报
2525,2018-09-27,医药创新再迎政策激励 7只低估值业绩预喜股潜力足,证券日报
2526,2018-09-26,新安股份前三季预增405% 多家公司公布业绩-更新中,中财网
2527,2018-09-26,三季报行情倒计时 这些公司高预增且存在低估,证券时报网
2528,2018-09-26,131只个股有望实现中报三季报业绩双翻番,证券日报
2529,2018-09-26,近七成公司三季报业绩预喜 4家公司业绩表现抢眼,证券日报
2530,2018-09-25,富国基金毕天宇上任成“导火索”，旗下3基金业绩分化明显,和讯
2531,2018-09-21,多股被上调评级 业绩增长是重要动力 6股大吸金,证券之星
2532,2018-09-21,84家药企发布三季报业绩预告 24家预计净利涨幅超50%,证券日报
2533,2018-09-21,机构把脉A股四季度行情 配置思路坚守稳健与成长平衡,证券日报
2534,2018-09-20,新和成：25万吨蛋氨酸项目将在2020年陆续建成投产,Wind
2535,2018-09-20,新和成：25万吨蛋氨酸项目将在2020年陆续建成投产,e公司
2536,2018-09-20,维生素B2一度长期断供 维生素概念股或迎腾飞（附股）,南方财富网
2537,2018-09-20,Science：重磅！揭示发现一种新的细胞内蛋白运送途径----ER-SURF,生物谷
2538,2018-09-19,恒泰证券：沪深两市放量反攻基建股王者归来,恒泰证券
2539,2018-09-19,269亿资金入场抄底,金融投资报
2540,2018-09-19,广济药业跳空上攻,中证报
2541,2018-09-19,放量反弹大单动向成焦点 三因素筛出131只潜力股,证券日报
2542,2018-09-18,期指集体反弹翻红 IH主力涨幅超2%,证券之星
2543,2018-09-18,周二午间策略：关注能否站上5日均线 当下重点布局大金融板块,中证网
2544,2018-09-18,维生素B2一度长期断供 维生素涨价概念股有哪些,金融界
2545,2018-09-18,维生素概念股早盘走强 广济药业涨停,证券时报网
2546,2018-09-18,巨丰热点：维生素概念活跃 广济药业涨停,巨丰财经
2547,2018-09-18,快讯：维生素板块表现强势 广济药业强势封板,新浪
2548,2018-09-18,维生素板块盘初走强，广济药业率先涨停,Wind
2549,2018-09-18,热点追踪：LNG 多地价格上涨，关注受益板块,国元财富管理
2550,2018-09-17,维生素B2一度长期断供 目前价格已上涨3倍,中证网
2551,2018-09-15,86家药企晒三季度业绩预告：4家净利润超10亿元 2家首亏 亏损,米内网
2552,2018-09-15,上市公司三季报预报 超六成公司预喜,金融时报
2553,2018-09-10,8月医药大事件之榜单篇：特色排行榜增多，更具参考价值,制药网
2554,2018-09-10,一线龙头股净利润增速抢眼 12只股三季度业绩有望大增,证券时报
2555,2018-09-08,中报过后机构调整盈利预测52股今年盈利被调高逾一倍,搜狐
2556,2018-09-06,9月6日券商晨会研报汇编,证券日报
2557,2018-09-05,271项国家科学技术奖获奖项目将集中亮相第六届科博会,中新网
2558,2018-09-05,123家公司三季报业绩有望翻番 机构扎堆推荐8只白马股,证券日报
2559,2018-09-03,多项政策护航医药行业 南华中证杭州湾区ETF顺势推出,证券日报
2560,2018-09-03,这些药企，半年净赚20亿（附280家药企最新销售业绩）,赛柏蓝
2561,2018-09-02,三季报中寻牛股:129家公司业绩翻倍七行业增长确定,中证网
2562,2018-08-31,【独家】半年报数据说：10家原料药企业净利润增长超100%，海普瑞、浙江医药、鲁抗医药、新和成、科伦药业在列,药智网
2563,2018-08-31,周期“王者归来”，A股半年报业绩榜单登场,Wind
2564,2018-08-31,三季报业绩预喜公司超五成 120多家公司业绩或翻番,证券时报
2565,2018-08-31,290家生物医药公司实现营收7045亿元 超七成净利润增长,证券日报
2566,2018-08-30,医药行业交9年来最好成绩单 研发投入加码,证券时报
2567,2018-08-29,上半年近七成公司利润增长 71只业绩大增股获增持,大众证券报
2568,2018-08-29,中报披露证金汇金最新动向 3视角透视152只增仓股升机,证券日报
2569,2018-08-28,上半年净利润超10亿！6家医药企业继续高歌猛进！,制药网
2570,2018-08-28,[强于大市评级]化工行业周报：PTA、涤纶长丝继续涨价 聚合MDI、橡胶助剂价格下行,中财网
2571,2018-08-28,A股市盈率不足15倍 逾21亿元大单涌入10只低估值股,证券日报
2572,2018-08-27,淡水泉加仓成长股 景林高毅新进多只个股,中证网
2573,2018-08-25,79家公司前三季度净利望同比翻番 逾5亿大单涌入8只股,证券日报
2574,2018-08-25,新和成上半年净利同比增251.32%,中证报
2575,2018-08-25,659份三季报业绩预告出炉 三大投资亮点抢先看,证券日报
2576,2018-08-24,方正证券：上调新和成评级至强烈推荐,Wind
2577,2018-08-24,[优于大市评级]新和成(002001)半年报点评：2018年上半年净利润20亿元同比增251% 看好新项目投产的长期成长空间,中财网
2578,2018-08-24,多项政策护航医药行业南华中证杭州湾区ETF顺势推出,全景网
2579,2018-08-24,[增持评级]新和成(002001)半年报点评：维生素业务波动剧烈 蛋氨酸奠定高成长,中财网
2580,2018-08-24,[审慎增持评级]新和成(002001)中报点评：业绩同比大幅增长 拟投建新维生素E项目,中财网
2581,2018-08-24,[买入评级]新和成(002001)半年报点评：三季度业绩有望环比改善 成长属性逐渐凸显,中财网
2582,2018-08-23,[推荐评级]花园生物(300401)事件点评：自周期提价逻辑不变 公司3季度业绩超预期,中财网
2583,2018-08-23,13家上市公司利好消息提前知道,中财网
2584,2018-08-23,A股情报：市场近期或有大震荡,凤凰网
2585,2018-08-22,新和成：2018年前三季度业绩报告预告,深交所
2586,2018-08-22,A股头条之上市公司公告精选（8.23）,金融界
2587,2018-08-22,新和成上半年净利20.6亿同比增2.5倍 维生素A价格大涨,金融界
2588,2018-08-22,新和成：上半年净利超20亿元 同比增251%,e公司
2589,2018-08-22,新和成：上半年净利润同比增251.32%,Wind
2590,2018-08-21,[推荐评级]化工行业周报：出口情况良好、人民币汇率贬值支撑醋酸价格 环氧丙烷-聚醚多元醇产业链提价,中财网
2591,2018-08-20,[强于大市评级]化工行业研究周报：聚酯产业链继续涨价 磷化行业有望复苏,中财网
2592,2018-08-20,8月20日券商晨会研报汇编,证券日报
2593,2018-08-20,1052份中报预计本周出炉 三大指标勾勒淘金路线图,证券日报
2594,2018-08-19,【申万宏源化工周观点】PTA价差创新高，CPL、PA66价格上涨，关注成长反弹与超跌周期,申万宏源化工投资
2595,2018-08-16,[买入评级]金禾实业(002597)中报点评：剔除华尔泰业绩保持稳健增长 定远项目+可转债变更助力内生增长步伐坚实,中财网
2596,2018-08-14,【东北固收李勇·信用债风险及关注信息周报】（2018.8.6-2018.8.10）（2018年第31期）,李勇宏观债券研究
2597,2018-08-13,维生素概念拉升 浙江医药涨3%,证券时报网
2598,2018-08-13,午后维生素概念异动 兄弟科技涨停,金融界
2599,2018-08-12,[增持评级]中国减少大豆进口对氨基酸行业影响的点评：推广低蛋白日粮配方 将增加赖氨酸、苏氨酸、蛋氨酸用量,中财网
2600,2018-08-10,大型炼化装置的盈利与油价——民营大炼化普及系列之七,化海锋云
2601,2018-08-09,今日1669只个股突破五日均线,证券时报
2602,2018-08-08,打造“世界级大湾区”浙江大湾主题投资站上“风口”,顶尖财经网
2603,2018-08-06,2017医药工业百强企业正视研发差距 盈利能力持续提升,制药网
2604,2018-08-03,药者仁心暖人心 7家药企上榜福布斯慈善榜,制药网
2605,2018-08-02,新和成：子公司发生安全事故，4人受伤,Wind
2606,2018-07-31,[强于大市评级]化工行业研究周报：PX和TDI涨价 万华上调8月聚合MDI价格,中财网
2607,2018-07-31,产业资本携50亿参与筑底行情 增持股显四大特征有钱途,证券日报
2608,2018-07-30,维生素价格大幅波动：花园生物中报净利翻倍 有人欢喜有人愁,e公司
2609,2018-07-27,[买入评级]安迪苏(600299)中报点评：蛋氨酸价格有望回升 主要产品销量持续增长,中财网
2610,2018-07-24,快讯:猪价上涨带动需求 维生素E价格回升,百川盈孚
2611,2018-07-24,生物医药行业上半年成绩优异,新京报
2612,2018-07-23,"[互动神回复]加班多吗?辰安科技:无失饮食之适,无绝人马之力",全景网
2613,2018-07-23,[强于大市评级]化工行业研究周报：TDI和MDI涨价 关注陶氏装置不可抗力影响,中财网
2614,2018-07-18,【医药制造概念股龙头】机构扎堆看好医药制造业7只个股,证券日报
2615,2018-07-18,[互动]新和成：每年三季度对生产线进行检,全景网
2616,2018-07-17,[推荐评级]化工行业周报：高效氯氟氰菊酯领涨农药产品 维生素价格普涨 国产LNG、DMF价格走高,中财网
2617,2018-07-17,深市近九成公司披露中报预告：基础稳固促业绩持续增长,中国金融新闻网
2618,2018-07-16,火爆电影催生医药主题继续活跃,红周刊
2619,2018-07-16,[强于大市评级]化工行业研究周报：MDI和TDI涨价 巴斯夫百亿乙烯项目落户广东,中财网
2620,2018-07-15,深市公司2018年半年度业绩持续增长 市场平稳运行的业绩基础稳固,深交所
2621,2018-07-09,新和成开启新成长 打造精细化工领先企业,全景网
2622,2018-07-08,新和成董事长：要做国际著名的化工企业,e公司
2623,2018-07-08,新和成董事长：维生素E价格现在已经很低,e公司
2624,2018-07-08,采访札记丨新和成为什么到东北去投资,e公司
2625,2018-07-08,医药生物：逾九成公司中报预喜 有望继续走强,投资快报
2626,2018-07-06,7月6日有67家公司获重要股东增减持 蓝光发展已被连续增持57次,Wind
2627,2018-07-06,新和成：7月5日融资余额为14.9亿元，较前一日骤降5.12%,Wind资讯
2628,2018-07-06,150家公司中报业绩有望翻番 82只超跌白马股蕴藏投资机会,证券日报
2629,2018-07-05,数据王：5只医药股资金净流出均超1亿元 短线仍需谨慎,巨丰财经
2630,2018-07-05,维生素概念股广济药业：受益VB2和VB6涨价,南方财富网
