,2021-12-31,电子行业研报：车规半导体空间足，国产替代提速【华西电子团队】,每经网
2345,2020-07-02,电子行业中报展望专题：电子行业2020年中报业绩展望,新浪
2346,2020-07-02,科技行业日报：中芯国际将开启申购 国产替代逻辑长存,新浪
2347,2020-07-01,电子行业2020年中报业绩展望：电子行业中报展望专题,新浪
2348,2020-07-01,北向资金上半年狂赚1600亿，买了这些股（附名单）,中证报
2349,2020-06-29,40股获券商买入评级 中金黄金目标涨幅达48.33%,Wind
2350,2020-06-28,本周8家上市公司发布可转债预案，融资总规模达170.82亿元,Wind
2351,2020-06-26,MLCC代理商商络电子创业板上市申请获受理,搜狐
2352,2020-06-24,紫光集团入选福布斯中国最具创新力企业榜TOP50,工业新闻网
2353,2020-06-24,历史首次！交易所紧急预警：5只A股将被外资买爆,中国基金报
2354,2020-06-24,上市公司正负面新闻2020年6月24日星期三,Wind
2355,2020-06-23,电子行业2020年下半年投资策略：一个世界两套系统 创新重启加速替代,光大证券
2356,2020-06-23,晚间重要公告2020年6月23日星期二,Wind
2357,2020-06-23,芯片第一股诞生！千亿国芯企业登顶，成就身家500亿芯片首富,搜狐
2358,2020-06-23,韦尔股份：控股股东一致行动人及董事拟减持股份 拟减持股份,e公司
2359,2020-06-23,韦尔股份(603501.SH)：控股股东一致行动人、董事、高管拟减持不超283.005万股 拟减持股份,格隆汇
2360,2020-06-23,韦尔股份：控股股东一致行动人合计拟减持不超过总股本0.3277% 拟减持股份,Wind
2361,2020-06-23,韦尔股份拟募资30亿，加速进击CIS！,国际电子商情
2362,2020-06-23,韦尔股份(603501)：公司拟公开发行可转换公司债券 持续加码布局CIS 领域,广发证券
2363,2020-06-23,中银证券：半导体产业持续推进 建议关注韦尔股份等,证券时报网
2364,2020-06-23,韦尔股份：光学创新不停息，CIS领军者加速进击,证券时报网
2365,2020-06-22,机构看好这些半导体产业股票,第一财经
2366,2020-06-22,电子设备行业专题研究：新技术及新应用出现 CIS市场有望持续成长,新浪
2367,2020-06-22,上市公司正负面新闻2020年6月22日星期一,Wind
2368,2020-06-22,中泰金工可转债发行跟踪周报(0621),ZTQuant
2369,2020-06-20,中国民营芯片设计企业Top10：韦尔股份第一，市值1590亿,搜狐
2370,2020-06-20,上市公司正负面新闻2020年6月20日星期六,Wind
2371,2020-06-19,本周13家上市公司发布可转债预案，融资总规模达249.60亿元,Wind
2372,2020-06-19,晚间重要公告2020年6月19日星期五,Wind
2373,2020-06-19,股指周评：强者恒强还是强弩之末？,新浪
2374,2020-06-19,韦尔股份拟公开发行可转债募资不超30亿元 用于CMOS图像传感器产品升级等项目,发布易
2375,2020-06-19,韦尔股份：拟发行可转债募集资金不超30亿元,证券时报网
2376,2020-06-19,韦尔股份(603501.SH)拟公开发行不超30亿元可转债,格隆汇
2377,2020-06-19,韦尔股份：拟发行不超过30亿元可转债用于晶圆测试生产线,Wind
2378,2020-06-19,快讯：半导体板块午后拉升 韦尔股份、大唐电信涨5%,新浪
2379,2020-06-19,半导体板块拉升，韦尔股份、大唐电信、闻泰科技、汇顶科技、兆易创新等集体上扬,Wind
2380,2020-06-18,科技行业日报：160亿元第三代半导体产业项目落户长沙,新浪
2381,2020-06-18,中国芯片设计10强民营企业出炉：韦尔股份、汇顶科技、兆易创新列前三,金融界
2382,2020-06-18,【早安新时代】晨会早读：2020/06/18：今日关注韦尔股份、中文在线,新时代证券研究
2383,2020-06-17,40股今日获机构买入评级 8股上涨空间超20%,证券时报网
2384,2020-06-17,韦尔股份(603501.SH)：控股股东虞仁荣解除质押500万股,格隆汇
2385,2020-06-17,千亿芯片巨头暴涨 外资扫货这些芯片股,证券时报
2386,2020-06-16,卓胜微、韦尔股份盘中跳水压制芯片板块,Wind
2387,2020-06-15,3205家上市公司一季度研发投入榜：中石油投入近40亿，韦尔股份同比增速超12倍,零壹财经
2388,2020-06-12,半导体板块领跌大市，三安光电、韦尔股份等跌超4%,Wind
2389,2020-06-11,芯片板块几乎回吐日内2%升幅，卓胜微、韦尔股份均跌2%左右,Wind
2390,2020-06-10,韦尔股份：控股股东虞仁荣500万股解除质押,每日经济新闻
2391,2020-06-10,韦尔股份：变更财务顾问主办人,Wind
2392,2020-06-09,半导体板块午后延续升势，卓胜微、韦尔股份、南大光电等均大涨,Wind
2393,2020-06-08,电子行业周报：景气度复苏 关注电子板块低位布局机遇,新浪
2394,2020-06-04,A股最新动向：2大主力资金同一天发力,Wind
2395,2020-06-03,大国雄芯.光学系列报告(一)：手机模组逆势增长景气延续,华安证券
2396,2020-06-03,富时罗素：富时中国A50等指数季度审核变更6月22日生效,Wind
2397,2020-06-03,走进“芯”时代系列深度之二十七“射频芯片”：射频芯片千亿空间 国产替代曙光乍现,新浪
2398,2020-06-03,两大主力资金会师，北上百亿加仓金融、科技,Wind
2399,2020-06-02,电子行业2020中期策略报告：5G创新持续 半导体国产空间大,新浪
2400,2020-06-01,【国盛郑震湘团队】促销拉动需求增长，紧抓TWS耳机投资主线,湘评科技
2401,2020-05-29,科技行业日报：震荡调整下防御为主,新浪
2402,2020-05-29,平均浮盈36.13%，公募大举进军定增市场,中证报
2403,2020-05-28,锁定翻倍大牛股：浮盈最高逾216% 公募参与定增规模突增548%,中证报
2404,2020-05-28,外资做多A股热情不减，史上首次一日4股遭外资持股预警,第一财经
2405,2020-05-28,外资买爆队伍扩容，交易所一天同时预警4股，爆买575亿,e公司
2406,2020-05-27,新洁能盈利能力下滑，申报IPO三个月前股东就先退出了 盈利能力下降,新浪
2407,2020-05-26,韦尔股份大宗交易成交4.17万股 成交额800.64万元,证券时报网
2408,2020-05-26,2019年中国电子元器件分销商TOP35营收排名出炉！,国际电子商情
2409,2020-05-26,韦尔股份现1笔大宗交易 共成交800.64万元,新浪
2410,2020-05-26,韦尔股份今日大宗交易成交4.17万股，成交价192.0元溢价0.0%,Wind
2411,2020-05-26,A股高开高走 机构：内需板块确定性较高,e公司
2412,2020-05-26,解盘：资金流入个股齐升，机器视觉、智能音箱、网红经济领涨,Wind
2413,2020-05-26,【行情】半导体芯片走强，圣邦股份拉升封板，韦尔股份、北方华创、中微公司等涨逾5%。,金十数据
2414,2020-05-25,富时罗素纳A权重提至25%“聪明钱”看上哪些个股?,财富动力网
2415,2020-05-25,“半导体龙头50强”春节后涨超30% 机构持仓近千亿,证券时报
2416,2020-05-24,【国盛郑震湘团队】半导体产业迎来机遇，国产DRAM商业化提速,湘评科技
2417,2020-05-24,外资逆势加仓近4亿！北上资金重点加仓38股(名单),网易
2418,2020-05-23,民生证券：持续看好5G创新及半导体国产化大趋势(股),新浪
2419,2020-05-22,北上资金回流，多只个股出现“聪明钱”机会(附表),红周刊
2420,2020-05-22,“半导体龙头50强”重磅来袭，节后平均涨幅超30%！机构杀入超千亿，北上资金加仓18股，10股获“增持+”评级,证券时报
2421,2020-05-22,4只超高清视频产业链公司今年净利有望翻倍增长,每经网
2422,2020-05-22,两部门发布超高清视频标准，产业总规模将超过4万亿元（附产业链全名单）,每日经济新闻
2423,2020-05-21,IOT行业2020年4月跟踪报告：疫情背景下数据分化 AIRPODSPRO供需平衡 手表销售向好,新浪
2424,2020-05-21,韦尔股份(603501.SH)：马剑秋等3名董事辞职选举杨洪利等3人为董事 董监高成员变化,格隆汇
2425,2020-05-21,韦尔股份：董事会同意聘任王崧为总经理，公司法定代表人变更为王崧 董监高成员变化,Wind
2426,2020-05-21,韦尔股份(603501.SH)：聘任北京韦豪集成电路设计经理王崧为总经理,格隆汇
2427,2020-05-21,“芯”机遇——手机CIS芯片,中金在线
2428,2020-05-20,【安信电子|每日观点】三星韩国新晶圆代工产线开建，聚焦5nm，计划2021年投产,晓说电子
2429,2020-05-20,【行情】半导体芯片走弱，圣邦股份跌停，卓胜微、江苏雷利、芯源微、韦尔股份等跌逾6%。,金十数据
2430,2020-05-19,粤开策略资金面 | 双重利好提振市场情绪，科技股表现强势-0519,粤开崇利论市
2431,2020-05-19,资金汇集白马股，A股千亿市值军团扩至近百家,Wind
2432,2020-05-19,华为限令搅动芯片股，半导体板块会否复制上一年行情,第一财经
2433,2020-05-18,韦尔股份受沪股通青睐 连续3日净买入,证券时报网
2434,2020-05-18,【华西电子孙远峰团队-持续推荐韦尔股份】多元化供应链布局，持续加大研发投入,远峰电子
2435,2020-05-18,粤开策略资金面 | 国产替代局部走强，资金对科技股热度不减-0518,微信
2436,2020-05-18,韦尔股份(603501.SH)控股股东质押5000万股,格隆汇
2437,2020-05-18,电子元器件一季度财报总结：复苏韧性对冲疫情影响 硬件创新趋势不变,新浪
2438,2020-05-18,A股千亿市值扩容至近百家，牛股这些特征你看清了吗？,上证报
2439,2020-05-18,【异动股】3D摄像头板块下挫，韦尔股份(603501-CN)跌9.03%,财华社
2440,2020-05-18,芯片股大幅分化 韦尔股份逼近跌停 连续下跌,每日经济新闻
2441,2020-05-18,半导体行业事件点评：华为限令影响仍需观察 国产替代愈发坚定,新浪
2442,2020-05-15,百亿市值龙头再创新高:集成电路板块卷土重来 科技股将重现辉煌？,上证报
2443,2020-05-14,电子-大国雄芯-半导体系列报告(二)：手机CIS逆势增长景气延续,华安证券
2444,2020-05-14,光学行业2020年4月跟踪月报：4月手机光学公司表现阶段性分化国内激光行业迎阶段性反弹,新浪
2445,2020-05-14,关注手机产业链科技股,证券导报
2446,2020-05-14,2900点久攻不下，三大“聪明资金”已现分歧,Wind
2447,2020-05-13,两天上演同样的剧情 该轮到硬核科技股上场了,华讯财经
2448,2020-05-13,北上放缓两融发力，5天300亿资金快速加仓,Wind
2449,2020-05-12,【华西电子孙远峰团队】国内手机市场出货反弹，5G占比接近四成,远峰电子
2450,2020-05-12,手机概念股实控人财富排行榜：TOP10平均身价383亿，最年轻者仅44岁！,搜狐
2451,2020-05-11,韦尔股份(603501.SH)：控股股东虞仁荣解除质押2551.0205万股,格隆汇
2452,2020-05-11,韦尔股份：光电传感稳创领先，系统方案展创宏图,证券时报网
2453,2020-05-09,券商能否带领指数突破？ 科技股是否已经熄火？,华讯财经
2454,2020-05-09,信托新规落地，QFII“限购令”取消！一文看清内外资偏好,Wind
2455,2020-05-08,科技股大涨ETF基金却缩水逾百亿，北上接盘？,Wind
2456,2020-05-07,国盛证券：4月金股组合盈利11.92% 5月荐股名单出炉,新浪
2457,2020-05-07,"机构外资齐抢筹，国产芯片概念""第二春""来临，最全产业链个股名单",证券时报网
2458,2020-05-03,【兴证电子】Q1电子板块持仓分析：半导体大幅超配，科技基建龙头成基金“新宠”,兴证电子谢恒团队
2459,2020-05-01,最新！机构重点关注的科技股出炉，北上资金最爱这些股,证券时报
2460,2020-04-30,强者恒强！半导体增收增利，机构重仓股逆势大涨,Wind
2461,2020-04-28,半导体板块一枝独秀，能否继续上车？,Wind
2462,2020-04-28,韦尔股份：全球第三大CIS厂商，光学创新助力公司崛起,吉森电子研究
2463,2020-04-28,解盘：权重撑指数，特斯拉概念活跃，半导体、创投领涨,Wind
2464,2020-04-27,【华西电子孙远峰团队-Q1持仓分析】电子行业重仓占比下降，半导体逆势增长,远峰电子
2465,2020-04-26,科技主题基金沸点降温 投资者择基需降低收益预期,红周刊
2466,2020-04-25,【中信证券电子】韦尔股份（603501）2020年一季报点评：2020Q1归母净利润4.5亿元，略超预期,CITICS电子研究
2467,2020-04-25,万得财经周刊：北上资金本月500亿加仓A股,Wind
2468,2020-04-24,韦尔股份一季度净利润同比增8倍 北京豪威已并表,观察者网
2469,2020-04-24,A股早报2020年4月24日星期五,Wind
2470,2020-04-24,科创板早报|四部委争取4年时间建立燃料电池车产业链 预计全年新建5G基站超50万,科创板日报
2471,2020-04-24,多家公司一季度业绩翻番,上证报
2472,2020-04-23,外延扩张效应显现 韦尔股份一季度业绩增长800%,e公司
2473,2020-04-23,韦尔股份2020第一季度扣非净利润同比增长1530%,TechWeb
2474,2020-04-23,净利增逾800%！半导体公司一季报拉开帷幕,Wind
2475,2020-04-23,韦尔股份：一季度净利4.45亿元 同比增800%,e公司
2476,2020-04-23,韦尔股份(603501.SH)：一季度净利润升800.03%至4.45亿元,格隆汇
2477,2020-04-23,韦尔股份：一季度净利润同比增长800.03%,Wind
2478,2020-04-23,韦尔股份：一季度净利润同比增长800.03%,中证网
2479,2020-04-23,【华西电子孙远峰团队-持续推荐韦尔股份】业绩逐步兑现，CIS多领域布局多点开花,远峰电子
2480,2020-04-21,产业研究报告：9家IC头部企业“合体”追平“芯片霸主”！,国际电子商情
2481,2020-04-21,趋势不改，高市盈率的A股半导体企业将再掀产业整合热潮？,电子产品世界
2482,2020-04-20,揭秘北上资金年后进退路径，投资胜率近七成,证券时报网
2483,2020-04-17,狠砸200亿，北向资金连续3天抄底，外资正在大举买入哪些股？,证券时报网
2484,2020-04-16,多股获杠杆资金增仓 韦尔股份增幅最大,证券时报网
2485,2020-04-16,90股昨日获机构买入评级,证券时报
2486,2020-04-15,沪港通十大成交活跃股排名（4月15日）,Wind
2487,2020-04-15,快讯：半导体板块持续走强 韦尔股份大涨超8%,新浪
2488,2020-04-15,芯片股异动,Wind
2489,2020-04-15,韦尔股份拟1.2亿美元收购Synaptics TDDI业务,金融界
2490,2020-04-15,韦尔股份：拟收购Synaptics亚洲TDDI业务,中证网
2491,2020-04-15,最新科技龙头回调榜出炉！北上资金抄底股曝光,证券时报网
2492,2020-04-14,【华西电子孙远峰团队-持续推荐韦尔股份】收购TDDI业务，CIS龙头开启“芯”征程,远峰电子
2493,2020-04-14,韦尔股份(603501.SH)拟向Creative Legend增资并通过其收购Synaptics亚洲TDDI业务,格隆汇
2494,2020-04-14,芯片股走强,Wind
2495,2020-04-14,地量见地价，北向资金今日回归，A股能否就此迎来转机？,证券时报网
2496,2020-04-12,【中信证券电子研究】韦尔股份（603501）2019年年报点评：图像传感器景气持续，豪威业绩超预期,CITICS电子研究
2497,2020-04-12,【国盛郑震湘团队】电子Q1迭超预期,湘评科技
2498,2020-04-12,【华西电子孙远峰团队-持续推荐韦尔股份】光学占比持续提升，CIS龙头进口替代空间足,远峰电子
2499,2020-04-11,国内VS国外：电子板块核心公司2020Q1业绩展望对比,吉森电子研究
2500,2020-04-11,百亿收购3家芯片公司之后，这家公司涨成了千亿神股,21商评网
2501,2020-04-10,【韦尔股份|国信电子】年报点评：视觉大时代，CIS龙头起航,国信电子研究
2502,2020-04-10,【中银电子研究】韦尔股份:多摄拉动CIS需求，2019年业绩高增长,ZQtechnology
2503,2020-04-10,韦尔股份2019净利增221% ，增传感器业务布局,资本邦
2504,2020-04-10,韦尔股份（603501）2019年年报点评：视觉时代，CIS龙头起航,国信研究
2505,2020-04-10,A股早报2020年4月10日星期五,Wind
2506,2020-04-09,韦尔股份2019年净利同比增逾两倍,金融界
2507,2020-04-09,韦尔股份：2019年净利同比增221% 拟10派0.7元,e公司
2508,2020-04-09,韦尔股份(603501.SH)：2020年度拟向银行申请不超78亿元综合授信额度,格隆汇
2509,2020-04-09,韦尔股份：2019年净利润同比增长221.14%,Wind
2510,2020-04-07,最富有的十位新晋富豪 中国占五位,新浪
2511,2020-04-06,223家公司年报下周将出炉！这23股被社保基金连续4个季度持仓！,证券日报
2512,2020-03-30,半导体板块再度发力，圣邦股份冲击涨停,Wind
2513,2020-03-28,超高清行业新一轮景气周期开启 六股人气旺,证券时报网
2514,2020-03-27,华为P40产业链（附标的）,半导体风向标
2515,2020-03-27,华为新旗舰P40系列核心供应链详解（附明细）,吉森电子研究
2516,2020-03-27,华为又刷屏：一款手机7个摄像头 概念股不淡定了,上证报
2517,2020-03-27,华为P40发布 A股受益公司一览,中财网
2518,2020-03-26,【国盛郑震湘团队】半导体产业迎来机遇，国产DRAM商业化提速,湘评科技
2519,2020-03-25,【华西电子孙远峰团队-持续推荐韦尔股份】5G时代光学仍为核心，CIS黄金赛道持续,远峰电子
2520,2020-03-25,【国盛郑震湘团队】疫情之下，CIS 供需缺口如何,湘评科技
2521,2020-03-21,电子板块安全边际凸显，机构推荐三大主线22只个股,Wind
2522,2020-03-20,市场向下空间越来越小 关注半导体领域,证券时报网
2523,2020-03-19,韦尔半导体参投的海外基金收购 Synaptics TDDI 业务！,唯样资讯
2524,2020-03-17,韦尔股份现1笔大宗交易 共成交585.52万元,新浪
2525,2020-03-17,韦尔股份今日大宗交易成交4万股，成交价146.38元溢价0.0%,Wind
2526,2020-03-15,台湾电子板块核心公司2020M2经营数据强劲,吉森电子研究
2527,2020-03-12,抢夺CMOS龙头，韦尔股份的并购之路,Ofweek
2528,2020-03-12,什么情况？千亿科技龙头业绩大增，股价却掉队了，机构预测上涨空间超20%，这份绩优滞涨科技股全名单来了,e公司
2529,2020-03-10,靠蛇吞象并购三年公司市值暴增18倍，身家500亿的他成中国芯片首富,搜狐
2530,2020-03-10,光学行业：二月数据大超预期 龙头公司全产业链布局,财富动力网
2531,2020-03-08,多家半导体公司市值破千亿 跨国收购成行业一大特色,新浪
2532,2020-03-05,暴涨1.2万亿！A股放量上攻，中央频频点名，几十万亿大蛋糕来了,中国基金报
2533,2020-03-05,外资配置A股或提速！富时罗素最新目录公布（附全名单）,Wind
2534,2020-03-04,3000点多空大对决，A股成交额止步万亿！富时罗素指数最新调整，这三只科技股入选！,e公司
2535,2020-03-04,中信建投、京东方A、中兴通讯、韦尔股份新入富时中国A50指数,中证网
2536,2020-03-04,富时A50纳4股：中信建投、京东方、中兴通讯、韦尔股份,第一财经
2537,2020-03-04,富时中国A50指数将纳入中信建投、京东方A等4股,Wind
2538,2020-03-04,富时罗素宣布对富时中国A50指数等多个指数季度审核变更,Wind
2539,2020-03-04,韦尔股份(603501.SH)向157名激励对象授予235.77万份预留股票期权,格隆汇
2540,2020-03-03,韦尔股份现1笔大宗交易 共成交262.05万元,新浪
2541,2020-02-27,金评天下 | 半导体正在危与机的临界点，分寸如何把握？,和讯
2542,2020-02-26,胡润富豪榜中国入围者超美国+印度，这家A股公司董事长排名飞升,证券时报网
2543,2020-02-26,盘中最高718元/股！无锡卓胜微跑出江苏资本市场历史最高价股！,和讯
2544,2020-02-25,海外疫情蔓延火了科技股！半导体+光刻胶+面板概念高增长股名单，机构扎堆推荐,e公司
2545,2020-02-24,[公司]韦尔股份：减持晶方科技0.54%股份 交易金额为1.64亿 减持股份,全景网
2546,2020-02-24,韦尔股份(603501.SH)减持晶方科技123.8万股套现1.64亿元 减持股份,格隆汇
2547,2020-02-24,韦尔股份：子公司出售124万股晶方科技股票 资产异常,e公司
2548,2020-02-24,韦尔股份：子公司出售晶方科技123.8万股 资产异常,Wind
2549,2020-02-23,【国盛郑震湘团队】涨价映射供需格局，扩产引领创新周期,湘评科技
2550,2020-02-20,2月20日沪深两市最新交易提示,金融界
2551,2020-02-19,沪港通十大成交活跃股排名（2月19日）,Wind
2552,2020-02-19,韦尔股份(603501.SH)：3名董事及公告减持期届满 合计减持351.95万股 减持股份,格隆汇
2553,2020-02-19,韦尔股份：三位高管减持0.4%公司股份 减持股份,Wind
2554,2020-02-19,电子元器件：光学赛道优且长,财富动力网
2555,2020-02-18,【国盛郑震湘团队】韦尔股份:光学龙头开启新征程,湘评科技
2556,2020-02-18,千亿“半导体”的投资“图景”,环球老虎财经
2557,2020-02-17,如何复制快速崛起的半导体“春秋五霸”？,慧聪电子网
2558,2020-02-14,CIS芯片再度提价！“缺货现象”或促使CIS行业提前复苏？,格隆汇
2559,2020-02-13,情绪再次急转直下 硬核科技股轮番上阵,华讯财经
2560,2020-02-12,韦尔股份：关于2017年限制性股票激励计划授予的限制性股票第二期解锁暨上市公告,上交所
2561,2020-02-12,韦尔股份(603501.SH)：约1584.36万股限制性股票2月18日解禁 解禁,格隆汇
2562,2020-02-12,这家公司市值高达1600亿成A股半导体第一股众PE两年5倍回报,投中网
2563,2020-02-11,2019年大股东减持潮：31家“清仓” 118家易主 减持股份,投资者网
2564,2020-02-10,韦尔股份：高管贾渊减持数过半 合计减持33.75万股 减持股份,格隆汇
2565,2020-02-10,韦尔股份：董事会秘书贾渊合计减持0.0391%公司股份 减持股份,Wind
2566,2020-02-10,58股开市首周股价创历史新高医药股占近四成,证券时报
2567,2020-02-07,半导体板块表现强势，年报业绩六成预喜行业崛起可期,第一财经
2568,2020-02-07,周五机构一致看好的七大金股（02.07）,中金在线
2569,2020-02-06,市场继续超预期强势 多题材爆发,华讯财经
2570,2020-02-06,【华西电子孙远峰团队-持续推荐韦尔股份】CIS景气度持续，龙头企业迎黄金发展期,远峰电子
2571,2020-02-06,44只股股价创历史新高,证券时报网
2572,2020-02-05,创业板高歌猛进 尾盘有资金抢跑,华讯财经
2573,2020-02-04,每一次大波动都是极好的学习机会 科技股如期大反弹,华讯财经
2574,2020-02-04,A股异动丨韦尔股份逼近涨停 中科院研发出新型垂直纳米环栅晶体管,格隆汇
2575,2020-01-27,5倍牛股！北上资金重仓杀入 行业龙头全线爆发,金融界
2576,2020-01-23,集成电路 核心的核心,财富动力网
2577,2020-01-22,33股获买入评级最新:中国铁建,中财网
2578,2020-01-22,10股获买入评级 最新:韦尔股份,中财网
2579,2020-01-22,科创板早报|鸿蒙系统已上网即将应用全系产品汇顶、韦尔预计2019年净利倍增,科创板日报
2580,2020-01-21,【华西电子孙远峰团队-持续推荐韦尔股份】CIS景气度持续，长期发展可期,远峰电子
2581,2020-01-21,[公司]韦尔股份：预计2019年净利润增加2.6-3.6亿元 同比增长188%-260%,全景网
2582,2020-01-21,韦尔股份：预计2019年净利润同比增长1.76倍-2.45倍,Wind
2583,2020-01-21,韦尔股份：预计2019年净利润同比增加188%-260%,第一财经
2584,2020-01-21,韦尔股份：预计2019年净利润同比增加188.18%到260.22%,中证网
2585,2020-01-21,韦尔股份：2019年净利预增188%到260%,e公司
2586,2020-01-20,韦尔股份(603501.SH)控股股东质押500万股 解质3750万股,格隆汇
2587,2020-01-20,韦尔股份现1笔大宗交易 共成交452.40万元,新浪
2588,2020-01-20,韦尔股份今日大宗交易成交2.40万股，成交价188.5元溢价0.0%,Wind
2589,2020-01-19,【国盛电子郑震湘团队】预告超预期，电子超景气度进一步确定,湘评科技
2590,2020-01-18,虞仁荣：“黑马”逆袭,红周刊
2591,2020-01-17,【华西电子孙远峰团队—持续看好半导景气】半导体材料积极扩产，导入新建产线窗口期,远峰电子
2592,2020-01-16,狂奔的科技牛：再现一年十倍股,大众证券报
2593,2020-01-16,2019年度A股盘点：十大牛股的“高光时刻”,中国网
2594,2020-01-16,两大厂商新款游戏机年底抢市 六股上车行情,证券时报
2595,2020-01-15,机构抱团硬核科技 游资抱团老妖股,华讯财经
2596,2020-01-14,发力并购融资 兴业银行落地业务同比增长超4成,中新网
2597,2020-01-13,半导体板块尾盘再度发动攻势，韦尔股份、兆易创新再创新高,Wind
2598,2020-01-13,无线耳机概念股风云再起，圣邦股份涨超7%,Wind
2599,2020-01-13,24股主力资金净流入超亿元,证券时报
2600,2020-01-10,北上资金开年追捧科技和周期股,大众证券报
2601,2020-01-10,机构席位溢价下降 短线情绪退潮,华讯财经
2602,2020-01-10,半导体板块尾盘持续上攻，汇顶科技强势封板再创新高,Wind
2603,2020-01-10,三只半导体指数，你会pick哪只科技基金？,养基司令
2604,2020-01-09,稀缺！碾压一大片牛股，这份科技龙头名单收好，机构预测业绩要发飙,e公司
2605,2020-01-09,韦尔股份现1笔大宗交易 共成交339.94万元,新浪
2606,2020-01-09,全球就3家能造，台媒曝上海韦尔4800万像素传感器要涨价,中财网
2607,2020-01-08,超高清视频产业迎新机遇 题材龙头率先启动,证券时报
2608,2020-01-07,4万亿市场待引爆！5G浪潮下的风口产业将起飞，题材龙头率先开火，活跃资金重仓这几只,e公司
2609,2020-01-06,"【华西电子孙远峰团队—持续看好半导景气】芯片涨价全产业链蔓延,上半年景气度望延续",远峰电子
2610,2020-01-03,外资颠覆A股 北向资金增持前100名平均涨近70% 这批公司仍滞涨,证券时报网
2611,2020-01-02,2019基金业绩落定！牛基占比不足1%，买牛基堪比中彩票，45%基金跑输市场，广发包揽三强,券商中国
2612,2020-01-02,2019年十大牛熊股盘点,中证网
2613,2019-12-31,科技龙头争当C位 2020年看两大板块 六股热,证券时报
2614,2019-12-31,北上资金全年3500亿元扫货A股创纪录 猛买大消费和科技股,大众证券报
2615,2019-12-30,2019年A股并购盘点：市场情绪回升,Wind
2616,2019-12-30,【国盛郑震湘团队】CES深度：科技巨头布局了哪些方向？,湘评科技
2617,2019-12-30,北上资金加仓榜来了！平均加仓6.7%，胜率近九成,证券时报
2618,2019-12-29,【国盛郑震湘团队】坚定看好科技硬件全面景气,湘评科技
2619,2019-12-29,A股科技龙头50强出炉！拿下A股6%市值，三年飞出3只十倍股,证券时报
2620,2019-12-27,【行情】芯片股走弱，圣邦股份跳水跌逾7%，至纯科技、赛腾股份跌逾5%，兆易创新、北京君正、韦尔股份、国科微等跌逾3%。,金十数据
2621,2019-12-27,半导体板块再度被点燃 大涨过后是否还有上车机会,投资者网
2622,2019-12-26,【异动股】3D摄像头板块下挫，韦尔股份(603501-CN)跌5.83%,财华社
2623,2019-12-26,2019年，你可能错过的十大牛股,中证报
2624,2019-12-26,投资三公司赚560亿，中国巴菲特是这个“妖精”,腾讯网
2625,2019-12-25,韦尔股份现1笔大宗交易 共成交325.98万元,新浪
2626,2019-12-25,23只股股价创历史新高,证券时报网
2627,2019-12-25,可穿戴设备出货量高增长 关注三大产业链投资机会,证券时报网
2628,2019-12-24,韦尔股份现2笔大宗交易 共成交733.48万元,新浪
2629,2019-12-23,【安信电子|每周观点】TWS耳机将与手机搭配销售？智能可穿戴势不可挡,晓说电子
2630,2019-12-23,2019年这十大热门概念 你抓住了几个？,中证报
2631,2019-12-21,璞华资本海外并购正酣 韦尔股份有望参与其中,上证报
2632,2019-12-20,400亿资金出逃信息技术板块，科技股是走还是留？,Wind
2633,2019-12-19,并购市场交易数量与规模倒挂 股权投资赚钱不及公募,新浪
2634,2019-12-19,华为VR Glass正式开售，5G+VR时代加速到来,第一财经
2635,2019-12-18,11公司获得推荐评级-更新中,中财网
2636,2019-12-18,韦尔股份：参投境外半导体基金，启动常态化扩张道路,--
2637,2019-12-17,华西证券：韦尔股份买入评级,华西证券
2638,2019-12-17,3股获买入评级 最新:云铝股份,中财网
2639,2019-12-16,【华西电子孙远峰团队-持续推荐韦尔股份】拟参与投资境外半导体基金，加强竞争实力,远峰电子
2640,2019-12-16,【安信电子|每日观点】2025年我国5G用户渗透率有望达到48%，来自中国5G经济报告2020,晓说电子
2641,2019-12-16,韦尔股份拟联手著名半导体投资方 参投境外半导体基金加码IC并购,e公司
2642,2019-12-16,沪港通十大成交活跃股排名（12月16日）,Wind
2643,2019-12-16,市场全面转暖发出两大信号：近半数公司涨幅超越指数，成交额再破6000亿,Wind
2644,2019-12-16,韦尔股份：拟参与投资境外半导体基金 利于公司整合优势资源,发布易
2645,2019-12-16,韦尔股份：拟5000万美元投资境外半导体基金 加强集成电路产业布局,e公司
2646,2019-12-16,韦尔股份(603501.SH)：拟5000万美元参与投资境外半导体基金,格隆汇
2647,2019-12-16,韦尔股份(603501.SH)控股股东解除质押1000万股,格隆汇
2648,2019-12-16,A股有了慢牛味道？174股年内翻倍，去年仅有1只！这些机构赚翻了，明年这样布局,券商中国
2649,2019-12-12,什么情况？一度20次创历史新高，暴涨两倍多，却在一个月不到腰斩,证券时报网
2650,2019-12-09,【华西电子孙远峰团队-持续推荐韦尔股份】供需关系趋紧，国内CIS龙头迎高速增长,远峰电子
2651,2019-12-09,韦尔股份(603501.SH)拟回购注销8.55万股限制性股票,格隆汇
2652,2019-12-09,韦尔股份大幅拉升3.66% 股价创近2个月新高,金融界
2653,2019-12-05,韦尔股份(603501.SH)：控股股东虞仁荣质押1000万股,格隆汇
2654,2019-12-05,韦尔股份大幅拉升3.71% 股价创近2个月新高,金融界
2655,2019-12-05,41只个股无惧市场波动 逆市创出新高,证券时报
