,2021-12-31,铁打的银行流动的高管，“年轻时代”走上C位,Wind
2087,2019-10-24,浙商银行首发申购延期 业内人士：行业正常情况,上证报
2088,2019-10-24,浙商银行十年上市路：市盈率高于行业均值 迅猛扩张背后有隐忧,21世纪经济报道
2089,2019-10-23,每日并购资讯 |瑞神安医疗获数千万新融资，继续深耕神经调控领域、浙商银行IPO招股说明书：计划11月14日在上交所挂牌交易,和讯
2090,2019-10-23,巨丰微策略：反弹是否“夭折”？,巨丰财经
2091,2019-10-23,巨丰视角：反弹之后谨防再次探底,巨丰财经
2092,2019-10-23,突发！浙商银行推迟申购 AH股发行溢价38.26%,华夏时报
2093,2019-10-23,犀牛财经早报：耐克委任eBay前高管为新CEO Costa蛋糕吃出蛆虫,GPLP犀牛财经
2094,2019-10-23,浙商银行拟发行25.5亿股A股 募资125.97亿元,证券时报网
2095,2019-10-23,发行市盈率高于行业均值 浙商银行新股申购延期至11月14日,上证报
2096,2019-10-23,浙商银行：网上、网下申购将推迟至2019年11月14日,金融界
2097,2019-10-23,浙商银行：原定于10月24日进行的网上、网下申购将推迟至11月14日,e公司
2098,2019-10-23,浙商银行(02016-HK)发行价格每股4.94元人民币,财华社
2099,2019-10-23,浙商银行(02016.HK)发行25.5亿A股 每股4.94元,格隆汇
2100,2019-10-23,浙商银行IPO招股说明书：发行价为每股4.94元 申购推迟至11月14日,金融界
2101,2019-10-23,浙商银行推迟发行公告：申购推迟至11月14日,Wind
2102,2019-10-23,浙商银行IPO招股说明书：拟发行不超过25.50亿股普通股，发行价为每股4.94元,Wind
2103,2019-10-22,ST新光子公司遭20亿诉讼 控股股东违规担保何时休 其他违规处罚,第一财经
2104,2019-10-22,重磅！超级巨无霸掩面来袭！证监会盘后发声！,云掌财经
2105,2019-10-22,老艾侃股：假如浙商银行取消申购,新浪
2106,2019-10-22,津市监宝潮案〔2019〕6号 其他违规处罚,天津市场监管委
2107,2019-10-22,科技股全面回暖大盘成交低迷 大金融拖后腿,新浪
2108,2019-10-22,本周新股申购压力将骤减 浙商银行申购大概率被延期,第一财经
2109,2019-10-22,业内预计浙商银行发行市盈率或高于同行，或延后三周发行,Wind
2110,2019-10-22,ST新光19亿信托贷款逾期 浙商银行“中招” 违约失信,21世纪经济报道
2111,2019-10-22,业内预计浙商银行发行市盈率或高于同行 或延后三周发行,e公司
2112,2019-10-21,机构调研:恒逸石化超图软件业绩暴增 兴全睿远等紧盯,新浪
2113,2019-10-21,ST新光(002147.SZ)子公司收到诉讼额高达20.81亿元的传票等 浙商银行为原告 关联方问题,格隆汇
2114,2019-10-21,浙商银行不良率1.37%拨备率微降 净利差“先降后升”低于A股银行均值 盈利能力下降,长江商报
2115,2019-10-19,浙商银行助力江西高质量跨越式发展,金融界
2116,2019-10-18,【银行-浙商银行(601916)】戴志锋、邓美君：新股报告：结构优化调整带动业绩底部抬升，关注其负债压力和资产质量-1016,中泰证券研究所
2117,2019-10-17,洛阳玻璃(01108.HK)拟向浙商银行申请5000万元贷款,格隆汇
2118,2019-10-17,海信家电(00921.HK)：冰箱营销公司认购6亿元浙商银行理财产品,格隆汇
2119,2019-10-16,津市场监管宝平罚〔2019〕5号 其他违规处罚,天津市场监管委
2120,2019-10-16,核心企业拉动产业上下游 浙商银行的产业扶贫探索,经济观察网
2121,2019-10-16,10月16日在售高收益银行理财产品一览,新浪
2122,2019-10-15,【申港家电】三季报总结：地产边际指引复苏 供给后续产能释放——家用电器行业周报W44,一超家电研究
2123,2019-10-14,轻纺城参股公司浙商银行IPO获批复,金融界
2124,2019-10-14,轻纺城(600790.SH)：浙商银行首次发行股票申请获中国证监会核准,格隆汇
2125,2019-10-13,恒逸石化(000703.SZ)：浙商银行首次公开发行A股取得中证监核准批文,格隆汇
2126,2019-10-13,浙商银行(02016-HK)获准发行最多25.5亿新A股,财华社
2127,2019-10-13,恒逸石化：参股子公司浙商银行IPO取得证监会核准批文,e公司
2128,2019-10-13,浙商银行拿到A股IPO批文 拟发不超25.5亿股,乐居财经
2129,2019-10-13,特斯拉今年已交付25.52万辆电动汽车丨浙商银行拿到A股IPO批文【Do说】,DoNews
2130,2019-10-12,IPO再现提速，本周4家企业获得批文,搜狐
2131,2019-10-11,浙商银行获IPO批文 将是第13家A+H银行,中证报
2132,2019-10-11,9年来首例！又一全国性股份行IPO获批，资产规模超1.7万亿,中国基金报
2133,2019-10-11,浙商银行获A股IPO批文,新浪
2134,2019-10-11,浙商银行：本次A股发行股数不超过25.5亿股,第一财经
2135,2019-10-11,浙商银行：证监会核准公司A股发行,Wind
2136,2019-10-11,浙商银行(02016.HK)拟发行25.50亿股A股发获中证监核准,格隆汇
2137,2019-10-11,证监会核发4家IPO批文： 浙商银行、北京左江在列,澎湃新闻
2138,2019-10-11,证监会核发浙商银行等4家公司IPO批文,Wind
2139,2019-10-09,区块链解码跨境贸易瓶颈，数字经济助力科技金融,证券之星
2140,2019-10-09,绿色金融纵深发展 商业银行拓宽融资渠道服务绿色经济,每日经济新闻
2141,2019-09-30,国金证券：恒逸石化买入评级,国金证券
2142,2019-09-27,逾8万亿票据贴现难求解 票交所“贴现通”上线四月复盘,21世纪经济报道
2143,2019-09-25,9月25日在售高收益银行理财产品一览,新浪
2144,2019-09-24,国盛区块链专题|百链争锋，蚂蚁链的优势与挑战,吉时通信
2145,2019-09-24,万通地产：万通控股解除质押1.35亿股公司股票 占总股本6.57%,乐居财经
2146,2019-09-23,破解中小微企业融资难，浙商银行“贴现通”累计撮合逾13亿元,证券时报
2147,2019-09-23,浙商银行“贴现通”累计帮企业实现票据贴现逾13亿元,第一财经
2148,2019-09-22,浙商银行行长徐仁艳：兼顾支持实体经济高质量发展与实现自身转型发展,中国金融新闻网
2149,2019-09-20,浙商银行首单50亿元绿色金融债成功发行,证券时报网
2150,2019-09-18,[快讯]9月18日在售高收益前100名银行理财产品一览,中财网
2151,2019-09-16,9月16日在售高收益银行理财产品一览,新浪
2152,2019-09-12,靳毅：浙商银行首发过会 同业存单发行量下降,金融界
2153,2019-09-11,9月11日在售高收益银行理财产品一览,新浪
2154,2019-09-11,小微企业“贷款获得感”改善 商业银行“花式”竞逐供应链金融,中证报
2155,2019-09-10,[公告]浙商银行9月16日将发行50亿元3年期绿色金融债,Wind
2156,2019-09-09,18只理财产品发售 最高预期收益6.80%-更新中,中财网
2157,2019-09-07,新光债务危局,和讯
2158,2019-09-04,浙商银行首发过会，同业存单发行量下降（国海固收研究）,靳论固收
2159,2019-09-04,[快讯]9月4日在售高收益前100名银行理财产品一览,中财网
2160,2019-09-03,"月薪5.6万！平安银行又涨工资了，税前收入六大行垫底，招行却""降薪""了 盈利能力下降",中国基金报
2161,2019-09-02,9月2日高收益银行理财产品一览,新浪
2162,2019-09-01,台海核电董事长因三宗纠纷案被列“失信黑名单” 诉讼纠纷,中新经纬
2163,2019-08-31,证监会出手！科创板IPO被否第一家：2个致命隐患（附最新IPO排队名单） IPO融资异常,和讯
2164,2019-08-30,轻纺城(600790.SH)参股的浙商银行A股首发申请获证监会审核通过,格隆汇
2165,2019-08-30,时隔9年，A股再迎一家全国性股份行！重点在这里,经济日报
2166,2019-08-30,浙商银行成功过会，A股上市在即,环球老虎财经
2167,2019-08-30,浙商银行IPO过会 第九家股份制银行将登陆A股市场,证券日报
2168,2019-08-30,浙商银行回A首发过会 上半年净利营收同比双增,新京报
2169,2019-08-30,恒逸石化(000703.SZ)：重要参股子公司浙商银行A股首发过会,格隆汇
2170,2019-08-30,浙商银行过会：今年IPO获批第61家 中信证券过7单,中国经济网
2171,2019-08-30,证监会通过浙商银行等4家企业IPO申请,证券日报
2172,2019-08-30,又一家A+H股上市银行诞生 浙商银行成功过会,每日经济新闻
2173,2019-08-30,浙商银行成功过会，A股将迎来第35家银行,第一财经
2174,2019-08-30,浙商银行回A过会，房地产贷款占比较高等五问题遭发审委询问,澎湃新闻
2175,2019-08-30,时隔九年，A股再添一家股份行！成A股第13家“A+H”上市银行,券商中国
2176,2019-08-29,重磅！浙商银行A股首发过会 “A+H”收官在即,中证网
2177,2019-08-29,投行人士：浙商银行、豪尔赛、网创科技、佳禾智能今日首发申请均获通过,Wind
2178,2019-08-29,“跋涉”两年半，浙商银行获准登陆A股,21世纪经济报道
2179,2019-08-29,浙商银行A股首发过会，A股将迎第35家上市银行,Wind
2180,2019-08-29,浙商银行A股首发过会 A股将迎第35家上市银行,经济观察网
2181,2019-08-28,债券重大事件2019年8月28星期三,Wind
2182,2019-08-27,独家：浙商银行不良贷款额高于净利润，不良率飙升及违规经营问题成IPO最大障碍 资产异常,中金在线
2183,2019-08-27,央行制定LPR考核要求 力促降低实体经济融资成本,中国经济网
2184,2019-08-27,8月27日在售高收益银行理财产品一览,新浪
2185,2019-08-26,独家！LPR改革落地后，银行迎考核要求，坚决打破贷款利率隐形下限，MPA考核对银行串通行为“一票否决”,证券时报网
2186,2019-08-26,中报缓冲期平稳过渡新股审核提速 A股将迎第35家上市银行,和讯
2187,2019-08-26,本周3只新股申购 浙商银行等4家公司29日首发上会,金融界
2188,2019-08-23,证监会：浙商银行等4家公司将于8月29日首发上会,第一财经
2189,2019-08-23,【天风石化】：恒逸石化深度报告1：公司价值被低估，向上空间值得关注,樨樨和她的油气小伙伴
2190,2019-08-22,新LPR“三日记”：多家银行发行挂钩LPR贷款，利率互换交易升温,第一财经
2191,2019-08-22,浙商银行落地首笔挂钩LPR浮息贷款和代客利率互换业务,证券时报
2192,2019-08-21,植根实体稳健经营：浙商银行2019年营收净利劲升,21世纪经济报道
2193,2019-08-14,浙商银行特色业务齐头并进 营收和净利的双位数同比增长,中投网
2194,2019-08-13,近150%！浙商银行上半年信用卡收入同比激增,经济观察网
2195,2019-08-13,浙商银行 ( 2016.HK ) 首次覆盖报告：市场机制活，资产质量优,格隆汇
2196,2019-08-10,浙商银行(02016-HK)中期纯利75.28亿人民币增16.1%,财华社
2197,2019-08-09,浙商银行上半年营收增长21.39% 存款余额破万亿大关,每日经济新闻
2198,2019-08-09,浙商银行中期业绩亮眼：营收净利双位数增长,经济观察网
2199,2019-08-09,浙商银行“中考成绩单”：存款余额首破万亿大关，营收净利双位数增幅,证券时报
2200,2019-08-09,浙商银行上半年净利润增长超16%，不良率为1.37%,澎湃新闻
2201,2019-08-09,浙商银行2019年上半年净利同比增16.07%,中证网
2202,2019-08-09,浙商银行(02016.HK)上半年净利润增长16.07%至75.28亿元,格隆汇
2203,2019-08-09,浙商银行：上半年实现净利润75.28亿元，同比增长16.07%,Wind
2204,2019-08-09,关于发布2018年银行间债券市场优秀做市机构名单的公告,银行间市场协会
2205,2019-08-07,浙商银行(02016.HK)：黄海波辞任股东代表监事职务 董监高成员变化,格隆汇
2206,2019-08-02,8月2日在售高收益银行理财产品一览,新浪
2207,2019-08-01,专访趣链科技张贝龙：如何做好区块链金融？,中国金融信息网
2208,2019-07-31,萃华珠宝全资子公司向浙商银行申请综合授信1亿元,挖贝网
2209,2019-07-30,7月30日在售高收益银行理财产品一览,新浪
2210,2019-07-29,浙商银行(02016.HK)将于8月9日举行董事会会议 审议及批准中期业绩及其刊发,格隆汇
2211,2019-07-26,[快讯]我爱我家发布解除质押公告一股东累计质押34988.0253万股,中财网
2212,2019-07-19,超20家投资者认购、A档票面利率3.2% 浙商银行再发微小企业ABS,经济观察网
2213,2019-07-19,供应链金融+区块链获监管鼓励 多家银行保险已提前试水,证券日报
2214,2019-07-18,浙商银行成功发行规模23.33亿元微小企业ABS“旭越2019-1”,证券时报
2215,2019-07-17,"德邦混合型基金持仓主体""暴雷"" 基金经理频繁调整",中金在线
2216,2019-07-16,浙商银行去年绿色贷款余额同比增长逾六成,中新网
2217,2019-07-15,浙商银行殷剑峰：财富管理业的前世、今生与未来展望,新浪
2218,2019-07-11,2019中国商业500强排行榜：23家银行上榜 江苏银行、浙商银行等10家排名有所下滑,财经网
2219,2019-07-10,金圆股份(000546.SZ)与浙商银行开展不超1.5亿元资产池业务,格隆汇
2220,2019-07-09,浙商银行武汉分行被罚20万：贷后管理不尽职 金融监管处罚,新浪
2221,2019-07-05,美盈森：减持计划减持时间已过半，红塔红土未减持本公司股份,Wind
2222,2019-07-05,浙商宁波分行被罚50万：房地产授信业务管理不审慎 金融监管处罚,新浪
2223,2019-07-05,25只理财产品发售 最高预期收益8.50%-更新中,中财网
2224,2019-07-03,巨额现金“悄悄”流出 中珠医疗被行政监管后又遭立案调查,每日经济新闻
2225,2019-07-03,“软暴力”对抗上交所监管，中珠医疗被立案调查 其他违规处罚,21世纪经济报道
2226,2019-07-03,46只理财产品发售 最高预期收益8.80%-更新中,中财网
2227,2019-06-30,浙商银行新股报告：近年结构逐步调整，关注其负债压力和资产质量【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
2228,2019-06-26,[快讯]6月26日在售高收益前100名银行理财产品一览,中财网
2229,2019-06-25,鄂尔多斯(600295.SH)大股东质押7400万股,格隆汇
2230,2019-06-24,[快讯]我爱我家发布解除质押公告 涉及股份35838.0253万股,中财网
2231,2019-06-21,A股大利好！重磅全球指数猛加仓至25%，超百亿资金要”抄底“来了！,中国基金报
2232,2019-06-18,浙商银行青岛分行开业 高管详解缘何落户“财富管理”金改试验区,经济观察网
2233,2019-06-18,落户“财富管理”金改试验区 浙商银行青岛分行开业,证券时报网
2234,2019-06-14,邮储银行上市“路条”终于拿到 A股年度最大IPO或诞生,中金在线
2235,2019-06-14,2019浙商全国500强榜单出炉 7家企业净利润超百亿,钱江晚报
2236,2019-06-13,穗环法罚〔2018〕71号 其他违规处罚,信用广州
2237,2019-06-13,穗环法罚〔2018〕70号 其他违规处罚,信用广州
2238,2019-06-12,邮储银行A股上市获批，还有多家港股上市银行在回A途中,第一财经
2239,2019-05-31,浙商银行：将督导永泰能源继续筹措“17永泰能源CP005、17永泰能源CP006”债券本息,Wind
2240,2019-05-30,浙商银行完成全市场首单票据经纪挂牌交易,中证网
2241,2019-05-30,浙商银行：规模膨胀背后的合规与内控之忧,面包财经
2242,2019-05-28,浙商银行发布2018年社会责任报告 民企贷款占比超5成,中证网
2243,2019-05-28,票交所“贴现通”上线 五家银行正式进军票据经纪领域,经济观察网
2244,2019-05-27,年内银行A股IPO数量创两年来新高,中国经济网
2245,2019-05-26,加速打通银行A股IPO融资渠道 “预先披露更新”银行数量增至10家,证券日报
2246,2019-05-23,14家A股IPO排队银行业绩全扫描,北京商报
2247,2019-05-21,A股14家银行排队IPO 农商行达9家,每日经济新闻
2248,2019-05-20,20家银行信用卡业务解析：逾期、不良率如何,网贷之家
2249,2019-05-19,周末影响市场重要资讯回顾,新浪
2250,2019-05-18,最倒霉银行，浙商银行买8亿假理财被骗，借给乐视系2亿收不回,AI财经社
2251,2019-05-17,昔有“萝卜章”今有“假理财”浙商银行到底怎么了?,新浪
2252,2019-05-16,关于公布2019年第一次浙江辖区证券经营机构现场检查随机抽查结果的通知,浙江证监局
2253,2019-05-15,浙商银行创设“19富通CP002”信用风险缓释凭证，规模不超1.5亿元，将在5月16日簿记建档，利率区间在1.50%-2.80%。,中国金融信息网
2254,2019-05-14,恒丰银行：深化金融创新服务模式 提升服务民营企业质效,金融界
2255,2019-05-13,东莞银行贱卖不良资产或粉饰报表 向老赖放贷存漏洞,网易
2256,2019-05-10,浙商银行(02016-HK)董事辞任 董监高成员变化,财华社
2257,2019-05-09,陈燕华辞任浙商银行(02016)联席公司秘书,智通财经
2258,2019-04-30,浙商银行首席经济学家殷剑峰：降准是长期趋势,新浪
2259,2019-04-28,一年有2个月零成交 广州农商行“回A”心切,第一财经
2260,2019-04-28,银行纷纷西进掘金，又多一家股份行入驻贵州，9家上市股份行入黔各有打法,券商中国
2261,2019-04-27,基金管理人：永赢基金管理有限公司基金托管人：浙商银行股份有限公司,证券时报
2262,2019-04-26,浙商银行贵阳分行开业 已为68家企业授信281亿,经济观察网
2263,2019-04-25,浙商银行(02016.HK)一季度净利润升26.75%至44.07亿元,格隆汇
2264,2019-04-23,关于对石旭刚、何珊珊、孙琳、徐造金采取出具警示函措施的决定 其他违规处罚,浙江证监局
2265,2019-04-23,关于对杭州中威电子股份有限公司采取出具警示函措施的决定 其他违规处罚,浙江证监局
2266,2019-04-18,海印股份获浙商银行1亿元授信 期限不超过1年,观点地产网
2267,2019-04-18,监管重拳出击！多家银行因掩盖不良领罚单，国有大行也在列,Wind
2268,2019-04-18,监管重拳出击！多家银行因掩盖不良领罚单，国有大行也在列，个别银行不良率达40%,券商中国
2269,2019-04-17,透析12名股份行行长：8人曾任职国有大行，3人有央行经历,澎湃新闻
2270,2019-04-16,【中金固收·资产证券化】聚焦新突破——首单信用卡循环资产入市 20190416,中金固定收益研究
2271,2019-04-12,发卡速度放缓、不良率抬升——信用卡业务“凉凉”了吗,经济日报
2272,2019-04-10,信用卡拐点已至？2018年分期收入占比首超利息,新浪
2273,2019-04-08,浙商银行存款下降难“造血”，内部风控存隐患,中金在线
2274,2019-04-04,九大股份行2018年业绩PK：5家营收增速超过10% 浦发银行不良率最高,每日经济新闻
2275,2019-04-04,审计署出手！翻出银行四大乱象，驻场两周，有银行人士直呼把自家翻了个底朝天,券商中国
2276,2019-04-02,去年七大股份制银行业绩回暖,北京商报
2277,2019-04-01,国海证券：首批区块链备案名单出炉2019迎来应用元年,国海证券
2278,2019-03-31,下周操盘攻略：大规模减税实施，限售股解禁下降70%,Wind
2279,2019-03-28,12家上市银行亮出成绩单： 集体加码零售，不良总体微升,第一财经
2280,2019-03-25,新增贷款六成投向民企 浙商银行全力冲刺回A,中国经营报
2281,2019-03-23,浙商银行2018年业绩出炉：总资产1.65万亿 净利115亿,经济观察网
2282,2019-03-22,浙商银行：深化金融科技应用，助实体企业降杠杆,财华社
2283,2019-03-22,浙商银行：在今年全力冲刺回A 向小微倾斜上不封顶,中国网
2284,2019-03-22,民营银行帮民营：浙商行民企贷款超55% 2018年个人金融资产总额大增超50%,21世纪经济报道
2285,2019-03-22,浙商银行去年营收增速13.89% A股IPO时间表符合预期,证券日报
2286,2019-03-22,"A股上市正全力冲刺，浙商银行去年净利115亿，""稳增长""成绩单这三大变化值得关注",券商中国
2287,2019-03-21,浙商银行2018年净利润同比增4.94% 理财子公司已在规划之中,每日经济新闻
2288,2019-03-21,浙商银行去年净利115亿增长近5%，计划2019年回A股,澎湃新闻
2289,2019-03-21,浙商银行去年净利增近5% 最快或在二季度回A,第一财经
2290,2019-03-21,浙商银行(02016-HK)坦言不派息为配合A股上市进程,财华社
2291,2019-03-21,营收双位增长 浙商银行实现内涵式发展,中国金融新闻网
2292,2019-03-21,浙商银行：98.3%的业务由互联网实现，回A进度符合预期,21经济网
2293,2019-03-21,浙商银行2018年实现净利115亿元 较上年增长4.94%,中国金融新闻网
2294,2019-03-21,浙商银行：理财子公司设立在机构设立规划中已有安排,新浪
2295,2019-03-21,浙商银行：回A计划进展符合预期,新浪
2296,2019-03-21,这家银行有胆量！“过去互联网革银行的命，以后银行也会革互联网的命”,21世纪经济报道
2297,2019-03-21,银行理财收益走低 大额存单“吃香”了？,新京报
2298,2019-03-19,浙商银行2018年实现净利114.9亿元 同比增长4.94%,中国网
2299,2019-03-19,浙商银行(02016-HK)去年净利润114.9亿人民币增5% 不派息,财华社
2300,2019-03-18,浙商银行(02016.HK)2018年净利润达115亿元 同比增长4.94%,格隆汇
2301,2019-03-18,浙商银行：将A股发行方案有效期延长一年至明年5月30日,Wind
2302,2019-03-18,浙商银行将延长A股IPO有效期至2020年,新浪
2303,2019-03-18,浙商银行“回A”有效期延长至明年5月 拟发行300亿元金融债,证券时报网
2304,2019-03-18,浙商银行(02016.HK)建议延长A股发行方案有效期,格隆汇
2305,2019-03-18,浙商银行(02016.HK)拟将于3月28日支付境外优先股股息,格隆汇
2306,2019-03-18,浙商银行(02016.HK)变更会计政策,格隆汇
2307,2019-03-16,董事人数低于公司章程规定 猛狮科技承诺股东大会前完成合规工作,每日经济新闻
2308,2019-03-12,“工行派”淡出管理层 温州银行还能顺利IPO么？,新浪
2309,2019-03-06,浙商银行(02016.HK)3月18日举行董事会会议 审核年度业绩,格隆汇
2310,2019-03-01,中小行上市补血难 两家农商行IPO暂停 IPO融资异常,新京报
2311,2019-02-26,浙商银行郑州分行累计签发区块链应收款25亿,零壹财经
2312,2019-02-25,想不到，宽信用下保本保息的银行存款产品卖得好！挑理财产品有这些便捷渠道,券商中国
2313,2019-02-22,【独家】原浙商银行副行长姜雨林重回中信银行任福州分行行长,经济观察网
2314,2019-02-22,原浙商银行副行长姜雨林重回中信银行任福州分行行长,经济观察网
2315,2019-02-18,扑朔迷离的阿拉丁金服,腾讯网
2316,2019-02-14,部分公司因经济纠纷募资被银行或法院划转,中证报
2317,2019-01-28,国发集团质押东吴证券1.1亿股，10多天前才解除7700万股股权质押！,每日经济新闻
2318,2019-01-18,中南建设为四家子公司约15.89亿元融资提供担保,观点地产网
2319,2019-01-18,“区块链+供应链金融”：沉睡的巨人正渐渐苏醒,钛媒体
2320,2019-01-16,浙商银行殷剑峰：名义GDP增速低于10% 即进入衰退期,新浪
2321,2019-01-15,抢转让理财产品 “捡漏”高收益靠谱？,新京报
2322,2019-01-14,尴尬的网贷存管：银行“爱惜羽毛” 平台怕被拖累,金融界
2323,2019-01-11,银监行政处罚12月总结：监管重拳出击，开出五张千万罚单,微信
2324,2019-01-11,进入白名单仍恐遭P2P“爆雷” 又有银行宣布退出网贷存管业务,新浪
2325,2019-01-10,网贷资金存管业务频频“闹分手”：互相“嫌弃”,国际金融报
2326,2019-01-10,【独家】浙商银行温州分行行长周向军赴任浙银租赁董事长,经济观察网
2327,2019-01-10,瑞康医药与浙商银行签署百亿战略合作 探索医药流通银企合作,经济观察网
2328,2019-01-10,瑞康医药与浙商银行达成百亿战略合作 银企携手探索医药流通创新模式,证券日报网
2329,2019-01-10,瑞康医药获浙商银行百亿元意向授信额度,中证网
2330,2019-01-10,网贷资金存管业务生变，恐有银行彻底退出,和讯
2331,2019-01-05,信息科技：普惠金融获流动性 荐36股,国盛证券
2332,2018-12-30,银亿危局续：旗下一地产项目预售监管账户资金异常 工程陷停工传闻,每日经济新闻
2333,2018-12-27,“二手”银行理财火了，你知道怎么淘吗？,中国经济网
2334,2018-12-26,看十大关键词 正深度影响银行业态,中投网
2335,2018-12-26,浙商银行武汉分行资金违法投向房地产 遭银监局处罚 其他违规处罚,中国经济网
2336,2018-12-21,[快讯]预期收益率5.02% 浙商银行12月24日开售365天理财产品,中财网
2337,2018-12-20,浙商银行小微线上融资业务突破百亿,中证网
2338,2018-12-18,浙商银行副行长张长弓辞职将转战广东华兴银行,证券时报
2339,2018-12-14,违规、踩雷、人事动荡、被马云抛弃，浙商银行怎么了？ 其他违规处罚,亿欧网
2340,2018-12-13,探秘浙商银行：资产负债结构背后有何玄机？,中金在线
2341,2018-12-12,“七宗罪”被重罚五千多万元 其他违规处罚,长沙晚报
2342,2018-12-11,浙商银行近三年首次因理财违规被罚5550万元 此前回A预披露被证监会关注罚单问题 其他违规处罚,经济观察网
2343,2018-12-11,浙商银行：2019年将新增信贷投放约1300亿元服务民营企业,中证网
2344,2018-12-11,浙商银行沈仁康：应用区块链创新融资业务新模式,Bianews
2345,2018-12-11,【热点】银保监会再开批量罚单，银行股影响几何？ 其他违规处罚,国元证券订阅号
2346,2018-12-11,浙商银行：创新“三大平台”支持民营企业降本增效,证券时报网
2347,2018-12-11,16家全国性银行营收增幅分化明显 资产质量有所改善,投资时报
2348,2018-12-11,大额罚单剑指银行理财： 浙商、民生等6家银行被罚1.56亿 其他违规处罚,中金在线
2349,2018-12-11,中信浙商等6家银行再遭重罚1.563亿 其他违规处罚,投资快报
2350,2018-12-10,浙商银行再次单日零成交 踩雷不断、又获巨额罚单 其他违规处罚,第一财经
2351,2018-12-10,零售金融周报：360金融12月14日登陆纽交所，6家银行被罚1.56亿 其他违规处罚,零壹财经
2352,2018-12-10,优质中小盘和中下游估值望修复,广州日报
2353,2018-12-10,银行理财转型任重道远,经济日报
2354,2018-12-08,银保监会公布10张罚单 罚没浙商等6银行逾1.5亿 其他违规处罚,每日经济新闻
2355,2018-12-08,1.56亿大罚单！光大等银行遭罚 理财业务竟“集体中招” 其他违规处罚,证券时报
2356,2018-12-08,细究银保监会1.56亿元罚款：6家银行受罚，聚焦理财违规 其他违规处罚,澎湃新闻
2357,2018-12-07,6家银行合计被罚逾1.5亿，理财业务成违规集中区域 其他违规处罚,国际金融报
2358,2018-12-07,6家银行遭罚1.56亿！银保监会连开10张巨额罚单，理财承诺刚兑、违规“输血”楼市成重灾区 其他违规处罚,证券时报网
2359,2018-12-07,银保监会一日公布5张千万级罚单！涉民生银行、中信银行 其他违规处罚,中新经纬
2360,2018-12-07,银保监会开出五张千万级罚单 浙商银行被罚款5550万元 其他违规处罚,北京商报
2361,2018-12-07,银保监出重拳：浙商民生渤海中信光大交行被罚1.56亿 其他违规处罚,新浪
2362,2018-12-07,银保监会一次开出10张巨额罚单，罚金合计1.56亿元,Wind
2363,2018-12-07,浙商银行发布支持民营企业40条举措,证券日报
2364,2018-12-07,浙商银行：截至10月末公司类贷款中民营企业占比达到53.6%,中证网
2365,2018-12-06,从破发潮到零成交量，港交所是要闹哪样？,财华社
2366,2018-12-06,浙商银行湖州分行被罚80万：贷款资金流入股市 其他违规处罚,新浪
2367,2018-12-04,市值800亿却持续零成交，浙商银行为何普涨之下不为所动,第一财经
2368,2018-11-30,浙商银行：明年将进一步提高民营融资占比,新华网
2369,2018-11-30,智能制造何以未遍地开花 浙商银行透露四大原因,华夏时报
2370,2018-11-30,2019年度浙商银行将继续加大民企投放,中投网
2371,2018-11-30,浙商银行已在智能制造领域累计发放融资1800多亿元,新华网
2372,2018-11-26,浙商银行：多渠道加大对民企信贷投放,证券时报网
2373,2018-11-19,年内拿到IPO批文银行增至3家 尚有14家排队待审,证券时报
2374,2018-11-16,浙商银行：11月30日将召开“18雏鹰农牧SCP001”持有人会议,Wind
2375,2018-11-16,猛狮科技聚焦主业进一步回流资金,红周刊
2376,2018-11-15,关于准予宝盈聚享纯债定期开放债券型发起式证券投资基金注册的批复,证监会
2377,2018-11-09,中弘股份退市一锤定音，绩差股难翻身游资火中取栗,21世纪经济报道
2378,2018-11-06,首单民营企业债券融资支持计划落地 浙商银行发行市场首单联合体CRMW,每日经济新闻
2379,2018-11-05,首单民企债融支持工具落地 浙商银行发行1亿元联合体CRMW,证券时报网
2380,2018-11-05,首单民企债券融资支持计划落地 浙商银行创设首单联合体CRMW,中证网
2381,2018-11-05,浙商银行前三季度净利润98.95亿元 同比增8.84%,新浪
2382,2018-11-02,[快讯]预期收益率4.89% 浙商银行11月05日开售99天理财产品,中财网
2383,2018-10-31,浙江法人银行三季报亮眼：杭州银行、宁波银行净利增逾两成,21世纪经济报道
2384,2018-10-30,浙商银行前三季度净利润98.95亿元,证券时报网
2385,2018-10-29,关于准予浙商汇金聚鑫定期开放债券型发起式证券投资基金注册的批复,证监会
2386,2018-10-26,[快讯]预期收益率5.06% 浙商银行10月29日开售365天理财产品,中财网
2387,2018-10-26,[快讯]预期收益率5.01% 浙商银行10月29日开售365天理财产品,中财网
2388,2018-10-26,[快讯]预期收益率4.91% 浙商银行10月29日开售180天理财产品,中财网
2389,2018-10-25,全国首单挂钩民企债券CRMW发行 浙商银行独立主承销,证券时报网
2390,2018-10-25,国芳集团实际控制人张国芳质押1.6亿股 占公司总股本的24.02%,挖贝网
2391,2018-10-22,关于准予南华瑞元定期开放债券型发起式证券投资基金注册的批复,证监会
2392,2018-10-22,关于准予永赢诚益债券型证券投资基金注册的批复,证监会
2393,2018-10-19,[快讯]预期收益率4.92% 浙商银行10月22日开售182天理财产品,中财网
2394,2018-10-17,聚龙股份：中标浙商银行及浦发银行采购项目,e公司
