,2021-12-31,浦发银行大连分行为您解析“债券型基金”,搜狐
2939,2019-03-30,股份制银行信用卡不良率抬头 这一现象或为主因,国际金融报
2940,2019-03-30,银行理财两年连降！非保本理财去年减少1300亿，多家银行理财收入滑坡,券商中国
2941,2019-03-30,国有六大银行2018年实现净利逾万亿元，2019年信贷将聚焦实体经济重点领域,中证报
2942,2019-03-29,浦发银行信贷低风险偏好持续,证券市场周刊
2943,2019-03-29,逾900家A股公司披露年报，现金分红成主流,证券时报
2944,2019-03-28,【银行业2018年年报解读】工行等五家银行2018年年报亮相　盈利能力稳健　资产质量向好,上海金融报
2945,2019-03-28,浦发银行“不良”实现双降 资产质量进一步夯实,中投网
2946,2019-03-28,浦发银行发布2018年度报告：营收净利双增，降风险成效显著，服务实体经济质效提升,中证网
2947,2019-03-28,12家上市银行亮出成绩单： 集体加码零售，不良总体微升,第一财经
2948,2019-03-27,零售高居第一大收入来源！更重要的是，浦发行去年零售存款大增33%，数字生态银行建设抓眼球,券商中国
2949,2019-03-27,浦发银行：面向未来的数字化生态银行与零售银行,证券之星
2950,2019-03-27,中银国际*每日速递20190327：潍柴动力、普洛生物、浦发银行、海天味业、晨光文具；策略、计算机、电新等,微信
2951,2019-03-27,【银行】浦发银行：调结构促息差修复，关注资产质量改善趋势,微信
2952,2019-03-27,浦发银行不良贷款“双降” 实现营业收入1715.42亿元,中投网
2953,2019-03-27,浦发银行发力零售金融 2018个人存款总额增幅33.21%,新浪
2954,2019-03-27,信用卡大跃进埋祸根？中信、浦发、平安坏账率回升,和讯
2955,2019-03-27,【国金研究】保险资金专题：险资如何配置A股及其相关特征,国金证券研究所
2956,2019-03-27,【银行-浦发银行(600000)】戴志锋、贾靖（研究助理）：详细解读浦发银行2018年年报：资产质量企稳，继续发力零售-0326,中泰证券研究所
2957,2019-03-27,浦发银行2018年度实现净利559.14亿元,新浪
2958,2019-03-26,浦发银行2018年延续营收与净利双增长 零售业务成为第一大板块收入,中国网
2959,2019-03-26,2018浦发银行归母净利润559.14亿 增长2.48％,金融界
2960,2019-03-26,零售业务成第一大收入板块理财子公司筹备正在推进,中投网
2961,2019-03-26,浦发银行发布2018年年报 营收净利双增,证券日报
2962,2019-03-26,零售业务贡献42.5%成第一大收入板块，浦发银行转向“零售银行”？,经济观察网
2963,2019-03-26,实现营收1715.42亿 浦发银行去年净利增长3.05%,北京商报
2964,2019-03-26,浦发银行:存量不良走出阴霾,国信证券
2965,2019-03-25,浦发银行2018年转型：净值化理财产品新增4000亿，同业负债压缩3000亿 偿债能力下降,21世纪经济报道
2966,2019-03-25,浦发银行(600000.SH)2018年净利润升3.05%至559.14亿元 拟10派3.5元,格隆汇
2967,2019-03-25,浦发银行：2018年净利559亿元同比增3% 拟10派3.5元,e公司
2968,2019-03-25,浦发银行年报：2018年净利润同比增3%，拟10派3.5元,Wind
2969,2019-03-19,2018上市股份行成绩单：业绩整体回暖 行业分化加剧,中国网
2970,2019-03-19,浦发银行武汉分行 助力小微企业发展,金融时报
2971,2019-03-18,七大股份制银行业绩比拼：浦发不良率最高，招行净利805亿超阿里,搜狐
2972,2019-03-15,上海本地股迎风口，集万千宠爱于一身（附科创影子股）,Wind
2973,2019-03-15,浦发银行(600000.SH)获核准发行不超500亿元金融债券 专项用于发放小型微型企业贷款,格隆汇
2974,2019-03-15,浦发银行：发行不超500亿元金融债券获批,Wind
2975,2019-03-13,许家印冲双冠延边队却破产 大佬的足球梦冰火两重天,新浪
2976,2019-03-12,报告| 2019年2月上海A股上市公司市值TOP50,挖贝网
2977,2019-03-07,中船集团与浦发银行战略合作 涉授信业务等领域,e公司
2978,2019-03-02,三月A股市场展望：机构扎堆看好休闲服务等三大行业,证券日报
2979,2019-03-01,特别策划 | 百度智能云：抢滩产业智能化新蓝海,财经杂志
2980,2019-02-28,筛选银行的黄金法则：内生性增长,新浪
2981,2019-02-27,投资并购花钱成功之后就万事大吉了吗,C114通信网
2982,2019-02-25,浦发银行：将及时披露“14鲁金茂MTN001”违约后续进展 未按时兑付本息,Wind
2983,2019-02-25,银行业周报:关注次新股机会和低估值修复机会,正点财经
2984,2019-02-23,筛选银行的黄金法则—内生性增长,红周刊
2985,2019-02-22,浦发银行构建零售经营新体系,金融界
2986,2019-02-21,咪蒙微信公众号显示注销 浦发银行曾推出联名信用卡,新浪
2987,2019-02-20,【银行】浦发银行：多事之秋已过，正待重振雄风,天风研究
2988,2019-02-19,20份上市银行业绩快报陆续抵达，五大行仍“雪藏”盈利数据,证券日报
2989,2019-02-16,【太证银行孙立金团队】金融数据点评月报：本外币贷款余额同比增速提高，大幅超预期的社融有助于提升银行PB估值,金龙藤组合
2990,2019-02-12,聚龙股份：收到浦发银行中标通知书,中证网
2991,2019-02-03,银行板块复苏有望逐步震荡上行 六股投资正当时,证券日报
2992,2019-02-02,银行板块有望逐步震荡上行 逾45亿资金涌入9只个股,证券日报
2993,2019-01-30,【华泰金融沈娟团队】Q4银行持仓微降，仓位反弹可期—评偏股基金2018Q4银行股持仓【证券研究报告】,华泰金融研究全新平台
2994,2019-01-30,营收与净利双升 银行股成近期护盘主力,证券时报
2995,2019-01-29,银行股午后快速走升，交通银行涨近2%,Wind
2996,2019-01-26,早讯丨小米回应柔宇指责称双折叠手机系自研；编程猫完成近六亿元融资,亿欧网
2997,2019-01-25,浦发银行与吉利控股集团签署战略合作协议,Wind
2998,2019-01-25,银行业绩快报预暖，城商行净利润增速领跑,野马财经
2999,2019-01-24,银行资产质量持续改善 今年利润增速料略放缓,中证报
3000,2019-01-22,11家银行披露2018年业绩快报，城商行营收、净利润增速亮眼,国际金融报
3001,2019-01-22,十家A股上市银行披露2018业绩快报 半数净利润增速高于2017年同期,每日经济新闻
3002,2019-01-22,【随笔】银行股高股息率的比较优势,金龙藤组合
3003,2019-01-22,80亿额度遭10.75万亿争抢 平安银行可转债现天量申购,新浪
3004,2019-01-22,9家银行披露业绩快报：上海银行业绩增速居前,中投网
3005,2019-01-22,7家银行“剧透”去年业绩：整体盈利稳步上扬,证券日报
3006,2019-01-21,9家银行披露2018年业绩快报　归母净利润均实现正增长,上海金融报
3007,2019-01-21,北上资金节前涌入A股扫货 6股有望率先发力,证券日报
3008,2019-01-17,51信用卡管家发布用卡报告，浦发银行获双项冠军,证券之星
3009,2019-01-17,【每日金融要闻速览】2019年1月17日星期四,和讯
3010,2019-01-16,一周内3家银行宣布董事辞职 董监高成员变化,中国经营网
3011,2019-01-16,银行净值化理财产品比拼：城商行收益率更高,第一财经
3012,2019-01-16,浦发银行6天内两董事辞任 均为70后 董监高成员变化,每日经济新闻
3013,2019-01-16,浦发银行携渣打银行支持一带一路项目,经济通
3014,2019-01-16,2018信用卡消费报告：上海人持卡量PK发达国家，男生成生活缴费主力军,21世纪经济报道
3015,2019-01-16,浦发银行与渣打银行签署“一带一路”战略合作备忘录,证券时报网
3016,2019-01-16,浦发银行与农发行签署全面战略合作协议,新浪
3017,2019-01-15,抢转让理财产品 “捡漏”高收益靠谱？,新京报
3018,2019-01-12,首批业绩快报预热年报行情 6只绩优股获机构推荐,证券日报
3019,2019-01-11,浦发银行宁波分行被罚216万：违规开展存贷业务 其他违规处罚,新浪
3020,2019-01-11,53股获券商买入评级 立讯精密目标涨幅达101.21%,Wind
3021,2019-01-10,"浦发银行深度报告:不良不足惧,估值尚可提",正点财经
3022,2019-01-10,银行理财转让成香饽饽 未来将有更多银行入局,北京商报
3023,2019-01-10,建投晨会0110 | 汽车板块反弹机遇可期,中信建投证券研究
3024,2019-01-10,被“嫌弃”的银行股,北京商报
3025,2019-01-09,哪些行业不良贷款率高？,岳读债市
3026,2019-01-09,【银行|孙立金团队太平洋证券】浦发银行(600000)：资产质量改善，估值修复机会值得关注,太平洋证券研究
3027,2019-01-08,牧宝车居新增500万对外担保 累计金额占去年上半年净资产的一半 大额借贷担保,挖贝网
3028,2019-01-08,36股获券商买入评级 万科A目标涨幅达79.64%,Wind
3029,2019-01-07,流动性进一步宽松 理财收益率下跌将延续,新浪
3030,2019-01-07,1月7日早间利好消息速递,证券时报网
3031,2019-01-05,首批15份年报本月登场 抄底绩优股正当时？,证券时报
3032,2019-01-04,浦发银行去年净利润增3.05% 不良率降0.22个百分点至1.92%,21经济网
3033,2019-01-04,银行2018业绩快报披露打响 平安、浦发营收净利均实现双增,中国网
3034,2019-01-04,浦发银行2018年业绩快报：净赚559亿元 增长3%,证券日报
3035,2019-01-04,浦发、平安两家银行发布业绩快报 2018年营收、净利均实现双增长,金融投资报
3036,2019-01-04,首批银行业绩快报亮相 资产质量持续改善,中证网
3037,2019-01-04,浦发银行：浦发银行2018业绩快报 不良率持续下降,中泰证券
3038,2019-01-04,平安、浦发两家银行发布2018年业绩快报,证券时报
3039,2019-01-04,【申万宏源金融】浦发银行业绩快报点评：资负结构深度调整利好息差表现，不良压力持续化解,大金融研究
3040,2019-01-04,平安银行、浦发银行发布2018年业绩快报：营收、净利润均实现双增,国际金融报
3041,2019-01-03,上市公司数据速递：浦发银行2018年净利同比增3.05％,金融界
3042,2019-01-03,2018银行业主题：强监管、严惩治,新浪
3043,2019-01-03,1月3日晚间上市公司十大重磅公告,巨丰财经
3044,2019-01-03,两家银行披露业绩快报 不良贷款率一升一降,e公司
3045,2019-01-03,浦发银行业绩快报：2018年度净利润同比增长3.05%,中证网
3046,2019-01-03,【银行年报】浦发银行2018年净利润559亿元 不良率1.92%,经济观察网
3047,2019-01-03,浦发银行：2018年实现净利润559.14亿 同比增长3.05%,新浪
3048,2019-01-03,浦发银行：2018年净利559.14亿元，同比增3.05%,Wind
3049,2019-01-03,浦发银行：2018年净利559亿元 同比增3%,e公司
3050,2019-01-03,银行逐鹿智能化转型 更加注重业务场景化建设,中投网
3051,2019-01-02,银保监会泰州分局发5张罚单 邮储、中行等被罚220万 其他违规处罚,新浪
3052,2018-12-29,两大国有行理财子公司获批 人才难题待解,中国经营报
3053,2018-12-27,银行股尾盘发力护盘，交通银行等多股短线拉升,Wind
3054,2018-12-27,"有银行挂出178套房产，上市公司为何年末齐""卖房""",国际金融报
3055,2018-12-26,年末银行“卖房潮”：哈尔滨股份银行挂出178套房产,国际金融报
3056,2018-12-26,黑加仑奖|浦发银行2018：年初遭遇天价罚单 年末甩卖房产 其他违规处罚,凤凰网
3057,2018-12-25,零售金融周报：中国移动成立金融科技子公司，央行窗口指导银行智能存款产品,零壹财经
3058,2018-12-24,浦发银行年末集中甩卖25套房产,中国网
3059,2018-12-24,建行董事长:买房是接盘侠 浦发银行挂牌甩卖14套房,中国经济网
3060,2018-12-21,银保监会同意浦发银行公开发行不超500亿A股可转换债,中保网
3061,2018-12-19,浦发银行500亿元可转债发行获银保监会批准,Wind
3062,2018-12-19,浦发银行500亿元可转债发行获银保监会批准,证券时报网
3063,2018-12-18,勇立潮头，做先行者！上海银行业纪念改革开放四十周年,中国经济网
3064,2018-12-18,上海银行业纪念改革开放40周年，争当排头兵和先行者,澎湃新闻
3065,2018-12-18,上市公司吹响“求生”号角 主业不振副业救场,21世纪经济报道
3066,2018-12-17,ST金花(600080.SH)：长安银行未执行公司募集资金专户划款指令,格隆汇
3067,2018-12-17,锦江旅游第四季度频繁出售金融资产 获利约2.38亿元,新京报
3068,2018-12-17,亚星化学:公司在浦发银行潍坊分行的5千万贷款已归还,新浪
3069,2018-12-14,锦旅B股连续三年营收下滑 偏好炒股年底冲刺狂赚2亿,新浪
3070,2018-12-12,华夏基金MSCIA股国际通ETF年内亏损20%，利好难敌高位接盘,和讯
3071,2018-12-11,16家全国性银行营收增幅分化明显 资产质量有所改善,投资时报
3072,2018-12-11,年终盘点2018年A股“十大坑王”,第一理财网
3073,2018-12-11,"休闲服务行业周报:离岛免税新政刺激销售,泰国10月中国入境旅客持续下滑",申万宏源
3074,2018-12-06,支持民企进行时 上海银企合作动作不断,第一财经
3075,2018-12-05,长江资管浦发银行闷杀投资者？资管产品踩雷仍销售 投资失误,华夏时报
3076,2018-12-04,浦发银行与国泰君安签署全面战略合作协议,Wind
3077,2018-12-04,浦发银行与国泰君安签署全面战略合作协议,e公司
3078,2018-12-03,A股收官行情值得期待，机构扎堆相中三大行业,证券日报
3079,2018-11-30,沪港通十大成交活跃股排名（11月30日）,Wind
3080,2018-11-29,浦发银行助力民营物流企业拓展高端市场,上海金融报
3081,2018-11-29,浦发银行上海分行积极助力民营企业破除“融资难、融资贵”的困局,国际金融报
3082,2018-11-22,【天风研究·固收】信用早早报（11月22日）,固收彬法
3083,2018-11-20,上海首单民企债券融资支持工具落地 浦发银行拔头筹,第一财经
3084,2018-11-19,浦发、兴业入局 10家银行推出信用风险缓释凭证,北京商报
3085,2018-11-19,浦发银行今日大宗交易成交96万股，成交价10.88元折价0.0%,Wind资讯
3086,2018-11-19,【会员资讯】奇瑞汽车与浦发银行签署战略合作协议,中汽协
3087,2018-11-16,透视银行三季报：基本面逐步好转,全景网
3088,2018-11-16,13家A股上市银行：减员趋势渐显,零壹财经
3089,2018-11-15,Convertlab再获殊荣 自动化能力领航营销技术发展,北国网
3090,2018-11-15,保荐银行上市哪家券商更强？ 保荐经验是首选,证券时报
3091,2018-11-14,券商家道中落：全行业前三季度利润跟浦发银行相当,挖贝网
3092,2018-11-10,透视银行三季报：基本面逐步好转,红周刊
3093,2018-11-02,社保证金汇金三季度调仓动向曝光,中证报
3094,2018-11-01,百信银行与浦发银行签署全面战略合作协议,证券时报网
3095,2018-11-01,四大行净利润均达千亿级别 交行三季度再被招行反超,新浪
3096,2018-10-31,前三季度八大股份制银行日赚11.73亿,中金在线
3097,2018-10-31,浦发银行发布2018年三季度报告营收、净利润双增长，数字生态银行建设加速推进,和讯
3098,2018-10-31,国有五大行前三季净利增速超5%，股份行资产质量喜忧参半,澎湃新闻
3099,2018-10-30,浦发银行前三季度净利同比增3.14%,北京商报
3100,2018-10-30,浦发银行连续三个季度缩表，证金公司继续增持,证券时报网
3101,2018-10-30,浦发银行：前三季度净利432亿元 同比增3%,e公司
3102,2018-10-30,浦发银行：前三季度净利润同比增3.14%,Wind
3103,2018-10-27,浦发银行在新加坡设立大宗商品中心,Wind
3104,2018-10-26,外管局持股板块股票有哪些？外管局持股板块股票汇总,益盟操盘手
3105,2018-10-24,上期所发布关于公布镍、黄金期货做市商名单的公告,Wind
3106,2018-10-24,银行股午前发力,Wind
3107,2018-10-23,逾4000亿资金在路上：银行补血对抗资本充足率压力,第一财经
3108,2018-10-18,处罚浦发银行等机构合计逾320万！央行郑州中心支行一日公示8张罚单 其他违规处罚,每日经济新闻
3109,2018-10-02,浦发银行常州分行资金被挪用等违法行为合计被罚205万 其他违规处罚,金融界
3110,2018-10-01,江苏银监一日公布14张罚单，浦发银行连领两张合计被罚205万,Wind
3111,2018-09-30,江苏银监一日公布14张罚单 浦发银行连领两张合计被罚205万 其他违规处罚,每日经济新闻
3112,2018-09-29,继续举债，刚卖了北京海航大厦的海航系债务危局待解,新京报
3113,2018-09-28,银行如何应对数字化时代挑战？浦发银行发起“科技合作共同体”,搜狐
3114,2018-09-27,1249只A股纳入富时罗素（全名单）,券商中国
3115,2018-09-26,10万亿私行江湖激战正酣，招行+四大行瓜分70%市场,新浪
3116,2018-09-26,浦发银行与微软等达成合作 探索金融科技新模式,TechWeb
3117,2018-09-25,上市银行信用卡大战正酣 7家交易额过万亿,投资者报
3118,2018-09-21,多行打造“开放银行”，互联网金融当何去何从,零壹财经
3119,2018-09-21,浦发银行打造合作生态平台 探索金融科技新模式,中新网
3120,2018-09-20,浦发银行今日大宗交易成交68.67万股，成交价9.22元折价9.78%,Wind资讯
3121,2018-09-20,银行中报解读：基本面正在好转,红周刊
3122,2018-09-20,浦发银行发起成立“科技合作共同体” 探索金融科技新模式,中证网
3123,2018-09-20,浦发银行探索金融科技新模式 成立“科技合作共同体”,金融界
3124,2018-09-19,市价7元多 定增价却至少11元 亏本生意为啥还有人接,中财网
3125,2018-09-19,物理网点改造怎样才能引入线上生态和流量？,证券时报
3126,2018-09-18,浦发信用卡增量负增长 上半年透支余额缩水,投资快报
3127,2018-09-18,招行、浦发、平安“大零售”架构重组潮：更侧重数字化、互联网化,21世纪经济报道
3128,2018-09-15,浦发银行拟向大生农业金融子公司索偿4440万元,每日经济新闻
3129,2018-09-14,大生农业金融(01103)遭浦发银行起诉要求偿还4440万元款项及罚息 诉讼纠纷,智通财经
3130,2018-09-14,航天科技集团与浦发银行签署战略合作协议,e公司
3131,2018-09-13,浦发银行半年领5亿罚单 增速垫底上市银行 其他违规处罚,新浪
3132,2018-09-13,浦发信用卡黑马成色褪去：增量负增长 透支余额缩水,新浪
3133,2018-09-11,银行信用卡策略分化：4银行发卡量破1亿，7银行交易额超1万亿,21世纪经济报道
3134,2018-09-10,浦发银行前半年诸事不遂 利润增速垫底,投资时报
3135,2018-09-10,浦发银行专注并购金融 助力中国制造“走出去”,和讯
3136,2018-09-08,蚂蚁金服王黎强：金融科技不是黑科技，而是暖科技,经济观察网
3137,2018-09-07,9月7日晚间上市公司十大重磅公告,巨丰财经
3138,2018-09-06,"浦发银行研读:二季度净息差有所回落,资产质量保持稳定",万联证券
3139,2018-09-05,[数说]银行中考成绩一览 招行净利超越交行跃居第五,金融界
3140,2018-09-05,12家上市银行拟成立资管子公司,新快报
3141,2018-09-05,浦发信用卡大跃进后遗症：透支余额缩水 不良率攀升,新浪
3142,2018-09-04,上市银行资产质量盘点：江阴农商行垫底、浦发不良率超2%仍处高位,搜狐
3143,2018-09-04,"浦发银行2018年中报点评:资产负债结构优化,仍有拨备计提压力",国信证券
3144,2018-08-31,本周7家上市公司发布可转债预案 融资总规模达532.94亿元,Wind
3145,2018-08-31,沪港通十大成交活跃股排名（8月31日）,Wind
3146,2018-08-31,上半年A股银行净利明显回暖,北京商报
3147,2018-08-31,25家上市银行理财业务年中成绩表： 规模和收入普降、净值型产品占比提升,21世纪经济报道
3148,2018-08-30,浦发银行半年报“未见起色” 净利润增速恐垫底不良率仍居高,华夏时报
3149,2018-08-30,浦发银行上半年净赚286亿 拟斥百亿成立资管子公司,证券时报
3150,2018-08-30,浦发银行上半年盈利286亿元,证券日报
3151,2018-08-29,浦发银行发布2018年半年度报告：推进一流数字生态银行建设 提升服务实体经济质效,和讯
3152,2018-08-29,一线|浦发税后归母净利润285.69 亿元 同比增1.43%,腾讯网
3153,2018-08-29,浦发银行：上半年净利润同比增1.43%,Wind
3154,2018-08-29,浦发银行上半年净利285亿 零售贷款利息收入增长28%,中国网
3155,2018-08-29,浦发银行拟成立浦银资产管理公司 出资不超过100亿元,中国网
3156,2018-08-29,浦发银行上半年净利微增 出资100亿元设立产管理子公司,金融界
3157,2018-08-29,浦发银行：上半年净利同比增1.43% 拟百亿设资管子公司,e公司
3158,2018-08-29,浦发银行半年报：净利润285.7亿元 同比增长1.43%,新浪
3159,2018-08-29,浦发银行：出资100亿元设立资产管理子公司浦银资管,新浪
3160,2018-08-29,浦发银行：公司拟出资不超100亿元，全资发起设立资产管理子公司,国际金融报
3161,2018-08-29,浦发银行：上半年净利润285.69亿元，同比增1.43%,Wind
3162,2018-08-29,规模近1.5万亿！又一家银行理财子公司获批筹建，注册地又在,中国基金报
3163,2018-08-27,6月末浦发银行不良贷款环比双降,中国经济网
3164,2018-08-26,地量震荡，北上资金加仓超百亿，个股机会在哪里？,中证报
3165,2018-08-24,东亚银行与浦发银行签署全面战略合作协议,新华网
3166,2018-08-23,浦发银行：零售业务成为第一收入来源，严控消费贷款流入楼市,澎湃新闻
3167,2018-08-23,浦发银行：发行不超过400亿元二级资本债券获央行批准,Wind
3168,2018-08-17,不满肖像被擅用 主持人马东起诉浦发银行获赔45万,每日经济新闻
3169,2018-08-15,主持人马东诉浦发银行侵权案一审宣判 马东获赔45万余元,北京商报
3170,2018-08-15,马东诉浦发信用卡侵权使用其姓名肖像 一审获赔45万 诉讼纠纷,澎湃新闻
3171,2018-08-15,违反反洗钱规定 不足一月浦发银行连吃两张罚单,每日经济新闻
3172,2018-08-14,又有5家银行领反洗钱罚单：罚款总额超 250万元 浦发银行重庆分行领最大罚单,华夏时报
3173,2018-08-14,“浦发个人贷款”小程序，无界连接金融生态圈商业,南方财富网
3174,2018-08-13,浦发银行与苏宁控股开展战略合作,上海金融报
3175,2018-08-11,苏宁控股与浦发银行将推进区块链等领域交流合作,Bianews
3176,2018-08-10,央行反洗钱监管加码 今年来至少25家金融机构领罚单,每日经济新闻
3177,2018-08-09,浦发信用卡异军突起不良风险隐现,南都报
3178,2018-08-07,华闻传媒释疑：公司股东与投资均与“阜兴系”无利益关联,南方财富网
3179,2018-08-06,浦发银行股份有限公司廊坊分行被罚25万元 其他违规处罚,凤凰网
3180,2018-08-06,浦发银行廊坊分行六项违规被罚,财经网
3181,2018-08-03,央行开出逾600万反洗钱罚单 浦发银行等5家机构挨罚,每日经济新闻
3182,2018-08-02,央行开出5张反洗钱罚单，3家银行在列,国际金融报
3183,2018-08-02,央行反洗钱出重拳 交通银行平安银行银河证券等遭罚,中国经济网
3184,2018-08-02,5机构遭央行处罚！平安银行浦发银行交行均未公告 其他违规处罚,财经网
3185,2018-08-02,央行再开5张罚单！银行券商保险都因反洗钱中招，浦发行被罚金额最高！,中国基金报
3186,2018-08-02,强监管下，昔日“同业之王”兴业银行还好吗？,零壹财经
3187,2018-08-01,年内逾百家上市公司违规被罚 其他违规处罚,深圳商报
3188,2018-07-27,浦发银行今日大宗交易成交150万股，成交价8.88元折价11.11%,Wind资讯
3189,2018-07-24,浦发银行400亿元二级资本债获批发行 银行加快补充资本,中国网
3190,2018-07-20,中国上市公司协会联合沪深交易所发布A股上市公司现金分红榜单,中上协
3191,2018-07-20,浦发上海分行为美国银行上海分行提供首单银行系债券通代理结算服务,中国金融新闻网
3192,2018-07-19,浦发银行推出API Bank无界开放银行,北京商报
3193,2018-07-18,浦发银行构建场景金融新生态 推出API Bank无界开放银行,和讯
3194,2018-07-16,首个API BANK正式推出：把银行从街边开到企业ERP系统内部,搜狐
3195,2018-07-16,浦发银行上半年收两张千万罚单 6高管增持34.85万股,每日经济新闻
3196,2018-07-13,无界开放银行来了 浦发银行重磅开启服务模式重构,金融界
3197,2018-07-13,浦发银行高管掏腰包买自家股票 “强心针”or“遮羞布”？,国际金融报
3198,2018-07-12,7月12日有66家公司获重要股东增减持 泛海控股已被连续增持63次,Wind
3199,2018-07-12,[公司]浦发银行6高管合计买入34.85万股 自愿锁定两年,全景网
3200,2018-07-12,浦发银行：副董事长等高管买入34.85万股股票,新浪
3201,2018-07-12,浦发银行副董事长等高管近日增持34.85万股,金融界
3202,2018-07-12,浦发银行：行长及五位副行长增持34.85万股,Wind
3203,2018-07-12,浦发银行推出业内首个API Bank无界开放银行,新华网
3204,2018-07-06,银行网点“无人化”蓄势,中国经营网
3205,2018-07-06,夯实数字生态银行经营，浦发银行大力打造“权益生态”,财经网
3206,2018-07-04,金融科技再深化 浦发银行网点智能化改造,全景网
3207,2018-07-04,银行网点智能化转型提速 浦发银行推出首款智能柜台,证券时报
3208,2018-07-03,浙江“凤凰行动”论坛在杭州举行,苏南网
3209,2018-07-03,银行网点智能化改造提速,中证报
3210,2018-07-02,浦发银行大连分行遭罚 个人信用信息管理突破红线,中国经济网
3211,2018-06-30,银监半年开千余张罚单，罚没金额逾十亿 银行信贷业务乱象成重灾区,华夏时报
3212,2018-06-29,【中信建投银行杨荣】银行业周报220期：《风险溢价降低，驱动股价回升》,eResearch杨荣团队
3213,2018-06-28,关于公布能力建设水平测试获证学员名单的通知,银行间市场协会
3214,2018-06-27,浦发·中国移动5G金融联合创新实验室正式揭牌 共创万物智联新生态,C114通信网
3215,2018-06-26,A股已是遍地黄金 紧盯7只市盈率低于10倍股,证券时报
3216,2018-06-21,超5亿罚款领跑同行 浦发银行伤疤未好就忘了疼,新浪
3217,2018-06-19,浦发银行太原贷款形态反映不真实等违法行为被罚款30万元,财经网
3218,2018-06-15,浦发银行太原违法正常贷款变次级类贷款 转让不良资产,中国经济网
3219,2018-06-15,山西银监局行政处罚信息公开表(晋银监罚决字〔2018〕6号),和讯
3220,2018-06-15,浦发银行上海分行公司理财规模破千亿元,上海金融报
3221,2018-06-14,大股东不补仓 凯迪生态员工持股血本无归,北京商报网
3222,2018-06-14,腾讯输出技术服务优势，4天内与3家银行和保险公司达成合作,和讯
3223,2018-06-14,凯迪生态员工持股计划爆仓 员工上亿资金血本无归 减持股份,新浪
3224,2018-06-14,银行股集中破净的背后：或因强监管下市场担忧导致,Wind
3225,2018-06-11,一线|腾讯与浦发银行达成战略合作 围绕金融科技多个领域展开,腾讯网
3226,2018-06-11,浦发银行与腾讯全面战略合作 涉及联合营销、创新金融,中国网
3227,2018-06-11,浦发银行与腾讯达成全面战略合作 创新合作实现互惠共赢,和讯
3228,2018-06-11,签署全面战略合作协议 腾讯助力浦发银行数字化转型,中国基金报
3229,2018-06-11,浦发银行加码调结构转型 探索金融科技新路径,和讯
3230,2018-06-08,浦发上海分行深入开展防范非法集资宣传教育月活动,中国金融新闻网
3231,2018-06-07,想看大片？这些信用卡有观影优惠！,融360
3232,2018-06-06,浦发银行业务结构的根本问题,华夏时报
3233,2018-06-03,A股破净股已多达115只！半月来增加40%,--
3234,2018-06-01,浦发银行加码调结构转型 探索金融科技新路径,投资者报
3235,2018-05-31,沪港通十大成交活跃股排名（5月31日）,Wind
3236,2018-05-31,银行牵手互金巨头又迎小高潮：从“门当户对”到“多对多”,第一财经
3237,2018-05-30,蚂蚁金服牵手浦发银行 在人工智能、生物识别等多维度开展合作,云掌财经
3238,2018-05-30,蚂蚁金服和浦发银行签署合作协议,新浪
3239,2018-05-30,蚂蚁金服战略合作频频：浦发、华夏、光大等三家银行月内集中签约,零壹财经
3240,2018-05-30,蚂蚁金服与浦发银行签署战略合作,财界网
3241,2018-05-30,银行全面发力数字转型 金融科技公司吃哪碗饭？,每日经济新闻
3242,2018-05-29,蚂蚁金服密集开放银行技术合作 称“从没想过做金融机构”,21世纪经济报道
3243,2018-05-29,蚂蚁金服开放月：浦发华夏光大三家银行月内集中签约,新浪
3244,2018-05-29,一线|浦发银行与蚂蚁金服达成战略合作：探索金融业人工智能应用,腾讯网
3245,2018-05-29,谋求数字化转型 华夏、光大、浦发三家银行纷纷牵手蚂蚁金服,华夏时报
3246,2018-05-29,浦发银行与蚂蚁金服在支付等领域达成全面战略合作,新浪
3247,2018-05-29,浦发银行与蚂蚁金服战略合作，智能风控服务小微业务,金融界
3248,2018-05-28,银行外设与内孵各有所长 金融科技战略升级换代,金融时报
3249,2018-05-23,晚间重要公告2018年5月23日星期三,--
3250,2018-05-23,浦发银行：董事会批准公司出资20亿元入股国家融资担保基金,Wind
3251,2018-05-22,关于公布中国银行间市场交易商协会第四届金融衍生品专业委员会委员名单的公告,银行间市场协会
3252,2018-05-18,未获预售许可 北京华润·理想国打政策擦边球进行意向登记,中国经营网
3253,2018-05-17,浦发银行创新消保新模式 让金融知识“活”起来,上海金融报
3254,2018-05-16,一季度被罚超5亿 浦发营收净利双双负增长,华夏时报
3255,2018-05-13,浦发银行2017年不良率超2% 拨备计提存在压力,每日经济新闻
3256,2018-05-11,严监管势头持续 银保监会开罚单瞄准重点领域,新华网
3257,2018-05-10,浦发银行今年被罚超5.2亿元 一季度净利润现负增长,中国网
3258,2018-05-09,浦发银行深耕并购金融助力“独角兽”药明康德中概股回归,信息时报
3259,2018-05-08,助力“独角兽”回A 商业银行加码投行业务,中国经营网
3260,2018-05-08,浦发银行赣州分行违反反洗钱法被罚8万元,腾讯网
3261,2018-05-08,中金发布MSCI调整预测，大约有229只A股或被纳入,证券时报
3262,2018-05-08,不良生成加速最快：浦发银行,证券时报
3263,2018-05-06,银监系统前4月开出逾千张罚单！工行、邮储、农行成罚单大户,搜狐
