,2021-12-31,中航光电、振华科技、高德红外……谁将能成长能力最强的军工电子企业？,Ofweek
950,2018-12-07,高德红外：签订3.95亿元军品订货合同,Wind
951,2018-12-07,巨丰热点：政策扶持再添利好 无人驾驶盘中活跃,巨丰财经
952,2018-12-07,军工股迎最佳配置时期 9家公司年报净利望翻番,证券日报
953,2018-12-04,"国防军工行业周报:第三艘航母确认在建,关注分系统和核心配套",国海证券
954,2018-11-23,电子行业100份业绩预告 近七成公司年报预喜,投资快报
955,2018-11-19,[快讯]高德红外发布解除质押公告 涉及股份8174万股,中财网
956,2018-11-19,财闻点金：多部门共推车联网领域发展 数千亿市场待开启,巨丰财经
957,2018-11-15,东兴证券：上调高德红外评级至强烈推荐,Wind
958,2018-11-15,24股获券商买入评级：宝钢股份目标涨幅达67.43%,Wind
959,2018-11-12,珠海航展启示：持续关注军民融合概念股,凤凰网
960,2018-11-12,董秘解码：铁汉生态实控人拟转让股权引入国资战略股东,巨丰财经
961,2018-11-09,高德红外：在珠海航展展出多款完整武器系统，标志着公司实现转型,Wind
962,2018-11-05,机械制造：机械军工周报 荐10股,开源证券
963,2018-10-26,"高德红外2018年三季报点评:民参军的典范,18年全年业绩预计低于预期",东莞证券
964,2018-10-25,业绩好才是真的好！529份年报预告，逾7成预喜,Wind
965,2018-10-24,高德红外：前三季度净利润同比增116.06%,Wind
966,2018-10-18,"电子行业三季报前瞻:企业成长逻辑分化,行业旺季喜忧参半",申万宏源
967,2018-10-10,高德红外：公司已正式承担某型号完整武器系统批产任务,e公司
968,2018-10-09,高德红外龙虎榜数据（10月9日）,Wind
969,2018-10-08,【挖题材】国防军工行业：基本面预期将持续向好 核心企业有望率先受益,国盛证券
970,2018-09-26,131只个股有望实现中报三季报业绩双翻番,证券日报
971,2018-09-24,【国盛军工】研发抵扣新规，军工受益最显著（内附122只个股利润弹性测算）,毅军凸起
972,2018-09-24,工业综合：研发抵扣新规 荐3股,国盛证券
973,2018-09-19,工信部公示第二批服务型制造示范名单 高德红外等多家上市公司上榜,中证网
974,2018-09-19,工业和信息化部公示第二批服务型制造示范名单,Wind
975,2018-09-12,高德红外：公司晶圆级封装生产线已实现批量生产,Wind
976,2018-09-07,董秘解码： 高德红外称公司产品性能达国际顶尖水平,巨丰财经
977,2018-09-07,推动行业大变革 深挖增量新市场 高德红外“芯”平台发布,中电网
978,2018-09-07,晶圆级封装探测器量产 高德红外发布“芯”平台,全景网
979,2018-09-06,高德红外：百万像素制冷探测器面市 转型全产业链发展,e公司
980,2018-09-06,高德红外：打造红外“芯”平台,中证网
981,2018-09-04,高德红外：订货任务回升 业绩拐点显现,中证网
982,2018-09-03,八家激光上市公司上半年业绩排名分析,Ofweek
983,2018-08-28,高德红外1-6月营业收3.31亿元 净利润1.03亿元，同比增长121.87%,Ofweek
984,2018-08-28,金股预测早间版：8股有望开启估值修复,巨丰财经
985,2018-08-27,高德红外：2018年前三季度业绩报告预告,深交所
986,2018-08-27,高德红外：上半年净利破亿元 同比增122%,e公司
987,2018-08-27,高德红外：上半年净利润同比增121.87%,Wind
988,2018-08-24,[快讯]高德红外发布质押公告 涉及股份7122万股,中财网
989,2018-08-23,投入所有利润攻关，高德红外终掌握“中国红外芯”,长江日报
990,2018-08-10,工信部公示2018年制造业与互联网融合发展试点示范项目名单,Wind
991,2018-07-25,[推荐评级]高德红外(002414)调研简报：占领红外制高点 打造民营军工集团,中财网
992,2018-07-23,高德红外：制冷型红外焦平面探测器产品已远销海外,Wind
993,2018-07-21,基金二季度斥资近百亿元增持61只电子股39只中报业绩预喜股或迎“升”机,证券日报
994,2018-07-20,高德红外：高端武器系统等将对公司业绩产生积极影响,Wind
995,2018-07-17,高德红外：已布局新能源汽车领域,中证网
996,2018-07-17,[优异评级]电子行业周报：面板价格企稳 将呈现阶段性反弹,中财网
997,2018-07-16,[优于大市评级]海通军工行业周报：军工订单恢复逻辑有望在半年报中得到更充分体现,中财网
998,2018-07-13,信达证券融资融券每日投资参考,正点财经
999,2018-07-13,[看好评级]国防军工行业动态跟踪：国防强基深入推进 先研后补提效增速,中财网
1000,2018-07-12,TMT行业日报：LGD称中国批准其在广州建立OLED工厂,中财网
1001,2018-07-12,高德红外：维持增持评级,国海证券
1002,2018-07-11,[增持评级]高德红外(002414)事件点评：采购恢复账款收回 业绩大幅增长,中财网
1003,2018-07-11,高德红外：军改影响逐步消除 半年预告大幅上修,东兴证券
1004,2018-07-11,巨丰热点前瞻：弱势行情下市场或呈现结构性机会,巨丰财经
1005,2018-07-11,"高德红外事件点评:采购恢复账款收回,业绩大幅增长",国海证券
1006,2018-07-10,中报行情全面爆发！三类股摇钱有“术”……,Wind
1007,2018-07-10,涨停板解密：四大板块齐爆发！（7月10日）,Wind
1008,2018-07-10,巨丰资金流向：两市缩量弱势反弹 周期资源股受偏爱,巨丰财经
1009,2018-07-10,涨停揭秘：市场缩量反弹难改弱势格局 次新股呈现涨停潮,巨丰财经
1010,2018-07-10,37股公告上修业绩 多股涨停价值重启(名单),证券时报
1011,2018-07-10,业绩修正公告来袭 37股上修业绩 多股应声涨停(附名单),证券时报
1012,2018-07-10,巨丰热点：无人驾驶盘中活跃 启明信息等多股涨停,巨丰财经
1013,2018-07-10,高德红外：中报预告靓丽 业绩开启高增长,华泰证券
1014,2018-07-10,10日公告透露利好 31只个股有望爆发,中证网
1015,2018-07-10,高德红外：发布业绩预告修正公告 公司2018年上半年业绩超预期增长,证券日报
1016,2018-07-10,周二沪深两市重要公告集锦,牧童资讯
1017,2018-07-09,高德红外大幅向上修正中报预告业绩 受益于军品订单持续供货,中证网
1018,2018-07-09,高德红外：向上修正上半年业绩预告 预增120%-150%,e公司
1019,2018-07-04,高德红外：晶圆级红外模组可用于智能手机,中证网
1020,2018-07-04,董秘解码：赫美集团控股股东正在积极采取措施化解股票质押风险,巨丰财经
1021,2018-07-04,45股获券商买入评级 巨星科技目标涨幅达55.54%,Wind
1022,2018-07-03,[领先大市-A评级]国防军工行业每周观点：关注军工板块跟随创业板的反弹性机会,中财网
1023,2018-07-02,[买入评级]高德红外(002414)点评：技术实力雄厚 军民融合助力公司脱颖而出,中财网
1024,2018-07-02,安信冯福章：关注军工板块跟随创业板的反弹性机会,金融界
1025,2018-06-28,42股获券商买入评级，广誉远目标涨幅达49.06%,Wind
1026,2018-06-27,券商首次关注9股并给予买入评级（6月27日）,Wind
1027,2018-06-06,高德红外：百万像素红外探测器正在小批量试制,e公司
1028,2018-05-11,"高德红外调研简报:生态建设普及红外应用,系统总体提升军品层级",国海证券
1029,2018-05-05,军工板块盈利稳步提升 需求释放增长加速,投资快报
1030,2018-05-02,高德红外以中国芯构生态圈 民用市场望成利润新增长点,证券日报
1031,2018-04-28,"高德红外2018年1季报点评:民参军的典范,收入持续快速增长",东莞证券
1032,2018-04-27,高德红外：4月26日融资余额为5.16亿元，较前一日骤增6.51%,Wind资讯
1033,2018-04-26,高德红外：一季度净利润同比增32.72%,Wind
1034,2018-04-26,高德红外盘中拉升,e公司
1035,2018-04-26,"高德红外动态点评:红外应用前景广阔,定位总体志存高远",国海证券
1036,2018-04-20,高德红外：跻身完整武器系统制造商,全景网
1037,2018-04-20,巨丰早参：A股入摩在即北上资金疯狂涌入 两只金股买入额创纪录！,巨丰财经
1038,2018-04-19,高德红外：核心器件已全面国产化,e公司
1039,2018-04-19,看好中国 | 建军强国——八部委发文促装备提升 军民融合迎阶段性机会,巨丰财经
1040,2018-04-19,巨丰热点：八部委促重大技术装备水平提升 军民融合概念活跃,巨丰财经
1041,2018-04-09,[审慎增持评级]高德红外(002414)年报点评：红外芯片全面国产化 武器系统批产在望,中财网
1042,2018-04-02,多家红外热像上市公司业绩下滑 加码布局民用消费领域,每日经济新闻
1043,2018-04-02,高德红外：新装备定型叠加军改影响消除 18年业绩有望大幅反转,中信建投
1044,2018-04-02,[路演]高德红外：与美的的合作方面已经成功研制了核心模组,全景网
1045,2018-03-30,[推荐评级]高德红外(002414)年报点评：业绩有所下滑 未来发展潜力较大,中财网
1046,2018-03-27,高德红外2017年营收突破10亿元,中证网
1047,2018-03-27,高德红外：2017年净利润同比减17.52%,Wind
1048,2018-03-27,沪深上市公司18年3月28日重大事项交易提示速递,搜狐
1049,2018-03-27,高德红外：积极介入红外在自动驾驶中的运用,Wind
1050,2018-03-23,高德红外：红外和车企的应用还只是基于ADAS夜视层面,中证网
1051,2018-03-21,融资客青睐43股，轻纺城买入占比高达53.46％,Wind
1052,2018-03-17,“两会见闻录”之二十二丨全国政协委员、高德红外董事长黄立：军民融合的“步子”越走越大,21经济网
1053,2018-03-08,高德红外获1.2亿元军品合同 军品业务今年将全面恢复,Ofweek
1054,2018-03-07,【华创机械】每日公告速递2018-03-07,华创机械
1055,2018-03-06,高德红外签订亿元军品合同 军品业务滞后影响有望消除,每日经济新闻
1056,2018-03-06,高德红外：3月5日融资余额为5.29亿元，较前一日骤增5.16%,Wind资讯
1057,2018-03-06,高德红外签约1.19亿元军工订单 军品业务今年将全面恢复,中证报
1058,2018-03-06,高德红外：签署1.19亿元军品订货合同,金融界
1059,2018-03-05,高德红外签订1.19亿元订单 抓住传统军工业务恢复性增长契机,证券日报
1060,2018-03-05,晚间重要公告2018年3月5日星期一,--
1061,2018-03-05,高德红外：签订1.19亿元军品订货合同 验证了军品采购工作的全面恢复,e公司
1062,2018-03-05,高德红外：收到1.18亿军工订单,Wind
1063,2018-02-27,高德红外：2017年净利润同比减17.70%（快报）,Wind
1064,2018-02-22,高德红外，打破西方40年封锁研制“中国红外芯”,长江日报
1065,2018-02-06,【军工丨段小虎】分级基金或承压下折，择机增配价值白马,方正证券研究
1066,2018-02-05,工业综合：建议重视基本面标的在调整中的配置及加仓机会 荐6股,申万宏源
1067,2018-01-31,延长募投项目实施期限谁说了算？高德红外董秘这个决定有点草率,财经网
1068,2018-01-17,【华创机械】每日公告速递2018-01-17,华创机械
1069,2018-01-09,【新鲜出炉】东北证券五大行业联合解读《智能汽车发展战略》,东北电子研究
