,2021-12-31,化工行业2021年11月数据：国内化工行业运行指标跟踪,新浪
6762,2020-01-10,1月10日早盘主力巨资出逃四大板块(附股),金融界
6763,2020-01-10,2019年上市公司定增剖析：借壳上市类刺激股价,面包财经
6764,2020-01-09,【申万宏源化工】每日信息速递20200109,申万宏源化工投资
6765,2020-01-09,11只个股大宗交易超5000万元,证券时报网
6766,2020-01-09,私募大佬内部年会透露选股指标，据此筛出这294家公司,上证报
6767,2020-01-09,但斌：注册制带来牛市 分化行情依然延续（附股）,上证报
6768,2020-01-09,【国盛策略】全球估值比较：哪些周期核心资产被低估？,尧望后势
6769,2020-01-09,万华化学现1笔大宗交易 共成交805.70万元,新浪
6770,2020-01-09,73股获券商买入评级，中广天择目标涨幅达52.58%,Wind
6771,2020-01-08,【申万宏源化工】每日信息速递20200108,申万宏源化工投资
6772,2020-01-08,化工行业：守望春归化工行业2020年度投资策略,中泰证券
6773,2020-01-08,1月8日券商晨会研报汇编,证券日报
6774,2020-01-08,中泰证券：化工龙头有望凭借估值和长期业绩增长优势实现周期穿越,证券时报网
6775,2020-01-08,利安隆拥有30家全球知名企业客户群 净利润8年增14倍,腾讯网
6776,2020-01-07,45股今日获机构买入评级16股上涨空间超20%,证券时报网
6777,2020-01-07,产业地产投资情报：2019年山东省工业拿地TOP20企业排名（土地篇）,中商情报网
6778,2020-01-06,【申万宏源化工】每日信息速递20200106,申万宏源化工投资
6779,2020-01-06,利安隆：高分子材料抗老化专家，积极扩张迎广阔空间,证券时报网
6780,2020-01-06,特斯拉供应链全面国产化，突围之路！,腾讯网
6781,2020-01-06,白马抱团要瓦解？潍柴动力等放量大跌！机构坚定看好低估价值龙头 连续下跌,证券时报网
6782,2020-01-06,【投票】2019，谁是投资者心中最具投资价值公司？,面包财经
6783,2020-01-06,31股获券商买入评级 恒逸石化目标涨幅达50.54%,Wind
6784,2020-01-05,61只个股被5家以上机构集中推荐 呈现三大特征,金融界
6785,2020-01-04,根本停不下来！北上资金连续20周净买入A股(金股),中财网
6786,2020-01-04,一周213只个股突破一年新高,中财网
6787,2020-01-03,北上资金活跃股名单(1月3日),证券时报网
6788,2020-01-03,化工行业龙头曝光！最新中国上市公司市值500强，谁上榜了？,腾讯网
6789,2020-01-03,2020年第一波金股出炉，谁才是机构的“心头肉”？（附名单）,证券之星
6790,2020-01-03,64股今日获机构买入评级14股上涨空间超20%,证券时报网
6791,2020-01-02,【申万宏源化工】每日信息速递20200102,申万宏源化工投资
6792,2020-01-02,【机构风向标】玻尿酸龙头股5天4板，化工细分行业龙头股受机构追捧,证券时报
6793,2020-01-02,2020年1月份券商月度金股出炉 5家券商推荐这家公司,证券日报
6794,2020-01-02,主力动向：1月2日特大单净流入99.21亿元,证券时报网
6795,2020-01-02,银河证券：2020年A股投资重点把握结构性机会,中证网
6796,2020-01-02,宋清辉：今年并购重组有望进一步回暖短期将提升市场的风险偏好,搜狐
6797,2020-01-02,企查查数据：我国高新技术企业176818家 山东家底多厚？,凤凰网
6798,2020-01-02,央行全面降准0.5个百分点 金融、地产及周期行业有望迎来估值修复,证券时报网
6799,2020-01-01,这笔长线资金加速入市，有省份去年豪赚20亿，偏爱哪类股票？,中证报
6800,2019-12-31,【申万宏源化工】每日信息速递20191231,申万宏源化工投资
6801,2019-12-31,科技龙头争当C位 2020年看两大板块 六股热,证券时报
6802,2019-12-31,北上资金全年3500亿元扫货A股创纪录 猛买大消费和科技股,大众证券报
6803,2019-12-31,A股翻身仗！市值飙升逾12万亿，户均赚7.2万，科技龙头争当C位，2020年最大机会看两大板块,e公司
6804,2019-12-31,【东北基础化工】日报/埃克森美孚惠州乙烯项目正式开工 20200423,东北基础化工
6805,2019-12-31,沪港通十大成交活跃股排名（12月31日）,Wind
6806,2019-12-31,北上资金活跃股名单(12月31日),证券时报网
6807,2019-12-31,A股2019重组复盘：过会率超80%，买壳重组金额逾千亿,格隆汇
6808,2019-12-31,中信证券：竣工回暖+基建托底，看好化工后周期龙头,证券时报网
6809,2019-12-31,中信证券：从历史角度看2020年周期板块轮转的机会,证券时报网
6810,2019-12-31,大宗商品｜从历史角度看2020年周期板块轮转的机会,中信证券研究
6811,2019-12-30,【申万宏源化工】每日信息速递20191230,申万宏源化工投资
6812,2019-12-30,万华化学(600309.SH)：调整募投项目“聚碳酸酯项目”、“上海中心项目”实施进度,格隆汇
6813,2019-12-30,2019年A股并购盘点：市场情绪回升,Wind
6814,2019-12-30,19只股股价创历史新高,证券时报网
6815,2019-12-30,68股今日获机构买入评级15股上涨空间超20%,证券时报网
6816,2019-12-30,【方正化工】恒力石化业绩大增，强烈推荐万华、玲珑、恒力、荣盛、恒逸,靠谱化工股
6817,2019-12-30,【方正化工】聚合MDI和涤纶长丝价格上涨，强烈推荐万华、玲珑、恒力、荣盛、恒逸,靠谱化工股
6818,2019-12-30,山东183家企业技术中心通过“考试” 宝世达、索通发展两家“挂科”,鲁网
6819,2019-12-30,如何看待当前化工板块的投资机会？,方正证券
6820,2019-12-30,太平洋证券：周期持续修复，化工龙头溢价，关注成长估值切换,证券时报网
6821,2019-12-30,一周热点回顾|国内外纺织服装行业新闻大事件速览（12.23.-12.27.）,全球纺织网
6822,2019-12-29,【方正化工】草铵膦价格上涨，强烈推荐万华、玲珑、恒力、荣盛,靠谱化工股
6823,2019-12-28,风起--再论ppi转正与化工配置电话会议纪要,化海锋云
6824,2019-12-28,宁波热电再度接手股东资产 沉迷投资或使主业荒废,腾讯网
6825,2019-12-28,2019再融资市场回暖 可转债募资规模翻番,中证报
6826,2019-12-28,一周192只个股突破今年新高,中财网
6827,2019-12-27,41股今日获机构买入评级,中财网
6828,2019-12-27,320只股短线走稳站上五日均线,证券时报网
6829,2019-12-27,445只股短线走稳站上五日均线,证券时报网
6830,2019-12-27,563只股短线走稳站上五日均线,证券时报网
6831,2019-12-27,481只股短线走稳站上五日均线,证券时报网
6832,2019-12-27,光大证券：万华化学增持评级,光大证券
6833,2019-12-27,2019年山东百强企业出炉，35家化工企业上榜！附详细名单,和讯
6834,2019-12-27,大幅降价！万华宣布2020年1月MDI价格下调3300元/吨,全球纺织网
6835,2019-12-27,【晨观方正】宏观/化工/有色/电子20191230,方正证券研究
6836,2019-12-26,【申万宏源化工】每日信息速递20191226,申万宏源化工投资
6837,2019-12-26,151股每笔成交量增超50%,证券时报网
6838,2019-12-26,山东:经济结构更优 高质量发展“筋骨”更壮,大众日报
6839,2019-12-26,大参考：华为第二代Mate X可折叠手机或明年下半年发布,巨丰财经
6840,2019-12-26,早报：前10月全国减税降费近2万亿 283公司业绩预喜,新浪
6841,2019-12-25,【申万宏源化工】每日信息速递20191225,申万宏源化工投资
6842,2019-12-25,A股头条之上市公司（12.26）,金融界
6843,2019-12-25,25日晚公告精选丨贵人鸟3连板，提示风险或被ST,21世纪经济报道
6844,2019-12-25,公告精选：贵州茅台控股股东拟划转5024万股股份；紫光股份子公司紫光数码公开挂牌,证券时报网
6845,2019-12-25,公告精选：茅台集团拟无偿划转贵州茅台4%股份至省国资运营公司；威唐工业股东拟减持不超2%股份,e公司
6846,2019-12-25,【华金证券晚间资讯（20191225）】,华金研究
6847,2019-12-25,明年1月粤开证券“十大金股”出炉 招商银行、三七互娱等上榜,证券日报
6848,2019-12-25,万华化学:大幅下调2020年1月份MDI价格,新浪
6849,2019-12-25,万华化学：下调2020年1月份中国地区MDI价格,e公司
6850,2019-12-25,23只股股价创历史新高,证券时报网
6851,2019-12-25,宁波大榭港区年吞吐量破亿吨,国际商报
6852,2019-12-25,化工龙头价值分析系列之五：荣盛石化,赵辰看周期
6853,2019-12-25,年末“红包”！圣农发展大手笔派现，高分红潜力股名单来了,证券时报网
6854,2019-12-25,万华化学大幅拉升1.39% 股价创近2个月新高,金融界
6855,2019-12-24,【申万宏源化工】每日信息速递20191224,申万宏源化工投资
6856,2019-12-24,42股今日获机构买入评级,证券时报网
6857,2019-12-24,科创主题基金收益颇丰 现在是“上车”好时机吗？,中投网
6858,2019-12-24,2019山东企业100强，营收过千亿元企业达到12家,商务部
6859,2019-12-23,【太平洋化工】万华化学：盈利环比修复，自我造血保障长期成长,强大化工
6860,2019-12-23,化工：化工品价格小幅上涨 荐8股,安信证券
6861,2019-12-23,【太平洋机械】工程机械行业周报20191222：烯烃类产能投资加速，利好石化设备龙头,太平洋机械大讲堂
6862,2019-12-23,【太平洋化工】万华化学：自我造血，新一轮强资本开支期，伴随公司长期成长,微信
6863,2019-12-22,3年封闭科创主题基金接连上市 最新重仓股曝光,上证报
6864,2019-12-22,【方正化工】景气指数继续回升，强烈推荐万华、玲珑、恒力、荣盛,靠谱化工股
6865,2019-12-21,【华安化工 | 事件点评】万华化学：海外竞争对手频繁调整业务，或放弃对成本的竞争，聚焦渠道依赖的高附加值产品,化工阿尔法
6866,2019-12-21,山东百强企业利润总额达2942.16亿元，7家企业破“百亿大关”,鲁网
6867,2019-12-21,2019鲁企百强发展报告出炉 12家企业营收超千亿,中国经济网
6868,2019-12-21,一周230只个股突破今年新高,中财网
6869,2019-12-20,招商基础化工行业周报2020年12月第2周：醋酸、醋酸乙烯本周涨幅居前，水合肼、工业萘跌幅较大,招商基础化工
6870,2019-12-20,【申万宏源化工】每日信息速递20191220,申万宏源化工投资
6871,2019-12-20,招商基础化工行业周报2020年12月第4周：盐酸、国际硫酸本周涨幅居前，DMC、水合肼跌幅较大,招商基础化工
6872,2019-12-20,招商基础化工行业周报2020年12月第3周：聚四氟乙烯、辛醇本周涨幅居前，水合肼、丙酮跌幅较大,招商基础化工
6873,2019-12-20,IPO动态|美瑞新材“二进宫”：主创团队出身于万华化学，多起交易公允性存疑,财经网
6874,2019-12-20,今日82只个股突破五日均线,证券时报网
6875,2019-12-20,六大券商下周一看好的六大板块,证券之星
6876,2019-12-20,今日97只个股突破五日均线,证券时报网
6877,2019-12-20,基础化工行业2020年年度策略：坚守一线龙头，拥抱核心资产,格隆汇
6878,2019-12-20,【方正化工】2020年化工行业投资策略报告：优选景气底部的周期成长股,方正证券研究
6879,2019-12-20,招商基础化工行业周报2020年7月第4周：液氯、二氯乙烷本周涨幅居前，丙酮、环氧乙烷跌幅较大,招商基础化工
6880,2019-12-19,新材料精彩纷呈，新模式改天换地——基础化工2020年市场展望,东兴化工产业洞见
6881,2019-12-19,基础化工2020年年度策略：静候需求复苏掘金优质赛道,川财证券
6882,2019-12-19,【川财研究所*2020年年度策略】基础化工：静候需求复苏，掘金优质赛道（20191215）,川财研究
6883,2019-12-19,中信建投2020年石油化工展望：关注产业变革，探寻投资机会,中信建投证券研究
6884,2019-12-18,【申万宏源化工】每日信息速递20191219,申万宏源化工投资
6885,2019-12-18,16只个股大宗交易超5000万元,证券时报网
6886,2019-12-18,万华化学现1笔大宗交易 共成交246.80万元,新浪
6887,2019-12-18,中信建投2020年化工行业展望：龙头香如故，材料急先锋,中信建投证券研究
6888,2019-12-17,【申万宏源化工】每日信息速递20191218,申万宏源化工投资
6889,2019-12-17,13只个股大宗交易超5000万元,证券时报网
6890,2019-12-17,地产竣工复苏，化工股买什么？,赵辰看周期
6891,2019-12-17,霍尼韦尔先进技术助力浙江卫星丙烯装置氢气提纯,中自网
6892,2019-12-17,基础化工行业2020年投资策略：守正出奇，拥抱新材料发展大浪潮,广发证券
6893,2019-12-17,沪指冲击3000点 创业板18月新高 这次有何不一样？这批科技股要火,证券时报网
6894,2019-12-16,万华化学大幅拉升2.79% 股价创近2个月新高,金融界
6895,2019-12-16,周一机构一致看好的七大金股（12.16）,中金在线
6896,2019-12-16,【国金化工-公司深度】高分子助剂优质企业，打造综合服务供应商（2019-12-16）,点石化金
6897,2019-12-15,【申万宏源化工】每日信息速递20191216,申万宏源化工投资
6898,2019-12-14,一周151只个股突破今年新高,中财网
6899,2019-12-13,【申万宏源化工】每日信息速递20191213,申万宏源化工投资
6900,2019-12-13,2019精细化工企业影响力TOP50,硅谷动力
6901,2019-12-13,【信达看盘】2019.12.13,信达证券上海
6902,2019-12-12,【申万宏源化工】每日信息速递20191212,申万宏源化工投资
6903,2019-12-12,什么情况？一度20次创历史新高，暴涨两倍多，却在一个月不到腰斩,证券时报网
6904,2019-12-12,万华化学大幅拉升1.78% 股价创近2个月新高,金融界
6905,2019-12-12,12月12日券商晨会研报汇编,证券日报
6906,2019-12-12,【朝闻国盛1212】11月金融数据的六大信号,国盛证券研究所
6907,2019-12-12,年内无涨停股价却翻倍 10只“低调”细分龙头走势强劲,中证报
6908,2019-12-11,【东北基础化工】日报/神华宁煤-SABIC合资70万吨/年煤制烯烃新材料示范项目环评公示 20191212,东北基础化工
6909,2019-12-11,【申万宏源化工】每日信息速递20191211,申万宏源化工投资
6910,2019-12-11,见证中国美业重要时刻，InnoCosme年度大奖获奖名单出炉,印刷包装网
6911,2019-12-11,聚乙烯：原料更加多元化 我国PE自给率大幅提升,和讯
6912,2019-12-11,【中原化工顾敏豪】基础化工行业月报*行业景气处于低位，关注行业龙头及维生素板块,中原证券研究所
6913,2019-12-11,太平洋证券研究 12月11日最新观点：2019年11月金融数据点评,太平洋证券研究
6914,2019-12-10,【申万宏源化工】每日信息速递20191210,申万宏源化工投资
6915,2019-12-10,【东北基础化工】日报/沙特阿美将入股浙江石化新建炼化项目 20191211,东北基础化工
6916,2019-12-10,廖宗魁：政治局会议定调2020年政策,粤开崇利论市
6917,2019-12-10,万华化学大幅拉升0.39% 股价创近2个月新高,金融界
6918,2019-12-10,券商唱多周期股 基金持仓市值低,金融投资报
6919,2019-12-09,【申万宏源化工】每日信息速递20191209,申万宏源化工投资
6920,2019-12-09,【东北基础化工】日报/国家油气管网公司正式挂牌成立 20191210,东北基础化工
6921,2019-12-09,万花化学寇光武:布局匈牙利助力发展 正布局中东项目,新浪
6922,2019-12-09,银河证券：政策保稳定和扩基建，紧跟电子信息龙头公司,证券时报网
6923,2019-12-09,【朝闻国盛1209】2020年政策的变与不变,国盛证券研究所
6924,2019-12-08,【申万化工周观点】周期品部分企稳反弹，建议配置一二线龙头白马,申万宏源化工投资
6925,2019-12-07,【东北基础化工】日报/全球首个纯碱期货在郑州商品交易所上市 20191207,东北基础化工
6926,2019-12-07,【东北基础化工】日报/山东泰特尔特种环氧树脂项目开工，将占有全球细分市场半壁江山 20191206,东北基础化工
6927,2019-12-07,一周80只个股突破今年新高,中财网
6928,2019-12-06,【申万宏源化工】每日信息速递20191206,申万宏源化工投资
6929,2019-12-06,【化工品价格跟踪】OPEC+深化减产，油价反弹，地产相关化工品价格平稳20191208,太平洋化工信息平台
6930,2019-12-05,【申万宏源化工】每日信息速递20191205,申万宏源化工投资
6931,2019-12-05,科创板首例！建龙微纳上市当天破发 分析人士：预料之中 连续下跌,腾讯网
6932,2019-12-05,犀牛财经早报：四川取缔不合规P2P网贷 100款App下架整改,GPLP犀牛财经
6933,2019-12-05,万华化学大幅拉升2.26% 股价创近2个月新高,金融界
6934,2019-12-05,富时罗素季度审核变更 中国交建、宝钢股份被剔除,新京报
6935,2019-12-05,大盘缩量盘整 药明康德融资盘小幅流入,财富动力网
6936,2019-12-04,【申万宏源化工】每日信息速递20191204,申万宏源化工投资
6937,2019-12-04,【东北基础化工】日报/恒力集团拟在贵州建区域总部、新材料产业园 20191205,东北基础化工
6938,2019-12-04,27股获券商买入评级 万科A目标涨幅达60.71%,Wind
6939,2019-12-03,新时代证券：化工行业景气仍处低位 坚守优势龙头,证券时报网
6940,2019-12-03,石油化工：布局早周期和逆周期,光大证券
6941,2019-12-03,万华化学：MDI价格平稳 龙头估值溢价逐步体现,招商证券
6942,2019-12-02,上海证券：重提化工行业优质白马龙头长期配置价值,证券时报网
6943,2019-12-02,【东北基础化工】日报/富美实拟以六千万美元收购Isagro活性成分Fluindapyr的全球资产20200512,东北基础化工
6944,2019-12-02,轻烃化工竞争优势分析,赵辰看周期
6945,2019-12-02,东兴证券：机构重仓股跟踪周报,东兴证券
6946,2019-12-02,周期主题基金短期异动 基民布局宜关注长期超额收益,红周刊
6947,2019-12-02,太平洋证券：各行业周观点12月1日,太平洋证券研究
6948,2019-12-02,【东北基础化工】日报/华峰助力亚瑟士实现制鞋技术新突破20200516,东北基础化工
6949,2019-12-01,"【新时代证券】—— 12月金股组合，""成长，新时代！""每周交流会（第66期）",新时代证券研究
6950,2019-11-30,11月份北上资金涌入869.22亿元创历史新高 斥资逾48亿元加仓电子与银行两行业,证券日报
6951,2019-11-29,【申万宏源化工】每日信息速递20191129,申万宏源化工投资
6952,2019-11-29,【信达看盘】2019.11.29,信达证券上海
6953,2019-11-29,29日公司新闻聚焦:多家药企入围新医保目录 华东重机全年业绩预增,证券时报网
6954,2019-11-28,【申万宏源化工】每日信息速递20191128,申万宏源化工投资
6955,2019-11-28,A股头条之上市公司（11.29）,金融界
6956,2019-11-28,晚间公告热点追踪:多家公司产品纳入国家医保目录,新浪
6957,2019-11-28,万华化学(600309.SH)：12月中国地区MDI价格同比无变动,格隆汇
6958,2019-11-28,万华化学：12月份中国地区MDI价格没有变动,e公司
6959,2019-11-27,【申万宏源化工】每日信息速递20191127,申万宏源化工投资
6960,2019-11-26,生意社：本周国内TDI装置汇总,生意社
6961,2019-11-26,石油石化行业深度报告：PDH比较优势突出，龙头有望强者恒强，维持“推荐”评级,格隆汇
6962,2019-11-26,资本动态|泰和新材拟吸收母公司整体上市，并购标的民士达业绩存隐忧,财经网
6963,2019-11-26,沪指高开0.22% 水泥制造等板块领涨,中新经纬
6964,2019-11-26,融资客青睐12股，新疆天业买入占比高达59.10%,Wind
6965,2019-11-26,【中原晨会1126】市场分析、金工定期、化工年度策略、证券年度策略,中原证券研究所
6966,2019-11-26,【中原化工顾敏豪】基础化工行业年度策略*精选周期龙头，布局优质成长,中原证券研究所
6967,2019-11-26,增发市场整体规模持续走低 较2018年同期下降近三成(名单),中证报
6968,2019-11-25,泰和新材拟整体上市同时收购芳纶纸龙头民士达,上证报
6969,2019-11-25,龙头的标志是突破“商业边界”,红周刊
6970,2019-11-25,泰和新材谋划集团整体上市,中证网
6971,2019-11-25,数据复盘｜20股主力资金净流入超亿元 机构资金卖出这些股,证券时报网
6972,2019-11-25,A股市场主力资金净流出107.18亿元 万科A净流入额居首,中证网
6973,2019-11-25,东兴证券：机构重仓股跟踪周报,东兴证券
6974,2019-11-25,11月25日复盘:周二能否继续上攻？主力资金出击12股,新浪
6975,2019-11-25,464亿资金争夺20股：主力资金重点出击12股(名单),新浪
6976,2019-11-25,早盘复盘：A股科技医药持续重挫，港股表现造好飚升1.76% 连续下跌,格隆汇
6977,2019-11-25,卫健委新政，国康闭环模式或将助企业加速进入“健康时间”,凤凰网
6978,2019-11-25,万华化学大幅拉升3.16% 股价创近2个月新高,金融界
6979,2019-11-25,【朝闻国盛1125】短期震荡，重视安可集成,国盛证券研究所
6980,2019-11-24,【申万化工周观点】VE价格上涨，继续推荐一二线白马及成长龙头,申万宏源化工投资
6981,2019-11-23,【西南化工周观点】间甲酚供应紧张推高VE价格，棕榈油、天胶价格持续大涨,化工林谈
6982,2019-11-23,逾五成MSCI概念股月内跑赢大盘 234只概念股获机构推荐,证券日报
6983,2019-11-22,【申万宏源化工】每日信息速递20191122,申万宏源化工投资
6984,2019-11-22,万华化学现1笔大宗交易 共成交468.70万元,新浪
6985,2019-11-22,上海证券市场大宗交易公开信息(2019-11-22),上交所
6986,2019-11-22,国联证券发布2020年基础化工行业选股策略(附股),证券时报网
6987,2019-11-22,水泥价格创新高，强周期板块如何投资？,养基司令
6988,2019-11-22,化工板块震荡上扬 低估值优质龙头配置价值显现,证券时报网
6989,2019-11-22,11月22日早盘两市净流入前20股(名单),金融界
6990,2019-11-21,【申万宏源化工】每日信息速递20191125,申万宏源化工投资
6991,2019-11-21,【申万宏源化工】每日信息速递20191121,申万宏源化工投资
6992,2019-11-21,【化工*柴沁虎】 化工行业2020年度策略： 抓住供给侧机会，共享成长端未来,东吴研究所
6993,2019-11-21,【东吴晨报1121】【行业】社服、化工、通信【个股】哔哩哔哩,东吴研究所
6994,2019-11-20,【申万宏源化工】每日信息速递20191120,申万宏源化工投资
6995,2019-11-20,2019年中国工业电子商务大会成功召开,凤凰网
6996,2019-11-20,国产化需求迫切，5G新材料迎来全新蓝海,证券网
6997,2019-11-20,打破国外垄断挺进世界前列,中化新网
6998,2019-11-19,【申万宏源化工】每日信息速递20191119,申万宏源化工投资
6999,2019-11-18,中信证券：流动性宽松和经济回暖 工业品消费有望复苏,证券时报网
7000,2019-11-18,周期｜2020年投资策略：宽松周期下的需求复苏和盈利回升,中信证券研究
7001,2019-11-18,【朝闻国盛1118】关注央行三季度货币政策报告的七大信号,国盛证券研究所
7002,2019-11-16,【西南化工】我们为什么仍然看好棕榈油上涨的大周期,化工林谈
7003,2019-11-15,【申万宏源化工】每日信息速递20191115,申万宏源化工投资
7004,2019-11-14,【申万宏源化工】利安隆 (300596)深度报告 ——高分子抗老助剂龙头，内生外延驱动业绩持续高增,申万宏源化工投资
7005,2019-11-14,【申万宏源化工】每日信息速递20191118,申万宏源化工投资
7006,2019-11-14,大盘低迷收益平平 健玛离子水一枝独秀,南方财经网
7007,2019-11-13,【申万宏源化工】每日信息速递20191114,申万宏源化工投资
7008,2019-11-13,【申万宏源化工】每日信息速递20191113,申万宏源化工投资
7009,2019-11-13,卡塔尔石油与万华化学签署液化石油气供应协议,Wind
7010,2019-11-13,贪多不烂 容易踩雷 20只价值股,金融界
7011,2019-11-13,"【国金晨讯】视觉中国:加强增值服务,议价能力强；A股高分红个股挖掘；双十一战报纺服国货品牌表现亮眼；LCP:5G高频场景持续渗透",国金证券研究所
7012,2019-11-13,华创证券2020年度策略观点精粹,华创证券研究
7013,2019-11-12,【申万宏源化工】每日信息速递20191112,申万宏源化工投资
7014,2019-11-12,【国金策略】专题||A股分红：如何构建当下高分红组合（李立峰/艾熊峰等）,策略李立峰与行业配置笔记
7015,2019-11-12,宋清辉：可转债发行流程较短融资更便利不少公司选择发行可转债,搜狐
7016,2019-11-12,【方正化工】万华化学深度报告之三：万华BC公司能否兑现业绩承诺？,方正证券研究
7017,2019-11-12,方正证券丨周报聚焦1104-1108,方正证券研究
7018,2019-11-11,【朝闻国盛1111】进出口双超预期，关注三个潜在影响,国盛证券研究所
7019,2019-11-11,聚焦A股持续乐观、CPI超预期、双十一复盘、买入个股,中信建投证券研究
7020,2019-11-09,【西南化工周观点】马来印尼减产预期推高棕油价格，F141B价格创历史新高,化工林谈
7021,2019-11-09,【太平洋化工】2020年化工板块复盘,强大化工
7022,2019-11-08,【申万宏源化工】每日信息速递20191111,申万宏源化工投资
7023,2019-11-08,报告|2019年10月山东省A股上市公司市值TOP100化工业公司较多,挖贝网
7024,2019-11-08,【中金固收·信用】中国公司债及企业债信用分析周报,中金固定收益研究
7025,2019-11-08,中信证券：中美同意分段取消关税，看好化工细分行业机会,证券时报网
7026,2019-11-07,【申万宏源化工】每日信息速递20191107,申万宏源化工投资
7027,2019-11-07,【化工】行业三季报综述:景气回落未见拐点*强于大市,中银国际证券研究
7028,2019-11-06,【申万宏源化工】每日信息速递20191106,申万宏源化工投资
7029,2019-11-06,万华化学：业绩整体符合预期，未来有望维持平稳,证券时报网
7030,2019-11-06,历史性事件！科创板一天两新股破发，打新稳赚成过去式？ 连续下跌,搜狐
7031,2019-11-05,【申万宏源化工】每日信息速递20191105,申万宏源化工投资
7032,2019-11-05,炼化一体化正在解体，未来油煤气化工谁能胜出？,赵辰看周期
7033,2019-11-05,化工行业三季报总结：行业整体继续承压点点曙光或在前方,中泰证券
7034,2019-11-05,太证研究11月5日最新观点：科创板和中小创盈利改善，化工三季报盈利下滑 盈利能力下降,太平洋证券研究
7035,2019-11-05,银行理财品收益走低且破刚兑,财富动力网
7036,2019-11-04,“炮轰”别家上市公司！这家上市公司董事长两次发文，指责上游涨价杀鸡取卵,中证报
7037,2019-11-04,A股后市怎么走？这两大主力资金已透露！,养基司令
7038,2019-11-04,11月4日早盘两市净流入前20股(名单),金融界
7039,2019-11-04,MSCI扩容助北上资金加速涌入A股抢筹十月近240亿元加仓37只个股,财界网
7040,2019-11-04,【天风Morning Call】晨会集萃20191104,天风研究
7041,2019-11-04,上市公司的理财江湖 规模缩减银行“揽客”各有奇招,中证报
7042,2019-11-03,廖增太：万华已经进行了5次混合所有制改革,新浪
7043,2019-11-03,【国君研究】再论周期，四季度的市场胜负手——周期论剑周观点,鲍大侠之建材
7044,2019-11-03,霍尼韦尔任命张宇峰为中国总裁；ABB收购上海联桩新能源,腾讯网
7045,2019-11-03,11月开门红 奔姐继续领跑,南方财经网
7046,2019-11-02,【西南化工周观点】整体化工产品价格仍较弱，棕榈油价格继续大幅上行,化工林谈
7047,2019-11-01,【申万宏源化工】每日信息速递20191104,申万宏源化工投资
7048,2019-11-01,万华化学(600309.SH)仍计划在美国拥有40万吨MDI产品生产能力,格隆汇
7049,2019-11-01,基础化工：迈向创新驱动新时代后工业化时代的中国化工企业成长之路,光大证券
7050,2019-11-01,【晨会聚焦】盈利小幅改善下的隐忧,中泰证券研究所
7051,2019-10-31,券商首次关注8股并给予买入评级（10月31日）,Wind
7052,2019-10-31,巨丰早参：美联储年内第三次降息 市场将如何演绎？,巨丰财经
7053,2019-10-31,【山证早班车】山西证券：晨会纪要（20191031）,山西证券研究所
7054,2019-10-30,万华化学(600309.SH)披露11月份中国地区MDI价格 纯MDI挂牌价上调300元/吨,格隆汇
7055,2019-10-30,油价走低、下游需求疲弱 “两桶油”三季报净利下滑均超20% 盈利能力下降,e公司
7056,2019-10-30,万华化学：11月纯MDI挂牌价较10月上调300元/吨,证券时报网
7057,2019-10-29,超200家民企上榜青岛数量居首,山东商报
7058,2019-10-29,【方正化工】万华化学深度报告之三：万华BC公司能否兑现业绩承诺？,方正证券研究
7059,2019-10-29,【方正化工】万华化学系列报告之二：以周期和概率的思维预测中国区MDI盈利,方正证券研究
7060,2019-10-29,【申万宏源化工】每日信息速递20191126,申万宏源化工投资
7061,2019-10-29,"万华化学:业绩符合预期,精细化工及新材料业务持续成长",国联证券
7062,2019-10-28,【申万宏源化工】每日信息速递20191031,申万宏源化工投资
7063,2019-10-28,巨丰数据赢｜北上资金持续流入 两股估值优势凸显,巨丰财经
7064,2019-10-27,北上资金近5个交易日净流入逾70亿元 5家及以上机构联袂推荐10只潜力股,证券日报
7065,2019-10-26,【西南化工周观点】F141B配额几无价格暴涨，棕榈油价格大幅拉涨,化工林谈
7066,2019-10-25,万华化学：三季度正常回调，优质核心资产，维持“买入”【太平洋化工】,太平洋化工信息平台
7067,2019-10-25,万华化学：MDI价格低迷，看好中长期成长,证券时报网
7068,2019-10-25,公募基金三季报出炉 明星基金经理都在买什么？,第一财经
7069,2019-10-25,万华化学：业绩略超预期 新项目进展顺利,东方证券
7070,2019-10-25,鲁企上市再掀高潮！看205家A股公司背后的山东布局,齐鲁网
7071,2019-10-25,八大爆款基金持仓大曝光：三季度最猛加仓超50%,中国基金报
7072,2019-10-25,万华化学：公司将进入成长期 强烈推荐评级,方正证券
7073,2019-10-25,陈光明旗下爆款基金十大重仓股曝光,中证报
7074,2019-10-25,陈光明旗下爆款基金十大重仓股曝光,中证网
7075,2019-10-25,西南证券：万华化学买入评级,西南证券
7076,2019-10-25,25日公司新闻聚焦：万科三季报盈利增三成 科大讯飞净利大增70%,证券时报网
7077,2019-10-25,QFII重仓66股新进18股 喜欢“吃药”玩“高科技”,中财网
7078,2019-10-25,太疯狂，最高日赚4.7亿，秒杀贵州茅台！三只大象股狂飙2倍以上,证券时报
7079,2019-10-25,银行股异动透露什么信号,金融界
7080,2019-10-25,操盘必读｜邮储银行A股IPO申请获通过；中国平安高层大变动；证监会接收京沪高铁IPO材料,上游新闻
7081,2019-10-25,股海导航 10月25日沪深股市公告提示,新浪
