,2021-12-30,消息称华润微 12 英寸先进功率半导体晶圆生产线项目有望于明年建成投产,中电网
1419,2020-08-06,二季度养老金最新持仓动向曝光，8只个股成“新宠”,Wind
1420,2020-08-05,中芯国际-U(688981)点评报告：开启国产半导体发展黄金10年 惠及全产业链加速成长,新浪
1421,2020-08-05,主力凶猛扫货芯片股，9股上亿资金杀入！,证券时报网
1422,2020-08-05,半导体行业研究：全产业链加大扶持力度 分级优惠鼓励做强,国金证券股份有限公司
1423,2020-08-05,国务院出手：3万亿芯片板块迎超重磅利好，细分龙头全梳理,证券时报网
1424,2020-08-05,国务院出手 3万亿芯片板块迎超重磅利好,金融界
1425,2020-08-05,8月A股解禁规模骤减，部分个股减持压力依然较大 减持股份,Wind
1426,2020-08-04,社保基金、养老金最新扫货路线图曝光！这些重仓股都涨嗨了,Wind
1427,2020-08-03,融资融券周报2020年第30周,新浪
1428,2020-08-03,电子行业周报：苹果财报发布 关注面板涨价周期,新浪
1429,2020-08-03,一周概念股：全球手机镜头市场格局有望重塑，特斯拉零部件国产化提速,搜狐
1430,2020-08-01,华润微：超预期（附点评）,半导体风向标
1431,2020-07-31,【行情】半导体板块尾盘持续拉升，北方华创涨停，沪硅产业大涨8%，中芯国际、长电科技、华润微、苏州固锝等集体拉升,金十数据
1432,2020-07-31,A股“期中考”发榜 贵州茅台、宝丰能源等成绩亮眼 未来可期,红周刊
1433,2020-07-31,社保、养老金同时盯上2股，包括一只半导体龙头股,证券时报网
1434,2020-07-31,82股获券商买入评级，创源文化目标涨幅达92.86%,Wind
1435,2020-07-31,【读财报】华润微半年报：折旧下降助推毛利率提升 疫情影响或在三季度体现,新华网
1436,2020-07-31,66家科创板公司剧透中报业绩：二季度疫情影响减弱、业绩分水岭再现,Wind
1437,2020-07-30,国家队重仓股曝光 社保、养老金同时盯上两股,新浪
1438,2020-07-30,华润微2020上半年营收30.63亿元，归母净利润增速145.27%,凤凰网
1439,2020-07-30,【电子】华润微：盈利能力提升明显，H1业绩高增长,中银证券研究
1440,2020-07-30,特斯拉八成零部件国产化有多香？半导体和手机产业链企业跨界分食,搜狐
1441,2020-07-30,科创板中报：疫情影响减弱分水岭再现,21世纪经济报道
1442,2020-07-30,A股融资融券日报 ：两融余额增加148.46亿元（7月29日）,Wind
1443,2020-07-30,【华润微（688396.SH）】20H1业绩超预期，中国“英飞凌”指日可待——2020年中报点评（刘凯）,光大证券
1444,2020-07-30,科创板成绩单出炉:6成企业盈利 东方生物猛增12倍,华夏时报
1445,2020-07-30,66家科创板公司剧透中报业绩： 二季度疫情影响减弱，业绩分水岭再现,21世纪经济报道
1446,2020-07-29,“新基建”下功率半导体龙头持续发力 华润微上半年扣非净利同比增466.46%,证券日报
1447,2020-07-29,华润微(688396)2020年中报点评：20H1业绩超预期 中国“英飞凌”指日可待,光大证券
1448,2020-07-29,华润微上半年营收超30亿 “新基建”下功率半导体龙头持续发力,证券时报网
1449,2020-07-29,巨·热点|人气回升迎来强势反弹 五大板块倍受市场青睐！,巨丰财经
1450,2020-07-29,华润微(688396)：中报业绩超预期 盈利能力有望趋势性提升,广发证券
1451,2020-07-29,华润微(688396)：特色工艺平台龙头 盈利进入加速释放期,新浪
1452,2020-07-29,芯片股尾盘全线爆发，沪硅产业涨近15%,Wind
1453,2020-07-29,茅台的投资逻辑不变，医药股卷土重来，消费、医药和科技热点轮动，A股核心资产的结构化牛市很美味,财经
1454,2020-07-29,市场交易主力资金系列：红筹回归&CDR全景投资手册,新浪
1455,2020-07-29,华润微上半年净利润4.03亿元 主要系公司产能利用率提升较大,资本邦
1456,2020-07-29,解盘：资金快速流入，半导体、生物疫苗、次新、高价股领涨,Wind
1457,2020-07-29,华润微(688396)：无惧疫情逆势增长 持续受益国产替代,新浪
1458,2020-07-29,华润微发布2020年半年度募集资金存放与实际使用情况 募集资金37.5亿元,和讯
1459,2020-07-29,【面包财报】华润微：2020年上半年归母净利润4.03亿元，同比增长145.27%,面包财经
1460,2020-07-29,华润微（688396）财报点评：多业务齐头并进，业绩超预期,国信研究
1461,2020-07-29,A股异动丨华润微(688396.SH)高开8.78% 上半年净利升145.27%至4.03亿元,格隆汇
1462,2020-07-29,华润微高开近9%，上半年净利同比增145%,Wind
1463,2020-07-29,华润微(688396)：产品结构改善及费用控制带动2Q净利润大幅超预期,新浪
1464,2020-07-29,A股早报2020年7月29日星期三,Wind
1465,2020-07-28,华润微公布半年报 上半年净利增加145.27%,新浪
1466,2020-07-28,华润微：上半年净利润同比增长145.27%,中证网
1467,2020-07-28,净利增长145.27%！华润微半年报发布SiC功率器件、IGBT等多个项目在研,科创板日报
1468,2020-07-28,华润微半年报：上半年净利润同比增长145%国家集成电路产业投资基金持股比例上升到6.43%,科创板日报
1469,2020-07-28,华润微(688396.SH)：与关联方联合开展科技研发项目,格隆汇
1470,2020-07-28,华润微(688396.SH)：上半年净利升145.27%至4.03亿元,格隆汇
1471,2020-07-28,华润微：上半年净利润同比增长145%至4亿元,格隆汇
1472,2020-07-28,华润微：上半年净利4.03亿元 同比增145%,e公司
1473,2020-07-28,华润微：上半年净利润同比增长145.27%,Wind
1474,2020-07-28,电子元器件行业：三因素驱动 看好功率市场景气上行,新浪
1475,2020-07-28,华润微大宗交易成交6.60万股成交额324.59万元,证券时报网
1476,2020-07-28,华润微现1笔大宗交易 共成交324.59万元,新浪
1477,2020-07-28,电子元器件周报：台积电Q2业绩再次超预期增长 MINILED应用放量在即,新浪
1478,2020-07-28,华润微今日大宗交易成交6.60万股，成交价49.18元溢价0.0%,Wind
1479,2020-07-28,蚂蚁、京东、吉利抢着来这上市！中国版纳斯达克创下了哪些纪录,中国经济周刊
1480,2020-07-26,科技硬件周报(7/25)：关注市场波动和美股业绩期,新浪
1481,2020-07-24,下半年半导体产业能否依然保持高景气度？,上证报
1482,2020-07-24,2020年全球及中国半导体产业市场现状及发展前景分析 推动国产替代提升国际竞争力,前瞻研究院
1483,2020-07-24,半导体产业下半年景气度可期 两大国产替代领域前景光明,上证报
1484,2020-07-24,半导体产业下半年景气度可期，国产替代仍是主线,Wind
1485,2020-07-24,51只科创主题基金二季报亮相，重仓17只科创板个股,Wind
1486,2020-07-23,A股融资融券日报：两融余额增加72.2亿元（7月22日）,Wind
1487,2020-07-23,华润微常务副董事长陈南翔： 助力半导体企业参与全球竞争，科创板上市是手段不是目的,21世纪经济报道
1488,2020-07-22,猛！百亿爆款基金仓位88% 今年成立爆款最高收益38%,中证报
1489,2020-07-22,《科创板白皮书2020》正式发布,上证报
1490,2020-07-22,不同的经历，相同的“硬核” 它们站上了科创板舞台,上证报
1491,2020-07-22,41家券商同享科创板盛筵，平均每家跟投浮盈超3.6亿元,Wind
1492,2020-07-22,科创板融资已超2100亿，企业逐鹿全球仍须努力,Wind
1493,2020-07-22,科创板融资已超2100亿企业逐鹿全球仍须努力,证券时报
1494,2020-07-21,科创板开市一周年，科创能力哪家强？这个榜单“正面刚”！,每日经济新闻
1495,2020-07-20,开创红筹回A高速公路，华润微、中芯国际完成测试跑,Wind
1496,2020-07-20,开创红筹回A高速公路 华润微、中芯国际完成测试跑,证券日报
1497,2020-07-18,科创板IPO一周年，130家企业累计募资逾2000亿元,Wind
1498,2020-07-17,中芯国际市值6000亿？很多人都算错了！,证券时报网
1499,2020-07-17,中芯国际市值之辩：AH股分开计算更合理？,证券时报
1500,2020-07-16,中芯国际上市首日券商打新浮盈4.15亿元 两家券商子公司跟投合计浮盈高达37亿元,证券日报
1501,2020-07-16,中芯国际市值大家都算错了：这样算少3000亿,e公司
1502,2020-07-16,茅台大跌8%！科技、消费、医药遭团灭！中芯开盘暴涨246%，比茅台还珍贵？,新浪
1503,2020-07-16,上市首日涨超200%，中芯国际后市如何走？,Wind
1504,2020-07-16,科创板新王诞生！中芯国际市值突破6000亿，比茅台更珍贵？,搜狐
1505,2020-07-16,比茅台更珍贵，估值或超台积电？中芯国际太火爆了，半天成交383亿元，总市值超6000亿,e公司
1506,2020-07-16,冰火两重天：中芯国际A股大涨超200% 港股一度大跌超20%,21世纪经济报道
1507,2020-07-16,芯片巨头来了！开盘暴涨246%，半小时吸金超262亿，后市如何走,券商中国
1508,2020-07-16,中芯国际科创板上市高开246%报95元总市值达6780亿元,金融界
1509,2020-07-16,中芯国际快评：中芯国际比贵州茅台更珍贵,国信研究
1510,2020-07-16,A股融资融券日报：两融余额增加10.73亿元（7月15日）,Wind
1511,2020-07-16,今天，“中国芯”正式登陆A股,Wind
1512,2020-07-15,中芯国际(688981)深度研究报告：半导体国产化基石 先进制程稳步推进,新浪
1513,2020-07-15,国家大基金板块跌幅超过4%，华润微、景嘉微、晶方科技、兆易创新重挫,Wind
1514,2020-07-14,电子元器件周报：需求复苏刺激行业重拾增长节奏 业绩向好预演财报季行情,新浪
1515,2020-07-13,【行情】半导体板块午后大涨，万业企业涨停，江化微涨8.15%，华润微、华微电子、有研新材等跟涨,金十数据
1516,2020-07-13,沪硅产业-U、华润微大涨，带动半导体硅片板块走升,Wind
1517,2020-07-13,【宏观】逐渐回归正常状态——2020年6月金融数据点评（张文朗）,光大证券
1518,2020-07-12,国泰君安总量团队联合解读牛市从何而来 | 国君周知,国泰君安证券研究
1519,2020-07-10,57股获券商买入评级 长安汽车目标涨幅达46.17%,Wind
1520,2020-07-08,华润微今日大宗交易成交5万股，成交价57.81元溢价0.0%,Wind
1521,2020-07-07,科创板：今年融资余额合计154.66亿元，华润微最高,资本邦
1522,2020-07-07,华润微现1笔大宗交易 共成交570.70万元,新浪
1523,2020-07-07,成交量连续4天破万亿，上证50继续领涨A股,Wind
1524,2020-07-07,中芯国际(00981.HK)重大事件快评：科创板完成定价，开启AH估值趋同行情,国信证券
1525,2020-07-07,一文读懂中芯国际申购：顶格获配842签 有券商预测市值可到6500亿元,腾讯网
1526,2020-07-07,A股融资融券日报：两融余额增加389.61亿元（7月6日),Wind
1527,2020-07-07,逾2000只公募产品参与中芯国际打新，半导体龙头或扛起牛市大旗,Wind
1528,2020-07-07,本土功率半导体IDM龙头，华润微核心竞争力在哪里?,自动化网
1529,2020-07-06,科技行业日报：中芯国际将申购 利好半导体设备与材料,新浪
1530,2020-07-06,国信证券：中芯国际(00981)H股股价将向科创板股价看齐 目标价看至46-48港元,智通财经
1531,2020-07-06,中芯国际股价一个月翻番，芯片股共襄盛宴,Wind
1532,2020-07-06,半导体板块持续拉升，沪硅产业-U涨停,Wind
1533,2020-07-06,【国信港股&海外】科创板完成定价，开启AH估值趋同行情,学恒的海外观察
1534,2020-07-06,国家大基金板块大涨近6%，沪硅产业-U、安集科技、华润微、兆易创新等全线飙升,Wind
1535,2020-07-05,【中信建投电子|刘双锋&雷鸣团队】周报：苹果产业链下半年表现值得期待，面板价格有望迎来企稳修复,中信建投电子研究
1536,2020-07-05,中芯国际科创板上市，网下整体申购倍数为164.78倍,Wind
1537,2020-07-04,发布2款功率器件+6英寸产线量产 华润微点燃碳化硅“双响炮”,上证报
1538,2020-07-04,研报掘金|功率半导体中的一支独秀，十八个交易日涨幅接近40%，有何来头?,格隆汇
1539,2020-07-03,7月3日科创板主力资金净流出15.51亿元,证券时报网
1540,2020-07-03,一周通读：光大证券重点报告精选,光大证券
1541,2020-07-03,A股融资融券日报：两融余额增加140.38亿元（7月2日）,Wind
1542,2020-07-02,2020年电子行业中期策略：指标公司盈利强劲 半导体行业景气度仍可期,新浪
1543,2020-07-02,华润微大涨约13%，带动半导体硅片板块走升,Wind
1544,2020-07-02,上半年118家企业上市募资1393亿元 广东江苏浙江领先,中国经济网
1545,2020-07-02,科技行业日报：中芯国际将开启申购 国产替代逻辑长存,新浪
1546,2020-07-01,解盘：百亿资金流入，白酒、免税店、品牌龙头领涨,Wind
1547,2020-07-01,国家大基金板块持续拉升，兆易创新、汇顶科技、华润微、紫光国微大涨,Wind
1548,2020-07-01,A股融资融券日报：两融余额增加135.2亿元（6月30日),Wind
1549,2020-07-01,一二级市场齐头并进，投行股权承销收入翻番,Wind
1550,2020-06-30,国家大基金板块午后再度拉升，安集科技、瑞芯微、华润微、三安光电扩大涨幅,Wind
1551,2020-06-30,华润微：中芯国际是一家晶圆代工厂商，与公司没有直接竞争关系,Wind
1552,2020-06-30,华润微：中芯国际与公司没有直接竞争关系,e公司
1553,2020-06-29,29天闯关科创板，中芯国际在A股将值多少钱？,Wind
1554,2020-06-23,电子行业2020年下半年投资策略：一个世界两套系统 创新重启加速替代,光大证券
1555,2020-06-23,半导体行业快评：半导体制造大年 买入并坚定持有中芯国际与华虹半导体,新浪
1556,2020-06-23,至纯科技(603690)：12寸单片湿法设备实现交付 未来可期,广发证券
1557,2020-06-22,芯片国产化进程加快，A股小伙伴“加速”入场,Wind
1558,2020-06-22,华润微及子公司近2月合计收到政府补助4155.36万元,资本邦
1559,2020-06-22,国信证券：投资中芯国际“十问十答”,新浪
1560,2020-06-22,华润微获得政府补助 补助金额4155万元,和讯
1561,2020-06-21,华润微及子公司近期获政府补助4155.36万元 对公司今年及之后年度利润将产生积极影响,发布易
1562,2020-06-21,华润微：获得4155万元政府补助,证券时报网
1563,2020-06-20,"【国信港股&海外】投资中芯国际""十问十答""",学恒的海外观察
1564,2020-06-18,科创板一周年“成绩单”,21世纪经济报道
1565,2020-06-17,科创板一周年特别报道｜幼苗虽小亦能参天,财华社
1566,2020-06-17,A股融资融券日报：两融余额增加79.14亿元（6月16日),Wind
1567,2020-06-16,逾半数科创板公司股价翻倍,Wind
1568,2020-06-15,A股融资融券日报：两融余额减少5.93亿元（6月12日),Wind
1569,2020-06-14,火热的免税行业，新高的美妆巨头 | 国君周知,国泰君安证券研究
1570,2020-06-13,筑巢引凤！科创板开板一周年，开创A股历史上多个“第一”,每日经济新闻
1571,2020-06-12,A股融资融券日报：两融余额增加30.2亿元（6月11日),Wind
1572,2020-06-11,A股融资融券日报：两融余额增加21.86亿元（6月10日）,Wind
1573,2020-06-10,科创板一周年：细数四大“破冰”事件,北京商报
1574,2020-06-10,华润微获超50家外资机构调研成科创板最受外资关注公司,科创板日报
1575,2020-06-10,A股融资融券日报：两融余额增加19.15亿元（6月9日）,Wind
1576,2020-06-09,华润微：预计今年封装测试业务收入会有所增加,科创板日报
1577,2020-06-09,A股融资融券日报：两融余额增加47.53亿元（6月8日）,Wind
1578,2020-06-09,34股获券商买入评级，东方日升目标涨幅达53.96%,Wind
1579,2020-06-08,A股喊话“回来吧” 华润微等3只红筹先锋队光速响应,上证报
1580,2020-06-08,A股融资融券日报：两融余额减少11.51亿元（6月5日）,Wind
1581,2020-06-08,华润微(688396)：功率IDM龙头 前瞻布局第三代半导体空间远大,新浪
1582,2020-06-07,对赌协议放宽！红筹企业科创板上市指南出炉，回归清障？,中财网
1583,2020-06-06,红筹企业回归A股“最后一公里”打通 上交所发布通知，对红筹企业申报科创板发行上市作出针对性安排,上证报
1584,2020-06-05,A股融资融券日报：两融余额增加19.61亿元（6月4日）,Wind
1585,2020-06-04,华润微2019年分红派发：合计派现金4012.55万元,资本邦
1586,2020-06-04,A股融资融券日报：两融余额增加27.1亿元（6月3日）,Wind
1587,2020-06-03,华润微(688396.SH)年报推10派0.33元 股权登记日6月10日,格隆汇
1588,2020-06-03,天合光能或本月中旬上市且超400亿市值 海优威和明冠新材排队科创板,北极星电力
1589,2020-06-03,A股融资融券日报：两融余额增加41.39亿元（6月2日）,Wind
1590,2020-06-03,前五月93家企业上市募资1132亿元 广东江苏浙江领跑,中国经济网
1591,2020-06-02,华润微：公司在产品设计过程中会使用到EDA设计软件,上证报
1592,2020-06-01,沪硅产业-U(688126)点评：收购上海新昇少数股东股权 助力12英寸硅片国产化提速,新浪
1593,2020-06-01,A股融资融券日报：两融余额减少24.85亿元（5月29日）,Wind
1594,2020-05-28,华润微(688396)公司深度报告：国内半导体IDM龙头 立足功率半导体聚焦特色工艺,新浪
1595,2020-05-28,华润微携手成都锐成芯微推出创新型eFlash解决方案,SEMI
1596,2020-05-28,首次写入政府工作报告！新基建成新蓝海：五大领域总投资将达10万亿,21世纪经济报道
1597,2020-05-28,A股融资融券日报：两融余额减少1.54亿元（5月27日）,Wind
1598,2020-05-27,今日3只待申购，还有高中签率新股在路上,证券时报网
1599,2020-05-26,融资融券周报2020年第20周,新浪
1600,2020-05-21,东南亚MOSFET产能“渐冻”，国内厂商争取“试用”机会,国际电子商情
1601,2020-05-20,百亿私募集中调研华润微 国内唯一名不虚传,巨丰财经
1602,2020-05-20,科创板晚报|光峰科技变更董事会秘书自动驾驶巨头Waymo再获7.5亿美元融资,科创板日报
1603,2020-05-20,华润微(688396.SH)：选举陈小军担任公司董事长,格隆汇
1604,2020-05-19,34家券商跟投科创板实现浮盈超64亿元，加码布局另类子公司,Wind
1605,2020-05-18,科创板收评 | 两只新股登陆科创板，上市首日涨幅均逾90%,第一财经
1606,2020-05-18,58只科创板个股融资余额环比增加 华润微融资余额最高,证券时报网
1607,2020-05-15,49只科创板个股融资余额环比增加 华润微融资余额最高,证券时报网
1608,2020-05-14,杠杆资金5天加仓近300亿 一大批股票创新高（名单）,中证报
1609,2020-05-13,华润微现1笔大宗交易 共成交262.02万元,新浪
1610,2020-05-13,华润微今日大宗交易成交6.60万股，成交价39.7元溢价0.0%,Wind
1611,2020-05-12,芯朋微IPO：与客户三角关系存疑，采购单价与供应商矛盾,中金在线
1612,2020-05-12,【光大电子通信|科技大讲堂 4 之功率半导体】,EBSCN电子
1613,2020-05-11,科创板2019年年报整体扫描，成绩如何？,钛媒体
1614,2020-05-11,次新股指数六连阳，博弈风险加剧,Wind
1615,2020-05-07,券商首次关注5股并给予买入评级（5月7日）,Wind
1616,2020-05-07,【东北电子张世杰】华润微（688398.SH）深度报告：制造与产品两翼齐飞，IDM航母再启航,东北证券研究所
1617,2020-05-07,前四个月券商IPO承销收入近40亿元同比增长75%,Wind
1618,2020-05-06,中泰电子|功率半导体2019年报&2020一季报综述：景气度触底回升，疫情促进国产替代,刘翔电子研究
1619,2020-05-06,【国信港股&海外】半导体制造大年，买入并坚定持有中芯国际与华虹半导体,学恒的海外观察
1620,2020-05-06,红筹企业回归A股门槛显著降低,Wind
1621,2020-04-30,科创板一季报|半导体板块：10家公司净利增长华润微增速最高,科创板日报
1622,2020-04-30,科创板收评 | 95只个股上涨，沪硅产业和聚辰股份涨停,第一财经
1623,2020-04-30,上交所：科创板公司年报全部披露，亮点纷呈,Wind
1624,2020-04-29,4月29日四大证券报精华摘要：银行理财产品收益率跌破4% 保险产品和资产配置走俏,证券日报
1625,2020-04-29,华润微业绩首秀：低基数致一季度利润大幅上涨，折旧下降推升毛利率,面包财经
1626,2020-04-29,业绩说明会开启IC主题周 两公司打头阵细说好前景,上证报
1627,2020-04-29,公募掘金次新股，200只基金扎堆京沪高铁,Wind
1628,2020-04-29,科创板迎来第100家上市企业，近两成公司研发投入占比20%以上,Wind
1629,2020-04-28,华润微：预计未来两月业绩仍平稳 下半年半导体市场尚无法预估,e公司
1630,2020-04-28,华润微：外延并购是公司发展驱动力之一,金融界
1631,2020-04-28,华润微陈南翔：今年碳化硅会形成销售,金融界
1632,2020-04-28,华润微陈南翔：二季度订单依然充足,上证报
1633,2020-04-28,华润微：全球半导体产业如果新建产能走差异化道路 产能就不会过剩,e公司
1634,2020-04-28,【直播】华润微2019年度业绩说明会,e公司
1635,2020-04-27,A股融资融券日报：两融余额减少69.89亿元（4月24日）,Wind
1636,2020-04-27,华润微上市俩月首份年报营收净利双降 中金保荐汗颜 盈利能力下降,中国经济网
1637,2020-04-27,社保养老金买入两科创板股票 私募大咖邓晓峰王亚伟也出手,中国基金报
1638,2020-04-24,【华润微|国信电子】财报点评：中国最大的IDM半导体迎风起航,国信电子研究
1639,2020-04-24,【中航军工】华润微（688396）2019年报点评：短期业绩承压，长期将持续受益于国产替代红利 盈利能力下降,微信
1640,2020-04-24,中泰电子丨华润微2019年报&2020一季报点评：功率半导体景气度攀升，业绩大幅增长,刘翔电子研究
1641,2020-04-24,券商首次关注8股并给予买入评级（4月24日）,Wind
1642,2020-04-24,A股融资融券日报：两融余额增加0.38亿元（4月23日）,Wind
1643,2020-04-24,258股获券商买入评级，海普瑞目标涨幅达80.59%,Wind
1644,2020-04-23,【中金电子与通信】华润微（688396.SH）：1Q20：产品结构改善推动利润超预期,乐平科技视角
1645,2020-04-23,“红筹第一股”华润微年营收超57亿元 一季度净利润增长逾6倍,证券日报
1646,2020-04-23,华润微（688396）财报点评：中国最大的IDM半导体迎风起航,国信研究
1647,2020-04-23,晨会聚焦200423重点关注中国国旅、安车检测、珀莱雅、太阳纸业、爱婴室、光环新网、中国联通、常熟银行、华润微、景旺电子,国信研究
1648,2020-04-23,【华西电子孙远峰团队-持续推荐华润微】功率半导专芯致志，特色工艺术业专攻,远峰电子
1649,2020-04-23,华润微：全产业链产品优势强 客户粘度高丨公司问答,第一财经
1650,2020-04-23,48只科创板股融资余额环比增加,证券时报网
1651,2020-04-23,A股异动丨华润微盘初大涨逾14% 一季度净利暴增631.73%至1.14亿元,格隆汇
1652,2020-04-23,销售收入和毛利率下滑 华润微2019年盈利降6.68%至4亿元 盈利能力下降,资本邦
1653,2020-04-23,A股融资融券日报：两融余额增加36.64亿元（4月22日）,Wind
1654,2020-04-22,华润微一季度净利同比增逾六倍,金融界
1655,2020-04-22,科创板晚报|华润微一季度净利增6倍半导体分析检测公司“胜科纳米”获千万投资,科创板日报
1656,2020-04-22,华润微：董事长李福利辞职 董监高成员变化,Wind
1657,2020-04-22,华润微：一季度净利1.14亿元 同比增632%,e公司
1658,2020-04-22,华润微(688396.SH)一季度净利升631.73%至1.14亿元,格隆汇
1659,2020-04-22,华润微：一季度净利润同比增长631.73%,Wind
1660,2020-04-22,华润微：2019年净利润同比减少6.68% 盈利能力下降,Wind
1661,2020-04-22,科创板股融资融券余额每日变动（4月21日）,证券时报网
1662,2020-04-22,A股融资融券日报：两融余额增加10.51亿元（4月21日）,Wind
1663,2020-04-22,【华西电子孙远峰团队-持续推荐华润微】产品业务占比逐渐提升，IGBT/SiC持续突破,远峰电子
1664,2020-04-21,43只科创板股融资余额环比增加,证券时报网
1665,2020-04-21,A股融资融券日报：两融余额增加42.91亿元（4月20日）,Wind
1666,2020-04-20,34只科创板股融资余额环比增加,证券时报网
1667,2020-04-17,A股融资融券日报：两融余额增加21.15亿元（4月16日）,Wind
1668,2020-04-17,科创板股融资融券余额每日变动（4月16日）,证券时报网
1669,2020-04-16,A股融资融券日报：两融余额减少0.95亿元（4月15日）,Wind
1670,2020-04-16,科创板股融资融券余额每日变动（4月15日）,证券时报网
1671,2020-04-15,A股融资融券日报：两融余额增加8.75亿元（4月14日）,Wind
1672,2020-04-15,47只科创板股融资余额环比增加,证券时报网
1673,2020-04-14,华润微：获得政府补助6045.86万元,金融界
1674,2020-04-14,华润微(688396.SH)近期累计获6045.86万元政府补助,格隆汇
1675,2020-04-14,A股融资融券日报：两融余额减少5.11亿元（4月13日）,Wind
1676,2020-04-14,科创板股融资融券余额每日变动（4月13日）,证券时报网
1677,2020-04-13,A股融资融券日报：两融余额减少69.06亿元（4月10日）,Wind
1678,2020-04-13,科创板股融资融券余额每日变动（4月10日）,证券时报网
1679,2020-04-10,科创板股融资融券余额每日变动（4月9日）,证券时报网
1680,2020-04-10,A股融资融券日报：两融余额增加27.65亿元（4月9日）,Wind
1681,2020-04-09,A股融资融券日报：两融余额减少0.1亿元（4月8日）,Wind
1682,2020-04-09,科创板股融资融券余额每日变动（4月8日）,证券时报网
1683,2020-04-08,A股融资融券日报：两融余额增加64.16亿元（4月7日）,Wind
1684,2020-04-08,科创板股融资融券余额每日变动（4月7日）,证券时报网
1685,2020-04-07,A股融资融券日报：两融余额减少72.42亿元（4月3日）,Wind
1686,2020-04-07,34只科创板股融资余额环比增加,证券时报网
1687,2020-04-03,华润微(688396.SH)：超额配售选择权已获全额行使 国家集成电路产业投资基金持股升至6.43%,格隆汇
1688,2020-04-03,A股融资融券日报：两融余额增加17.64亿元（4月2日）,Wind
1689,2020-04-03,46只科创板股融资余额环比增加,证券时报网
1690,2020-04-02,科创板收评 | 6只个股涨幅超10%，仅有博瑞医药、东方生物收跌,第一财经
1691,2020-04-02,44只科创板股融资余额环比增加,证券时报网
1692,2020-04-01,42只科创板股融资余额环比增加,证券时报网
1693,2020-03-31,龙头稳固，2020年度一季度中国上市企业市值500强榜单发布,Wind
1694,2020-03-31,A股融资融券日报：两融余额减少40.59亿元（3月30日）,Wind
1695,2020-03-30,3月30日科创板主力资金净流出7.97亿元,证券时报网
1696,2020-03-30,A股融资融券日报：两融余额减少56.76亿元（3月27日）,Wind
1697,2020-03-27,A股融资融券日报：两融余额减少37.84亿元（3月26日）,Wind
1698,2020-03-26,券商首次关注10股并给予买入评级（3月26日）,Wind
1699,2020-03-26,A股融资融券日报：两融余额增加25.49亿元（3月25日）,Wind
1700,2020-03-26,91股获券商买入评级 精工钢构目标涨幅达70.16%,Wind
1701,2020-03-25,科创板周报—20200316-20200320,申万宏源定增俱乐部
1702,2020-03-25,华润微：瞄准世界一流的IDM模式功率半导体龙头,--
1703,2020-03-25,A股融资融券日报：两融余额减少4.98亿元（3月24日）,Wind
1704,2020-03-24,全球确诊超37万！金融市场遭重创，六大产业影响解读,证券时报网
1705,2020-03-24,【中金电子与通信】华润微（688396.SH）：功率半导体龙头，成品化+技术升级推动公司稳健增长,乐平科技视角
1706,2020-03-24,A股融资融券日报：两融余额减少102.亿元（3月23日）,Wind
1707,2020-03-23,上证指数收跌3.11%，创逾13个月收盘新低,Wind
1708,2020-03-23,A股融资融券日报：两融余额减少54.7亿元（3月20日）,Wind
1709,2020-03-20,科创板周报—20200309-20200313,申万宏源定增俱乐部
1710,2020-03-20,A股融资融券日报：两融余额增加39.59亿元（3月19日）,Wind
1711,2020-03-18,华润微电子：产线全面复工，扛起国产芯片使命担当丨复工复产进行时,电子信息产业网
1712,2020-03-18,38只科创板股融资余额环比增加,证券时报网
1713,2020-03-17,科创板收评 | 个股涨跌互现 紫晶存储和安恒信息涨超10%,第一财经
1714,2020-03-17,科创板股融资融券余额每日变动（3月16日）,证券时报网
1715,2020-03-17,A股融资融券日报：两融余额减少176.3亿元（3月16日）,Wind
1716,2020-03-16,“战疫”政策助力中小科创企业，关注生物安全主题“破局” ——科创板周观察,修炼投资的水晶球
1717,2020-03-16,28只科创板股融资余额环比增加,证券时报网
1718,2020-03-15,科创板第三十三周交易大复盘：新鲜事有趣事创纪录的事一应俱全,新浪
1719,2020-03-15,华润微：公司产品可应用于人体测温 但收入占比较小,新浪
1720,2020-03-15,华润微：公司应用于人体测温芯片产品在手订单金额相对较小,e公司
1721,2020-03-15,华润微澄清媒体报道：多项产品可应用于人体测温，但销售占比较低,Wind
1722,2020-03-14,华润微陈南翔：保障测温芯片产能,e公司
1723,2020-03-13,科创板股融资融券余额每日变动（3月12日）,证券时报网
1724,2020-03-12,科创板收评 | 个股多数下跌 紫晶存储跌超5%,第一财经
1725,2020-03-12,33只科创板股融资余额环比增加,证券时报网
1726,2020-03-11,A股融资融券日报：两融余额增加56.05亿元（3月10日）,Wind
1727,2020-03-11,科创板股融资融券余额每日变动（3月10日）,证券时报网
1728,2020-03-11,科创板首份年报：乐鑫科技利润增6成 毛利率有所下降 盈利能力下降,面包财经
1729,2020-03-10,科创板收评 | 科创板重现普涨格局 芯源微涨停,第一财经
1730,2020-03-09,3月9日科创板主力资金净流出24.37亿元,证券时报网
1731,2020-03-09,华润微稳中求进：全产业链优势凸显押注大健康赛道,Ofweek
1732,2020-03-09,A股融资融券日报：两融余额减少50.71亿元（3月6日）,Wind
1733,2020-03-09,37只科创板股融资余额环比增加,证券时报网
1734,2020-03-06,3月6日科创板主力资金净流出8.45亿元,证券时报网
