,2021-12-31,浙江鼎力(603338.SH)披露定增结果：泓德基金、南方基金及财通基金等参投,格隆汇
1612,2018-12-09,【东吴机械周观点】轨交高景气持续，油服向上趋势确认，建议加配,透视先进制造
1613,2018-12-09,周观点：从受益稳增长角度寻找“超额收益”【华泰机械章诚团队】,华泰机械
1614,2018-12-07,五大券商下周看好6板块32股,证券之星
1615,2018-12-04,"机械工业:Bauma工程机械展刷新纪录,集中动力动车组首次招标",中证网
1616,2018-12-04,"浙江鼎力:前三季度归母净利润同比+74%,经营性现金流净额大幅提升",中证网
1617,2018-12-03,外资动向|北向资金净流入超126亿元 中国平安净买入11亿元,腾讯网
1618,2018-12-03,过去4年，满足“优秀企业财报特征”的A股上市公司只有这84家,阿尔法工场
1619,2018-12-02,机械制造：油服已具备较强安全边际 荐10股,东吴证券
1620,2018-11-26,机械制造：关注油价回调与钢价下行预期对中游毛利率的提升作用 荐5股,申万宏源
1621,2018-11-25,机械制造：轨交行业投资维持高位 荐8股,东北证券
1622,2018-11-23,2018年年报“高送转”上演第一季 筛选156只潜力股,证券日报
1623,2018-11-21,"机械高频数据周报:基建投资增速回升,重点关注超跌龙头",申万宏源
1624,2018-11-19,IPO快报丨新东方在线至多募集3亿美元：Airbnb将于明年年中上市；苹果手机屏幕供应商伯恩光学推迟香港IPO,36氪
1625,2018-11-19,"浙江鼎力 603338:三季报业绩超预期,龙头加速成长",申万宏源
1626,2018-11-19,申万宏源：竞价折价率小幅回落 倒挂程度明显改善,申万宏源
1627,2018-11-19,"机械行业周报:行业估值趋向低点,建议关注估值合理的优质成长股",平安证券
1628,2018-11-19,机械设备行业:轨交、新能源设备迎景气拐点,东吴证券
1629,2018-11-17,早讯丨黑莓以14亿美元收购Cylance；多家投行下调英伟达目标股价,亿欧网
1630,2018-11-17,陆家嘴财经早餐2018年11月17日星期六,Wind
1631,2018-11-17,证监会持续高压打击操纵市场 今年来累计处罚案件超30起,证券时报
1632,2018-11-16,[快讯]浙江鼎力2019万限售股11月22日解禁,中财网
1633,2018-11-16,证监会对2宗操纵市场案件作出行政处罚,证监会
1634,2018-11-16,证监会对两宗案件作出处罚 裕鼎公司被罚没5000余万元 其他违规处罚,中金在线
1635,2018-11-16,证监会处罚两起市场操纵案 涉及湘油泵和浙江鼎力,中国网
1636,2018-11-16,16日晚间可能影响股价的重要财经资讯汇总（更新中）,证券时报网
1637,2018-11-16,证监会发布汇总：持续完善并购重组制度 打击操纵市场行为,证券时报网
1638,2018-11-16,证监会周五新闻发布汇总,证券日报
1639,2018-11-16,证监会将对操纵市场行为保持一贯高压打击态势,证券时报网
1640,2018-11-16,证监会：对2宗操纵市场案作出行政处罚,Wind
1641,2018-11-16,证监会对2宗操纵市场案件作出行政处罚,中证协
1642,2018-11-16,浙江鼎力 | 2018上海宝马展邀您共赏高空作业豪门盛宴！,慧聪网
1643,2018-11-07,【三季报总结】机械行业2018年三季报总结：存量市场整合加速 周期盈利持续复苏,东兴研究圈
1644,2018-11-05,机械制造：持续推荐细分领域龙头 荐5股,申万宏源
1645,2018-11-05,"机械行业基金三季报持仓分析:Q3机械持仓略有回升,持有结构高度集中",安信证券
1646,2018-11-02,"浙江鼎力发布三季报增加16,850万元 同比增长74%左右",我的钢铁
1647,2018-11-02,"浙江鼎力:三季报业绩超预期,龙头加速成长",申万宏源
1648,2018-10-29,浙江鼎力：前三季度净利润同比增74.11%,Wind
1649,2018-10-28,浙商早班车2018.10.29,浙商证券研究所
1650,2018-10-28,三季报业绩整体符合预期，继续推荐细分领域龙头——机械高频数据周报20181028,申万宏源机械
1651,2018-10-28,【申万宏源机械】*20181028*公司重要公告,申万宏源机械
1652,2018-10-26,财通证券：浙江鼎力买入评级,财通证券
1653,2018-10-25,浙江鼎力：前三季度净利预增74%左右,证券之星
1654,2018-10-25,【东北机械刘军/朱宇航】行业点评：9月工业机器人产量大幅下滑，优选景气度向上行业及业绩确定性公司 盈利能力下降,东北证券研究所
1655,2018-10-25,"机械高频数据周报:关注超跌优质标的,持续推荐细分领域龙头",申万宏源
1656,2018-10-21,【申万宏源机械】*20181021*公司重要公告,申万宏源机械
1657,2018-10-19,中国证券监督管理委员会上海监管局行政处罚决定书 沪〔2018〕50号,上海证监局
1658,2018-10-19,中国证券监督管理委员会上海监管局行政处罚决定书 沪〔2018〕52号,上海证监局
1659,2018-10-19,中国证券监督管理委员会上海监管局行政处罚决定书 沪〔2018〕51号,上海证监局
1660,2018-10-19,中国证券监督管理委员会上海监管局行政处罚决定书 沪〔2018〕52号 其他违规处罚,上海证监局
1661,2018-10-19,中国证券监督管理委员会上海监管局行政处罚决定书 沪〔2018〕51号 其他违规处罚,上海证监局
1662,2018-10-19,中国证券监督管理委员会上海监管局行政处罚决定书 沪〔2018〕50号 其他违规处罚,上海证监局
1663,2018-10-17,【太平洋机械】工程机械行业跟踪：预计10月份挖机销量同比增长20%-30%,太平洋机械大讲堂
1664,2018-10-16,[看好评级]机械行业高频数据周报：三季报业绩预告分化 关注高成长性细分龙头,中财网
1665,2018-10-09,国家支持制造业发展 产业龙头持续受益,第一财经
1666,2018-10-07,油价上行带动油服高景气，持续推荐细分优质龙头——机械高频数据周报20181008,申万宏源机械
1667,2018-10-07,【申万宏源机械】*20181007*公司重要公告,申万宏源机械
1668,2018-10-05,【太平洋机械】工程机械行业跟踪：为什么二手挖掘机和新机销售会出现背离？,太平洋机械大讲堂
1669,2018-09-30,高端智造龙头迎来买入机会重点推荐9只个股,顶尖财经网
1670,2018-09-26,机械制造：持续看好细分领域龙头 荐5股,申万宏源
1671,2018-09-26,09月26日 89只个股已连涨5天,每日经济新闻
1672,2018-09-26,机械行业周报：油价继续上行油服基本面改善,顶尖财经网
1673,2018-09-24,关注错杀优质标的，持续看好细分领域龙头——机械高频数据周报20180924,申万宏源机械
1674,2018-09-18,浙江鼎力：国内外需求保持高景气 新产能释放值得期待,中证网
1675,2018-09-18,机械行业：油服板块景气度持续 长期看好半导体装备产业发展,东北证券
1676,2018-09-18,"机械高频数据周报:油服行业景气度高,细分领域龙头表现亮眼",申万宏源
1677,2018-09-16,【申万宏源机械】*20180916*公司重要公告,申万宏源机械
1678,2018-09-12,"机械设备行业:天然气稳定发展意见出台,强化油气板块确定性",东北证券
1679,2018-09-11,机械行业2018年中报总结暨9月投资策略：利润率弹性延续，关注机械新经济,国信研究
1680,2018-09-10,机械制造：8月挖机增速钝化 荐13股,国信证券
1681,2018-09-10,机械制造：8月挖机数据基本符合预期 荐5股,申万宏源
1682,2018-09-09,机械制造：锂电设备进入招标旺季 荐8股,东吴证券
1683,2018-09-09,电气设备：迎市场与政策双重拐点 荐14股,广发证券
1684,2018-09-07,【东吴晨报0907】【中报总结】机械【个股】宁德时代、融信中国等,东吴研究所
1685,2018-09-05,工程机械上半年成绩单出炉，上市企业盈利知多少？,工程机械商贸
1686,2018-09-04,机械制造：成长板块景气度持续 荐6股,中银国际
1687,2018-09-03,机械制造：自下而上关注优质公司 荐5股,申万宏源
1688,2018-09-03,财融汇·个股研报精选,财通证券融资融券部
1689,2018-09-02,【太平洋机械】工程机械行业跟踪：估计8月份挖机销量同比增长接近40%,太平洋机械大讲堂
1690,2018-09-02,【申万宏源机械】*20180902*公司重要公告,申万宏源机械
1691,2018-08-28,[买入评级]机械设备行业跟踪分析报告：从中报看油气装备行业复苏,中财网
1692,2018-08-28,[推荐评级]机械行业周报：二季度行业盈利继续提升 推荐锂电、铁路和油气装备,中财网
1693,2018-08-28,[看好评级]机械高频数据周报：重点公司中报频超预期 持续推荐细分领域龙头,中财网
1694,2018-08-28,机械行业:浙江鼎力,信达证券
1695,2018-08-27,[强于大市评级]机械设备行业研究周报：为什么我们调高工程机械几大龙头盈利预测,中财网
1696,2018-08-26,【太平洋机械】机械行业周报：国内油气资本开支增加，板块有望走出独立行情,太平洋机械大讲堂
1697,2018-08-23,[买入评级]浙江鼎力(603338)半年报点评：中报业绩符合预期 持续增长可期,中财网
1698,2018-08-23,财通证券：浙江鼎力买入评级,顶尖财经网
1699,2018-08-23,[强烈推荐评级]浙江鼎力(603338)半年报点评：下游需求旺盛 业绩增长确定性强,中财网
1700,2018-08-23,"浙江鼎力:业绩持续高增长,海外销售加速放量",信达证券
1701,2018-08-22,[审慎增持评级]浙江鼎力(603338)中报点评：海内外业务快速增长 小剪叉新产能有望释放,中财网
1702,2018-08-22,[推荐评级]浙江鼎力(603338)中报点评：下游持续高景气 下半年毛利率将环比改善,中财网
1703,2018-08-21,浙江鼎力：上半年净利润同比增37.29%,Wind
1704,2018-08-21,[中性评级]机械行业周报：核电产业利好不断,中财网
1705,2018-08-21,[看好评级]机械行业高频数据周报：基建预期修复 细分龙头业绩确定性高,中财网
1706,2018-08-20,[增持评级]机械制造业行业周报：车企向电池延伸利好锂电扩产 城轨审批强化基建托底预期,中财网
1707,2018-08-20,[强于大市评级]机械设备行业研究周报：精选高景气下游和确定性标的 继续推荐半导体设备、油服等板块,中财网
1708,2018-08-20,1052份中报预计本周出炉 三大指标勾勒淘金路线图,证券日报
1709,2018-08-16,“老干妈”坚持不上市引争议 工程机械行业上市企业有哪些？,慧聪网
1710,2018-08-14,浙江鼎力荣膺中国主板上市公司价值百强,慧聪网
1711,2018-08-14,三基金深陷弘亚数控，现在知道华夏基金平稳增长今年业绩为什么衰,中金在线
1712,2018-08-13,机械制造：工程机械板块稳定增长 荐5股,申万宏源
1713,2018-08-13,浙江鼎力：正向影响仍将延续 买入评级,广发证券
1714,2018-08-13,[强于大市评级]机械设备行业研究周报：7月挖掘机数据持续超预期 继续看好工程机械和新兴产业,中财网
1715,2018-08-13,"机械设备行业跟踪报告:预计需求仍将维持增长态势,利好工程机械设备",爱建证券
1716,2018-08-12,新制造高速回暖，长期看好机械行业发展逻辑——机械高频数据周报20180813,申万宏源机械
1717,2018-08-12,[优于大势评级]机械设备行业动态报告：受中国智能手机行业需求减弱影响 日本工业机器人产销增速下降,中财网
1718,2018-08-09,"机械行业周报:结构性机会,新经济是方向",国信证券
1719,2018-08-08,8月8日券商晨会研报汇编,证券日报
1720,2018-08-07,【东北机械刘军/朱宇航】行业周观点：受中国智能手机行业需求减弱影响，日本工业机器人产销增速下降,东北证券研究所
1721,2018-08-06,新制造高速回暖，长期看好机械行业发展逻辑——机械高频数据周报20180805,申万宏源机械
1722,2018-08-05,【申万宏源机械】*20180805*公司重要公告,申万宏源机械
1723,2018-08-02,工程机械上市公司半年报预报发布 业绩亮眼,联合钢铁网
1724,2018-08-02,浙江鼎力冲高回落,中证报
1725,2018-08-01,【华创机械】每日公告速递2018-08-01,华创机械
1726,2018-07-31,[看好评级]机械高频数据周报：国常会强化工程机械景气度延长逻辑 铁路货车招标预期再起,中财网
1727,2018-07-31,[超配评级]机械行业周报：基建产业链或超预期,中财网
1728,2018-07-31,"机械设备行业:国内晶圆厂建设顺利推进,预计19年迎来国产设备放量高峰",东北证券
1729,2018-07-30,[增持评级]机械制造业行业周报：政策宽松利好工程机械景气度延续 优选高增长成长股,中财网
1730,2018-07-30,基建相关板块市场情绪回暖 关注三细分领域,证券时报网
1731,2018-07-27,[强于大市评级]机械行业2018年中期投资策略：站在新与旧的交点 结构经济时代的机械设备投资机遇,中财网
1732,2018-07-27,【浙商机械】周期反弹下的工程机械行业点评,浙商证券研究所
1733,2018-07-27,浙商早班车2018.07.27,浙商证券研究所
1734,2018-07-26,[看好评级]机械行业研究报告：工程机械最新形势专家解读电话会议纪要,中财网
1735,2018-07-25,工程机械半年业绩预告出炉 看各家企业上半年的龙争虎斗,慧聪网
1736,2018-07-25,国信证券：中报行情展开 选股方向集中在“机械新经济”,证券时报网
1737,2018-07-24,[超配评级]机械行业周报：中报行情展开中报行情展开,中财网
1738,2018-07-24,基金2Q18机械持仓分析：板块持仓回升 关注稳定内需+自主可控,中财网
1739,2018-07-24,机械行业动态：宏观政策边际放松 中报业绩形成催化,中财网
1740,2018-07-24,"机械设备行业:SEMI发布全球IC设备供应商排名,国内半导体设备市场喜忧参半",东北证券
1741,2018-07-23,[看好评级]机械高频数据周报：工程机械景气度延长 关注半导体等新兴产业链,中财网
1742,2018-07-23,[优于大市评级]机械工业行业周报：进入需求淡季 重视短期业绩超预期和中长期周期成长属性,中财网
1743,2018-07-23,浙江鼎力业绩预告点评：“高成长行业+优质公司”组合 Q2业绩重回高增长,长江证券
1744,2018-07-20,涨停板复盘:沪指收盘大涨2.05% 大金融板块飙升,新浪
1745,2018-07-20,46股获券商买入评级 正泰电器目标涨幅达56.32%,Wind
1746,2018-07-20,浙江鼎力高开涨停,中证报
1747,2018-07-19,浙江鼎力：产能稳步扩张 奠定高增长基础,中证网
1748,2018-07-19,7月19日异动股点评：富勒烯概念炒作正酣 盘点四牛与四熊,山东神光
1749,2018-07-19,浙江鼎力：上半年净利预增37%,金融界
1750,2018-07-19,7月19日涨停揭秘,中证网
1751,2018-07-19,浙江鼎力半年报预增37% 股价涨停,金融界
1752,2018-07-18,今日数据：杭钢股份上半年净利同比预增224.44％,金融界
1753,2018-07-18,18日晚公告精选丨金利华电实控人遭证监会立案调查,21世纪经济报道
1754,2018-07-18,浙江鼎力：2018年半年度业绩报告预告,上交所
1755,2018-07-18,浙江鼎力半年度业绩预增 净利润增长37%,腾讯网
1756,2018-07-17,[超配评级]机械行业周报：后工业化时代到来 装备租赁迎来发展良机,中财网
1757,2018-07-17,[看好评级]机械行业高频数据周报：新制造高速回暖 长期看好机械行业发展,中财网
1758,2018-07-16,新制造高速回暖，长期看好机械行业发展——机械高频数据周报20180716,申万宏源机械
1759,2018-07-16,【东北机械刘军/张晗】行业中报业绩预告总结：行业景气延续，细分板块“百花齐放”,东北证券研究所
1760,2018-07-15,【申万宏源机械】*20180715*公司重要公告,申万宏源机械
1761,2018-07-11,"机械高频数据周报:智能制造看好工业机器人,机械行业进入回暖周期",申万宏源
1762,2018-07-10,[超配评级]机械行业周报：投资新经济之激光产业,中财网
1763,2018-07-10,机械行业动态：布局中报业绩期 逢低买入白马股,中财网
1764,2018-07-08,机械行业2018年下半年投资策略,顶尖财经网
1765,2018-07-06,2018年全球工程机械制造商50强/PLUS50强排行榜发布,我的钢铁
1766,2018-07-06,1H18机械行业业绩预览：子板块业绩分化 重申推荐高景气行业,中财网
1767,2018-07-05,“2018全球工程机械制造商50强榜单”发布 中国12企上榜,和讯
1768,2018-07-04,[超配评级]机械行业周报：中报业绩行情有望展开,中财网
1769,2018-07-04,2H18机械行业年中策略：拥抱高景气行业 优选现金流资产,中财网
1770,2018-07-03,[推荐评级]机械行业周报：工程机械淡季不淡 半导体将进入采购大年,中财网
1771,2018-07-03,机械行业动态：铁总首提《货运增量行动方案》 关注中报业绩催化,中财网
1772,2018-07-02,[买入评级]机械行业2018年3季策略报告：应对不确定性 重视研发技术溢价,中财网
1773,2018-07-02,推动高空作业“更安全” 浙江鼎力IPAF培训中心成立,慧聪网
1774,2018-07-02,[增持评级]机械设备行业跟踪周报：起重机接力挖机高增长 龙头业绩存在上调空间,中财网
1775,2018-07-02,机械设备行业中期策略报告：周期弹性兑现 进口替代是配置主线 工业互联网是方向,中财网
1776,2018-06-28,IFR2017工业机器人:全球38.1万同增27%,东北证券
1777,2018-06-27,"2018年中期机械行业投资策略:聚焦周期反转,优选成长龙头",信达证券
1778,2018-06-26,机械行业动态：流动性偏紧背景下 优选现金流资产,中财网
1779,2018-06-26,机械行业周报:关注油服和工程机械;布局价值成长股,国信证券
1780,2018-06-22,机械行业2018年下半年投资策略：三新策略寻找边际增量 先进制造是必然趋势,中财网
1781,2018-06-22,机械行业周报:布局优质成长股,国信证券
1782,2018-06-21,"机械设备行业高频数据周报:挖机销量持续超预期,智能制造迎进口替代高峰",申万宏源
1783,2018-06-14,【机械设备|刘国清团队太平洋证券】国内挖掘机市场解读电话会议纪要,太平洋证券研究
1784,2018-06-14,【太平洋证券 今日早读】固收：当前信用债的评级利差分化有何不同？|金徽酒公司点评|机械：国内挖掘机市场解读（20180614）,太平洋证券研究
1785,2018-06-13,机械行业6月策略暨资产负债专题研究：资产负债表持续修复，关注绩优成长股,国信研究
1786,2018-06-13,浙江鼎力大显身手助力世界地理信息大会,慧聪网
1787,2018-06-12,早安！方正最新观点20180614,方正证券研究
1788,2018-06-12,"机械设备行业高频数据周报:5月挖机销量再超预期,长期看好智能制造",申万宏源
1789,2018-06-11,[优大于势评级]机械设备行业周报：大基金21亿持续投资 关注半导体、机器人等战略新兴产业,中财网
1790,2018-06-11,【国盛机械团队】精选下游景气度提升个股，大功率激光设备迎来风口-20180610,微信
1791,2018-06-08,6月8日有64家公司获重要股东增减持 通威股份已被连续增持141次,Wind
1792,2018-06-08,浙江鼎力股东中鼎投资减持367.85万股,中国经济网
1793,2018-06-07,A股共发生45宗大宗交易成交18.31亿元（6月7日）,Wind
1794,2018-06-07,浙江鼎力今日大宗交易成交125.61万股，成交价46.0元折价9.7%,Wind资讯
1795,2018-06-07,东吴机械行业中期投资策略：先进制造引领中国经济转型,中财网
1796,2018-06-06,【国金策略】CDR“独角兽”公募基金发行与资金面关系——资金周度监测113期（魏雪/李立峰等）,策略李立峰与行业配置笔记
1797,2018-06-06,"机械行业:预计挖机再超预期,低风险偏好聚焦业绩增长确定性",安信证券
1798,2018-06-04,[优于大势评级]机械设备行业周报：科沃斯上市服务机器人引关注 继续推荐工程机械和油服行业,中财网
1799,2018-06-04,[增持评级]机械设备行业周报：坚守中长线大主题 关注激光设备板块,中财网
1800,2018-06-04,[增持评级]机械工业行业周报：工程机械旺季和拉长的国产化窗口,中财网
1801,2018-06-04,[强于大市评级]机械设备行业研究周报：六月继续重视成长 工业机器人与锂电设备的盛夏将至,中财网
1802,2018-05-29,机械行业周报：工业企业盈利加速提升,国信研究
1803,2018-05-28,地方证监局相继公示上市公司现场检查名单，共176家被抽中,澎湃新闻
1804,2018-05-28,[领先大市-A评级]机械行业周报：制造业景气 聚焦业绩增长确定及新兴产业装备,中财网
1805,2018-05-28,[看好评级]机械高频数据周报：机器换人大势所趋 重点推荐各细分领域龙头,中财网
1806,2018-05-28,[优于大势评级]机械设备行业周报：对美油气进口增加 利好国内页岩气以及天然气产业链发展,中财网
1807,2018-05-28,申万宏源：尝试挖掘新方向是当下的重点,中证网
1808,2018-05-28,[推荐评级]通用机械行业周报：工程机械和油气产业链仍处于偏底部位置,中财网
1809,2018-05-25,今日236只个股突破五日均线,证券时报
1810,2018-05-24,[增持评级]浙江鼎力(603338)首次覆盖报告：蓝海举鼎 内外并驱高增长,中财网
1811,2018-05-22,[领先大市-A评级]机械行业周报：制造业投资加速 推荐工业自动化及锂电设备,中财网
1812,2018-05-22,机械行业动态：油价上行利好油气装备 半导体设备景气持续,中财网
1813,2018-05-22,"机械设备行业:聚焦周期行业业绩的拐点和持续性,优选成长型细分子行业",东北证券
1814,2018-05-21,[看好评级]机械高频数据周报：1-4月挖机销量创历史同期第二 龙头地位凸显行业集中度进一步提升,中财网
1815,2018-05-19,安信证券：机械周期强复苏成长高景气,顶尖财经网
1816,2018-05-18,5月18日午间行业关注,中证网
1817,2018-05-16,"浙江鼎力:汇率波动造成业绩低于预期,二季度有望回升",正点财经
1818,2018-05-16,浙江鼎力2018年一季度:判断Q2起收入增速及毛利率均将显著回升,正点财经
1819,2018-05-16,【机械设备|刘国清团队太平洋证券】工程机械行业跟踪：工程机械龙头纳入MSCI凸显投资价值,太平洋证券研究
1820,2018-05-16,【太平洋证券 今日早读】策略最新观点|固收：利率债周报|电新、机械设备行业追踪（20180516）,太平洋证券研究
1821,2018-05-16,"机械高频数据周报:4月挖机销量同比增速超预期,5月CMI指数稳步扩张",申万宏源
1822,2018-05-15,[超配评级]机械行业周报：投资机械新经济 关注核电、工业自动化和半导体,中财网
1823,2018-05-15,浙江鼎力JCPT2223RTA重磅来袭,联合钢铁网
1824,2018-05-15,机械行业动态：智能物流系统迎发展良机,中财网
1825,2018-05-15,浙江鼎力点评:单季业绩及减持影响短期但中期依旧看好,中证网
1826,2018-05-14,机械制造：投资机械新经济 荐10股,国信证券
1827,2018-05-14,[增持评级]机械制造行业周报：国产工业机器人厂商加速追赶 三代核电招标有望提速,中财网
1828,2018-05-14,[优于大势评级]机械设备行业周报：4月挖机同比大增85% 继续看多工程机械板块,中财网
1829,2018-05-14,[增持评级]机械设备行业周报：全球电动化加速 锂电设备进入新成长周期,中财网
1830,2018-05-14,[强于大市评级]机械设备行业研究周报：季报成长性分析 机构低配与持续成长值得关注,中财网
1831,2018-05-11,浙江鼎力：2017年年度权益分派实施公告,上交所
1832,2018-05-10,[强于大市评级]深度*行业*机械行业周报：对标中国制造2025 强烈推荐国产化中的半导体设备和工业基础件,中财网
1833,2018-05-10,周五机构一致最看好的6只个股（5.10）,中金在线
1834,2018-05-10,机械行业：周期强复苏兑现成长高景气加速,顶尖财经网
1835,2018-05-10,既高又稳 动力强劲 浙江鼎力JCPT2223RTA重磅来袭,慧聪网
1836,2018-05-10,"浙江鼎力:新增产能叠加产品涨价确保公司业绩,海外受益北美需求持续走强",东北证券
1837,2018-05-09,今日盘中突破年线个股,证券时报网
1838,2018-05-09,[增持评级]机械设备行业周报：工程机械4月保持高增长 持续看好核心技术设备龙头,中财网
1839,2018-05-09,机械行业卓越推：浙江鼎力(603338),中财网
1840,2018-05-09,[优于大势评级]机械设备行业周报：中芯国际与大基金等投资成立半导体产业基金 各方持续发力促发展,中财网
1841,2018-05-08,[强于大市评级]深度*行业*机械行业2017年报与2018一季报总结：周期与成长共舞,中财网
1842,2018-05-08,"浙江鼎力:净利增速有所回落,春节效应消散后产销两旺",广发证券
1843,2018-05-08,浙江鼎力：淡季不淡产能释放确保业绩高增长,信达证券
1844,2018-05-08,机械行业动态：工程机械销售亮眼 高端制造加速发展,中财网
1845,2018-05-08,"浙江鼎力:淡季不淡,产能释放有望确保公司业绩高增长",信达证券
1846,2018-05-07,[增持评级]机械制造业行业周报：高端制造加速崛起 重点推荐工业机器人和核电板块,中财网
1847,2018-05-07,[超配评级]机械行业周报：首台AP1000机组装料获批 核电设备或迎来春天,中财网
1848,2018-05-07,机械行业：景气度持续提升,顶尖财经网
1849,2018-05-07,浙江鼎力：已对部分海外市场的公司产品实施提价,e公司
1850,2018-05-04,长江证券：浙江鼎力买入评级,顶尖财经网
1851,2018-05-04,"浙江鼎力:短期因素影响毛利,公司仍在高速增长期,维持盈利预测,维持“买入”评级",申万宏源
1852,2018-05-03,东北证券：浙江鼎力买入评级,顶尖财经网
1853,2018-05-02,[看好评级]机械高频数据周报：一季报持续超预期 五小龙表现亮眼,中财网
1854,2018-04-28,湖州市领导调研浙江鼎力大型智能高空作业平台建设项目,工程机械商贸
1855,2018-04-27,浙江鼎力：一季度净利润同比增4.38%,Wind
1856,2018-04-25,机械制造：恒立液压之挖机销量下滑 论非标油缸业务弹性,国盛证券
1857,2018-04-24,[看好评级]工程机械行业跟踪：宏观政策预期变化 有望推动板块估值修复,中财网
1858,2018-04-24,[看好评级]工程机械行业跟踪：估计4月挖机销售和项目开工都有望超预期,中财网
1859,2018-04-24,机械制造：聚焦半导体设备及高端泵阀国产替代 荐8股,安信证券
1860,2018-04-23,[看好评级]机械高频数据周报：一季报业绩亮眼 机械板块复苏确定性高,中财网
1861,2018-04-23,[强于大市评级]机械设备行业研究周报：18年油服市场相比17年有哪些变化 ?,中财网
1862,2018-04-22,机械制造：迎接曙光 荐13股,广发证券
1863,2018-04-22,机械制造：关注核电重启带来的板块机会 荐9股,东北证券
1864,2018-04-21,本周核发2家IPO批文，22股发布重要公告，其中2股可能被ST,银行信息港
1865,2018-04-20,浙江鼎力：中鼎投资拟减持公司不超1.49%股份,e公司
1866,2018-04-20,四月精选股票组合（第三周）| 海通证券研究所出品,--
1867,2018-04-20,[买入评级]浙江鼎力(603338)深度报告：双线出击 国内龙头迈步全球,中财网
1868,2018-04-20,浙江鼎力年报点评:国内外销售开拓有序产能释放保障增长,万联证券
1869,2018-04-19,"浙江鼎力:17年业绩持续高速增长,18年国内客户结构增强",广发证券
1870,2018-04-18,[中性评级]机械高频数据周报：先进制造进入发展机遇期 “三新”策略看多机械行业,中财网
1871,2018-04-17,[优于大势评级]机械设备行业周报：一季度挖机销量和业绩超预期加持 重点关注工程机械结构性行情,中财网
1872,2018-04-17,[领先大市-A评级]机械行业周报：1Q工程机械业绩大幅增长 聚焦业绩成长及战略新兴产业,中财网
1873,2018-04-17,[增持评级]机械设备行业周报：继续看多传统机械修复行情,中财网
1874,2018-04-17,机械行业周报:工程机械18年看点是利润率弹性,国信证券
1875,2018-04-16,[强于大市评级]深度*行业*机械行业周报：国产半导体设备高增长 周期板块看油服龙头崛起,中财网
1876,2018-04-16,[强于大市评级]机械设备行业研究周报：国际摩擦加剧推升油价 油服行业筑底向上,中财网
1877,2018-04-16,浙江鼎力匠心产品获中国国际工程机械创新产品白金奖,慧聪网
1878,2018-04-16,90股获券商买入评级 通威股份目标涨幅达63.20%,Wind
1879,2018-04-16,工程机械行业维持高景气 一季报普遍乐观(受益股),金融界
1880,2018-04-15,[推荐评级]通用机械行业周报：工程机械业绩超预期 智能装备需加强关注,中财网
1881,2018-04-15,四月精选股票组合（第二周）| 海通证券研究所出品,--
1882,2018-04-15,[买入评级]深度*公司*浙江鼎力(603338)年报点评：持续优质成长 臂式产品可期,中财网
1883,2018-04-13,【安信机械】公司快报-浙江鼎力：加速进军海外市场，产能释放强劲增长,微信
1884,2018-04-13,[买入-A评级]浙江鼎力(603338)年报点评：加速进军海外市场 产能释放强劲增长,中财网
1885,2018-04-13,[买入评级]浙江鼎力(603338)年报点评：业绩持续高增长 受益行业回暖和渠道拓展,中财网
1886,2018-04-13,[推荐评级]浙江鼎力(603338)年报点评：业绩符合预期 下游需求依然旺盛,中财网
1887,2018-04-13,4月13日早间利好消息汇总,证券时报网
1888,2018-04-13,最新公告透露利好 15只个股有潜力（4.13）,中金在线
1889,2018-04-13,A股情报：一则通知给A股带来一笔巨大的长期资金,凤凰网
1890,2018-04-13,A股头条：香港金管局出手捍卫港元 资金涌向创业板,金融界
1891,2018-04-12,公告精选：钱江水利大股东拟溢价20%收购10%公司股份；海马汽车一季度预亏超6000万元,每经网
1892,2018-04-12,公告精选丨2股撤销退市风险警示,21世纪经济报道
1893,2018-04-12,晚间重要公告2018年4月12日星期四,--
1894,2018-04-12,4月13日年报业绩速递:龙建股份年报净利增长3倍 拟10派0.1元,中证网
1895,2018-04-12,多家公司发布送转方案：科达利安记食品浙江鼎力拟转增并分红,Wind
1896,2018-04-12,浙江鼎力：2017年净利同比增逾6成 拟10转4派4元,e公司
1897,2018-04-12,浙江鼎力：2017年净利润同比增62.00%,Wind
1898,2018-04-12,工程机械行业获内外需双轮驱动 机构联袂推荐 10股解析,中财网
1899,2018-04-10,[强于大市评级]深度*行业*机械行业周报：挖机销量大超预期 贸易争端不确定性骤升,中财网
1900,2018-04-10,[领先大市-A评级]机械行业周报：3月挖机销量增速78.9% 聚焦业绩成长及战略新兴产业,中财网
1901,2018-04-10,[增持评级]机械设备行业周报：看好传统机械悲观预期修复,中财网
1902,2018-04-09,[优于大势评级]机械设备行业周报：3月挖掘机销量同比大增79% 建议关注行业一季报行情,中财网
1903,2018-04-09,[增持评级]机械制造行业周报：传统机械设备销售强劲 建议增持机械板块优质个股,中财网
1904,2018-04-08,机械制造：优质公司和高增长行业成为长期配置首选 荐4股,长江证券
1905,2018-04-08,[看好评级]工程机械行业跟踪：PPP项目库清理影响有限 看好工程机械旺季销量,中财网
1906,2018-04-04,[领先大市-A评级]机械行业周报：大环境利好高端制造发展 继续围绕相关主线布局,中财网
1907,2018-04-04,[看好评级]工程机械行业跟踪：估计挖机3、4月份旺季销量大幅超市场预期,中财网
