,2021-12-31,实体企业怎么实现数字化转型升级？广联达刁志中解答,新浪
3456,2019-04-30,今年上半年不买房，下半年房地产会涨 2019中国绿公司年会上企业家直言,华夏时报
3457,2019-04-30,【计算机】省界收费站取消箭在弦上，关注ETC相关投资机会——计算机行业周报——看好（联系人：王洪磊、王磊、张源）,渤海证券研究
3458,2019-04-30,一季度软件业务收入增逾14% 机构扎堆调研6只概念股,证券日报
3459,2019-04-29,中国人民银行发行2019年版人民币　相关公司受益设备升级,东海通财富
3460,2019-04-29,广联达一季度净利5536万同比下滑2% 现金流量净额为-2.38亿元 盈利能力下降,挖贝网
3461,2019-04-29,"广联达:SaaS业务加速推进,营收实现高成长",东北证券
3462,2019-04-28,北洋/航信/石基/纳思达/创业/卫宁/深信服/用友/新大陆详评【申万宏源计算机】,申万宏源S全民全流量计算机话报
3463,2019-04-28,民生计算机周报：一季报验证行业景气度，云计算景气度持续提升,MS计算机
3464,2019-04-28,【天风计算机】周观点：聚焦网络安全和车联网V2X，附基金一季报持仓分析,兵哥看IT
3465,2019-04-28,计算机行业一季报基金持仓分析：仓位下降集中度下降,中泰证券
3466,2019-04-28,"广联达:营收加速,19年Q1新签云合同继续高增",东吴证券
3467,2019-04-28,"广联达:业绩符合预期,云转型加速推进",安信证券
3468,2019-04-27,【申万宏源计算机】求生存重于求增长！,申万宏源S全民全流量计算机话报
3469,2019-04-27,安信研究|TMT向新力·第五十期20190427,安信证券研究
3470,2019-04-27,一周研读｜“援军”踌躇，等待最佳买点（2019年4月21日-4月26日）,中信证券研究
3471,2019-04-27,云计算板块投资热情高涨 六股绝佳布局良机,中证报
3472,2019-04-26,"数据复盘｜主力资金大举加仓28股 机构资金""青睐""泸州老窖",证券时报网
3473,2019-04-26,"广联达:一季报符合预期,云新签合同同比大增",广发证券
3474,2019-04-26,信息科技：久远银海发布2019年第一季度业绩预告 预计实现归母净利润1249万-1416万,和讯
3475,2019-04-26,国产软件概念走势活跃 软件行业将迎顶层规划,证券时报网
3476,2019-04-26,广联达 | 施工高增长已肉眼可见,一计之长
3477,2019-04-26,广联达：收入增速超预期，看好施工业务继续恢复,钱凯TMT研究
3478,2019-04-26,太极股份/广联达/同花顺/卫宁等详评【申万宏源计算机】,申万宏源S全民全流量计算机话报
3479,2019-04-25,【天风计算机】周观点：板块超配比例大幅提升，云计算、信创、金融IT、医疗IT板块加仓明显,兵哥看IT
3480,2019-04-25,广联达：一季度净利润同比减2.29% 盈利能力下降,Wind
3481,2019-04-25,信息科技：持仓更加分散 荐12股,和讯
3482,2019-04-25,中信证券：坚定看好计算机配置价值，云+AI+安全将成三大方向,证券时报网
3483,2019-04-25,计算机｜坚定看好配置价值，云+AI+安全将成三大方向,中信证券研究
3484,2019-04-25,"2019q1公募基金计算机板块持仓跟踪:持仓比例上升0.72个百分点,集中度明显下降",光大证券
3485,2019-04-24,04月24日 65只股票封板 电信运营板块涨幅最大,每日经济新闻
3486,2019-04-24,信息科技：看好AI产业化 荐5股,和讯
3487,2019-04-23,晨会0423｜生猪养殖大幅增配,中信证券研究
3488,2019-04-23,计算机｜Zoom对于企业SaaS服务的启示：全环境云融合，聚焦移动互联营销,中信证券研究
3489,2019-04-22,平安证券：计算机行业重点关注处于高景气期或产业拐点的细分领域,证券时报网
3490,2019-04-22,3200点拉锯战酝酿变盘 从三大数据探寻多头主力新动向,证券日报
3491,2019-04-21,信息科技：软件行业将迎顶层规划 荐7股,中银国际
3492,2019-04-18,信息科技：从UCLOUD财务数据拆解IAAS黑箱 荐10股,和讯
3493,2019-04-17,信息科技：估值业绩背离或不会出现 荐9股,和讯
3494,2019-04-17,【数据揭秘】04月16日 融资客最看好的前20只个股,每日经济新闻
3495,2019-04-17,131家公司去年业绩下滑 百名高管减持套现520次,大众证券报
3496,2019-04-16,华创证券：持续看好金融IT及自主可控（附股）,证券时报网
3497,2019-04-16,"计算机行业2019年第15期周报:上海车展首设“未来出行”区,关注智能汽车产业链",信达证券
3498,2019-04-15,从股权激励实践看公司KPI设计,和讯
3499,2019-04-15,全市场最牛的基金经理怎么看当前市场？怎么选股票？（附金牛奖榜单）,中证报
3500,2019-04-12,信息科技：数字政府建设提速 荐5股,和讯
3501,2019-04-12,险资密集调研电子科技板块：调研赛过“刮旋风” 加仓稳如“慢郎中”,中证报
3502,2019-04-11,董秘解码：蓝思科技随5G换机热潮迎来新一轮重大发展机遇,巨丰财经
3503,2019-04-11,信息科技：高景气主线亦有望逐步启动 荐6股,和讯
3504,2019-04-11,3月私募调仓迹象明显 百亿级私募调研路线浮出水面,经济观察网
3505,2019-04-10,一季度基金去哪儿？摸底386家公司，最受关注10只个股曝光,每日经济新闻
3506,2019-04-10,信息科技：金融与科技融合趋势明显 荐11股,和讯
3507,2019-04-10,信息科技：短期关注超跌反弹等 荐6股,和讯
3508,2019-04-10,百亿私募不给力，3月份收益低于行业平均水平 盈利能力下降,21世纪经济报道
3509,2019-04-10,私募月报：股票策略8.08%平均收益领跑,新浪
3510,2019-04-10,287家公司研发占比超高新技术企业门槛 机构调研30只潜力股,证券日报
3511,2019-04-09,信息科技：关注景气度确定与边际预期改善细分领域,和讯
3512,2019-04-09,56股获券商买入评级 高新兴目标涨幅达49.85%,Wind
3513,2019-04-09,"计算机行业周报2019年第14期周报:2018年服务器市场表现突出,增速近年最高",信达证券
3514,2019-04-08,[路演]广联达：预计在2021年完成全国造价业务转型,全景网
3515,2019-04-08,【国金研究】科创板ICT研究：从生命周期及行业特性看科创企业估值,国金证券研究所
3516,2019-04-08,私募调研热情高涨 科技成长股最受关注,中国基金报
3517,2019-04-08,海外机构2019年以来调研123家公司 26只一季报预喜股值得关注,证券日报
3518,2019-04-08,"广联达:造价业务高成长,产品云化加速推进",东北证券
3519,2019-04-07,观点 | 数字政府建设提速，集约统一利于龙头布局（中银计算机周报0407）,一计之长
3520,2019-04-07,【天风计算机】周观点：车联网V2X的价值演绎才刚刚开始，长线机会中关注医疗IT的业绩兑现,微信
3521,2019-04-05,近10日17家公司获海外机构调研 广联达最受关注,证券时报
3522,2019-04-04,五大券商节后看好6板块47股,证券之星
3523,2019-04-03,【兴证计算机】为什么我们看好工业软件-三维度深度剖析,兴业计算机团队
3524,2019-04-03,信息科技：外资控股券商获批 荐3股,和讯
3525,2019-04-03,招商策略：主题市场热度延续 确定性+弹性双线布局,金融界
3526,2019-04-03,"广联达:云化业务稳健增长,供金业务加速数据变现",申万宏源
3527,2019-04-03,"计算机行业:投哪些,弃哪些轻松“估值洼地”",申万宏源
3528,2019-04-02,COF供不应求持续发酵　厂家酝酿二季度涨价15%,东海通财富
3529,2019-04-02,信息科技：龙头公司财报靓丽 风险偏好影响较大,和讯
3530,2019-04-02,广联达：建筑业新开工项目数量目前没有看到明显下降趋势,Wind
3531,2019-04-02,一季度机构去哪儿“摸底”人民网等591家公司,投资快报
3532,2019-04-02,"广联达2018年报点评:业绩符合预期,云化转型持续加速",国元证券
3533,2019-04-01,信息科技：预投哪些 弃哪些,申万宏源
3534,2019-04-01,观点 | 热情未减，19Q1业绩分化应深挖个股（中银计算机周报0331） 盈利能力下降,一计之长
3535,2019-04-01,"广联达2018年年度报告点评:收入快速增长,云转型效果显著",光大证券
3536,2019-03-30,【天风计算机】周观点：安全可控与电子签名SaaS成板块最强音，新增关注无人驾驶V2X机会,兵哥看IT
3537,2019-03-29,广联达(002410.SZ)：陈晓红拟减持不超2200万股,格隆汇
3538,2019-03-29,广联达：股东拟减持不超过1.95%公司股份 减持股份,Wind
3539,2019-03-29,广联达(002410)：公司造价业务云转型将在2021年基本完成,平安证券
3540,2019-03-29,【新时代计算机 田杰华团队】广联达：云转型进展顺利，施工业务有望再度发力,新时代证券研究
3541,2019-03-29,广联达云业务增速亮眼,全景网
3542,2019-03-29,广联达去年净利4.39亿元 同比下滑7% 董事长刁志中年薪为72万元,挖贝网
3543,2019-03-29,【计算机-胡又文】广联达：实际现金流创历史最佳，云转型效果显著,安信证券研究
3544,2019-03-29,34家QFII上榜前十大流通股东，持仓风格偏向成长股,证券时报
3545,2019-03-29,34家QFII上榜前十大流通股东 持仓风格偏向成长股,证券时报
3546,2019-03-28,广联达2018年营收增长23.24% 造价云转型提速,证券日报
3547,2019-03-28,广联达2018年净利下滑7% 用人成本走高与资产减值损失双压 盈利能力下降,挖贝网
3548,2019-03-28,广联达2018年实现营收28.62亿元 同比增长22.3%,中证网
3549,2019-03-28,广联达:造价业务转云加速、施工业务整合完毕开启新发展阶段,东吴证券
3550,2019-03-28,"计算机行业周报:首批科创板受理企业名单出炉,利好相关概念板块",渤海证券
3551,2019-03-27,广联达(002410.SZ)2018年净利润降7.02%至4.39亿元 拟10派2元 盈利能力下降,格隆汇
3552,2019-03-27,广联达：2018年净利润同比减7%，拟10派2元 盈利能力下降,Wind
3553,2019-03-27,信息科技：中央深改组通过AI+战略 荐9股,和讯
3554,2019-03-27,【国金研究】保险资金专题：险资如何配置A股及其相关特征,国金证券研究所
3555,2019-03-25,华创证券：科创板再迎进展科技股有望重估,华创证券
3556,2019-03-23,【申万宏源计算机】聚焦广深“文化N虎”，基本面领军突出,申万宏源S全民全流量计算机话报
3557,2019-03-21,幽兰行天下：3月22淘金早参,中金在线
3558,2019-03-20,共创智能新高度，华为云AI全面升级,砍柴网
3559,2019-03-20,50页报告看多此细分行业：用户超“优爱腾”会员总和，19年国字头巨无霸诞生，自带“联通+BATJ”级混改预期；科创板最快本周五落地，此热门板块蕴藏再上攻机遇，前期疯涨的细分领域再获政策催化【3.20必看研报】,和讯
3560,2019-03-19,渤海证券：科创板加速落地关注计算机板块新机遇,渤海证券
3561,2019-03-19,"计算机行业:热门品种将剧烈波动,前期滞涨白马有望重获青睐",国联证券
3562,2019-03-18,A股早报2019年3月18日星期一,Wind
3563,2019-03-15,A股共发生59宗大宗交易成交17.43亿元（3月15日）,Wind
3564,2019-03-15,广联达今日大宗交易成交700.91万股，成交价26.19元折价8.23%,Wind资讯
3565,2019-03-15,信息科技：云厂商市占率提升 荐4股,和讯
3566,2019-03-15,剧震考验能力 新加仓基金压力大,金融投资报
3567,2019-03-15,"计算机行业2019年二季度投资策略报告:多重利好因素共振,计算机行业迎来发展良机",渤海证券
3568,2019-03-14,信息科技：MSCI扩大A股纳入因子 荐9股,和讯
3569,2019-03-13,信息科技：关注计算机板块新机遇 荐5股,和讯
3570,2019-03-13,信息科技：计算机板块一季报前瞻 荐8股,和讯
3571,2019-03-12,秦洪看盘｜A股市场主线有所发散，指数或将宽幅震荡,澎湃新闻
3572,2019-03-12,03月12日 94只个股已连涨5天,每日经济新闻
3573,2019-03-12,"计算机行业:自主可控持续,芯片及软件尤为重要",国联证券
3574,2019-03-11,刚刚！5股又被“爆买”逼近红线，陆股通来势汹汹，这只股首次上榜，来看股价有多猛,证券时报网
3575,2019-03-11,渤海证券：继续看多计算机板块春季行情,证券时报网
3576,2019-03-08,前2月QDII基金九成正收益 易方达华夏5只基金涨超20%,中国经济网
3577,2019-03-05,被外资买爆的5家白马，成色究竟几何？,格隆汇
3578,2019-03-05,"计算机行业周报:科创板规则正式发布,关注计算机板块新机遇",渤海证券
3579,2019-03-05,广发基金旗下两任基金经理 坑苦广发改革混合,网易
3580,2019-03-05,【天风计算机】科创板细则落地，硬科技将迎来估值重塑,兵哥看IT
3581,2019-03-05,广联达科技股份有限公司董事长刁志中：数字建筑赋能建筑产业转型升级,每日经济新闻
3582,2019-03-04,五大券商周二看好6板块29股,中财网
3583,2019-03-04,信息科技：阿里云发布7款新产品 创新助力行业景气持续,和讯
3584,2019-03-01,信息科技：第十三次集体学习举行 荐6股,和讯
3585,2019-03-01,信息科技：通用服务器成本及CPU国产化替代商业价值简析 荐9股,和讯
3586,2019-02-28,行业 | 商誉阵雨后，再看业绩彩虹 (计算机行业2018年报前瞻),一计之长
3587,2019-02-28,逾20省份发布30余项专项扶持政策 人工智能转向“规模化落地”,证券时报网
3588,2019-02-27,北向资金最新动向：冲高回落前大换仓 换了什么？,中财网
3589,2019-02-25,东兴证券：券商开放交易接口 利好金融科技龙头,证券时报网
3590,2019-02-25,信息科技：券商开放交易接口 荐4股,东兴证券
3591,2019-02-25,"计算机行业周报:阿里入股中金,金融与科技融合趋势明显",平安证券
3592,2019-02-22,"【信息技术行业】海外云计算巨头财报综述：未见颓势,加速反哺-长江计算机",格隆汇
3593,2019-02-21,【天风计算机】万兴科技：稀缺的纯软件公司，TO B增量市场有望打开,兵哥看IT
3594,2019-02-20,"计算机行业周报:人工智能,2019持续看好",正点财经
3595,2019-02-19,"计算机行业周报:金融服务民企18条出台,建议关注金融科技",渤海证券
3596,2019-02-19,"计算机行业研究简报:短期关注超跌反弹等,中长期高景气、新技术双布局",国联证券
3597,2019-02-18,"广联达:云化转型效果显著,加大投入布局未来",正点财经
3598,2019-02-18,"广联达动态点评:收入增速略超预期,长期成长逻辑不变",正点财经
3599,2019-02-18,今日资金抢入六只强势股一览（2019年2月18日）,中财网
3600,2019-02-18,信息科技：商誉减值大幅拖累整体表现 荐11股,和讯
3601,2019-02-18,《云计算半月刊》第二十二期 (2019.2.18),计算机司令部
3602,2019-02-18,【头条研报】保持高景气度 云计算市场空间广阔,新浪
3603,2019-02-18,【计算机-胡又文】广联达：业绩符合预期，云转型与收入高增长兼得,安信证券研究
3604,2019-02-18,安信研究|晨会在线 20190218,安信证券研究
3605,2019-02-18,"计算机行业2019年第7期周报:“互联网+护理服务”试点开展,互联网医疗获推动",信达证券
3606,2019-02-18,"计算机行业周报:普涨后精选标的,重视安全可控方向",光大证券
3607,2019-02-18,"广联达:造价业务云转型进度加快,施工业务整合完成",平安证券
3608,2019-02-16,基金经理吴明鉴来去匆匆 天弘基金权益团队舵手难寻,新浪
3609,2019-02-15,公告汇总：东方园林已将本息足额支付至上清所,网易
3610,2019-02-15,A股头条之上市公司公告精选（2.16）,金融界
3611,2019-02-15,公告精选：恒瑞医药去年净利同比增26% 南兴装备拟10转5派5元,e公司
3612,2019-02-15,广联达：2018年净利润同比减7.06%（快报） 盈利能力下降,Wind
3613,2019-02-15,广联达(002410.SZ)：2018年净利同比下降7.06%至4.39亿元  盈利能力下降,格隆汇
3614,2019-02-15,2月15日上市公司晚间公告速递,新浪
3615,2019-02-15,广联达(002410.SZ)2018年度净利润降7.06%至4.39亿元 盈利能力下降,格隆汇
3616,2019-02-15,广联达业绩快报：2018年净利同比下降7.06％ 盈利能力下降,金融界
3617,2019-02-15,"计算机行业2018年年报前瞻:商誉减值大幅拖累整体表现,业绩分化继续加剧",平安证券
3618,2019-02-14,计算机行业:外资在买哪些计算机公司?行业投资风格预将转变,方正证券
3619,2019-02-12,5G商用首单落地 边缘计算有望成为下一个风口！,第一财经日报
3620,2019-02-12,信息科技：商誉减值威力显现 荐6股,和讯
3621,2019-02-12,计算机行业研究周报：美股SaaS公司表现亮眼有助于A股云计算标的情绪修复,天风证券
3622,2019-02-12,"计算机行业2019年第6期周报:2018行业净利润增速同比下滑,商誉减值影响显著 盈利能力下降",信达证券
3623,2019-02-11,猪年二十大潜力股：业绩、机构持股、评级大PK,证券时报
3624,2019-02-11,02月11日 收盘突破年线个股一览,每日经济新闻
3625,2019-02-11,02月11日 盘中突破年线个股一览,每日经济新闻
3626,2019-02-10,通过业绩预告，我们读到了什么？,--
3627,2019-02-09,【安信计算机】计算机板块年报预告分析：商誉减值“威力”显现,计算机司令部
3628,2019-02-03,23支翻倍股19个靠打新 狗年A股赚钱王道：拼运气,新浪
3629,2019-02-02,信息科技：科创板+注册制靴子落地 荐5股,和讯
3630,2019-02-02,信息科技：环比持平 明细分化,和讯
3631,2019-02-02,信息科技：信息安全板块关注度提升 荐3股,和讯
3632,2019-02-01,信息科技：独角兽上市利好A股科技龙头 荐6股,和讯
3633,2019-02-01,信息科技：外资在买哪些计算机公司 荐4股,和讯
3634,2019-01-31,广联达董事贾晓平累计减持82万股 套现约2000万元 减持股份,挖贝网
3635,2019-01-31,A股早报2019年1月31日星期四,Wind
3636,2019-01-31,国金行业纵横 | 新基建描绘新版图，相关行业如何布局 | 第12期,国金证券研究所
3637,2019-01-31,【申万宏源计算机】计算机2018年报前瞻：最关注风险资产计提，2019核心为成本控制和管理优化,申万宏源S全民全流量计算机话报
3638,2019-01-31,A股头条：上市公司开启“放鞭炮”模式 科创板真来了,金融界
3639,2019-01-31,"计算机行业:天津推七链计划,作为新基建之一,AI或受益政策催化",国联证券
3640,2019-01-30,A股头条之上市公司公告精选（1.31）,金融界
3641,2019-01-30,A股共发生39宗大宗交易成交12.23亿元（1月30日）,Wind
3642,2019-01-30,广联达今日大宗交易成交1000万股，成交价23.0元折价5.04%,Wind资讯
3643,2019-01-30,信息科技：2019核心为成本控制和管理优化 荐15股,申万宏源
3644,2019-01-29,信息科技：2018年最强美股的启示 荐5股,和讯
3645,2019-01-29,【国君计算机杨墨团队】计算机行业持仓小幅下降且向细分领域龙头集中,微信
3646,2019-01-28,五大券商周二看好6板块49,中财网
3647,2019-01-28,"计算机行业:四季度机构持仓略有下降,抓住利空释放带来的投资机会",正点财经
3648,2019-01-28,计算机行业:为什么安全、可控是2019年的重要主线,正点财经
3649,2019-01-28,计算机板块：公募基金计算机板块持仓比例4.28%略有下降,光大证券
3650,2019-01-28,"计算机行业周报:“科创板+注册制”靴子落地,利好创投企业",渤海证券
3651,2019-01-27,【长江计算机】2018Q4基金持仓分析：环比持平、明细分化,长江计算机研究
3652,2019-01-26,【安信计算机】基金四季报持仓分析：仓位小幅回落，“抱团”有所缓解,计算机司令部
3653,2019-01-25,【晨会纪要】策略丁文 银河证券晨会纪要—20190125,中国银河证券研究
3654,2019-01-25,【计算机】谢春生、杨亚宇（研究助理）：18Q4基金持仓分析：仓位下降，集中度提升-20190124,中泰证券研究所
3655,2019-01-25,【晨会聚焦】深改委会议内涵丰富，远不止科创板,中泰证券研究所
3656,2019-01-24,"计算机行业动态跟踪报告:Q4基金持仓显著下滑,但仍维持超配,持仓集中度略升",平安证券
3657,2019-01-24,"计算机行业:云计算及医信高景气已被证明,轨交信息化有望崛起",国联证券
3658,2019-01-23,信息科技：工信部加快5G商用步伐 荐6股,和讯
3659,2019-01-22,计算机行业周报:为何2019年仍看好金融it?,正点财经
3660,2019-01-22,【异动股】基金重仓板块下挫，南极电商(002127-CN)跌4.16%,财华社
3661,2019-01-22,"计算机行业周报:业绩预告临近,重视中期确定性",光大证券
3662,2019-01-22,计算机行业周报:2018年最强美股的启示,安信证券
3663,2019-01-22,计算机行业2019年第4期周报:工业互联网网络基础设施建设获政策推动,信达证券
3664,2019-01-21,计算机行业周报:2019用友商业伙伴大会助力国内企业级SaaS服务市场加速发展,正点财经
3665,2019-01-21,"计算机行业:深交所拟推动新经济并购,全球资本市场制度竞争驱动科技成长",正点财经
3666,2019-01-21,信息科技：资本市场加大拥抱科创企业 荐36股,和讯
3667,2019-01-21,信息科技：围绕新技术及高景气布局 荐6股,和讯
3668,2019-01-18,信息科技：从CES2019看车载HMI的投资价值 荐11股,和讯
3669,2019-01-17,信息科技：智能网联产业发展势不可挡 荐7股,和讯
3670,2019-01-16,招商策略：先进制造被市场认可 掘金五大领域投资机会,金融界
3671,2019-01-15,【广证恒生-计算机行业周报】2019年CES开幕，人工智能是最重要的主题之一,广证恒生
3672,2019-01-15,信息科技：调仓与商誉多因素增大波动性 荐4股,和讯
3673,2019-01-15,【计算机】周报：调仓与商誉多因素增大波动性,中银国际证券研究
3674,2019-01-15,"计算机行业周报:估值逐步显现投资价值,围绕新技术及高景气布局",国联证券
3675,2019-01-15,"计算机行业周报:工信部力推5G+车联网,建议关注智能汽车",渤海证券
3676,2019-01-14,国盛证券：信息安全行业具有中期投资机会,国盛证券
3677,2019-01-13,【广证恒生计算机】2019年度策略报告——关注高景气度细分领域，精选业绩确定性优质标的,广证恒生
3678,2019-01-13,【安信计算机】政策与产业共振，智能网联汽车发展提速,计算机司令部
3679,2019-01-12,云计算催生IT产业投资新机会,全景网
3680,2019-01-12,安信研究|TMT向新力 · 第三十八期 20190112,安信证券研究
3681,2019-01-09,"计算机行业:政策偏暖,板块短期关注超跌、中长期寻求新技术布局",国联证券
3682,2019-01-08,中财独家：A股核心投资主题或曝光 机构预测,中财网
3683,2019-01-08,"计算机行业周报:降准影响积极,把握反弹机遇",正点财经
3684,2019-01-08,9日机构强推买入 六股成摇钱树,证券之星
3685,2019-01-07,广联达：乘云而上 买入评级,和讯
3686,2019-01-07,信息科技：积极关注自动驾驶与AI+ 荐5股,和讯
3687,2019-01-07,政策力度持续加码 普惠金融主线景气度有望持续提升,证券时报网
3688,2019-01-06,【安信计算机】广联达深度报告：光风霁月，乘云而上,计算机司令部
3689,2019-01-05,信息科技：普惠金融获流动性 荐36股,国盛证券
3690,2019-01-05,利润环比连增+同比暴增 20匹盈利白马现身(名单),证券时报网
3691,2019-01-04,信息科技：板块整体估值进一步下移 荐6股,和讯
3692,2019-01-03,平安新鑫先锋净值连续大跌 规模缩水跌破清盘线,网易
3693,2019-01-03,"计算机行业2019年第1期周报:车联网发展行动计划发布,智能驾驶有望提速",正点财经
3694,2019-01-02,猫眼娱乐最快本月内上市；滴滴上线“金融服务”频道丨【每日播报】,阿特列斯如是说
3695,2019-01-02,行业才真掘金池 68股待捞取,中财网
3696,2019-01-02,信息科技：乘风破浪 拥抱产业升级,和讯
3697,2018-12-31,【天风研究·固收】信用早早报（6月11日）,固收彬法
3698,2018-12-28,信息科技：拥抱IT创新浪潮 荐12股,和讯
3699,2018-12-28,【行业周报】计算机钱劲宇 新政策密集出台，催化计算机板块迎利好,中国银河证券研究
3700,2018-12-27,【平安重点】2019年计算机行业十大猜想*强于大市,平安研究
3701,2018-12-27,"计算机行业周报:DRGs试点申报工作即将展开,利好相关行业龙头",渤海证券
3702,2018-12-26,信息科技：大市静待企稳 荐6股,和讯
3703,2018-12-26,『早安，新时代！』晨会早读2018/12/26：今日关注【计算机2019年投资策略：掘金经济弱相关细分领域，拥抱IT创新浪潮】,新时代证券研究
3704,2018-12-26,招商策略：从“新型基础设施建设”看2019年主题投资,金融界
3705,2018-12-25,信息科技：DRGS试点申报工作即将展开 荐5股,和讯
3706,2018-12-25,五大券商周三看好6板块28股,证券之星
3707,2018-12-24,信息科技：短线乐观且可前瞻布局科创板 荐7股,中银国际
3708,2018-12-21,【每日晨报】策略丁文 银河证券晨报—20181221,中国银河证券研究
3709,2018-12-20,"计算机行业:震荡市场波段为主,板块关注高景气细分行业",国联证券
3710,2018-12-19,46家雄安新区上市公司年报预喜 18股获机构关注,证券日报
3711,2018-12-18,周三机构一致看好的十大金股（12.18）,证券之星
3712,2018-12-18,"广联达:预收账款同比增长112.86%,云转型战略持续推进",中证网
3713,2018-12-17,信息科技：哪些领域存在弱周期投资机会 荐30股,和讯
3714,2018-12-16,【重磅】AI2019策略：新算力下的2019AI全行业智能深化,申万宏源S全民全流量计算机话报
3715,2018-12-15,【申万宏源计算机】涨跌幅榜秘密？电子病历与等保2.0,申万宏源S全民全流量计算机话报
3716,2018-12-15,86家公司利润不断改善 15家步入绩优股行列(名单),证券时报
3717,2018-12-15,《云计算半月刊》第十八期（2018.12.15）,计算机司令部
3718,2018-12-14,A股共发生37宗大宗交易成交5.71亿元（12月14日）,Wind
3719,2018-12-14,广联达今日大宗交易成交89万股，成交价23.65元折价0.0%,Wind资讯
3720,2018-12-14,财融汇·早间必读 | 20181214,财通证券融资融券部
3721,2018-12-13,"计算机行业:看多2019年板块行情,重点推荐云计算&精选高景气度子行业龙头",中证网
3722,2018-12-13,"广联达:云转型持续推进,施工业务逐步回暖",中证网
3723,2018-12-12,【晨会纪要】策略丁文 银河证券晨会纪要—20181212,中国银河证券研究
3724,2018-12-12,信息科技：电子病历相关政策发布 荐6股,和讯
3725,2018-12-12,信息科技：医疗信息化景气度持续走高 荐4股,和讯
3726,2018-12-12,中信建投：2019年计算机行业重点推荐云计算产业龙头,新浪
3727,2018-12-11,涨声内参：布局来年 跟随机构调研寻找路线图,中金在线
3728,2018-12-10,信息技术行业周报:美股行业巨头财报不及预期 盈利能力下降,正点财经
3729,2018-12-07,【晨会纪要】策略丁文 银河证券晨会纪要—20181207,中国银河证券研究
3730,2018-12-06,信息科技：新零售再成核心风口 荐27股,和讯
3731,2018-12-05,"计算机行业周报:等保2.0,催生网络安全新需求",正点财经
3732,2018-12-05,计算机行业62份业绩预告 逾七成公司年报预喜,投资快报
3733,2018-12-05,计算机行业周报:诸领军“大跌一天”有基本面变化吗,申万宏源
3734,2018-12-03,中国测绘学会智慧城市工作委员会成立 广联达：技术与投资并举构建智慧城市,砍柴网
3735,2018-12-02,计算机行业：云计算公司迎来大好时机建议关注相关标的,国联证券
3736,2018-12-01,《云计算半月刊》第十七期（2018.12.1）,计算机司令部
3737,2018-12-01,银河基金袖珍产品再扩容 袁曦挂帅新品成迷你司令？,新浪
3738,2018-11-29,国盛通信 | 工信部再发文！从3点边际变化，看工业互联网发展提速,吉时通信
3739,2018-11-27,广联达董事长刁志中：基于数字孪生的城市创新发展从概念走向落地实践,砍柴网
3740,2018-11-27,机构看好个股逾六成实现上涨 医药生物等三行业受青睐,证券日报
3741,2018-11-26,短期重点关注上证50权重股方向选择,北京晨报
3742,2018-11-25,计算机软件行业专题：走向云服务协同纵深时代,红周刊
3743,2018-11-23,"广联达2018年三季报点评:收入增速加快,股权激励助力战略落地",光大证券
3744,2018-11-22,【晨会纪要】策略丁文 银河证券晨会纪要—20181122,中国银河证券研究
3745,2018-11-22,【数据揭秘】11月21日 融资客最看好的前20只个股,每日经济新闻
3746,2018-11-20,"计算机行业2018年第46周周报:腾讯云服务收入同比翻番,付费客户数快速增长",信达证券
3747,2018-11-19,安信证券：拥抱科技创新的春天,安信证券
3748,2018-11-19,"计算机行业周报:注重中期成长,关注滞涨二线龙头",光大证券
3749,2018-11-17,86家公司利润环比连续增长 15家步入绩优股行列,证券时报
3750,2018-11-17,国家创新驱动行业变革 5G+人工智能+大数据爆发在即,金融投资报
3751,2018-11-16,【晨会纪要】策略丁文 银河证券晨会纪要—20181116,中国银河证券研究
3752,2018-11-16,多重利好云集计算机板块站上“风口”,大众证券报
3753,2018-11-16,基金经理看好板块长期投资价值,中证报
3754,2018-11-14,考拉征信等被指接受调查 九成数据公司停工观望,新浪
3755,2018-11-14,数字建筑研究中心成立！广联达携手华中科技大学助力建筑业数字化变革,证券之星
3756,2018-11-14,广联达：与华中科技大学共建数字建筑研究中心,e公司
3757,2018-11-12,广联达付永晖：大数据让建材营销更精准、更智慧,证券之星
3758,2018-11-12,(互动)广联达：施工业务毛利率在80%以上 将保持稳定增长,全景网
3759,2018-11-11,计算机行业：聚焦优质龙头关注三大领域(附股),东北证券
3760,2018-11-09,"广联达点评报告:三季度高增长业绩超预期,云转型预收账款持续增加",中证网
3761,2018-11-08,【广证恒生计算机】专题报告-计算机行业2018年Q3综述：营收提速，分化加剧,广证恒生
3762,2018-11-08,北上资金年内“壕买”A股逾2500亿 10只强势股成主角,证券日报
3763,2018-11-06,下一个百年Panasonic将向哪里去？,中国电子报
3764,2018-11-06,"广联达:收入超预期,施工业务快速回暖",正点财经
3765,2018-11-06,【光大计算机】高景气板块景气度持续，近六月质押比例小幅下降——计算机板块2018年三季报分析,微信
3766,2018-11-05,广联达：11月2日融资余额为3.21亿元，较前一日骤降8.88%,Wind资讯
3767,2018-11-04,【国君计算机杨墨团队】2018Q3计算机季报+基金持仓分析报告,国君计算机团队
3768,2018-11-04,【太平洋计算机王文龙团队-三季度行业收入增速放缓，政策助推AI、互联网医疗行业发展20181104】,微信
3769,2018-11-03,86公司利润环比连增 15家步入绩优股行列,证券时报网
3770,2018-11-03,海外机构对42家上市公司进行调研 海康威视最受关注,证券时报网
