,2021-12-31,2022年景气度有望回升，医药零售行业2022年度投资策略,国泰君安证券研究
2244,2019-04-01,"【中证盘前】增值税税率今起下降！10倍牛股东方通信年报出炉；全通教育拟收吴晓波资产被问询，今日复牌；标普创十年最大单季涨幅
盈利能力下降",中证报
2245,2019-04-01,光大证券：聚焦医药板块一季报行情，关注“创新+升级”主线,证券时报网
2246,2019-04-01,QFII布局A股路线图曝光 锁定35家公司青睐医药等三行业,证券日报
2247,2019-03-31,创新疫苗将进入第二波浪潮，重新梳理长期医药十年十倍四大主线【国盛医药张金洋团队】,国医盛视
2248,2019-03-31,聚焦一季报行情，关注“创新+升级” |【光大医药·周报】,医心医意要健康
2249,2019-03-29,申万宏源：2019Q1医药板块整体增长稳健，看好3大投资方向,证券时报网
2250,2019-03-27,盈利稳健的药房转债 | 百姓转债发行定价及申购建议,债市覃谈
2251,2019-03-27,医疗保健：医药产业创新有望加速 荐15股,和讯
2252,2019-03-26,"每周药事:科创板首批受理名单公布,关注对标公司",正点财经
2253,2019-03-26,[快讯]汇添富基金管理股份有限公司基金公布年报 收益为-6.34%,中财网
2254,2019-03-25,"医药生物行业跨市场周报:科创板开门迎客,医药创新驱动力换挡在即",光大证券
2255,2019-03-25,三大股指全线下跌 个股筹码趋于集中,证券时报
2256,2019-03-25,医疗保健：执业药师挂证整治专项启动 荐5股,国联证券
2257,2019-03-25,医疗保健：板块延续估值修复行情 荐7股,财信证券
2258,2019-03-24,科创板开门迎客，医药创新驱动力换挡在即｜【光大医药·周报】,医心医意要健康
2259,2019-03-22,医药 | 行业简评：整治执业药师“挂证”，行业向规范化前行,中信建投证券研究
2260,2019-03-21,【中信建投医药】行业简评：整治执业药师“挂证”，行业向规范化前行,菊颖医药观察
2261,2019-03-21,医疗保健：优质专科药和创新药有望受益 荐8股,和讯
2262,2019-03-21,【医药零售行业】深度报告：解惑零售药店，脚踏实地，登高望远,格隆汇
2263,2019-03-20,医疗保健：我国首部《罕见病诊疗指南》发布 荐5股,和讯
2264,2019-03-20,DTP药房或成药企营销转型突破点,医药网
2265,2019-03-19,19点聊电商：专题｜小米财报：全年净利润136亿元人民币,亿邦动力
2266,2019-03-19,益丰药房股东减持股份进展公告 减持股份,亿邦动力
2267,2019-03-19,【太平洋证券今日早读】电子行业深度报告：5G系列报告之PCB篇-新世代通信浪潮之基|食品饮料、医药等行业追踪20190319,太平洋证券研究
2268,2019-03-19,【医药|杜佐远团队太平洋证券】零售药店点评报告：315晚会曝光部分药店“挂证”，加速行业集中度提升,太平洋证券研究
2269,2019-03-19,"医药生物行业跨市场周报:医保目录再调整启动,创新/抗癌/基药品种受益",光大证券
2270,2019-03-18,【中信建投医药】行业周报：慢牛行情下， 医药成长股配置价值凸显,菊颖医药观察
2271,2019-03-18,医疗保健：行业增速预期有望提升 荐10股,和讯
2272,2019-03-17,医药生物：医保统计快报出炉 基金安全可持续,中信建投
2273,2019-03-11,【老百姓】股权激励方案点评：推行普惠激励，业绩提速可期,微信
2274,2019-03-11,一心堂旗下美国公司经营低迷 两千万商誉减值引关注,新京报
2275,2019-03-11,收评：沪指涨1.92% 创业板涨4.43%创9个月新高 两市逾200股涨停,证券时报网
2276,2019-03-11,[看好评级]医药政策系列深度之一：医保支付能力不必过于悲观 关注细分板块投资机会,中财网
2277,2019-03-11,"医药行业周报;医保控费趋严,需更加重视CRO/CMO投资价值",证券之星
2278,2019-03-10,【华泰医药代雯团队】MSCI扩容A股，医药大有可为,微信
2279,2019-03-08,医药生物行业2018年报前瞻:行业增速预期有望提升、加大配置中小市值标的,正点财经
2280,2019-03-07,线上冲击对线下药房 益丰药房称医药电商不可能取代实体店,北京商报
2281,2019-03-07,2月QDII九成以上取得正收益 华夏工银南方基金领跑,中国经济网
2282,2019-03-06,[互动]益丰药房：医药电商只能是线下门店的补充,全景网
2283,2019-03-06,中信建投晨会0306 | 增值税率再下调解读；药品集采配套措施方案；和而泰,中信建投证券研究
2284,2019-03-04,【天风医药】3月月报：寻找低估值滞涨同时业绩有望向上的标的，关注科创板影响,思医辨药
2285,2019-03-04,科创板助推医药产业升级 医药板块多股涨停,天天基金网
2286,2019-03-04,科创板加速医药产业升级 利好创新产业链(附股),光大证券
2287,2019-03-04,消费｜为下一轮上涨接力：消费行业观点总结,中信证券研究
2288,2019-03-03,【天风医药】一周医讯：寻找低估值业绩向上标的，关注科创板对医药板块的影响,思医辨药
2289,2019-03-03,2019年医药行业增速预期有望上调20%(附股),证券时报网
2290,2019-03-03,【中银医药】行业增速预期有望提升、加大配置中小市值标的---医药生物行业2018年报前瞻,周观宇论
2291,2019-03-02,绩优成长股仍是资金最爱 商业煤炭医药有望脱颖而出,金融投资报
2292,2019-03-01,医疗保健：国内恶性肿瘤发病数据梳理 荐5股,和讯
2293,2019-02-27,一心堂四季度遭机构齐减持 产品质量门店销售双爆雷 减持股份,中国经济网
2294,2019-02-25,政策“脱敏”与创新药的长期空间,格隆汇
2295,2019-02-25,"医药与健康护理行业周报:集采政策明确试点先行,行情趋好关注医药投资机会",正点财经
2296,2019-02-25,光大证券：带量采购愈推进，CRO/创新主线愈受益（附股）,证券时报网
2297,2019-02-25,【天风医药】一周医讯：继续看好后续医药板块行情，关注业绩高增长标的,思医辨药
2298,2019-02-25,61只个股被机构扎堆推荐 圈定医药生物等四行业,证券日报
2299,2019-02-25,"医药生物行业跨市场周报:带量采购愈推进,cro创新主线愈受益",光大证券
2300,2019-02-24,带量采购愈推进，CRO/创新主线愈受益｜【光大医药·周报】,医心医意要健康
2301,2019-02-24,医疗保健：继续推荐确定性高的细分行业 荐3股,中银国际
2302,2019-02-22,财富证券：医药生物板块迎来估值修复行情，把握个股投资机会,证券时报网
2303,2019-02-19,"医药生物行业基于2000余份新春调查问卷结果的分析研究:知否知否,医药消费应是愈浓愈厚",正点财经
2304,2019-02-19,"医药生物行业周报:进入年报披露期,持续布局绩优个股",华安证券
2305,2019-02-18,医药生物行业周报:主线优质龙头仍是首选,光大证券
2306,2019-02-17,主线优质龙头仍是首选 |【光大医药·周报】,医心医意要健康
2307,2019-02-15,2019年2月策略：持续上攻后的调整 期待年报盈喜,和讯
2308,2019-02-15,南京医药布局处方外流 超4000万元投资智慧零售项目,证券日报
2309,2019-02-14,02月14日 收盘突破年线个股一览,每日经济新闻
2310,2019-02-14,02月14日 盘中突破年线个股一览,每日经济新闻
2311,2019-02-13,【中信建投医药】医药行业周报：业绩分化明显，把握投资机会,菊颖医药观察
2312,2019-02-13,02月13日 收盘突破五日均线个股一览,每日经济新闻
2313,2019-02-13,医药生物2月投资策略及年报前瞻：期待年报报喜，关注政策变化,国信研究
2314,2019-02-12,医疗保健：注重内生可持续增长 荐7股,和讯
2315,2019-02-11,【医药】江琦、王超（研究助理）：2月月报：信心正逐步恢复、Q1建议关注创新药、原料药和商业板块-20190210,中泰证券研究所
2316,2019-02-10,冰雪消融，静待春暖花开 |【光大医药·周报】,医心医意要健康
2317,2019-02-02,【中信证券 | 消费】从持仓结构看消费产业,麦高玩乐游
2318,2019-02-02,布局DTP需厘清七个问题！拼资源阶段如何壮大业务？,医药经济报
2319,2019-01-31,零售晚报：上海医药下属全资子公司获得药品GMP证书的公告,亿邦动力
2320,2019-01-31,17点聊电商：益丰药房关于子公司对外投资设立控股子公司的公告,亿邦动力
2321,2019-01-31,【亿欧快讯】益丰药房再落一子，设立孙公司深化中药板块,亿欧网
2322,2019-01-31,医疗保健：2018年预计增长保持稳健 荐21股,和讯
2323,2019-01-31,医疗保健：利妥昔首仿将上市 国内生物类似药进度盘点,和讯
2324,2019-01-31,光大证券：管理精细化促医疗价值回归 坚定看好四类股,证券时报网
2325,2019-01-31,子公司净利率畸高 融资上瘾的一心堂经营效率垫底,新浪
2326,2019-01-31,"医药生物行业《关于加强公立医院绩效考核工作的意见》政策点评:腾笼换鸟思路未变,管理精细化促医疗价值回归",光大证券
2327,2019-01-30,医药行业周报:三类医药股的不同投资策略,正点财经
2328,2019-01-30,沪市年度并购重组1.2万亿元服务实体经济态势向好,金融界
2329,2019-01-30,"益丰药房:近三年业绩增长确定性强,估值回落历史低位",证券之星
2330,2019-01-28,"每周药事2019年第5周:板块需要信心,继续看好超跌错杀个股",正点财经
2331,2019-01-28,国产单抗类似药迎来上市元年，竞争之下比拼综合实力|【光大医药·周报】,医心医意要健康
2332,2019-01-28,"东吴医药行业周观点:把握2019q1医药股估值修复行情,继续推荐流感主题",东吴证券
2333,2019-01-27,利妥昔首仿将上市，国内生物类似药进度盘点【周观点|长江医药0127】,长江医药小组
2334,2019-01-25,一心堂经营效率垫底,红周刊
2335,2019-01-25,云南白药牙膏案长沙开庭 牙膏安全性等问题得到解答,南方财富网
2336,2019-01-25,双线融合助新零售快速增长 六股投资正当时,证券日报
2337,2019-01-24,七成多医药公司年报业绩预喜 创新药等龙头公司被看好,大众证券报
2338,2019-01-24,医疗保健：18Q4公募基金医药持仓环比下降 荐10股,和讯
2339,2019-01-24,老百姓大药房出手2亿再设产业基金，连锁药店“买买买”炮火将点燃？,亿欧网
2340,2019-01-23,【光大海外】策略系列（3）医药：大破大立：不经一番寒彻骨，怎得梅花扑鼻香——医药生物行业2019年度A+H投资策略,EBoversea
2341,2019-01-22,"医药生物行业周报:带量采购定调稳健推广,悲观预期有望逐步修复",光大证券
2342,2019-01-21,[快讯]益丰药房发布解除质押公告 涉及股份783万股,中财网
2343,2019-01-21,医疗保健：优质个股投资价值犹在 荐7股,财信证券
2344,2019-01-19,医药生物 新阶段动能切换，创新才是医药永恒的魅力,红周刊
2345,2019-01-18,"医药生物行业:国家集采文件落地,顶层制度建设出台",中证网
2346,2019-01-17,医药商业股逆市拉升 性价比逐步凸显,中证网
2347,2019-01-17,医药生物行业:继续关注非药优质个股,华安证券
2348,2019-01-16,【异动股】医药板块涨幅居前 第一医药(600833-CN)涨停,财华社
2349,2019-01-16,医疗保健：2018年美国FDA药品审评分析 荐8股,和讯
2350,2019-01-15,医疗科技巨头微医举牌易联众,羊城晚报
2351,2019-01-14,"医药生物行业周报:Me-too价格战悄然开打,综合实力更显重要",光大证券
2352,2019-01-11,益丰药房：网售药品政策为O2O模式发展提供有利条件,e公司
2353,2019-01-09,【2019年重点个股】益丰药房：精益求精、岁物丰成,医心医意要健康
2354,2019-01-09,今日204股突破五日均线 1月9日突破五日均线个股乖离率排名,金投网
2355,2019-01-09,医疗保健：医药行业2018年年报业绩前瞻,和讯
2356,2019-01-09,医药生物行业2019年投资策略:创新才是硬道理,国信证券
2357,2019-01-09,"医药生物行业周报:谨慎为上,继续布局非药个股",华安证券
2358,2019-01-08,消费研究看长江 | 大消费行业2018年度业绩前瞻·2019W01,--
2359,2019-01-08,医疗保健：医院收入结构调整 荐8股,中信建投
2360,2019-01-08,晨会0108｜A股回购、商誉摊销,中信证券研究
2361,2019-01-07,医疗保健：坚守低估值与确定性 荐7股,和讯
2362,2019-01-07,"医药生物行业2019年度A+H策略报告:大破大立,不经一番寒彻骨,怎得梅花扑鼻香",光大证券
2363,2019-01-06,至暗时刻仍有光明，坚定拥抱创新升级 |【光大医药·周报】,医心医意要健康
2364,2019-01-05,盘点互联网医药乱象，纵观各国看药品如何监管,亿欧网
2365,2019-01-04,医疗保健：创新引领未来 荐6股,和讯
2366,2019-01-04,"医药与健康护理行业:政策扰动大,短期关注政策免疫标的",正点财经
2367,2019-01-03,风险偏好提高，数点医药板块中的“科技”股 ——兴证医药2020年1月投资月报【兴证医药】,兴证医药健康
2368,2019-01-02,"每周药事2019年第1周:除旧迎新,乐见反弹",正点财经
2369,2019-01-02,"医药生物行业周报:医保局调结构被数据验证,大破大立下拥抱创新升级",光大证券
2370,2018-12-31,西南证券：减持 增持市值均环比增加两成多,西南证券
2371,2018-12-29,零售连锁药店行业专题报告:行业快速整合背后的资本力量,正点财经
2372,2018-12-28,阿里健康入股德生堂，“医药电商一哥”呼之欲出,晨哨网
2373,2018-12-28,医疗保健：坚守低估值与确定性 荐7股,和讯
2374,2018-12-28,医药生物2019年投资策略：创新才是硬道理,国信研究
2375,2018-12-28,医药生物行业:控费改革进程中关注结构性投资机会,华安证券
2376,2018-12-25,医疗保健：至暗时刻 个股有战略布局机会,和讯
2377,2018-12-25,医疗保健：DRGS国家试点启动 性价比将成为决定企业未来的关键,和讯
2378,2018-12-25,阿里健康加持主攻齐鲁市场 漱玉股份再战IPO时点不佳,投资时报
2379,2018-12-25,漱玉平民大药房再冲A 华泰阿里突击入股,时代周报
2380,2018-12-24,消费研究看长江 | 大消费周度行业专题研究精粹·2018W51,微信
2381,2018-12-24,快讯：医药股早盘集体反弹 三鑫医疗涨停,新浪
2382,2018-12-24,医药生物行业周报:从“浙江模式”看耗材集采趋势,光大证券
2383,2018-12-23,从“浙江模式”看耗材集采趋势 |【光大医药·周报】,微信
2384,2018-12-21,跑赢大盘个股和弱于大盘个股排行|2018年12月21日,云掌财经
2385,2018-12-21,权重杀跌上证50创近两年新低，2600点之下机>危,Wind
2386,2018-12-21,医疗保健：外延成本下降 超跌带来机遇,和讯
2387,2018-12-21,药店行业：外延整合正当时，处方外流长逻辑,国金证券研究所
2388,2018-12-21,国金晨讯精选：机械2019年度策略，药店行业深度,国金证券研究所
2389,2018-12-21,漱玉股份IPO：药店巨头围猎，山东土著募资下沉社区展开防御,斑马消费
2390,2018-12-21,"医药行业周报:有奖举报医保欺诈行为,长期利好药店连锁龙头",渤海证券
2391,2018-12-20,【国信医药丨药店行业快评】外延成本下降，超跌构成机遇,GuosenHealthcare
2392,2018-12-20,医药生物行业事件点评:严厉打击欺诈骗保行为预计对药房业绩影响有限,东莞证券
2393,2018-12-19,医药行业快评：药店投资核心考察一二级市场估值差，超跌带来投资机会,国信研究
2394,2018-12-18,海正药业闪崩背后：空有营收不见利润，实现盈利全凭财技 连续下跌,阿尔法工场
2395,2018-12-18,道达投资手记：市场难觅热点板块 百年老字号遭遇“黑天鹅”,每日经济新闻
2396,2018-12-17,12.17瞄准超跌，总有收获,中金在线
2397,2018-12-17,百年老字号遭遇“黑天鹅”——道达投资手记,每日经济新闻
2398,2018-12-17,龙虎榜：股东减持，多喜爱股价遭遇踩踏，6天下跌39.62%！ 减持股份,云掌财经
2399,2018-12-17,多重利空重挫药房概念股 汤臣倍健、一心堂成机构博杀集中营,每日经济新闻
2400,2018-12-17,医药行业12月黑天鹅频出背后：依靠财政补贴和医保行业面临清算,腾讯网
2401,2018-12-17,医药股又出两大黑天鹅 这周有几个重要事件需要关注,金融界
2402,2018-12-17,医保局打击骗取医保行为 药房概念股集体大跌,腾讯网
2403,2018-12-17,中国平安成基金业绩排名战要地，8天被机构买入7次,Wind
2404,2018-12-17,8天被机构大单买入7次 中国平安成基金业绩前十排名战“要地”,证券日报
2405,2018-12-17,"医药生物行业周报:政策多发扰动期,建议关注品牌中药的配置价值",光大证券
2406,2018-12-16,医疗器械板块投资机会相对突出【周观点|长江医药1216】,长江医药小组
2407,2018-12-14,医疗保健：短期带动部分品种降价 荐3股,和讯
2408,2018-12-14,"医药生物行业周报:仿制药迎变局,把握确定性投资机会",华安证券
2409,2018-12-13,便利店开始卖药了 传统药店的生意会受到冲击吗？,中国企业家网
2410,2018-12-12,处方外流大利好下 步长九州通要合开92家药房,医药网
2411,2018-12-12,中信建投2019医药业策略:穿越政策迷雾 聚焦优势赛道,新浪
2412,2018-12-12,一心堂拟出资不超过1510万元，收购曲靖康桥28家门店资产及其存货,亿欧网
2413,2018-12-12,【国金策略】汇率承压，二级市场净减持--资金周度监测136期,策略李立峰与行业配置笔记
2414,2018-12-12,医药板块结束三连跌 券商力荐7只超跌高成长股,证券日报
2415,2018-12-11,医疗保健：聚焦优势赛道 荐10股,中信建投
2416,2018-12-11,益丰药房高开高走涨4.6%报52.30元 成交1476万元,腾讯网
2417,2018-12-11,【异动股】医药板块集体反弹 泰格医药(300347-CN)等涨逾4%,财华社
2418,2018-12-11,快讯：医药股早盘集体反弹,每经网
2419,2018-12-11,28家药企40天计划减持1.93亿股,新京报
2420,2018-12-10,2019最有潜力的生物医药股有哪些？,云掌财经
2421,2018-12-10,华东医药午后异动重挫7.03%报27.78元 成交7.77亿元,腾讯网
2422,2018-12-10,"医药生物行业周报:带量采购降价超预期,板块进入估值重构和结构分化期",光大证券
2423,2018-12-09,医药生物行业2019年度策：坚守创新企业迎产业变局,华安证券
2424,2018-12-07,带量采购降价超预期 医药股今日再现多股跌停,金融界
2425,2018-12-07,“带量采购”预中标结果公布 一类股短期内需规避,金融界
2426,2018-12-07,盘前参考:美股大长腿 华为事件对大盘冲击有多大？,中财网
2427,2018-12-07,【医药】理性看待带量采购，短期看非药、中长期拥抱创新药龙头,中信证券研究
2428,2018-12-06,带量采购发威，A、H医药股一日蒸发超千亿市值！这些药企已有对策，有股票直线拉涨 连续下跌,e公司
2429,2018-12-06,A股早报2018年12月6日星期四,Wind
2430,2018-12-05,A股共发生68宗大宗交易成交11.95亿元（12月5日）,Wind
2431,2018-12-05,上海证券市场大宗交易公开信息(2018-12-05),上交所
2432,2018-12-05,益丰药房今日大宗交易成交753.50万股，成交价46.58元折价13.11%,Wind资讯
2433,2018-12-05,【头条研报】光伏业确认业绩底部 机构研究这4家公司,新浪
2434,2018-12-05,医疗保健：关注受政策影响较小的细分领域 荐7股,和讯
2435,2018-12-04,"医药生物行业周报:带量采购结果即将公布,紧握不确定中的确定增量",光大证券
2436,2018-11-30,【晨会1130】广电5G牌照；光华科技、景嘉微,中信建投证券研究
2437,2018-11-29,两市跌幅再扩大 外资猛抄滞涨股(名单),证券时报
2438,2018-11-29,北向资金月内净流入超400亿创6个月新高 外资抄底滞涨股（名单）,证券时报网
2439,2018-11-29,【医药徐佳熹】医药生物行业2019年投资策略报告——新游戏规则 vs 历史的轮回,兴证研究
2440,2018-11-28,"全国零售药店分类分级管理指导意见(征求意见稿)点评:分级分类即将全国推行,利好连锁药店龙头发展",长城证券
2441,2018-11-28,"医药行业周报:集采补充文件发布,强者恒强加速布局",渤海证券
2442,2018-11-28,"医药生物行业周报:药店分类分级管理征求意见稿发布,持续看好连锁药店",华安证券
2443,2018-11-27,千家上市公司购买万亿元理财产品,云掌财经
2444,2018-11-27,27日早间上市公司重要公告汇总,证券时报网
2445,2018-11-26,益丰药房实控人拟间接减持不超过1127万股,中证网
2446,2018-11-26,益丰药房：控股股东等拟减持不超2.99%股份,e公司
2447,2018-11-26,医药行业：分类分级征求意见稿发布行业洗牌利好药店龙头,光大证券
2448,2018-11-26,【华泰医药代雯团队】全国药店分级分类最新政策点评：药店分类分级方案正式发布，利好龙头,谈医论股丨华泰医药
2449,2018-11-26,跌破2600点激发资金入市热情 158只个股均获千万抢筹,证券日报
2450,2018-11-26,"医药生物行业周报:药店分级意见稿出台,坚守细分景气龙头",光大证券
2451,2018-11-26,"益丰药房投资价值分析报告:精益求精,岁物丰成",光大证券
2452,2018-11-23,23日晚公告精选丨国农科技：实控人及其一致行动人持股比例升至30%,21经济网
2453,2018-11-23,益丰药房：终止实施2018年限制性股票激励计划,e公司
2454,2018-11-22,试点带量采购模式落地 医药生物板块领跑两市,大众证券报
2455,2018-11-21,11月以来12家公司重组折戟 并购重组异常,大众证券报
2456,2018-11-21,医药行业周报:《4+7城市药品集中采购文件》正式发布,渤海证券
2457,2018-11-19,"益丰药房公司季报点评:三季度收入高增长,门店加速扩张",正点财经
2458,2018-11-19,11月19日 盘中突破半年线个股一览,每日经济新闻
2459,2018-11-18,带量采购文件发布，产业升级有望加速 | 周观点,长江医药小组
2460,2018-11-16,【平安医药】行业动态跟踪报告：4+7城市带量采购，压力中孕育着机会,A叶寅A医药行业研究
2461,2018-11-14,益丰药房新增股份发行完毕 公司实控权未发生变化,中证网
2462,2018-11-14,医疗保健：市监局征求《疫苗管理法》意见 荐11股,渤海证券
2463,2018-11-14,医药行业周报:市监局征求《疫苗管理法》意见,渤海证券
2464,2018-11-12,医疗保健：鼓励创新与加强监管并存 寻找确定性投资机会,中信建投
2465,2018-11-12,盘前参考:周末利好下隐藏一利空 或又高开低走套人,中财网
2466,2018-11-09,医药行业周报:药品信息化追溯体系建设加快推进,渤海证券
2467,2018-11-08,"医药生物行业:三季报业绩稳健,关注低估值及龙头绩优股",华安证券
2468,2018-11-08,"医药生物行业专题报告:收入整体稳健,Q3扣非净利润增速放缓,内部分化持续",华安证券
2469,2018-11-07,医药行业：板块收入和扣非净利延续稳健增长 分化加剧,申万宏源
2470,2018-11-06,"益丰药房公告点评:今日资本继续长期持有,凸显公司长期投资价值",光大证券
2471,2018-11-05,【中银医药】医药生物行业2018年三季报综述——行业整体收入和扣非利润保持20%的增速中枢,周观宇论
2472,2018-11-05,医疗保健：创新升级大势所趋 荐9股,中信建投
2473,2018-11-02,期指主力合约全涨 IF1811涨幅4.02%,证券之星
2474,2018-11-02,5日机构强推买入 六股成摇钱树,证券之星
2475,2018-11-02,以岭药业牵手华润医药，欲抢占基层医疗政策红利,亿欧网
2476,2018-11-02,机场航运板块强势领涨，沪深股指高位震荡,华讯财经
2477,2018-11-02,医药生物板块表现强势 宜华健康涨停,e公司
2478,2018-11-02,4大连锁PK 益丰门店新增1183家,医药网
2479,2018-11-02,"益丰药房三季报点评:收入实现快速增长,并购挺近华北市场",国海证券
2480,2018-11-01,A股头条之上市公司公告精选（11.2）,金融界
2481,2018-11-01,益丰药房：发行股份及支付现金购买资产获证监会核准,金融界
2482,2018-11-01,行业估值处于历史底部区域 医药板块有望逐步走出“至暗时刻”,中证报
2483,2018-11-01,底部特征明显 医药板块有望走出“至暗时刻”,中证报
2484,2018-11-01,医药生物行业周报:走出黎明前的“至暗时刻”,光大证券
2485,2018-11-01,"益丰药房:业绩高增长,区域扩张与区域深耕并行",安信证券
2486,2018-11-01,"益丰药房:门店扩张迅速,业绩维持高速增长",平安证券
2487,2018-11-01,"医药生物行业周报:底部特征明显,关注绩优个股",华安证券
2488,2018-10-31,【国信医药|三季报点评】益丰药房：门店加速扩张，业绩高速增长,GuosenHealthcare
2489,2018-10-31,益丰药房营收提速 门店加速扩张,中证网
2490,2018-10-31,"益丰药房:新增门店数大幅提升,业绩持续高速增长",方正证券
2491,2018-10-31,从哪里跌倒从哪里涨起来！白酒、医药等白马消费股强势归来？,顶尖财经网
2492,2018-10-31,医疗保健：精选三季报绩优股 荐11股,渤海证券
2493,2018-10-31,"益丰药房2018年三季报点评:收入提速体现经营硬实力,新建加并购预示利润高增长",光大证券
2494,2018-10-30,关于核准益丰大药房连锁股份有限公司向石朴英等发行股份购买资产的批复,证监会
2495,2018-10-30,益丰药房：药店布局继续 收入高速增长,西南证券
2496,2018-10-29,益丰药房：前三季度净利润同比增40.23%,Wind
2497,2018-10-28,浙商早班车2018.10.29,浙商证券研究所
2498,2018-10-28,医疗保健：长线战略资金逢机遇 荐9股,西南证券
2499,2018-10-25,医药行业周报:中长线布局迎来较好切入点,渤海证券
2500,2018-10-22,[快讯]益丰药房发布质押公告 涉及股份1403万股,中财网
2501,2018-10-22,光大证券：目前医药行业处于历史底部区域,e公司
2502,2018-10-22,益丰药房：业绩符合预期 新建+并购双管齐下,红周刊
2503,2018-10-21,益丰药房更新报告：把握药店优质股调整机遇【太平洋医药】,医药佐料
2504,2018-10-19,10月19日 公告将复牌个股（名单）,每日经济新闻
2505,2018-10-19,今日特别提示（2018年10月19日）,中财网
2506,2018-10-18,益丰药房：关于重大资产重组事项获得中国证监会上市公司并购重组委员会审核无条件通过暨公司股票复牌的公告,上交所
2507,2018-10-18,并购重组委2018年第48次会议审核结果公告,证监会
2508,2018-10-18,证监会：天泽信息等三公司重组获通过；浩物股份重组未获通过,e公司
2509,2018-10-18,证监会：天泽信息、益丰药房、拓尔思并购重组均获准，浩物股份被否,Wind
2510,2018-10-18,益丰药房：重组无条件过会，10月19日复牌,Wind
2511,2018-10-17,医疗保健：17种抗癌药进医保 荐12股,渤海证券
2512,2018-10-17,益丰药房跑马圈地：门店3年暴增2000家，药店收购单价远超同行,斑马消费
2513,2018-10-17,"医药行业周报:17种抗癌药进医保,多省市发文响应",渤海证券
2514,2018-10-15,[看好评级]医药生物行业2018年三季报业绩前瞻：医药需求刚性 预计增长保持稳健,中财网
2515,2018-10-15,【申万宏源医药闫天一团队】20181012周观点：医药需求刚性，预计增长保持稳健——医药生物行业2018年三季报业绩前瞻,申万投资健康
2516,2018-10-13,从受理到审核，只用了13个工作日，首例“小额快速”并购下周开审,国际金融报
2517,2018-10-11,证监会：益丰药房等4公司发行股份购买资产事项10月18日上会,Wind
2518,2018-10-11,并购重组委2018年第48次工作会议公告,证监会
2519,2018-10-11,证监会：四家公司18日重组上会,e公司
2520,2018-10-11,"医药行业周报:抗癌专采持续推进,行业供给格局保稳向优",渤海证券
2521,2018-10-10,招商证券：三季报期接近 关注可持续高增长医药股,证券时报网
2522,2018-10-09,"医药生物行业周报-诺奖发布,免疫疗法获业界肯定",浙商证券
2523,2018-10-07,医疗保健：医药行业三季报业绩前瞻,长江证券
2524,2018-09-28,医疗生物中期业绩趋势向好高端医疗器械存机会,顶尖财经网
2525,2018-09-28,"医药生物行业周报:抵扣新规落地,研发利好加码",光大证券
2526,2018-09-27,医药股集体大涨 机构揭秘打好四季度“反击战”的三条思路,证券时报网
2527,2018-09-26,快讯：医药板块早盘持续冲高 英特集团封涨停板,新浪
2528,2018-09-26,"医药行业周报:基药制度进一步完善,制药业供给侧持续改革",渤海证券
2529,2018-09-25,医药生物行业周报:制药板块政策面压力逐步消化,浙商证券
2530,2018-09-24,带量采购重塑行业新秩序？医药白马股巨震 这些公司迎来机遇！,e公司
2531,2018-09-21,四家上市连锁药房半年报PK 整合加速领头羊规模优势凸显,证券日报
2532,2018-09-19,上市药店一心堂、大参林、老百姓纷纷进军广西市场,医药网
2533,2018-09-19,医药生物行业周报:关注超跌及子行业龙头,华安证券
2534,2018-09-18,"医药生物行业周报:制药板块短期承压,看好行业长期发展",浙商证券
2535,2018-09-17,73只个股受机构集体推荐 5只龙头股吸金逾27亿,证券日报
2536,2018-09-17,券商A股策略周报：历史底部区域 市场亟需重塑信心,证券时报网
2537,2018-09-17,广证恒生-市场要闻点评-第906期-20180917,广证恒生策略研究
2538,2018-09-14,互联网诊疗管理试行办法发布 医院IT市场望打开(股),金融界
2539,2018-09-12,仿制药概念遭遇重挫 消息称第一批带量采购清单公布,证券时报网
2540,2018-09-11,益丰药房:业绩略超预期 门店拓展稳定推进,中证网
2541,2018-09-11,医药生物行业周报:继续布局绩优龙头及创新标的,浙商证券
2542,2018-09-10,益丰药房：扩张节奏加快 业绩符合预期,方正证券
2543,2018-09-07,[路演]益丰药房：加强公司在华北区域的门店网点布局和市场开拓,全景网
2544,2018-09-07,沪深股市冲高回落：科技股午后一蹶不振，沪指险守2700点,澎湃新闻
2545,2018-09-07,医药行业：行业持续稳健增长分化明显强者恒强,顶尖财经网
2546,2018-09-06,"益丰药房2018半年报点评:业绩持续高增长,并购整合大发力",正点财经
2547,2018-09-06,54股获券商买入评级 中国国航目标涨幅达80.58%,Wind
2548,2018-09-06,宋清辉：足额缴纳社保影响相当部分企业利润,搜狐
2549,2018-09-06,飞检！8家药商被通报 其他违规处罚,医药地方台
2550,2018-09-06,"医药生物行业周报:行业逐步趋稳,布局绩优及细分行业龙头",浙商证券
2551,2018-09-06,"医药行业周报:基药目录大调整,国务院下令增补187个品种",渤海证券
2552,2018-09-05,医疗保健：基药目录大调整 荐13股,渤海证券
2553,2018-09-05,医药行业：处方药压力渐显 非药景气依旧,光大证券
2554,2018-09-05,9月5日券商晨会研报汇编,证券日报
2555,2018-09-05,"医药生物行业周报:处方药如期回落,非药延续高景气",光大证券
2556,2018-09-05,"益丰药房:业绩持续高增长,门店扩张速度同比上升",上海证券
